RID,HotelID,HotelName,EnglishHotelName,HotelScore,LocationScore,ServicesScore,FacilitiesScore,HealthScore,HotelPrice
1,736820,"难波伊尔克欧瑞酒店
Hotel IL Cuore Namba",Hotel IL Cuore Namba,4.7,4.5,4.5,4.7,4.6,13902.0
2,6508752,"东京大手町京王布莱索酒店
Keio Presso Inn Otemachi Tokyo",Keio Presso Inn Otemachi Tokyo,4.8,4.6,4.4,4.7,4.6,
3,705015,"土浦站东口东横酒店
Toyoko Inn Tsuchiura-Eki Higashi-Guchi",Toyoko Inn Tsuchiura-Eki Higashi-Guchi,4.8,4.5,4.5,4.5,4.6,8748.0
4,6566267,"纪州铁道名古屋荣酒店
Kishutetsudo Nagoya Sakae Hotel",Kishutetsudo Nagoya Sakae Hotel,,,,,,8729.0
5,2552296,"仙台威斯汀酒店
The Westin Sendai Hotel",The Westin Sendai Hotel,4.9,4.9,4.9,5.0,4.9,17037.0
6,131909,"盐壶温泉酒店
Shiotsubo Onsen Hotel",Shiotsubo Onsen Hotel,5.0,5.0,5.0,5.0,5.0,19656.0
7,132056,"坂本屋
Sakamotoya",Sakamotoya,5.0,5.0,5.0,5.0,5.0,30240.0
8,132479,"神田京王布莱索酒店
Keio Presso Inn Kanda",Keio Presso Inn Kanda,5.0,5.0,5.0,5.0,5.0,
9,216518,"厚木虞姬酒店
Atsugi Hotel Yugiri",Atsugi Hotel Yugiri,4.1,4.2,4.2,4.2,4.2,5472.0
10,216526,"船道殿民宿
Minshuku Sendoron",Minshuku Sendoron,4.0,4.0,3.9,4.0,4.0,10580.0
11,4978043,"横滨天空温泉酒店
Sky Spa Yokohama",Sky Spa Yokohama,4.3,4.3,4.3,4.3,4.3,4557.0
12,6237180,"新最上屋酒店
Hotel New Mogamiya",Hotel New Mogamiya,,,,,,7074.0
13,216591,"水雪酒店
Hyosetsuso",Hyosetsuso,,,,,,8820.0
14,8041413,"苗场王子酒店
Minamikan",Minamikan,,,,,,4457.0
15,8166865,"丰冈土屋旅馆
Tsuchiya Ryokan Toyooka",Tsuchiya Ryokan Toyooka,4.3,4.3,4.3,4.3,4.3,17257.0
16,6264604,"丰冈斯里御宿酒店
Oyado Seri Toyooka",Oyado Seri Toyooka,,,,,,32736.0
17,1636225,"莫瑞斯晨酒店
Hotel Morschein",Hotel Morschein,4.3,4.3,4.3,4.3,4.3,6753.0
18,216951,"末广酒店
Hotel Suehiro",Hotel Suehiro,,,,,,4640.0
19,6276103,"36号温泉酒店
Onsen Inn 36So",Onsen Inn 36So,,,,,,14820.0
20,216964,"南山旅馆
Pension Southcol",Pension Southcol,,,,,,
21,7003891,"阿鲁姆佩蒂特酒店
Petit Hotel Alumu",Petit Hotel Alumu,,,,,,
22,216970,"玛多娜旅馆
Pension Madonna",Pension Madonna,,,,,,7019.0
23,7019801,"藤加隆哈特B&B旅馆
B&BTengallonhat",B&BTengallonhat,,,,,,
24,217071,"洛顶旅馆
Rakucho Ryokan",Rakucho Ryokan,5.0,5.0,3.0,5.0,4.5,
25,217082,"京香旅馆
Ryokan Kyoka",Ryokan Kyoka,4.1,3.5,3.7,3.7,3.7,8000.0
26,217121,"科比托之家
Kobito House",Kobito House,,,,,,
27,217160,"那须盐原酒店
Wajimaya Ryokan",Wajimaya Ryokan,4.1,3.6,3.4,3.4,3.6,13523.0
28,6997996,"薇雅达酒店
Veada",Veada,3.0,3.0,3.0,3.0,3.0,
29,217188,"美铃分享旅舍
Share House Misuzu",Share House Misuzu,,,,,,
30,217192,"京都祗园JAM旅舍
Jam Hostel Kyoto Gion",Jam Hostel Kyoto Gion,4.6,4.0,3.9,4.2,4.2,1779.0
31,217242,"约内亚玛坎酒店
Yoneyamakan",Yoneyamakan,,,,,,10213.0
32,6552502,"屋形船酒店
Hotel Hinodeya",Hotel Hinodeya,4.2,4.1,4.0,4.1,4.1,5106.0
33,6516404,"萨密尤诗雅酒店
Sumiyoshiya",Sumiyoshiya,,,,,,
34,7279923,"金马醋民宿旅馆
Minshuku Ginmatsu",Minshuku Ginmatsu,4.6,4.5,4.5,4.5,4.5,6487.0
35,7011515,"蓝色大理石酒店
Blue Marble",Blue Marble,,,,,,12189.0
36,7611303,"雅买池贝坎酒店
Yamaichi Bekkan",Yamaichi Bekkan,,,,,,28600.0
37,7525400,"青森小堀旅馆
Kobori Ryokan Aomori",Kobori Ryokan Aomori,,,,,,8760.0
38,6446363,"姬路酒店
Engakudo",Engakudo,4.4,4.4,4.2,4.4,4.4,2328.0
39,217657,"金雷锁酒店
Kinreisou",Kinreisou,3.6,3.7,3.7,3.7,3.7,4640.0
40,6996622,"日商阳光酒店
Nissho Sun Hotel",Nissho Sun Hotel,,,,,,8850.0
41,6347426,"别府山田別庄
Yamada Bessou Befu",Yamada Bessou Befu,4.6,4.5,4.2,4.1,4.3,7418.0
42,5678492,"簇科诺亚三索酒店
Tsukinoya Sansou",Tsukinoya Sansou,,,,,,9015.0
