RID,HotelID,CommentPage,CommentID,SentenceNumber,Sentence
1,736820,1,167116734,1,酒店 位置 超 赞 ， 过 一 条 马路 就 是 大阪 难 波 站 ， 有 到 关西 机场 的 南海 急电 ， 有 J R 有 近 铁...
2,736820,1,167116734,2,上面 有 高 岛 屋 购物 中心 ， 用 的 东西 比较 贵 ， 但是 可以 去 食品 层 ， 真正 是 琳琅满目 ， 生 的 、 熟 的 、 半成品 ， 看 得 人 是 口水 长流
3,736820,1,167116734,3,以后 来日 本 一定 要 居住 在 带有 厨房 的 民居 ， 自己 抄 刀 上阵 ， 可以 又 便宜 又 随意
4,736820,1,167116734,4,还有 他们 的 双人床 比较 小 ， 最 好 订 二 个 单人床 的
5,736820,1,167116734,5,至于 清洁卫生 那 是 不用 说 的
6,736820,1,167116734,6,我们 没有 预定 早餐 ， 门口 有 全家 ， 难 波 站 里面 有 许多 小吃店 ， 早 晚餐 是 没有 问题 的
7,736820,1,162220794,1,最高层 配 有 洗衣机 烘干机 ， 而且 费用 不 高 ， 洗 衣 液 要 到 前台 购买 ， 对于 在 外 旅行 的 游客 来说 很 便利
8,736820,1,162220794,2,位置 不错 ， 离 商业 中心 近 ， 交通 很 便利 ， 但 酒店 大门 、 进口 太 小 ， 不易 辨识
9,736820,1,162220794,3,房间 和 设施 都 很 新 ， 不错
10,736820,1,162220794,4,楼道 的 制冰机 晚上 噪音 有 些 大 ， 靠近 的 客房 晚上 可能 影响 休息
11,736820,1,163987060,1,入口 确实 难 找 ， 路口 左右 走 了 三 趟 才 找到 哈哈哈
12,736820,1,163987060,2,感觉 设施 挺 好 的 ， 没有 别人 说 的 那么 老旧 啊
13,736820,1,163987060,3,最 重要 就 是 方便 ， 十字路口 对面 就是 地铁站
14,736820,1,165303376,1,酒店 位置 很 好 ， 离 各种 买买买 都 非常 近 ， 坐 电车 只 需 步行 10 分钟
15,736820,1,165303376,2,房间 很 干净 ， 晚上 也 很 安静
16,736820,1,165303376,3,便利店 步行 三 分钟
17,736820,1,149856614,1,房间 小巧 、 干净 ， 出行 很 方便 ， 附近 就 有 拉面 店 、 居酒屋 ， 和 购物 商场 ， 下次 还 会 再 订
18,736820,1,166286297,1,酒店 位置 很 好 ， 距离 难 波 商业街 很近
19,736820,1,166286297,2,不过 房间 收拾 得 不 是 很 及时 而且 连 方便 拖鞋 都 没有 换
20,736820,1,166286297,3,房间 卫生 不 是 很 理想 ， 还 自己 动手 干掉 一 只 潜藏 在 屋里 的 大个 苍蝇
21,736820,1,166286297,4,另外 入 住 时间 是 下午 三点 ， 这个 规定 比 起 在 东京 和 京都 住 的 酒店 都 有 些 偏 晚 ， 性价比 也 相对 低些
22,736820,1,163122356,1,地方 非常 好找 ， 五号 出口 ， 抬头 就 能 看到 酒店 坐 过去 ， 200 米 ， 看到 大 国药 妆店 往 前 走 就 是了 ， 很 方便 ， 高 岛 屋三四 分钟 ， 难 波 电车 直接 到达 ， 回程 不 用 拖 着 行李 下楼 ， 往 高 岛 屋 得 方向 有 个 路口 ， 电梯 上 去 做 难 波 到达 机场 ， 挺 方便 得 ， 下次 还 会 再 订 ， 不错 ， 房间 挺 干净 ， 就 是 三 人 房 还 是 小 了 一 丢 丢 ， 哈哈 \(^o^)/
23,736820,2,160708895,1,酒店 标志 有 些许 的 不 明显 我们 还是 问 了 很多 人才 找到 的 设施 不错 房间 是 正常 日本 房型 离 地铁 市 营 线 5 号 口 比较 近 周边 有 药妆 和 高 岛 屋 很 方便
24,736820,2,155235714,1,总体 还 不错 ， 交通 方便 ， 房间 小 但是 干净 ， 但是 不 能 忍受 拖鞋 是 旧 的 ... 穿 进去 还 粘 脚
25,736820,2,155235714,2,后来 都 用 上 个 酒店 多 出来 的
26,736820,2,155235714,3,旁边 的 寿司店 不错
27,736820,2,140151551,1,位置 很 好
28,736820,2,140151551,2,就 是 需要 走 条 小路 ， 旁边 就 是 大 国药 妆店 、 南海 电车 、 难 波 枢纽 、 高 岛屋
29,736820,2,140151551,3,前台 有 中文 店员 ， 房间 舒适 ， 作为 第二 天 赶早 班 飞机 的 旅客 特别 方便
30,736820,2,161330559,1,交通 很 便捷 ， 人 也 不 多 ， 服务 很 好
31,736820,2,161330559,2,周边 美食 也 很 多 ， 离心 斋 桥 不 远 ， 很 安静 ， 房间 也 非常 干净 ， 下次 还 会 入 住
32,736820,2,160254177,1,交通 很 方便 ， 周边 环境 也 就 这样 ， 附近 有 全家 超市 ， 买点 吃 的 喝 的 还 是 很 方便 ， 对面 的 高 岛 屋 可以 去 看看 ， 坐 南海 线 去 机场 也 方便
33,736820,2,152408892,1,位置 绝对 的
34,736820,2,152408892,2,出 门 就 是 大阪 最 繁华 的 地区 ， 高 岛 屋 走 5 分钟 就 到 ， 去 关西 机场 直接 坐 南海 电车 直达
35,736820,2,152408892,3,吃饭 的 选择 也 大 哦
36,736820,2,123444907,1,位置 很 好 ， 难 波 站 5 号 出口 出来 直接 过 马路 继续 直走 大约 100 米 ， 路过 全家 ， 一个 小型 停车场 旁边 有 条 小 各 进去 就是 酒店 后门
37,736820,2,123444907,2,酒店 设施 较 新 ， 干净 整洁 ， 房间 在 日本 来说 不 算 小 ， 各类 洗漱 用品 齐全 ， 开房 退房 速度 快 ， 我们 去 的 时候 前台 还有 中国 店员
38,736820,2,123444907,3,因为 第二 天 赶早 班机 ， 这里 离 南海 电车 很近 ， 走路 几 分钟 ， 很 方便
39,736820,2,123444907,4,周边 各类 商业街 都 很 近 ， 下次 有 机会 再 去 还 会 选择 这里
40,736820,3,165182067,1,更 方便 ， 也 很 干净 ， 出 门 就 是 地铁站 和 高 岛屋
41,736820,3,150084768,1,位置 好 ， 房屋 干净 小巧
42,736820,3,148107073,1,位置 方便 ， 很 干净 ， 房间 略小
43,736820,3,126885058,1,酒店 位置 非常 方便 ， 道 顿堀 、 心 斋 桥 等 都 步行 可 达 ， 晚上 夜宵 也 很 多
44,736820,3,126885058,2,之前 看 大家 的 评价 说 有 个 同胞 阿姨 态度 不 太 好 ， 我 是 没有 碰到 ， 寄存 行李 态度 也 很 好
45,736820,3,126885058,3,总体 比较 满意
46,736820,3,161766127,1,除了 床 小点 ， 房间 算 可以 ， 周围 有 全家 ， 距离 高 岛 屋 很近
47,736820,3,156708937,1,还 可以 ， 就 在 高 岛 屋 附近 ， 出行 方便 ， 离 地铁站 很 近
48,736820,3,156415121,1,地理 位置 很 好 ， 出行 方便 ， 房间 不 大 ， 但是 舒适 卫生 ， 我们 都 很 满意
49,736820,4,150551798,1,地处 难 波 站 附近 ， 交通 非常 方便 ， 离 道顿堀 和 心 斋 桥 也 很 近 ， 非常 适合 逛 吃
50,736820,4,165492823,1,房间 挺 干净 ， 就 是 太 小 了
51,736820,4,158528785,1,距离 道顿崛 和 心 斋 桥 都 很 近 ， 步行 可 达 ， 房间 不 大 ， 但 干净 卫生 ， 大阪 是 个 热情 的 地方 ， 去 过 东京 和 京都 的 朋友 不要 错过
52,736820,4,108721576,1,地点 绝对 是 很 好 的 ， 内部 房间 也 很 干净 ， 大小 的 话 我 定 了 最 大 的 房型 ， 感觉 还 可以 的
53,736820,4,108721576,2,酒店 服务 一般 ， 没有 什么 笑容
54,736820,4,108721576,3,住 了 五 天 ， 下次 还 会 选择
55,736820,4,156483371,1,酒店 房间 虽 小 设施 齐全 ， 位置 方便 购物
56,736820,4,150004522,1,还 可以 吧
57,736820,4,150004522,2,房间 很 小
58,736820,4,150004522,3,但 比较 干净
59,736820,4,167116662,1,酒店 位置 超 赞 ， 过 一 条 马路 就 是 大阪 难 波 站 ， 有 到 关西 机场 的 南海 急电 ， 有 J R 有 近 铁...
60,736820,4,167116662,2,上面 有 高 岛 屋 购物 中心 ， 用 的 东西 比较 贵 ， 但是 可以 去 食品 层 ， 真正 是 琳琅满目 ， 生 的 、 熟 的 、 半成品 ， 看 得 人 是 口水 长流
61,736820,4,167116662,3,以后 来日 本 一定 要 居住 在 带有 厨房 的 民居 ， 自己 抄 刀 上阵 ， 可以 又 便宜 又 随意
62,736820,4,167116662,4,还有 他们 的 双人床 比较 小 ， 最 好 订 二 个 单人床 的
63,736820,4,167116662,5,至于 清洁卫生 那 是 不用 说 的
64,736820,4,167116662,6,我们 没有 预定 早餐 ， 门口 有 全家 ， 难 波 站 里面 有 许多 小吃店 ， 早 晚餐 是 没有 问题 的
65,736820,4,166347874,1,房间 不 算 太 小 但 清理 的 不 太 整洁 ， 前面 住 客 的 垃圾 都 没收 完 ， 三 点 才 能 办 入 住 也 比较 晚 ， 房间 单价 也 较贵
66,736820,4,166347874,2,我 唯一 选择 的 理由 是 距离 南海 电车 站 近 ， 方便 第二 天 赶早 班 飞机
67,736820,5,138700015,1,交通 方便 ， 从 关西 机场 可以 坐 南海 电 铁 直达 ， 离 地铁口 非常 近 ， 地方 好找
68,736820,5,138700015,2,周围 繁华 ， 购物 就餐 都 很 方便
69,736820,5,138700015,3,再 来 还 会 选择
70,736820,5,138721398,1,没住 ， 行程 改变 无法 入 住 ， 费用 照 扣 了
71,736820,5,137582965,1,真的 挺 好 的 ， 而且 非常 好找
72,736820,5,137582965,2,离 附近 的 商场 也 非常 近 ， 购物 和 吃饭 很 方便
73,736820,5,144150892,1,下次 还 会 去 住 的
74,736820,5,144150892,2,以后 去 大阪 扛 货 ， 只 住 这家
75,736820,5,144150892,3,哈哈哈
76,736820,5,165953037,1,很 棒
77,736820,5,163494514,1,离 南海 很近 ， 房间 偏小
78,736820,6,121468860,1,房间 在 日本 算是 大 的 了
79,736820,6,121468860,2,离 难 波 站 150 米
80,736820,6,121468860,3,周围 吃 喝 购 非常 方便
81,736820,6,121468860,4,暑假 旺季 ， 价格 还是 贵 ， 1100 元 / 间 不 含 早餐
82,736820,6,168179873,1,非常好，每次去大阪都住这里
83,736820,6,119069601,1,酒店 位置 很 好 ， 出行 方便 ， 设施 不错 ， 房间 安静
84,736820,6,116989704,1,离 难 波 地铁站 步行 8 分钟 ， 离 南海 机场 专线 步行 5 分钟 ， 离心 斋 桥筋 步行 15 分钟 ， 周边 有 好多 吃饭 的 点 ， 购物 很 便捷
85,736820,6,113240130,1,地理 位置 很 好 ， 就 在 难 波 站 边
86,736820,6,113240130,2,离心 斋 桥 走路 十 分钟
87,736820,6,113240130,3,门口 就 是 高 岛 屋
88,736820,6,113240130,4,下面 就 有 全家 就是 房间 稍微 小点
89,736820,6,113240130,5,价格 也 便宜
90,736820,7,148135198,1,位置 好 ， 容易 找 ， 去 哪 都 方便
