RID,Ctrip_HotelID,HotelName,EnglishHotelName,HotelScore,LocationScore,tripadvisor_hotel_id,ServicesScore,FacilitiesScore,HealthScore,HotelPrice,hotel_name,hotel_url,hotel_rating,city_id,postal_code,prefecture,locality,street,ext_address,address,price_lower,price_upper,rooms
129,348776,"萨伊永康酒店
Sanyokan",Sanyokan,2.9,2.9,12638,2.9,2.9,2.9,5522.0,Sanyokan,https://www.tripadvisor.com/Hotel_Review-g1022852-d13303684-Reviews-Sanyokan-Unzen_Nagasaki_Prefecture_Kyushu_Okinawa.html,-1.0,205,854-0514,長崎県,雲仙市,小浜町北本町905-4,,〒854-0514 長崎県雲仙市小浜町北本町905-4,,,JapanKyushuNagasaki PrefectureUnzen
220,6535584,"新Itaya酒店
Hotel New Itaya",Hotel New Itaya,5.0,4.5,11304,4.0,4.5,4.5,9994.0,Hotel New Itaya,https://www.tripadvisor.com/Hotel_Review-g298183-d1095424-Reviews-Hotel_New_Itaya-Utsunomiya_Tochigi_Prefecture_Kanto.html,3.5,157,320-0811,栃木県,宇都宮市,大通り2-4-6,,〒320-0811 栃木県宇都宮市大通り2-4-6,5820,13432,230
372,6345417,"福井终点酒店
Terminal Hotel Fukui",Terminal Hotel Fukui,4.2,4.2,10028,4.0,4.2,4.1,5584.0,Terminal Hotel Fukui,https://www.tripadvisor.com/Hotel_Review-g298110-d1078548-Reviews-Terminal_Hotel_Fukui-Fukui_Fukui_Prefecture_Chubu.html,3.5,125,910-0859,福井県,福井市,日之出1-18-1,,〒910-0859 福井県福井市日之出1-18-1,5820,10969,77
436,653150,"长崎城镇酒店
Nagasaki Town Hotel",Nagasaki Town Hotel,5.0,5.0,7946,4.0,5.0,4.8,16750.0,Nagasaki Town Hotel,https://www.tripadvisor.com/Hotel_Review-g298568-d8424647-Reviews-Nagasaki_Town_Hotel-Nagasaki_Nagasaki_Prefecture_Kyushu_Okinawa.html,3.0,78,850-0056,長崎県,長崎市,恵美須町3-2,,〒850-0056 長崎県長崎市恵美須町3-2,,,JapanKyushuNagasaki PrefectureNagasaki
464,686220,"红屋顶加大阪南巴酒店
Red Roof Plus Osaka Namba",Red Roof Plus Osaka Namba,4.8,4.5,1310,4.4,4.6,4.6,14183.0,Red Roof Plus Osaka Namba,https://www.tripadvisor.com/Hotel_Review-g298566-d1081453-Reviews-Red_Roof_Plus_Osaka_Namba-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,542-0074,大阪府,大阪市中央区千日前,1-9-7,,〒542-0074 大阪府大阪市中央区千日前1-9-7,9439,23876,232
465,686222,"西乐雷斯酒店
Hotel Hillarys",Hotel Hillarys,4.4,4.3,1323,3.8,4.3,4.2,7000.0,Hotel Hillarys,https://www.tripadvisor.com/Hotel_Review-g298566-d1092195-Reviews-Hotel_Hillarys-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,556-0006,大阪府,大阪市浪速区,日本橋3-4-10,,〒556-0006 大阪府大阪市浪速区日本橋3-4-10,5330,13326,148
475,686245,"池袋新星酒店
Hotel New Star Ikebukuro",Hotel New Star Ikebukuro,4.3,4.0,564,3.8,3.9,4.0,5824.0,Hotel New Star Ikebukuro,https://www.tripadvisor.com/Hotel_Review-g1066460-d800212-Reviews-Hotel_New_Star_Ikebukuro-Toshima_Tokyo_Tokyo_Prefecture_Kanto.html,3.0,1,171-0014,東京都,豊島区,池袋2-61-6,,〒171-0014 東京都豊島区池袋2-61-6,6441,10550,91
476,686246,"WING国际酒店-池袋
Hotel Wing International Ikebukuro",Hotel Wing International Ikebukuro,4.1,4.3,181,3.5,4.3,4.0,15988.0,Hotel Wing International Ikebukuro,https://www.tripadvisor.com/Hotel_Review-g1066460-d1085802-Reviews-Hotel_Wing_International_Ikebukuro-Toshima_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,170-0013,東京都,豊島区,東池袋3-10-7,,〒170-0013 東京都豊島区東池袋3-10-7,7551,23098,85
484,686255,"涩谷格兰贝尔酒店
Shibuya Granbell Hotel",Shibuya Granbell Hotel,4.6,4.3,61,4.2,4.5,4.4,16355.0,Shibuya Granbell Hotel,https://www.tripadvisor.com/Hotel_Review-g1066456-d630480-Reviews-Shibuya_Granbell_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,150-0031,東京都,渋谷区,桜丘町15-17,,〒150-0031 東京都渋谷区桜丘町15-17,12771,50194,105
489,686264,"大阪北滨大和ROYNET酒店
Daiwa Roynet Hotel Osaka Kitahama",Daiwa Roynet Hotel Osaka Kitahama,4.8,4.8,1239,4.7,4.9,4.8,9235.0,Daiwa Roynet Hotel Osaka Kitahama,https://www.tripadvisor.com/Hotel_Review-g298566-d4071371-Reviews-Daiwa_Roynet_Hotel_Osaka_Kitahama-Osaka_Osaka_Prefecture_Kinki.html,4.5,3,541-0043,大阪府,大阪市,中央区高麗橋2-2-14,,〒541-0043 大阪府大阪市中央区高麗橋2-2-14,6330,19545,260
