RID,Ctrip_HotelID,HotelName,EnglishHotelName,HotelScore,HotelPrice,tripadvisor_hotel_id,hotel_name,hotel_url,hotel_rating,city_id,postal_code,prefecture,locality,street,ext_address,address,price_lower,price_upper,rooms
27,61567,Hyatt Regency Tokyo（凯悦酒店 原Century Hyatt Tokyo）,Hyatt Regency Tokyo,4.7,27246.0,123,Hyatt Regency Tokyo,https://www.tripadvisor.com/Hotel_Review-g1066457-d307324-Reviews-Hyatt_Regency_Tokyo-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,160-0023,東京都,新宿区西新宿,2-7-2,,〒160-0023 東京都新宿区西新宿2-7-2,27540,52860,746
23,60783,Jozankei View Hotel（定山溪VIEW温泉酒店）,Jozankei View Hotel,0.0,19005.0,3768,Jozankei View Hotel,https://www.tripadvisor.com/Hotel_Review-g298560-d1095370-Reviews-Jozankei_View_Hotel-Sapporo_Hokkaido.html,3.5,21,061-2302,北海道,札幌市南区,定山渓温泉東2,,〒061-2302 北海道札幌市南区定山渓温泉東2,14670,35162,647
55,85237,Comfort Hotel Tokyo Higashi Nihonbashi（东京东日本桥肯福特酒店）,Comfort Hotel Tokyo Higashi Nihonbashi,5.0,8656.0,150,Comfort Hotel Tokyo Higashi Nihonbashi,https://www.tripadvisor.com/Hotel_Review-g1066444-d1089700-Reviews-Comfort_Hotel_Tokyo_Higashi_Nihonbashi-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,103-0002,東京都,中央区,日本橋馬喰町1丁目10-11,,〒103-0002 東京都中央区日本橋馬喰町1丁目10-11,7107,16546,259
5178,1649312,Smile Hotel Sugamo(微笑酒店 巢鸭),Smile Hotel Sugamo,4.1,7014.0,450,Smile Hotel Sugamo,https://www.tripadvisor.com/Hotel_Review-g1066460-d3583984-Reviews-Smile_Hotel_Sugamo-Toshima_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,170-0002,東京都,豊島区,巣鴨2-4-7,,〒170-0002 東京都豊島区巣鴨2-4-7,5330,18545,126
64,87484,Hotel Monterey Grasmere Osaka（大阪蒙特利格拉斯梅尔酒店）,Hotel Monterey Grasmere Osaka,0.0,20139.0,1236,Hotel Monterey Grasmere Osaka,https://www.tripadvisor.com/Hotel_Review-g298566-d1426655-Reviews-Hotel_Monterey_Grasmere_Osaka-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,556-0017,大阪府,大阪市浪速区,湊町1-2-3,,〒556-0017 大阪府大阪市浪速区湊町1-2-3,12771,33315,348
82,130294,Keio Presso Inn Otemachi(大手町京王布莱索酒店),Keio Presso Inn Otemachi,4.2,10000.0,204,Keio Presso Inn Otemachi,https://www.tripadvisor.com/Hotel_Review-g1066444-d815109-Reviews-Keio_Presso_Inn_Otemachi-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,103-0021,東京都,中央区,日本橋本石町4-4-1,,〒103-0021 東京都中央区日本橋本石町4-4-1,8884,30094,386
88,132479,Keio Presso Inn Kanda(神田京王布莱索酒店),Keio Presso Inn Kanda,4.0,,696,Keio Presso Inn Kanda,https://www.tripadvisor.com/Hotel_Review-g1066443-d1114515-Reviews-Keio_Presso_Inn_Kanda-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,101-0046,東京都,千代田区,神田多町2-8,,〒101-0046 東京都千代田区神田多町2-8,6885,17768,270
106,216646,Wakyu(和休酒店),Wakyu,4.5,12800.0,8274,Wakyu,https://www.tripadvisor.com/Hotel_Review-g298126-d1095791-Reviews-Wakyu-Toyama_Toyama_Prefecture_Chubu.html,4.5,84,930-0007,富山県,富山市,宝町1-1-1,,〒930-0007 富山県富山市宝町1-1-1,6826,12757,60
194,217939,Hotel Sun White(白太阳酒店),Hotel Sun White,4.2,7219.0,1353,Hotel Sun White,https://www.tripadvisor.com/Hotel_Review-g298566-d1083239-Reviews-Hotel_Sun_White-Osaka_Osaka_Prefecture_Kinki.html,3.5,3,540-0012,大阪府,大阪市中央区,谷町3-7-6,,〒540-0012 大阪府大阪市中央区谷町3-7-6,4540,15615,160
213,218372,Toko Hotel(东兴酒店),Toko Hotel,3.9,9104.0,16419,Toko Hotel,https://www.tripadvisor.com/Hotel_Review-g1023588-d1880978-Reviews-Toko_Hotel-Hamada_Shimane_Prefecture_Chugoku.html,3.0,407,697-0024,島根県,浜田市,黒川町108-18,,〒697-0024 島根県浜田市黒川町108-18,5027,5027,45
358,348776,Sanyokan(萨伊永康酒店),Sanyokan,2.9,,12638,Sanyokan,https://www.tripadvisor.com/Hotel_Review-g1022852-d13303684-Reviews-Sanyokan-Unzen_Nagasaki_Prefecture_Kyushu_Okinawa.html,-1.0,205,854-0514,長崎県,雲仙市,小浜町北本町905-4,,〒854-0514 長崎県雲仙市小浜町北本町905-4,,,JapanKyushuNagasaki PrefectureUnzen
524,406725,Sejour Inn Nagarekawa(流川Sejour酒店),Sejour Inn Nagarekawa,3.7,8500.0,4981,Sejour Inn Nagarekawa,https://www.tripadvisor.com/Hotel_Review-g298561-d1133352-Reviews-Sejour_Inn_Nagarekawa-Hiroshima_Hiroshima_Prefecture_Chugoku.html,3.5,34,730-0028,広島県,広島市,中区流川町5-26,,〒730-0028 広島県広島市中区流川町5-26,6494,12987,60
562,441259,Hearton Hotel Nishi Umeda(大阪西梅田华顿酒店),Hearton Hotel Nishi Umeda,0.0,8831.0,1257,Hearton Hotel Nishi Umeda,https://www.tripadvisor.com/Hotel_Review-g298566-d1006425-Reviews-Hearton_Hotel_Nishi_Umeda-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,530-0001,大阪府,大阪市,北区梅田3-3-55,,〒530-0001 大阪府大阪市北区梅田3-3-55,6663,21210,471
565,443153,Okinawa Zanpamisaki Royal Hotel(冲绳残波岬皇家度假大酒店),Okinawa Zanpamisaki Royal Hotel,5.0,22642.0,13938,Okinawa Zanpamisaki Royal Hotel,https://www.tripadvisor.com/Hotel_Review-g1120814-d505812-Reviews-Okinawa_Zanpamisaki_Royal_Hotel-Yomitan_son_Nakagami_gun_Okinawa_Prefecture_Kyushu_Oki.html,4.0,265,904-0328,沖縄県,中頭郡読谷村,宇座1575,,〒904-0328 沖縄県中頭郡読谷村宇座1575,10515,45190,465
584,468522,Hotel Tatsuki（西浦Tatsuki温泉酒店）,Hotel Tatsuki,5.0,18360.0,15041,Hotel Tatsuki,https://www.tripadvisor.com/Hotel_Review-g298104-d1074124-Reviews-Hotel_Tatsuki-Gamagori_Aichi_Prefecture_Chubu.html,3.5,322,443-0105,愛知県,蒲郡市,西浦町大山25,,〒443-0105 愛知県蒲郡市西浦町大山25,16421,41555,73
3496,706274,Izumiya Ryokan(和泉屋旅馆),Izumiya Ryokan,4.7,15660.0,6897,Izumiya Ryokan,https://www.tripadvisor.com/Hotel_Review-g298124-d13287375-Reviews-Izumiya_Ryokan-Shizuoka_Shizuoka_Prefecture_Chubu.html,-1.0,60,421-2301,静岡県,静岡市,葵区梅ケ島5258-10,,〒421-2301 静岡県静岡市葵区梅ケ島5258-10,,,JapanChubuTokaiShizuoka PrefectureShizuoka
954,653150,Nagasaki Town Hotel(长崎城镇酒店),Nagasaki Town Hotel,3.8,,7946,Nagasaki Town Hotel,https://www.tripadvisor.com/Hotel_Review-g298568-d8424647-Reviews-Nagasaki_Town_Hotel-Nagasaki_Nagasaki_Prefecture_Kyushu_Okinawa.html,3.0,78,850-0056,長崎県,長崎市,恵美須町3-2,,〒850-0056 長崎県長崎市恵美須町3-2,,,JapanKyushuNagasaki PrefectureNagasaki
1011,686228,Hotel Chuo Selene(中央Selene酒店),Hotel Chuo Selene,3.8,4266.0,1365,Hotel Chuo Selene,https://www.tripadvisor.com/Hotel_Review-g298566-d626287-Reviews-Hotel_Chuo_Selene-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,557-1112,大阪府,大阪市,西成区太子1-1-11,,〒557-1112 大阪府大阪市西成区太子1-1-11,4331,8995,93
1026,686253,Ginza Creston Hotel(银座格雷斯登酒店),Ginza Creston Hotel,4.2,19900.0,156,Ginza Creston Hotel,https://www.tripadvisor.com/Hotel_Review-g1066444-d4048554-Reviews-Ginza_Creston_Hotel-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,104-0044,東京都,中央区,明石町8,,〒104-0044 東京都中央区明石町8,12882,35314,93
1030,686261,Smile Hotel Nihonbashi Mitsukoshimae(日本桥三越微笑酒店),Smile Hotel Nihonbashi Mitsukoshimae,4.3,6036.0,474,Smile Hotel Nihonbashi Mitsukoshimae,https://www.tripadvisor.com/Hotel_Review-g1066444-d3583992-Reviews-Smile_Hotel_Nihonbashi_Mitsukoshimae-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,103-0023,東京都,中央区日本橋本町,日本橋本町1-4-14,（旧 鴨川イン日本橋）,〒103-0023 東京都中央区日本橋本町日本橋本町1-4-14（旧 鴨川イン日本橋）,7329,12438,164
1053,686306,Tokyo Grand Hotel(东京大酒店),Tokyo Grand Hotel,4.3,11009.0,311,Tokyo Grand Hotel,https://www.tripadvisor.com/Hotel_Review-g1066451-d1082883-Reviews-Tokyo_Grand_Hotel-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,105-0014,東京都,港区,芝2-5-2,,〒105-0014 東京都港区芝2-5-2,9217,16991,156
1057,686310,Shibuya Tobu Hotel(涩谷东武酒店),Shibuya Tobu Hotel,4.4,14100.0,35,Shibuya Tobu Hotel,https://www.tripadvisor.com/Hotel_Review-g1066456-d506006-Reviews-Shibuya_Tobu_Hotel-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,150-0042,東京都,渋谷区,宇田川町3-1,,〒150-0042 東京都渋谷区宇田川町3-1,12438,27207,205
1060,686313,Tokyo Green Palace(东京绿色皇宫酒店),Tokyo Green Palace,4.3,10332.0,268,Tokyo Green Palace,https://www.tripadvisor.com/Hotel_Review-g1066443-d658580-Reviews-Tokyo_Green_Palace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,102-0084,東京都,千代田区,二番町2,,〒102-0084 東京都千代田区二番町2,8662,16546,238
1061,686314,Pearl Hotel Yaesu(八重洲珍珠酒店),Pearl Hotel Yaesu,4.2,13965.0,512,Pearl Hotel Yaesu,https://www.tripadvisor.com/Hotel_Review-g1066444-d1089708-Reviews-Pearl_Hotel_Yaesu-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,103-0028,東京都,中央区八重洲,1-2-6,,〒103-0028 東京都中央区八重洲1-2-6,10661,23320,150
1080,686339,Kishibe Station Hotel(岸边车站酒店),Kishibe Station Hotel,4.5,11368.0,18849,Kishibe Station Hotel,https://www.tripadvisor.com/Hotel_Review-g1023474-d1075548-Reviews-Kishibe_Station_Hotel-Suita_Osaka_Prefecture_Kinki.html,4.0,622,564-0011,大阪府,吹田市,岸部南1-25-3,,〒564-0011 大阪府吹田市岸部南1-25-3,8155,14634,71
1088,686349,For Leaves Inn Uehonmachi(上本町四叶旅馆),For Leaves Inn Uehonmachi,3.7,4401.0,1469,For Leaves Inn Uehonmachi,https://www.tripadvisor.com/Hotel_Review-g298566-d1870779-Reviews-For_Leaves_Inn_Uehonmachi-Osaka_Osaka_Prefecture_Kinki.html,3.0,3,543-0021,大阪府,大阪市天王寺区,天王寺区東高津町6-19,,〒543-0021 大阪府大阪市天王寺区天王寺区東高津町6-19,3443,5441,56
1089,686350,Hotel Yutaka Wing(裕翼酒店),Hotel Yutaka Wing,3.8,8703.0,20729,Hotel Yutaka Wing,https://www.tripadvisor.com/Hotel_Review-g1121293-d1171428-Reviews-Hotel_Yutaka_Wing-Tajiri_cho_Sennan_gun_Osaka_Prefecture_Kinki.html,3.5,968,598-0091,大阪府,泉南郡田尻町,嘉祥寺352-6,,〒598-0091 大阪府泉南郡田尻町嘉祥寺352-6,6479,13852,54
1095,686358,Hotel Landmark Umeda(梅田地标酒店),Hotel Landmark Umeda,4.2,7000.0,1280,Hotel Landmark Umeda,https://www.tripadvisor.com/Hotel_Review-g298566-d557780-Reviews-Hotel_Landmark_Umeda-Osaka_Osaka_Prefecture_Kinki.html,3.5,3,530-0012,大阪府,大阪市,北区芝田2-3-22,,〒530-0012 大阪府大阪市北区芝田2-3-22,7107,12882,140
1103,686427,Hotel Daiki(大树酒店),Hotel Daiki,3.7,8780.0,1436,Hotel Daiki,https://www.tripadvisor.com/Hotel_Review-g298566-d1081593-Reviews-Hotel_Daiki-Osaka_Osaka_Prefecture_Kinki.html,3.5,3,530-0041,大阪府,大阪市,北区天神橋4-9-5,,〒530-0041 大阪府大阪市北区天神橋4-9-5,4430,17386,14
1109,686453,Hotel Trusty Shinsaibashi(Trusty酒店-心斋桥),Hotel Trusty Shinsaibashi,4.1,11325.0,1320,Hotel Trusty Shinsaibashi,https://www.tripadvisor.com/Hotel_Review-g298566-d1083256-Reviews-Hotel_Trusty_Shinsaibashi-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,542-0081,大阪府,大阪市中央区,南船場3-3-17,,〒542-0081 大阪府大阪市中央区南船場3-3-17,8884,22432,211
1112,686460,Hotel Kuramoto(仓本酒店),Hotel Kuramoto,4.0,,1330,Hotel Kuramoto,https://www.tripadvisor.com/Hotel_Review-g298566-d584632-Reviews-Hotel_Kuramoto-Osaka_Osaka_Prefecture_Kinki.html,4.0,3,542-0082,大阪府,大阪市,中央区島之内2-11-7,,〒542-0082 大阪府大阪市中央区島之内2-11-7,8306,26578,24
1151,686532,Richmond Hotel Asakusa(浅草 Richmond酒店),Richmond Hotel Asakusa,4.8,12955.0,138,Richmond Hotel Asakusa,https://www.tripadvisor.com/Hotel_Review-g1066461-d2526943-Reviews-Richmond_Hotel_Asakusa-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,4.5,1,111-0032,東京都,台東区,浅草2-7-10,,〒111-0032 東京都台東区浅草2-7-10,8995,21877,140
1167,686553,Hotel Lumiere Kasai(葛西卢米埃尔酒店),Hotel Lumiere Kasai,4.4,8991.0,167,Hotel Lumiere Kasai,https://www.tripadvisor.com/Hotel_Review-g1066445-d1105300-Reviews-Hotel_Lumiere_Kasai-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,134-0083,東京都,江戸川区,中葛西5-41-20,,〒134-0083 東京都江戸川区中葛西5-41-20,6108,23765,152
1168,686555,Hotel Lumiere Nishikasai(西葛西卢米埃尔酒店),Hotel Lumiere Nishikasai,4.1,8991.0,88,Hotel Lumiere Nishikasai,https://www.tripadvisor.com/Hotel_Review-g1066445-d1115239-Reviews-Hotel_Lumiere_Nishikasai-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,134-0088,東京都,江戸川区,西葛西6-20-3,,〒134-0088 東京都江戸川区西葛西6-20-3,5441,21210,192
1169,686556,Tokyo Kiba Hotel(东京木场酒店),Tokyo Kiba Hotel,4.0,5309.0,110,Tokyo Kiba Hotel,https://www.tripadvisor.com/Hotel_Review-g1066449-d1082951-Reviews-Tokyo_Kiba_Hotel-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,135-0042,東京都,江東区,木場1-4-3,,〒135-0042 東京都江東区木場1-4-3,4997,22654,189
1171,686558,Business Hotel Legato(莱加托商务酒店),Business Hotel Legato,4.1,12600.0,608,Business Hotel Legato,https://www.tripadvisor.com/Hotel_Review-g1066449-d1082766-Reviews-Business_Hotel_Legato-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,135-0004,東京都,江東区,森下3-17-12,,〒135-0004 東京都江東区森下3-17-12,6663,21544,28
1172,686559,Refre Forum(Refre Forum酒店),Refre Forum,2.9,12744.0,623,Refre Forum,https://www.tripadvisor.com/Hotel_Review-g1066449-d1105472-Reviews-Refre_Forum-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,136-0072,東京都,江東区,大島7-37-11,,〒136-0072 東京都江東区大島7-37-11,6774,13437,62
1181,686576,Pearl Hotel Kasai(葛西珍珠酒店),Pearl Hotel Kasai,3.9,8025.0,534,Pearl Hotel Kasai,https://www.tripadvisor.com/Hotel_Review-g1066445-d559388-Reviews-Pearl_Hotel_Kasai-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,134-0084,東京都,江戸川区,東葛西6-1-7,,〒134-0084 東京都江戸川区東葛西6-1-7,5664,16102,109
1184,686579,Hotel Shinjukuya(新宿屋酒店),Hotel Shinjukuya,3.9,7134.0,19484,Hotel Shinjukuya,https://www.tripadvisor.com/Hotel_Review-g1060907-d1080766-Reviews-Hotel_Shinjukuya-Machida_Tokyo_Prefecture_Kanto.html,3.5,696,194-0013,東京都,町田市,原町田6-13-22,,〒194-0013 東京都町田市原町田6-13-22,7038,14745,70
1185,686580,Tokyu Stay Yoga(东急住瑜伽酒店),Tokyu Stay Yoga,4.1,11311.0,337,Tokyu Stay Yoga,https://www.tripadvisor.com/Hotel_Review-g1066455-d1115519-Reviews-Tokyu_Stay_Yoga-Setagaya_Tokyo_Tokyo_Prefecture_Kanto.html,4.0,1,158-0097,東京都,世田谷区,用賀4-4-1,,〒158-0097 東京都世田谷区用賀4-4-1,11660,18767,79
1196,686615,Hotel Siena(锡耶纳酒店),Hotel Siena,3.7,29087.0,598,Hotel Siena,https://www.tripadvisor.com/Hotel_Review-g1066457-d1095022-Reviews-Hotel_Siena-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,3.5,1,160-0021,東京都,新宿区歌舞伎町,歌舞伎町2-22-1,,〒160-0021 東京都新宿区歌舞伎町歌舞伎町2-22-1,9217,12882,83
