Keyword,KeywordList,WordValue,POS_Tag
above,positive,grammatical,RB
absolutely,positive,grammatical,RB
acceptable,positive,grammatical,JJ
accessible,positive,subject,JJ
accommodate,positive,subject,VB
accommodation,positive,subject,NN
accomodate,positive,subject,VB
accomodation,positive,subject,NN
accompany,positive,subject,VB
activity,positive,subject,NN
adapter,positive,subject,NN
additional,positive,subject,JJ
additionally,positive,subject,RB
address,positive,subject,NN
adequate,positive,subject,JJ
adjacent,positive,subject,JJ
adjoin,positive,subject,NN
admit,positive,subject,VBP
adult,positive,subject,NN
advantage,positive,subject,NN
adventure,positive,subject,NN
advice,positive,subject,NN
advise,positive,subject,VB
aeon,positive,subject,NN
affordable,positive,subject,JJ
afterwards,positive,subject,RB
again,positive,grammatical,RB
ago,positive,grammatical,RB
agoda,positive,grammatical,NN
ainu,positive,subject,NN
airport,positive,subject,NN
airy,positive,subject,JJ
akihabara,positive,subject,NNS
alcohol,positive,subject,NN
alleviate,positive,subject,VB
alley,positive,subject,NN
allow,positive,subject,VB
almost,positive,grammatical,RB
alone,positive,subject,RB
alp,positive,subject,NN
alternative,positive,grammatical,NN
alternatively,positive,grammatical,RB
altogether,positive,grammatical,RB
always,positive,grammatical,RB
aman,positive,grammatical,NN
amaze,positive,grammatical,VB
amazing,positive,grammatical,JJ
amazingly,positive,grammatical,RB
ambiance,positive,subject,NN
ambience,positive,subject,NN
amenity,positive,subject,NN
ample,positive,subject,JJ
answer,positive,subject,NN
anticipate,positive,subject,VBP
anyone,positive,grammatical,NN
anywhere,positive,grammatical,RB
apartment,positive,subject,NN
apologetic,positive,subject,JJ
apologize,positive,subject,NN
apparently,positive,grammatical,RB
apple,positive,subject,NN
appliance,positive,subject,NN
appropriate,positive,subject,JJ
approx,positive,subject,NN
april,positive,grammatical,NNP
aqua,positive,subject,NN
aquarium,positive,subject,NN
arashiyama,positive,subject,NN
arcade,positive,subject,NN
architecture,positive,subject,NN
aren,positive,grammatical,NN
aroma,positive,subject,NN
arrange,positive,grammatical,VB
arrangement,positive,subject,NN
arrival,positive,subject,NN
arrived,positive,subject,VBN
asahikawa,positive,grammatical,NN
asakusa,positive,grammatical,NNS
ashamed,positive,subject,JJ
asian,positive,subject,JJ
aside,positive,grammatical,RB
aspect,positive,grammatical,NN
assign,positive,grammatical,VB
assist,positive,subject,VB
atm,positive,subject,NN
atmosphere,positive,subject,NN
attach,positive,grammatical,VB
attached,positive,grammatical,VBN
attend,positive,grammatical,VB
attendant,positive,subject,NN
attentive,positive,subject,JJ
attraction,positive,subject,NN
australia,positive,grammatical,NN
authentic,positive,subject,JJ
autumn,positive,subject,NN
away,positive,grammatical,RB
awesome,positive,grammatical,JJ
baggage,positive,subject,NN
baked,positive,subject,JJ
bakery,positive,subject,NN
balcony,positive,subject,NN
barrier,positive,subject,NN
base,positive,subject,NN
basement,positive,subject,NN
basin,positive,subject,NN
bathhouse,positive,subject,NN
bathing,positive,subject,NN
bathrobe,positive,subject,NN
bathtub,positive,subject,NN
bay,positive,subject,NN
bbq,positive,subject,NN
beach,positive,subject,NN
bear,positive,subject,NN
beat,positive,subject,NN
beautiful,positive,subject,JJ
beautifully,positive,grammatical,RB
beauty,positive,subject,NN
bedding,positive,subject,NN
beef,positive,subject,NN
beer,positive,subject,NN
before,positive,grammatical,RB
begin,positive,grammatical,VB
beginner,positive,grammatical,NN
believe,positive,grammatical,VB
belong,positive,grammatical,VB
benesse,positive,grammatical,NN
beppu,positive,subject,NN
beside,positive,grammatical,RB
best,positive,grammatical,JJS
beverage,positive,subject,NN
bfast,positive,subject,JJ
bicycle,positive,subject,NN
bigger,positive,subject,JJR
bike,positive,subject,NN
birthday,positive,subject,NN
bite,positive,subject,NN
black,positive,subject,JJ
blast,positive,subject,NN
block,positive,subject,NN
boast,positive,subject,NN
bomb,positive,subject,NN
bonus,positive,subject,NN
booked,positive,subject,VBN
booking,positive,subject,NN
boot,positive,subject,NN
booth,positive,subject,NN
bore,positive,subject,NN
borrow,positive,subject,VB
bottom,positive,subject,NN
bowl,positive,subject,NN
boy,positive,subject,UH
branch,positive,subject,NN
brand,positive,subject,NN
bread,positive,subject,NN
breath,positive,subject,NN
breeze,positive,subject,NN
brew,positive,subject,NN
bridge,positive,subject,NN
bright,positive,subject,JJ
brighton,positive,subject,NNP
brilliant,positive,subject,JJ
bring,positive,subject,VB
brochure,positive,subject,NN
browse,positive,subject,VB
brush,positive,subject,NN
bubble,positive,subject,NN
budget,positive,subject,NN
buffet,positive,subject,NN
bullet,positive,subject,NN
buss,positive,subject,NNS
bustle,positive,subject,NN
buy,positive,subject,VB
cable,positive,subject,NN
cafe,positive,subject,NN
café,positive,grammatical,NN
cake,positive,subject,NN
calm,positive,subject,JJ
camera,positive,subject,NN
cancellation,positive,subject,NN
cap,positive,subject,NN
care,positive,subject,NN
carefully,positive,subject,RB
carpark,positive,subject,NN
cart,positive,subject,NN
castle,positive,subject,NN
catch,positive,subject,NN
cedar,positive,subject,NN
ceiling,positive,subject,NN
celebrate,positive,subject,VB
cent,positive,subject,NN
center,positive,subject,NN
central,positive,subject,JJ
centrally,positive,grammatical,RB
centre,positive,subject,NN
ceremony,positive,subject,NN
certainly,positive,grammatical,RB
chain,positive,subject,NN
champagne,positive,subject,NN
chance,positive,subject,NN
chap,positive,subject,NN
chapel,positive,subject,NN
charger,positive,subject,NN
charm,positive,subject,NN
charming,positive,subject,JJ
cheaper,positive,subject,JJR
cheapest,positive,subject,JJS
cheerful,positive,subject,JJ
chef,positive,subject,NN
chin,positive,subject,NN
chitose,positive,subject,NN
chocolate,positive,subject,NN
choice,positive,subject,NN
choose,positive,subject,VB
christmas,positive,subject,NNP
class,positive,subject,NN
classic,positive,subject,JJ
classy,positive,subject,JJ
clean,positive,subject,JJ
cleaned,positive,subject,VBN
cleanliness,positive,subject,NN
clever,positive,subject,JJ
climb,positive,subject,NN
clock,positive,subject,NN
closer,positive,subject,JJR
closest,positive,subject,JJS
closing,positive,subject,NN
coast,positive,subject,NN
cocktail,positive,subject,NN
coffee,positive,subject,NN
coin,positive,subject,NN
colleague,positive,subject,NN
collect,positive,subject,VB
colour,positive,subject,NN
comfort,positive,subject,NN
comfortable,positive,subject,JJ
comfortably,positive,subject,RB
comfy,positive,subject,JJ
command,positive,subject,NN
commercial,positive,subject,JJ
common,positive,subject,JJ
communal,positive,subject,JJ
company,positive,subject,NN
compensate,positive,subject,VB
complete,positive,subject,JJ
complex,positive,subject,JJ
complimentary,positive,subject,JJ
conditioner,positive,subject,NN
conference,positive,subject,NN
