hotel_id,comment_id,sentence_num,sentence,emotion_val,date
1537,166731,1,"great location, everything is within walking distance from here, enjoyed the futon style of bed they provided, a hinge of japan made my trip wonderful! friendly staffs,",1,2016-09-04
1537,166731,3,A bit pricey though,0,2016-09-04
1537,166731,5,but overall a great experience! =),1,2016-09-04
1269,155219,2,thus forays to other towns can easily be arranged,1,2015-06-04
1269,155219,4,which makes for a very relaxing escape,1,2015-06-04
1269,155219,6,"a little remote from Sannomiya though,",0,2015-06-04
1269,155219,8,Although there is a shopping complex below,1,2015-06-04
1269,155219,10,footfall was noticeably poor.,0,2015-06-04
1269,155219,11,For food there was the exquisite Wakkoqu below in the complex and the Cafe Freundlich outside two blocks away,1,2015-06-04
1269,155219,12,"but otherwise, you were better off at the JR station.",0,2015-06-04
1269,155219,14,"breakfast buffet is oversubscribed and the management takes pain in informing guests formally via a noticeboard, to pace time accordingly",0,2015-06-04
1269,155219,16,the deficiency of English can be challenging at times.,0,2015-06-04
1269,155219,18,"A good hotel, especially if one is connecting to Osaka or Kyoto or beyond",1,2015-06-04
153,67475,2,The lobby is kept in original style and absolutely worth a visit! Beautiful furniture and design from the 1960s. The building modern rooms and restaurants.,1,2015-11-12
849,115260,1,"Managed to snag this nice room (top floor) for our 2 nights in Kyoto for only $120 a night. 2 full? Sized beds (well, they were a hair bigger than a twin.. ), spacious, modern room and I was very happy to have a full bathroom! A Nespresso machine was the icing on the cake! Large hotel with 5 restaurants...",1,2016-10-12
849,115260,3,Very disappointed. $47 per person (not that we mind the price) but the food was bland. If we were not so tired from our nearly 24 hours of traveling we would have ventured out.,0,2016-10-12
849,115260,4,Many staff speak English and are very happy to help. Service in the bar was absolutely amazing and professional.,1,2016-10-12
849,115260,5,The only downside. Our room was labeled 'non-smoking' but our duvet reeked of smoke.,0,2016-10-12
849,115260,6,This is our first Japanese hotel and we are very pleased!,1,2016-10-12
