hotel_id,username,language,comment_id,comment,score,date
1,REDACTED,en,1,"We had a wonderful stay at the Hilton Tokyo. The hotel is lovely and elegant with excellent customer service. We traveled as a family with our 2 college aged children and would stay here again! 

The CONCIERGE STAFF IS THE BEST WE HAVE EVER EXPERIENCED!!! They speak fluent English and provided us with personalized detailed maps of every location we were interested in visiting. One time when we could not make it back to the desk to follow up on one of the sites, a detailed letter was left for us in our room with all of the pertinent information. They WOWED us! They also made our reservations home through Narita airport. 

The Hotel/Location: The hotel is lovely and elegant and the rooms are spacious. As a Gold member, both of our rooms were easily upgraded. The hotel is located in Shinjuku and offers a free shuttle (a large bus) to and from the Shinjuku train station every 20 minutes - see picture (last bus from station at 9:40 pm). There are also 2 train lines walkable and directly under the hotel. 

The only negatives are 1. In the room there was a combo bathtub next to the shower and the shower heads did not quite properly fit the shower even if adjusted. It was a little awkward to use the shower, and 2. House keeping generally cleaned later in the day which was inconvenient. We came back to our room a couple of times, early afternoon after sight seeing and wanted to relax but our rooms had not been cleaned. 

Buffet Breakfast: The buffet breakfast in (Marble Lounge Restaurant) was fantastic with many choices ($40 per person or free if your are a Gold HH member. You can eat breakfast in the Marble Restaurant in lieu of the Executive Lounge.). The only negative, which was minor, was that the coffee and cappuccino were not very good. 

Executive Lounge: The lounge is lovely with a great view including of Mt Fuji. It is large in size with many choices especially at breakfast. There is also a chef to make omelettes. Waki (staff) had so much personality and offered so many travel suggestions. There was an issue accommodating guests for cocktail hours (6-9 pm) and we had to wait on line to actually get into the lounge. A couple of times, we left our name on the ""list"" and they called us when a table became available. 

Staff: Overall the staff was super friendly, helpful, eager to please and most spoke fluent English. The only issue we had was at checkout when our bill was completely wrong. It still has not been resolved but I cannot fault the Hilton Tokyo. This is a Hilton Honors issue.",5,2018/01/11
1,REDACTED,en,2,"Recently stayed at Hilton Tokyo for 6 nights.
From check in to check out everything was smooth and the staff are very helpful.
The concierge desk is very very helpful and speak fluent English.
Had booked a room on the higher floor and was surprised with the size. Pretty large for Tokyo Standard.
Breakfast was super and all the dining options within the hotel were good.
Very conveniently located with the shuttle bus to Shinjuku station every 20 min is very helpful.
Great variety of restaurants and shopping below the hotel and a tube station below the hotel helps as well.
Airport Limousine bus transfers is the best way to get here. Very simple and the stop is at the hotel.
Overall fell in love with Tokyo and part of the reason is this property.
Will definitely come back.",5,2017/09/18
1,REDACTED,en,3,"Great hotel, near to two different subway lines and an efficient free shuttle to and from Shinjuku station. Rooms were spacious, clean and up to hilton global standards.
I couldn’t give it five stars due to the avaricious prices within the hotel however.
My bill for 6 chicken wings, hummus & bread and 2 beers was ¥8,800 (€65.98). 
In my almost 15 years of legally purchasing alcohol, this was the most I’ve ever paid for a pint of standard beer - €16.49. 
That put a dampener on my stay and I would be reluctant to stay there again because of it.",4,2018/01/11
1,REDACTED,en,4,"This was my first time staying in Hilton Tokyo. Hotel locates in Shinjuku, where it is at a walkable distance from Shinjuku station or there is free shuttle to & fro Shinjuku stat at every 20-mins. Also, you can walk underground from Nishi-Shinjuku or Tochomae station. 
The housekeeping of room, the service from front desk & the lounge are at Hilton standard. The buffet breakfast is the best among all the Hiltons I accommodated. The view from the executive lounge is also amazing, you can see the Mount Fuji when the weather is clear.",5,2018/01/09
1,REDACTED,en,5,We visited few different hilton hotels. My partner and I both surprised the quality and service level from Hilton Tokyo. Best friendly staffs ever from our stays. The room is tidy and spacious compares to other accomendation in Tokyo. Prime location to most of the popular places in Shinjuku. Highly Recommended to anyone if you prepare to stay around Shinjuku for couple of days.,5,2018/01/09
1,REDACTED,en,6,"It is winter in Tokyo and though it is not snowing, it is very cold. We have stayed at the Hilton for 5 nights and it has been lovely to return to this warm hotel after a busy day sightseeing.

The hotel is right above the Nishishinjuku Train station which makes it really convenient to get around.

The rooms are very nice and the staff were very accommodating to make sure we had an interconnecting room with our sons.

The beds are very comfortable, and our bathroom had a lovely deep bath, not to mention state of the art top of the range heated toilet with about 20 buttons!

The bar has a nice 3 piece band performing most nights and was also a very relaxing place after dinner.

The restaurants are expensive, especially for a family of 4, however there are alternatives in a round building next door, and some under the Hilton.

",5,2018/01/08
1,REDACTED,en,7,"The most impressive part of Hilton Tokyo to me was, the property indeed possesses qualities and styles that classic hotels all have, which sometimes often difficult to find from hotels in in Tokyo. 

Tokyo being very populous and expensive city, many hotels including top notch ones, only occupies top floors of skyscrapers, sharing mid and bottom parts with business offices. However this hotel has its building solely for its own uses, making the hotel feel more like comfortable instant home away from home. 

This hotel utilizes huge area for executive club lounge which offer panoramic views of Japan including Mt. Fuji and other famous landmarks (I wasn’t very interested much except the Mountain Fuji view but I could definitely tell one of the most valuable assets for the hotel is, good location which provides such good panoramic views in the heart of bustling city)

I heard the lounge is always so full, but I was lucky to enjoy good time without crowd, and I took breakfast at lounge all the time despite I heard breakfast restaurants on 1st and 2nd floors provides much more menus.

One bad thing was, restaurants the concierge recommended – classic Japanese deep fries course restaurants, wasn’t much to my satisfaction personally. The restaurants had many good reviews from tripadvisor I saw, but my own perception is, anything can taste good if fried and there are too many good stuffs to enjoy with the price of the deep fries course meal- I heard deep fries are one of the high-end meals in Japan, but hope concierge offers more options for the guests who ask for good recommendation.

The location is, I wouldn’t say, it is too perfect, because it requires hotel shuttle bus or quick taxi ride from Shinjuku and nearby stations, but the hotel has very good access from both Haneda & Narita airport. I usually do not like taking subways but in Japan, there are almost no options. However, you can take airport limousines from both airports (but it takes bit more than then taking subways), and hotel can book your return bus to airport. The hotel is also easy to go to Ginza, Omotesando, and other popular areas by subway (connected to hotel ground floor). 

As i heard, the hotel rarely gives gold benefit- anyway, I booked executive rooms because I wanted access to executive lounge as I ways do. The hotel say they are always full so I recommend to book the types of rooms you want even if you are a diamond or gold member. The hotel seems busy all the time indeed. 

I would definitely consider being there again. (some of reviews I studied before my trip had, some staffs are not very nice but for my stay, most staffs were very professional and nice, and provided excellent service with feeling of hospitality).",4,2018/01/07
1,REDACTED,en,8,"Simply a phenomenal Hilton property, the property is maintained to the highest standards and is immaculate. The suites are large, wonderfully designed, great showers, overall a five star experience. The exec lounge is one of the best on the globe, excellent assortment and best in class. Stay here with confidence.",5,2018/01/06
1,REDACTED,en,9,We just spent 5 nights at the hotel in two rooms and it was excellent. The location and shuttle service to Shinjuku really makes the place special. Breakfast in the marble lounge is a real treat with a massive variety of items to chose from. The executive lounge is outstanding and I felt like they really respected my diamond status with Hilton and I would like to personally thank all of the staff in the executive lounge for such incredible service and providing us with wonderful rooms. They remember your name when you walk in and even remember how you like your coffee. The main concierges are also very helpful and kind. Even the staff working the motor court and shuttle are so friendly and helpful.,5,2018/01/06
1,REDACTED,en,10,"We stayed at the Hilton for 5 days over the New Year period, the busiest tourist sean in Japan. 
Arriving on an early morning flight from Sydney we were offered an early room at 8am (not the room we booked but happy to take a room with twin beds to get early access at no cost). The hotel was booked out but managed very well to deal with the high volume. We had access to the lounge (being diamond members) which had good food and drinks and an amazing view of Mt Fuji.
We used their shuttle bus to Shinkuju station but its an easy walk (we bused it due to the cold).
We were offerred a traditional Japanese breakfast in a small room on the 2nd floor which was lovely.
There are a number of dining options in the hotel, we ate in the buffet once (ok, not brilliant) and the St George's bar (warning- they smoke in the bar) which had live jazz music each night. They have a gorgeous patisserie to buy take away cakes, highly recommended.

Didn't use the fitness centre or pool but both looked good.

Room was a good size (more than enough room for two large suitcases). Has a fridge and coffee making. Very quiet, didn't hear any noise from adjoining rooms. We used our Hilton Honors points so this wonderful stay was free other than food and incidentals. Have stsyed before and would stay again.
",5,2018/01/05
1,REDACTED,en,11,"I had stayed at Hilton Tokyo for 3 nights and I must say it was truly a pleasure.
The staff are extremely friendly and most of them can speak English fluently.
The rooms are quite large and absolutely spotless.
Their restaurants provide mouthwatering food that makes you come back crawling for more and don't get me started on their Strawberry Buffet it has everything from cakes to chocolate fountains.
It was truly a extraordinary experience and would definitely recommend it to anyone who wants a comfortable stay.
100% confident I'm coming back.",5,2018/01/05
1,REDACTED,en,12,"This hotel is very well located, the rooms are spacious and clean and the staff is just great. In particular, Mr Yuhsuke Kasano, Duty Manager, was very accommodating and wanted to make sure that we were satisfied with our stay and that our room and experience met our expectations. Our experience could have been very different but this gentleman took good care of us. I would recommend this hotel to anyone visiting Tokyo for the first time or repeat visitors. The concierge staff was also pleasant and accommodating. Overall great experience.",5,2018/01/04
1,REDACTED,en,13,"First time in Tokyo and this was a Great place to explore the city from. Convenient to subways, shopping, and food! The rooms were very clean and the hotel has nice amenities as well as a really cool view!",5,2018/01/03
1,REDACTED,en,14,"This hotel was more suitable for business oriented people than for a family of 5 like us. Apart from the awkward location, we still like the hotel for their people and service. They are so polite and nice.",4,2018/01/03
1,REDACTED,en,15,"Spent 5 evenings during Christmas at Hilton Shinjuku. Overall it was a good experience with efficient check-in/check-out process, convenient location to main shopping areas / restaurants / subway stations. Staff was friendly and speaks good English. The only improvement point was the housekeeping service. The daily make-up room service was rather late (usually came around 3pm to 4pm) and the cleaning was not thorough. Used utilities and vanity kits were sometimes not refilled and the bathroom could be cleaner (especially the floor).",4,2018/01/03
1,REDACTED,en,16,"A great hotel to stay in Tokyo.
Very well appointed rooms with an excellent club lounge.
Stay in the higher rooms but it is a very close mfortable hotel for a family in a very handy location.
We stayed in the newer rooms so ask for them when booking.",4,2018/01/02
1,REDACTED,en,17,"This is a huge hotel and we were there at an incredibly busy time over new year. There were issues we faced and they brought my rating down. The physical hotel is nice. Standard rooms are comfortable and whilst bathrooms are small with showers in the tub, they certainky worked well and were clean.

Service is where it becomes hit and miss and it seems the excuse is ""It's a big hotel"". 

Gold upgrade not provided. I can understand during busy periods however I believe the reason why they couldn't accomodate us was simply that they don't plan properly and advised me they totally ignore the online check in. Why ask guests to check in, what time they will arrive and also confirm that early check in which provides room assignment automatically (and gave me no choice) will not impact upgrades. When i arrived I was offered a twin upgrade after booking a king with a confirmed kids bed. I was told that I had selected a room already (complete contradiction to the online system), I was told one cannot book extra beds (it in facts states you must when booking) and when I challenged this I was asked to prove it which I did. I was then told if we keep the standard king room then we wouldn't be entitled to lounge access and breakfast. All in all not a good start. Basically in the end they ""generously"" offered ""something they never do"" which was lounge access. What I feel is a gold card entitlement. After all this they then said they were moving us to a different room which was a little more spacious. What I don't understand is how then they managed to get the extra bed into the room in the minutes it took us to get upstairs. Something was off. They had said they would send up amenities For the extra person with the bed. We waited 2.5 hours until 10pm to get a bath towel. The whole thing felt sordid.

This was followed by concierge failing to assist effectively with restaurant reservations leaving us stranded and forced to eat in a smokey Hilton restaurant that was like a zoo with very average food and highly over priced.

There were too many dropped balls and the underlying issue seemed to be that everyone wanted to argue about everything rather than take responsibility and make it right, as the promised. Room service was awful with poorly cooked food. Cold fries and 90 minutes to eventually recieve over priced but edible food. Again they new there were issues as they had to replace food twice yet no one made it right.

They tried on check out but that's too late.

I have had too many sub par experiences with Hilton who it seems are struggling world wide to compete in terms of service and the ""make it right"" philosophy is great if delivered on.

It's a shame as the hotel has all the makings of a great experience but in all honesty the team need to stand up and be responsible for the short comings.",3,2018/01/02
1,REDACTED,en,18,"Stayed here for business. The staff was friendly. The breakfast was one of the best I have had. The food options were amazing. The rooms were clean and plush, although a tad small by American standards. The bathroom shower/tub/steam combo was lovely. Suggest reserving rooms well in advance. I had one small hiccup where I tried to extend my stay by 1 night. After checking with hotel front desk staff numerous times, and being told hotel was sold out, I discovered rooms were available online. When I checked with the front desk, they confirmed I could stay one additional night at DOUBLE my nightly rate. I had to switch hotels to the Westin, which was amazing but across town. 
The hotel is in a nice neighborhood, has close access to the subway system and is walking distance to parks, etc. Great stay.",5,2018/01/01
