hotel_id,comment_id,sentence_num,sentence,date
1,1,1,We had a wonderful stay at the Hilton Tokyo.,2018-01-11
1,1,2,The hotel is lovely and elegant with excellent customer service.,2018-01-11
1,1,3,We traveled as a family with our 2 college aged children and would stay here again!,2018-01-11
1,1,4,The CONCIERGE STAFF IS THE BEST WE HAVE EVER EXPERIENCED!!!,2018-01-11
1,1,5,They speak fluent English and provided us with personalized detailed maps of every location we were interested in visiting.,2018-01-11
1,1,6,"One time when we could not make it back to the desk to follow up on one of the sites, a detailed letter was left for us in our room with all of the pertinent information.",2018-01-11
1,1,7,They WOWED us!,2018-01-11
1,1,8,They also made our reservations home through Narita airport.,2018-01-11
1,1,9,The Hotel/Location: The hotel is lovely and elegant and the rooms are spacious.,2018-01-11
1,1,10,"As a Gold member, both of our rooms were easily upgraded.",2018-01-11
1,1,11,The hotel is located in Shinjuku and offers a free shuttle (a large bus) to and from the Shinjuku train station every 20 minutes - see picture (last bus from station at 9:40 pm).,2018-01-11
1,1,12,There are also 2 train lines walkable and directly under the hotel.,2018-01-11
1,1,13,The only negatives are 1.,2018-01-11
1,1,14,In the room there was a combo bathtub next to the shower and the shower heads did not quite properly fit the shower even if adjusted.,2018-01-11
1,1,15,"It was a little awkward to use the shower, and 2.",2018-01-11
1,1,16,House keeping generally cleaned later in the day which was inconvenient.,2018-01-11
1,1,17,"We came back to our room a couple of times, early afternoon after sight seeing and wanted to relax but our rooms had not been cleaned.",2018-01-11
1,1,18,Buffet Breakfast: The buffet breakfast in (Marble Lounge Restaurant) was fantastic with many choices ($40 per person or free if your are a Gold HH member.,2018-01-11
1,1,19,You can eat breakfast in the Marble Restaurant in lieu of the Executive Lounge.).,2018-01-11
1,1,20,"The only negative, which was minor, was that the coffee and cappuccino were not very good.",2018-01-11
1,1,21,Executive Lounge: The lounge is lovely with a great view including of Mt Fuji.,2018-01-11
1,1,22,It is large in size with many choices especially at breakfast.,2018-01-11
1,1,23,There is also a chef to make omelettes.,2018-01-11
1,1,24,Waki (staff) had so much personality and offered so many travel suggestions.,2018-01-11
1,1,25,There was an issue accommodating guests for cocktail hours (6-9 pm) and we had to wait on line to actually get into the lounge.,2018-01-11
1,1,26,"A couple of times, we left our name on the ""list"" and they called us when a table became available.",2018-01-11
1,1,27,"Staff: Overall the staff was super friendly, helpful, eager to please and most spoke fluent English.",2018-01-11
1,1,28,The only issue we had was at checkout when our bill was completely wrong.,2018-01-11
1,1,29,It still has not been resolved but I cannot fault the Hilton Tokyo.,2018-01-11
1,1,30,This is a Hilton Honors issue.,2018-01-11
1,2,1,Recently stayed at Hilton Tokyo for 6 nights.,2017-09-18
1,2,2,From check in to check out everything was smooth and the staff are very helpful.,2017-09-18
1,2,3,The concierge desk is very very helpful and speak fluent English.,2017-09-18
1,2,4,Had booked a room on the higher floor and was surprised with the size.,2017-09-18
1,2,5,Pretty large for Tokyo Standard.,2017-09-18
1,2,6,Breakfast was super and all the dining options within the hotel were good.,2017-09-18
1,2,7,Very conveniently located with the shuttle bus to Shinjuku station every 20 min is very helpful.,2017-09-18
1,2,8,Great variety of restaurants and shopping below the hotel and a tube station below the hotel helps as well.,2017-09-18
1,2,9,Airport Limousine bus transfers is the best way to get here.,2017-09-18
1,2,10,Very simple and the stop is at the hotel.,2017-09-18
1,2,11,Overall fell in love with Tokyo and part of the reason is this property.,2017-09-18
1,2,12,Will definitely come back.,2017-09-18
1,3,1,"Great hotel, near to two different subway lines and an efficient free shuttle to and from Shinjuku station.",2018-01-11
1,3,2,"Rooms were spacious, clean and up to hilton global standards.",2018-01-11
1,3,3,I couldn’t give it five stars due to the avaricious prices within the hotel however.,2018-01-11
1,3,4,"My bill for 6 chicken wings, hummus & bread and 2 beers was ¥8,800 (€65.98).",2018-01-11
1,3,5,"In my almost 15 years of legally purchasing alcohol, this was the most I’ve ever paid for a pint of standard beer - €16.49.",2018-01-11
1,3,6,That put a dampener on my stay and I would be reluctant to stay there again because of it.,2018-01-11
