hotel_id,comment_id,sentence_num,sentence,date
1,260,1,"Centrally located in Shinjuku - it's an easy 10min walk to the shopping distance, and Shinjuku station.",2017-07-18
1,260,2,"We found that the concierge's knowledge was not entirely up to date - we were told that it was 'impossible' to buy a JR Rail pass in Japan, yet upon hitting the station, we found out that it was actually possible.",2017-07-18
1,260,3,However - master chef in the executive lounge fries possibly the best eggs you'll ever have.,2017-07-18
1,260,4,"He's the older one of the three we saw on rotation during our stay, and most mornings, we waited until he was on station to get our daily eggs.",2017-07-18
1,260,5,Staff were friendly and helpful.,2017-07-18
1,261,1,Nice hotel in a good location.,2017-07-18
1,261,2,Easy walking access to many areas.,2017-07-18
1,261,3,Helpful and friendly staff.,2017-07-18
1,261,4,"A little higher priced than we are used to paying, but worth it.",2017-07-18
1,261,5,We would stay here again if ever in the area.,2017-07-18
1,262,1,We stayed for 8 nights in the King Executive Junior Suite at the end of our 3.5 week holiday in Japan.,2017-07-18
1,262,2,What a marvellous way to end our trip!,2017-07-18
1,262,3,"The service was top of the class from the very moment we stepped into the property, someone pointed us up to the executive lounge on the 37th floor to pick up our room key cards as online check-in was already done the day before.",2017-07-18
1,262,4,The staff were all very courteous and most helpful and never failed to greet you warmly.,2017-07-18
1,262,5,There was a good selection on the buffet breakfast at the Marble Lounge.,2017-07-18
1,262,6,"There was also an option of breakfast at the executive lounge and Japanese breakfast at Junisoh, the Japanese restaurant.",2017-07-18
1,262,7,"Needless to say, we really appreciated all the extra space in the bedroom (44sqm).",2017-07-18
1,262,8,The room and furnishing looks new except for a few minor brown stains on the carpet.,2017-07-18
1,262,9,There is a free shuttle bus to/from Shinjuku Station.,2017-07-18
1,262,10,It tends to get quite crowded coming from Shinjuku Station because the hotel runs many special lunch/afternoon tea promotions.,2017-07-18
1,262,11,There were one or two occasions where we almost couldn't get on the bus.,2017-07-18
1,262,12,The hotel could possibly consider utilising a bus with a larger capacity during anticipated busy hours.,2017-07-18
1,262,13,"Alternatively, it is a pleasant 3-5 minute walk underground to the nearest metro/subway station from the hotel.",2017-07-18
1,262,14,The Airport Limousine Bus for both Haneda and Narita also come to this hotel which makes it really convenient especially if you have a lot of luggage.,2017-07-18
1,262,15,"On a slightly negative note, there are 6 lifts that service 38 floors on this property and they get very busy during peak hours.",2017-07-18
1,262,16,"Imagine trying to get down from one of the higher floors, in a very full lift and stopping at every other floor.",2017-07-18
1,262,17,And the swimming pool was rather small and nondescript for such a big hotel but who comes to Tokyo to swim right?,2017-07-18
1,262,18,"In summary, the Hilton is an excellent hotel with impeccable customer service.",2017-07-18
1,262,19,We would definitely come back when we visit Tokyo again.,2017-07-18
1,263,1,Stayed three nights.,2017-07-17
1,263,2,Best Hilton experience I have had.,2017-07-17
1,263,3,Spotlessly clean.,2017-07-17
1,263,4,Service absolutely top notch.,2017-07-17
1,263,5,Exec lounge one of the best I have been in.,2017-07-17
1,263,6,Nothing too much trouble.,2017-07-17
1,263,7,This was one of the easiest and most seamless hotel stays I have had.,2017-07-17
1,263,8,Definitely recommend.,2017-07-17
1,264,1,Due to frequents business trips to Tokyo I always stayed at this hotel.,2017-07-17
1,264,2,Service is awesome.,2017-07-17
1,264,3,Renovation has good taste and location is great.,2017-07-17
1,264,4,If you can find a good deal pls book it without hesitation.,2017-07-17
1,265,1,Loved this place very central location friendly staff and great rooms ,2017-07-16
1,265,2,I had a great deal on my room so I know it's usually quite pricey but I certainly enjoyed my stay as did my wife,2017-07-16
1,265,3,Would stay here again as long as I can get a good price,2017-07-16
1,266,1,Hilton tokyo is a nice though crowded hotel.,2017-07-16
1,266,2,A lot of guests during my stay.,2017-07-16
1,266,3,"Room and ameneties are good, comfortable bed and well maintained.",2017-07-16
1,266,4,Restaurant on the first floor serving breakfast is nice.,2017-07-16
1,266,5,Good food selection plus helpful staff.,2017-07-16
1,266,6,"They also have a convenience store, Atm and few shops inside the hotel.",2017-07-16
1,266,7,Overall its a nice stay.,2017-07-16
1,266,8,Recomending this hotel to anyone visitibg Tokyo.,2017-07-16
1,267,1,Stayed for one night and wishing we had more nights at this wonderful Hilton hotel.,2017-07-15
1,267,2,From check in to check out everything about this hotel was excellent.,2017-07-15
1,267,3,My husband is a diamond member so we were lucky enough to get upgraded and our suite was spacious and boasted fantastic views.,2017-07-15
1,267,4,"The room was clean, well maintained and all the amenities we needed.",2017-07-15
1,267,5,It is located approximately 10-15 minute walk from Shinjuku station and we found it easy enough to navigate around.,2017-07-15
1,267,6,Recommend trying some restaurants nearby or in neighbouring areas.,2017-07-15
1,267,7,"My husband enjoyed the pool area, though on the smaller size.",2017-07-15
1,267,8,The executive lounge was one of the best we have encountered in the many Hilton hotels we've stayed in.,2017-07-15
1,267,9,We decided to try the Japanese breakfast which we thoroughly enjoyed.,2017-07-15
1,267,10,"Staff, all so friendly and welcoming.",2017-07-15
1,267,11,"Special thanks to Rinna who assisted us at check in, her hospitality was exceptional.",2017-07-15
1,268,1,This was perhaps my best stay at a Hilton property.,2017-07-15
1,268,2,"This is a posh, comfy, elegant property.",2017-07-15
1,268,3,The Executive lounge and concierge service were particular good at this property.,2017-07-15
1,268,4,"The breakfast buffet was great, as was room service.",2017-07-15
1,268,5,The Japanese bath and sauna were dreamy.,2017-07-15
1,268,6,The only caution I would offer is that this is a very international experience.,2017-07-15
1,268,7,"If you were looking for something authentically Japanese, this won't be it.",2017-07-15
1,268,8,"But if you are looking for a highly comfortable place to stay in Tokyo, I recommend it.",2017-07-15
1,269,1,"Great room, wonderful staff, and close to transportation.",2017-07-14
1,269,2,I would recommend this hotel to any American planning a trip to Tokyo.,2017-07-14
1,269,3,"Just down the street from the Shikoku station with lots of activities close to the hotel, including the government building observatory.",2017-07-14
1,270,1,Stayed in a King Deluxe room for 5 nights with our 3 year old.,2017-07-14
1,270,2,This was by far the best and largest room we had in travelling to six cities in Japan.,2017-07-14
1,270,3,It was a good size and all amenities were provided – including a little pack of toiletries and bedroom slippers for my child.,2017-07-14
1,270,4,The hotel is in a great location!,2017-07-14
1,270,5,"Conveniently located across the street from a lovely park (Shinjuku Chuo), if children are in need of a good run around.",2017-07-14
1,270,6,"Although the hotel is in Shinjuku, it is actually closer to the business district (‘Skyscraper City’) and away from the bright lights and craziness of the station area.",2017-07-14
1,270,7,"The hotel is also connected via subway to Nishi Shinjuku station, which is on the Maranouchi line, so you can avoid Shinjuku station if necessary and the Airport Limo bus will drop you right at the doorstep.",2017-07-14
1,270,8,"Also the Metropolitan Government Offices, which are right across the street, have a fantastic observatory with free entry offering wonderful views of Tokyo.",2017-07-14
1,270,9,Breakfast is excellent – the chefs at the egg station in particular are so impressive at multitasking and making fantastic omelettes.,2017-07-14
1,270,10,Great variety of Western and Japanese food – we would often skip lunch from being so full from breakfast.,2017-07-14
1,270,11,The concierge was also very helpful in forwarding our luggage to Kyoto and directing us to many conveniences around – including a laundromat and chemist.,2017-07-14
1,270,12,"A great stay and good base to explore Tokyo, especially if travelling with kids.",2017-07-14
1,270,13,"Although a business hotel, it suited our needs as a family perfectly.",2017-07-14
1,271,1,Location - 5/5 Extremely convenient.,2017-07-13
1,271,2,"With scheduled shuttle bus every 20 mins to the Shinjuku Station, the bus ride is around 3-5 minutes.",2017-07-13
1,271,3,15-20 mins walk from Shinjuku station which is quite pleasant at night.,2017-07-13
1,271,4,"Also located just across the road, a 4 minute walk will take you to a 24 hour supermart!",2017-07-13
1,271,5,The airport limousine stops directly at Hilton Tokyo.,2017-07-13
1,271,6,Landing in Haneda will take you roughly 1hour5mins to get there.,2017-07-13
1,271,7,Narita would be a 2 hour bus ride.,2017-07-13
1,271,8,Hotel and Staff - 5/5 The staff were extremely professional and proficient in English.,2017-07-13
1,271,9,The decor was classy and I love the layout of the room.,2017-07-13
1,271,10,"Simple, business looking and the king size bed would give you the ultimate night's rest.",2017-07-13
1,271,11,"Look no further, ill be back for sure!",2017-07-13
1,272,1,We stayed here for 3 nights in July and had a wonderful visit.,2017-07-13
1,272,2,The location is very close to Shinjuku station which made traveling around very easy!,2017-07-13
1,272,3,The hotel room and gym area were very nice and clean.,2017-07-13
1,272,4,"Luckily we were upgraded upon check in and were able to visit the Exec lounge for a free breakfast but if you do not have access here, like our traveling companions, breakfast can be quite expensive ($30 a person).",2017-07-13
1,272,5,This is mostly a business area so there aren't many options around to opt to for a quick breakfast either.,2017-07-13
1,272,6,Two other notes:,2017-07-13
1,272,7,-The cleaning lady came in and cleaned while we were still in the room...I'm not sure if this was a language issue but it was very awkward as we were still dressing and getting ready.,2017-07-13
1,272,8,-We asked the hotel for a recommendation to a nice steakhouse for a splurge dinner.,2017-07-13
1,272,9,"Unfortunately, the place they recommended did not speak any English which we found strange for a upscale restaurant.",2017-07-13
