p_val,List cutoff,Emotion,RBO_EXT,RBO_MIN,RBO_RES
0.9,None,Satisfaction,0.5753306551278967,0.5537504818720608,0.02010871836123066
0.9,None,Dissatisfaction,1.0,0.25584278811044947,0.7441572118895505
0.9,20,Satisfaction,0.955,0.6269889405522476,0.32801105944775266
0.9,20,Dissatisfaction,1.0,0.25584278811044947,0.7441572118895505
0.9,10,Satisfaction,0.955,0.5613711524417979,0.3936288475582021
0.9,10,Dissatisfaction,1.0,0.25584278811044947,0.7441572118895505
0.9,7,Satisfaction,1.0,0.25584278811044947,0.7441572118895505
0.9,7,Dissatisfaction,1.0,0.25584278811044947,0.7441572118895505
0.9,5,Satisfaction,1.0,0.25584278811044947,0.7441572118895505
0.9,5,Dissatisfaction,1.0,0.25584278811044947,0.7441572118895505
0.75,None,Satisfaction,0.3903442429256875,0.39018495803135755,0.0001322925514524087
0.75,None,Dissatisfaction,1.0,0.46209812037329684,0.5379018796267032
0.75,20,Satisfaction,0.90625,0.8153734143664844,0.09087658563351558
0.75,20,Dissatisfaction,1.0,0.46209812037329684,0.5379018796267032
0.75,10,Satisfaction,0.90625,0.7702674814931874,0.1359825185068126
0.75,10,Dissatisfaction,1.0,0.46209812037329684,0.5379018796267032
0.75,7,Satisfaction,1.0,0.46209812037329684,0.5379018796267032
0.75,7,Dissatisfaction,1.0,0.46209812037329684,0.5379018796267032
0.75,5,Satisfaction,1.0,0.46209812037329684,0.5379018796267032
0.75,5,Dissatisfaction,1.0,0.46209812037329684,0.5379018796267032
0.5,None,Satisfaction,0.2359591708212545,0.23595916411460394,4.437341409868624e-09
0.5,None,Dissatisfaction,1.0,0.6931471805599453,0.3068528194400547
0.5,20,Satisfaction,0.875,0.8667775694663931,0.008222430533606606
0.5,20,Dissatisfaction,1.0,0.6931471805599453,0.3068528194400547
0.5,10,Satisfaction,0.875,0.8559220555731144,0.019077944426885374
0.5,10,Dissatisfaction,1.0,0.6931471805599453,0.3068528194400547
0.5,7,Satisfaction,1.0,0.6931471805599453,0.3068528194400547
0.5,7,Dissatisfaction,1.0,0.6931471805599453,0.3068528194400547
0.5,5,Satisfaction,1.0,0.6931471805599453,0.3068528194400547
0.5,5,Dissatisfaction,1.0,0.6931471805599453,0.3068528194400547
0.25,None,Satisfaction,0.11761703006757429,0.11761703006756719,9.947598300641404e-16
0.25,None,Dissatisfaction,1.0,0.8630462173553427,0.13695378264465746
0.25,20,Satisfaction,0.90625,0.906051399276713,0.00019860072328686806
0.25,20,Dissatisfaction,1.0,0.8630462173553427,0.13695378264465746
0.25,10,Satisfaction,0.90625,0.9053098694213707,0.0009401305786296277
0.25,10,Dissatisfaction,1.0,0.8630462173553427,0.13695378264465746
0.25,7,Satisfaction,1.0,0.8630462173553427,0.13695378264465746
0.25,7,Dissatisfaction,1.0,0.8630462173553427,0.13695378264465746
0.25,5,Satisfaction,1.0,0.8630462173553427,0.13695378264465746
0.25,5,Dissatisfaction,1.0,0.8630462173553427,0.13695378264465746
