p_val,List cutoff,Emotion,RBO_EXT,RBO_MIN,RBO_RES
0.9,None,Satisfaction,0.18197614784313684,0.1816101779148091,0.001109331939691315
0.9,None,Dissatisfaction,0.10926659674353406,0.07388716443430564,0.23299105230039996
0.9,20,Satisfaction,0.18940581983131385,0.1773703813278755,0.06249176197307063
0.9,20,Dissatisfaction,0.10321498844105945,0.07388716443430564,0.26830927887283235
0.9,10,Satisfaction,0.12528424343571426,0.1108427881104495,0.24940722912188318
0.9,10,Dissatisfaction,0.09980321059685351,0.07388716443430564,0.3356377048687422
0.9,7,Satisfaction,0.14410864285714284,0.1108427881104495,0.37363188295269667
0.9,7,Dissatisfaction,0.11248480519480519,0.07312548071804766,0.43174910874788286
0.9,5,Satisfaction,0.17644500000000002,0.1108427881104495,0.48730697206812196
0.9,5,Dissatisfaction,0.1529604,0.07452692276484402,0.5334842853187832
0.75,None,Satisfaction,0.12658883418463737,0.12658880327647104,1.0017964730238809e-07
0.75,None,Dissatisfaction,0.07040659501624713,0.06326795411163877,0.04219304187619485
0.75,20,Satisfaction,0.12672504426975026,0.1265559261896172,0.0009587546481834679
0.75,20,Dissatisfaction,0.07007345709610416,0.06326795411163877,0.04379634850248608
0.75,10,Satisfaction,0.11976732526506698,0.11834812037329685,0.027713648917205277
0.75,10,Dissatisfaction,0.06835464505952582,0.06326795411163877,0.060264227046669006
0.75,7,Satisfaction,0.12437569754464285,0.11834812037329685,0.07939086733727188
0.75,7,Dissatisfaction,0.07172027191558442,0.06292156259269602,0.11437512617850754
0.75,5,Satisfaction,0.1365234375,0.11834812037329685,0.16147185861317076
0.75,5,Dissatisfaction,0.09128906249999999,0.0635316625540417,0.20170638049753997
0.5,None,Satisfaction,0.06822238548287644,0.06822238548287896,-1.3212850443083795e-16
0.5,None,Dissatisfaction,0.02384922006699216,0.023554028751135325,0.0016155694137161506
0.5,20,Satisfaction,0.06822241403448616,0.06822238481089027,1.6698548994037284e-07
0.5,20,Dissatisfaction,0.02384874812007965,0.023554028751135325,0.0016171798731167966
0.5,10,Satisfaction,0.06816251240079364,0.06814718055994529,0.00030646212834554987
0.5,10,Dissatisfaction,0.023794315821209586,0.023554028751135325,0.0019465835152917745
0.5,7,Satisfaction,0.06837797619047618,0.06814718055994529,0.0032156701852294953
0.5,7,Dissatisfaction,0.024034992784992784,0.023518290407802955,0.007185697212339585
0.5,5,Satisfaction,0.06979166666666667,0.06814718055994529,0.016111561999578347
0.5,5,Dissatisfaction,0.027916666666666663,0.023538234571803263,0.026823091365535706
0.25,None,Satisfaction,0.019296245755674207,0.01929624575567246,1.3837107933463561e-30
0.25,None,Dissatisfaction,0.003272590405856191,0.0032708006051281324,9.486325100523769e-06
0.25,20,Satisfaction,0.019296245755693824,0.019296245755676456,1.1213588656240533e-13
0.25,20,Dissatisfaction,0.003272590400761584,0.0032708006051281324,9.48634271770328e-06
0.25,10,Satisfaction,0.01929622831798735,0.019296217355342704,2.19252656119518e-07
0.25,10,Dissatisfaction,0.003272482798137722,0.0032708006051281324,9.966430548107724e-06
0.25,7,Satisfaction,0.019297572544642858,0.019296217355342704,1.8971290457612692e-05
0.25,7,Dissatisfaction,0.00327634604978355,0.00327020199722014,8.60070554430188e-05
0.25,5,Satisfaction,0.0193359375,0.019296217355342704,0.00039672131304463974
0.25,5,Dissatisfaction,0.0035199652777777777,0.0032633043158601382,0.001137954762721798
