p_val,List cutoff,Emotion,RBO_EXT,RBO_MIN,RBO_RES
0.9,None,Satisfaction,0.21727795094131497,0.21703541013858732,0.0007713280241310773
0.9,None,Dissatisfaction,0.0,0.0,0.19780249464568364
0.9,20,Satisfaction,0.21572736383849858,0.20713062205032878,0.06389305107285717
0.9,20,Dissatisfaction,0.0,0.0,0.22365483785848977
0.9,10,Satisfaction,0.2570550393857143,0.19928921808465513,0.22898955107088026
0.9,10,Dissatisfaction,0.0,0.0,0.31451570476075913
0.9,7,Satisfaction,0.14410864285714284,0.1108427881104495,0.37363188295269667
0.9,7,Dissatisfaction,0.0,0.0,0.41628617106314625
0.9,5,Satisfaction,0.17644500000000002,0.1108427881104495,0.48730697206812196
0.9,5,Dissatisfaction,0.0,0.0,0.5116075656428573
0.75,None,Satisfaction,0.14699099232584986,0.14699098056720078,4.000944751795398e-08
0.75,None,Dissatisfaction,0.0,0.0,0.029151490696819327
0.75,20,Satisfaction,0.14698313823667047,0.14686233960800354,0.0009623040121847001
0.75,20,Dissatisfaction,0.0,0.0,0.029771230583826705
0.75,10,Satisfaction,0.1520259312220982,0.1463491116550178,0.026573149325554934
0.75,10,Dissatisfaction,0.0,0.0,0.04813508279366034
0.75,7,Satisfaction,0.12437569754464285,0.11834812037329685,0.07939086733727188
0.75,7,Dissatisfaction,0.0,0.0,0.09878879239806879
0.75,5,Satisfaction,0.1365234375,0.11834812037329685,0.16147185861317076
0.75,5,Dissatisfaction,0.0,0.0,0.1675611223493304
0.5,None,Satisfaction,0.06961029230827286,0.06961029230826998,-4.0981823818622157e-16
0.5,None,Dissatisfaction,0.0,0.0,0.0007302936156756202
0.5,20,Satisfaction,0.06961030473411713,0.06961028386012069,1.6699044080735358e-07
0.5,20,Dissatisfaction,0.0,0.0,0.0007304678055553332
0.5,10,Satisfaction,0.06967075892857144,0.06960943156517807,0.0003050147469727557
0.5,10,Dissatisfaction,0.0,0.0,0.0010628229082590042
0.5,7,Satisfaction,0.06837797619047618,0.06814718055994529,0.0032156701852294953
0.5,7,Dissatisfaction,0.0,0.0,0.005217017411841631
0.5,5,Satisfaction,0.06979166666666667,0.06814718055994529,0.016111561999578347
0.5,5,Dissatisfaction,0.0,0.0,0.01629154265873016
0.25,None,Satisfaction,0.019305594067449146,0.019305594067446474,2.036427588879726e-32
0.25,None,Dissatisfaction,0.0,0.0,2.122206364884314e-06
0.25,20,Satisfaction,0.019305594067462403,0.019305594067447807,1.1213588440567446e-13
0.25,20,Dissatisfaction,0.0,0.0,2.1222066000452138e-06
0.25,10,Satisfaction,0.019305637904575894,0.019305594053997233,2.1923527255789444e-07
0.25,10,Dissatisfaction,0.0,0.0,2.602335725057475e-06
0.25,7,Satisfaction,0.019297572544642858,0.019296217355342704,1.8971290457612692e-05
0.25,7,Dissatisfaction,0.0,0.0,5.24933333004708e-05
0.25,5,Satisfaction,0.0193359375,0.019296217355342704,0.00039672131304463974
0.25,5,Dissatisfaction,0.0,0.0,0.000397091820126488
