Keywords,Alpha,C,kernel,Average_F1,StDv_F1,Average_Accuracy,StDv_Accuracy,Average_Precision,StDv_Precision,Average_Recall,StDv_Recall
Positive,1.25,1.0,linear,0.8413418031244119,0.05393785011314313,0.7666666666666667,0.07453559924999302,0.897020202020202,0.06277533983580548,0.7984265734265734,0.08802290819887522
Negative,1.25,1.0,linear,0.8831658615136877,0.06390822625449798,0.82,0.09451631252505219,0.8285347985347986,0.090744578274555,0.9527272727272728,0.06515081042606878
Positive,1.25,1.25,linear,0.8232324680150768,0.05103040263372366,0.7533333333333333,0.052068331172711056,0.8850757575757576,0.08575665741141343,0.774004884004884,0.05164585329819384
Negative,1.25,1.25,linear,0.8729720810590378,0.04525808944474464,0.8066666666666664,0.06289320754704406,0.8563086913086911,0.05473818028450332,0.8953574203574204,0.07265123726117743
Positive,1.25,1.5,linear,0.839249632137504,0.08441945420849702,0.7733333333333334,0.0997775303139718,0.8673931623931622,0.10266555701532955,0.8233877233877234,0.1064316579487128
Negative,1.25,1.5,linear,0.8820052700922266,0.048375640958758084,0.82,0.07333333333333336,0.8904079254079255,0.07990356814459253,0.8833566433566433,0.0803850099675561
Positive,1.25,1.75,linear,0.8161298701298701,0.15126423775593031,0.7666666666666667,0.14981470036162822,0.8671212121212122,0.12359039920988808,0.8044055944055944,0.20623752939032078
Negative,1.25,1.75,linear,0.8470938143981623,0.06128901217008259,0.7666666666666667,0.08027729719194866,0.7926540126540127,0.08626637650912196,0.916825396825397,0.06309379053944951
Positive,1.25,2.0,linear,0.7940930117279559,0.07829481128704933,0.72,0.09797958971132714,0.8862193362193362,0.1056658879963591,0.7268414918414918,0.0911983332711552
Negative,1.25,2.0,linear,0.9090733421168204,0.04512564621602712,0.86,0.06289320754704404,0.8662137862137861,0.0919600638139911,0.9663419913419913,0.0415292612652571
Positive,1.25,2.25,linear,0.7864147110199742,0.08350956630734092,0.7266666666666667,0.0813770374382247,0.8714646464646465,0.09367917690116141,0.7233119658119659,0.10676880049298754
Negative,1.25,2.25,linear,0.8560993354471617,0.07218064805898833,0.7866666666666666,0.10241527663824813,0.8081002331002332,0.13390590187717197,0.9283877233877235,0.05084997882727517
Positive,1.25,2.5,linear,0.8469869007168779,0.06579196703192842,0.8,0.0843274042711568,0.9488888888888891,0.06798692684790379,0.7764063714063715,0.1120498351669238
Negative,1.25,2.5,linear,0.9033077870315722,0.08331747800154153,0.8533333333333333,0.11469767022723502,0.8754245754245755,0.12011822840028553,0.9428571428571428,0.07871159535376152
Positive,1.25,2.75,linear,0.8394478523674916,0.05229993434841639,0.78,0.06699917080747263,0.9244988344988345,0.07179949707096354,0.7793006993006993,0.09256624511258948
Negative,1.25,2.75,linear,0.8259762551776955,0.13107634977925323,0.7666666666666666,0.14063348739819326,0.8283327783327783,0.11050291145710674,0.835534188034188,0.17374730489650492
Positive,1.25,3.0,linear,0.8069466446865828,0.06732497814930821,0.7533333333333332,0.08459051693633017,0.9044444444444446,0.09100942835433433,0.7371445221445221,0.09320553045300559
Negative,1.25,3.0,linear,0.8521214650502575,0.05395973441555483,0.7866666666666666,0.06531972647421812,0.8055821955821955,0.09371712896275759,0.9183333333333333,0.07868714422741915
Positive,1.25,3.25,linear,0.8148704503644604,0.08220892810572088,0.7466666666666666,0.10241527663824813,0.8727597402597403,0.07054334795636764,0.7806177156177155,0.13442214771840075
Negative,1.25,3.25,linear,0.8610142417968506,0.06726164810496367,0.8,0.0894427190999916,0.8391841491841492,0.10234854706205944,0.8948989898989901,0.08277050522406783
Positive,1.5,1.0,linear,0.8085349737981318,0.034833461370575795,0.7400000000000001,0.05537749241945387,0.8183333333333331,0.07080010113684622,0.8074281274281276,0.0644101701017741
Negative,1.5,1.0,linear,0.9127066062928133,0.07158116575315364,0.8600000000000001,0.10519822558706333,0.8828021978021979,0.0971317946424581,0.9502380952380953,0.06905952278342814
Positive,1.5,1.25,linear,0.8683661355171652,0.054184960027907805,0.82,0.06000000000000002,0.8798076923076923,0.09181637855062252,0.8678379953379954,0.07826663783112589
Negative,1.5,1.25,linear,0.8534762054624755,0.09279888555091978,0.7866666666666666,0.11075498483890768,0.8225363525363525,0.10240840055075863,0.8938578088578091,0.10466576911115456
Positive,1.5,1.5,linear,0.8123920630453139,0.0662458289420289,0.7733333333333333,0.06798692684790382,0.8224567099567098,0.07882701518947734,0.8187640137640138,0.11872384850155226
Negative,1.5,1.5,linear,0.8426997698462231,0.08740943439227795,0.78,0.11944315244779281,0.7743556443556444,0.1344204213099831,0.939403651903652,0.0652473715957482
Positive,1.5,1.75,linear,0.8419022381127645,0.07448070636164494,0.7933333333333333,0.06289320754704406,0.8831168831168832,0.10675297465408773,0.8218542568542568,0.11933766516430566
Negative,1.5,1.75,linear,0.8387639751552796,0.04981038769944229,0.7533333333333334,0.07333333333333338,0.763020313020313,0.09196486540807026,0.9468181818181819,0.07035411545222636
Positive,1.5,2.0,linear,0.8223322194374827,0.09684996870436521,0.76,0.13063945294843618,0.8753571428571428,0.06765342342918118,0.7881313131313131,0.15220989708335492
Negative,1.5,2.0,linear,0.8527461678926208,0.07530842958700802,0.78,0.0991071249821234,0.7960805860805861,0.13472603162439487,0.9394047619047619,0.06979572152907493
Positive,1.5,2.25,linear,0.8834198699850875,0.03509400373043089,0.8266666666666668,0.044221663871405345,0.9174087024087024,0.04984505844252008,0.8561821511821511,0.06158100080484851
Negative,1.5,2.25,linear,0.8964809972636061,0.054114239261658294,0.8333333333333336,0.08563488385776753,0.8456959706959706,0.06676477354399654,0.9567016317016318,0.05952850685539943
Positive,1.5,2.5,linear,0.8147867616746334,0.08420550635260232,0.7533333333333332,0.10349449797506685,0.9044011544011544,0.07693816577214319,0.7587379287379287,0.1381656949806266
Negative,1.5,2.5,linear,0.8894040723998904,0.04863140630947902,0.8333333333333334,0.06831300510639733,0.8631052281052283,0.07266560090228631,0.927878787878788,0.08905740454307308
Positive,1.5,2.75,linear,0.8425459632573646,0.05908683570427148,0.78,0.08459051693633016,0.9214141414141415,0.09501051123522629,0.7879895104895105,0.09260118531760825
Negative,1.5,2.75,linear,0.8786490953657371,0.05866821719078833,0.8133333333333332,0.08326663997864532,0.8336130536130536,0.09705644317926812,0.9382828282828284,0.05592065523279512
