Keywords,Alpha,C,kernel,Average_F1,StDv_F1,Average_Accuracy,StDv_Accuracy,Average_Precision,StDv_Precision,Average_Recall,StDv_Recall
Positive,1.25,0.5,linear,0.7853205471912086,0.0631170597872039,0.6580645161290322,0.083123217591775,0.6774061714662382,0.08236404363888719,0.9418063340168604,0.05278621698564126
Negative,1.25,0.5,linear,0.8519414713253722,0.05237605004429005,0.761290322580645,0.07795513531351336,0.774896551724138,0.09808593868348173,0.9587662337662337,0.04575042845145074
Positive,1.25,0.75,linear,0.8214888631037699,0.05175738434088413,0.735483870967742,0.07468281872767887,0.7978464751140913,0.11039076382949886,0.8753378505552419,0.11302495514317187
Negative,1.25,0.75,linear,0.858960631060935,0.032932548233631634,0.7806451612903226,0.04740947889257763,0.7814814814814814,0.03148889317298711,0.9540749105966497,0.041664247453209194
Positive,1.25,1.0,linear,0.8290158346636753,0.038180648904891167,0.7548387096774194,0.05624385733600868,0.8397308488612836,0.06365927362489812,0.8224374176548089,0.0436557959570326
Negative,1.25,1.0,linear,0.8140563838677046,0.04625773340929712,0.7161290322580645,0.05549887269059758,0.7136324786324787,0.05398442428701185,0.9488801054018445,0.03555940246269835
Positive,1.25,1.25,linear,0.8400024740227611,0.051745312090184355,0.7741935483870968,0.06766508697871945,0.9103598918244227,0.04057578302806803,0.7812380952380952,0.0660430698471076
Negative,1.25,1.25,linear,0.8466840353162542,0.041585321080826326,0.7612903225806452,0.06642342026443228,0.8215557431074672,0.06748126565679932,0.883055900621118,0.07578592932391023
Positive,1.25,1.5,linear,0.8057725607725608,0.047117262423003875,0.7354838709677419,0.05913000896717212,0.8880034324942793,0.04671658341016612,0.741794089968003,0.07251602763224883
Negative,1.25,1.5,linear,0.86097745633665,0.034741690956063165,0.7806451612903226,0.05161290322580646,0.8146194546194545,0.046452747852972154,0.9189230769230768,0.07006607194548457
Positive,1.25,1.75,linear,0.8444585837162719,0.018420441614906705,0.7806451612903226,0.03160631926171844,0.9241558441558443,0.05521145661736734,0.784,0.06386269994640412
Negative,1.25,1.75,linear,0.8696000919023176,0.027438717735429233,0.8,0.03761904448287292,0.8202279202279202,0.061219761429252804,0.9317225672877847,0.04316529060694903
Positive,1.25,2.0,linear,0.8442236827322773,0.06267629436588205,0.7806451612903225,0.08006241061929587,0.8860297482837527,0.06807509561371451,0.809120082815735,0.077881531057232
Negative,1.25,2.0,linear,0.9003212669683258,0.04691434574077628,0.8387096774193548,0.07633651333031762,0.8455995115995115,0.07128882799773846,0.9666086956521738,0.04095495243001051
Positive,1.25,2.25,linear,0.8310549736945978,0.036298354834527265,0.7741935483870968,0.028852490032255325,0.9075983436853002,0.06250419872817918,0.7787316017316017,0.09322780700413702
Negative,1.25,2.25,linear,0.8722399768418005,0.04014328406449295,0.8,0.06255070783763005,0.8657239057239057,0.07444314544899906,0.8865911286780852,0.06106211602813415
