emotion,keyword,hard,soft,undefined
positive,不错,0.5,0.25,0.25
positive,大,1,0,0
positive,干净,0.25,0.75,0
positive,早餐,0,1,0
positive,交通,1,0,0
positive,棒,0.25,0.5,0.25
positive,近,1,0,0
positive,购物,1,0,0
positive,环境,1,0,0
positive,地铁,1,0,0
positive,卫生,0,1,0
positive,新,0.5,0.25,0.25
positive,推荐,0,0,1
positive,选择,0,0,1
positive,地铁站,1,0,0
positive,远,1,0,0
positive,附近,1,0,0
positive,周边,1,0,0
positive,赞,0,0,1
negative,价格,0,1,0
negative,一般,0.5,0.5,0
negative,中文,0,1,0
negative,距离,1,0,0
negative,地理,1,0,0
negative,陈旧,1,0,0
negative,老,0.75,0.25,0
negative,华人,0,1,0
