0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
不错 (Not bad) : 13808,不错 (Not bad) : 749,不错 (Not bad) : 5056,不错 (Not bad) : 4109,不错 (Not bad) : 853,住 (live) : 3426,一流 (First class) : 0
住 (live) : 12528,可以 (can) : 575,住 (live) : 3898,住 (live) : 3966,可以 (can) : 795,不错 (Not bad) : 3041,一流 位置 (First-class location) : 0
大 (Big) : 10855,大 (Big) : 514,大 (Big) : 3628,大 (Big) : 3163,住 (live) : 784,大 (Big) : 2766,一流 保洁 (First-class cleaning) : 0
可以 (can) : 9551,干净 (clean) : 456,干净 (clean) : 3252,可以 (can) : 2793,大 (Big) : 784,可以 (can) : 2139,一流 卫生 (First-class hygiene) : 0
干净 (clean) : 7136,住 (live) : 454,可以 (can) : 3249,交通 (traffic) : 2681,早餐 (breakfast) : 784,新 (new) : 1711,一流 品质 (First-class quality) : 0
交通 (traffic) : 6966,近 (near) : 412,近 (near) : 2619,干净 (clean) : 2263,多 (many) : 541,多 (many) : 1428,一流 地段 (First class location) : 0
日本 (Japan) : 6510,日本 (Japan) : 277,日本 (Japan) : 2545,日本 (Japan) : 2000,吃 (eat) : 459,交通 (traffic) : 1371,一流 夜景 (First-class night view) : 0
早餐 (breakfast) : 6489,多 (many) : 259,交通 (traffic) : 2379,购物 (shopping) : 1914,棒 (Great) : 444,日本 (Japan) : 1328,一流 态度 (First-class attitude) : 0
多 (many) : 6094,交通 (traffic) : 255,早餐 (breakfast) : 2303,地铁 (subway) : 1881,日本 (Japan) : 360,早餐 (breakfast) : 1317,一流 性价比 (First-class value for money) : 0
近 (near) : 5743,远 (far) : 237,多 (many) : 1987,多 (many) : 1879,周边 (Surrounding) : 288,新 宿 (Shinjuku) : 1192,一流 房间 (First class room) : 0
地铁 (subway) : 5018,早餐 (breakfast) : 235,地铁 (subway) : 1885,早餐 (breakfast) : 1850,大 房间 (Big room) : 284,棒 (Great) : 1138,一流 方面 (First-class aspect) : 0
购物 (shopping) : 4518,能 (can) : 221,附近 (nearby) : 1491,地理 (geography) : 1572,交通 (traffic) : 280,环境 (surroundings) : 1110,一流 早餐 (Superb breakfast) : 0
地理 (geography) : 4131,算 (Calculate) : 217,地理 (geography) : 1465,近 (near) : 1469,干净 (clean) : 272,购物 (shopping) : 1080,一流 景 (First-class view) : 0
能 (can) : 3740,距离 (distance) : 203,能 (can) : 1335,地铁站 (subway station) : 1213,环境 (surroundings) : 262,大 房间 (Big room) : 1014,一流 景色 (First-class scenery) : 0
环境 (surroundings) : 3522,价格 (price) : 198,算 (Calculate) : 1315,能 (can) : 1174,能 (can) : 262,近 (near) : 996,一流 景观 (First-class landscape) : 0
推荐 (recommend) : 3462,附近 (nearby) : 196,地铁站 (subway station) : 1288,推荐 (recommend) : 1108,赞 (awesome) : 255,选择 (select) : 954,一流 服务 (First-class service) : 0
附近 (nearby) : 3444,地铁 (subway) : 189,购物 (shopping) : 1203,周边 (Surrounding) : 1082,选择 (select) : 252,地铁 (subway) : 923,一流 水准 (First-class level) : 0
地铁站 (subway station) : 3433,推荐 (recommend) : 181,周边 (Surrounding) : 1190,便利 (convenient) : 1080,近 (near) : 247,干净 (clean) : 893,一流 水平 (First-class level) : 0
吃 (eat) : 3431,卫生 (health) : 170,价格 (price) : 1184,选择 (select) : 1055,推荐 (recommend) : 239,推荐 (recommend) : 774,一流 海景 (Superb sea view) : 0
大 房间 (Big room) : 3429,地理 (geography) : 168,推荐 (recommend) : 1160,吃 (eat) : 1024,购物 (shopping) : 222,地理 (geography) : 762,一流 环境 (First-class environment) : 0
周边 (Surrounding) : 3421,地铁站 (subway station) : 168,卫生 (health) : 1153,附近 (nearby) : 986,说 (Say) : 211,能 (can) : 748,一流 硬件 (First-class hardware) : 0
新 (new) : 3329,大 房间 (Big room) : 165,距离 (distance) : 1153,环境 (surroundings) : 973,附近 (nearby) : 206,说 (Say) : 714,一流 设施 (First-class facilities) : 0
算 (Calculate) : 3320,吃 (eat) : 149,吃 (eat) : 1146,算 (Calculate) : 969,算 (Calculate) : 188,周边 (Surrounding) : 713,一流 设计 (First-class design) : 0
选择 (select) : 3252,周边 (Surrounding) : 148,环境 (surroundings) : 1055,出行 (Travel) : 943,里 (in) : 186,地铁站 (subway station) : 682,一流 质量 (Top quality) : 0
棒 (Great) : 3125,坐 (sit) : 147,大 房间 (Big room) : 1030,大 房间 (Big room) : 936,价格 (price) : 184,吃 (eat) : 653,一流 软件 (First-class software) : 0
价格 (price) : 3028,地方 (local) : 130,便利 (convenient) : 978,价格 (price) : 878,舒服 (Comfortable) : 172,赞 (awesome) : 651,一流 那 (First class that) : 0
便利 (convenient) : 2847,环境 (surroundings) : 122,远 (far) : 952,说 (Say) : 863,坐 (sit) : 170,算 (Calculate) : 631,一流 酒店 (First class hotel) : 0
说 (Say) : 2812,说 (Say) : 121,一般 (general) : 913,棒 (Great) : 832,地方 (local) : 167,价格 (price) : 584,一流 风景 (First-class scenery) : 0
卫生 (health) : 2564,不错 位置 (Good location) : 120,说 (Say) : 903,卫生 (health) : 819,地理 (geography) : 164,便利 (convenient) : 572,一般 (general) : 0
出行 (Travel) : 2555,里 (in) : 117,选择 (select) : 893,地方 (local) : 775,远 (far) : 163,出行 (Travel) : 567,一般 一般 (General general) : 0
距离 (distance) : 2504,一般 (general) : 115,坐 (sit) : 871,过 (Pass) : 748,好吃 (good to eat) : 158,附近 (nearby) : 565,一般 不足 (Generally insufficient) : 0
地方 (local) : 2431,看到 (see) : 110,地方 (local) : 866,坐 (sit) : 741,一般 (general) : 155,里 (in) : 496,一般 东 (General east) : 0
坐 (sit) : 2412,不 大 (Not big) : 108,出行 (Travel) : 855,中文 (Chinese) : 682,看到 (see) : 152,地方 (local) : 493,一般 东西 (General stuff) : 0
里 (in) : 2234,便利 (convenient) : 104,里 (in) : 851,新 (new) : 670,距离 (distance) : 150,订 (Order) : 490,一般 交通 (General traffic) : 0
远 (far) : 2226,不 远 (Not far) : 103,新 (new) : 752,订 (Order) : 669,订 (Order) : 147,人员 (personnel) : 483,一般 人 (normal person) : 0
一般 (general) : 2187,购物 (shopping) : 99,订 (Order) : 729,便利 交通 (Convenient transportation) : 662,日式 (Japanese-style) : 142,坐 (sit) : 483,一般 价格 (General price) : 0
订 (Order) : 2133,人员 (personnel) : 98,过 (Pass) : 723,里 (in) : 584,地铁 (subway) : 140,舒服 (Comfortable) : 463,一般 位置 (General location) : 0
过 (Pass) : 2084,订 (Order) : 98,舒服 (Comfortable) : 700,一般 (general) : 559,新 (new) : 139,距离 (distance) : 460,一般 住宿 (General accommodation) : 0
赞 (awesome) : 1941,选择 (select) : 98,不错 位置 (Good location) : 679,距离 (distance) : 538,过 (Pass) : 115,远 (far) : 459,一般 其它 (General other) : 0
舒服 (Comfortable) : 1901,热情 (enthusiasm) : 96,人员 (personnel) : 640,赞 (awesome) : 506,景色 (view) : 114,一般 (general) : 445,一般 卫生 (General hygiene) : 0
人员 (personnel) : 1816,舒服 (Comfortable) : 96,棒 (Great) : 632,看到 (see) : 504,便利 (convenient) : 113,银座 (Ginza) : 444,一般 印象 (General impression) : 0
便利 交通 (Convenient transportation) : 1715,过 (Pass) : 95,不 大 (Not big) : 624,人员 (personnel) : 495,风景 (landscape) : 106,不错 酒店 (Nice hotel) : 427,一般 口味 (General taste) : 0
新 宿 (Shinjuku) : 1698,出行 (Travel) : 93,干净 房间 (Clean room) : 574,不 大 (Not big) : 494,人员 (personnel) : 100,看到 (see) : 403,一般 口感 (General taste) : 0
看到 (see) : 1682,总体 (overall) : 82,总体 (overall) : 573,舒服 (Comfortable) : 470,需要 (need) : 100,过 (Pass) : 403,一般 周围 (General vicinity) : 0
不错 位置 (Good location) : 1585,棒 (Great) : 79,便利 交通 (Convenient transportation) : 569,不错 位置 (Good location) : 461,不错 酒店 (Nice hotel) : 99,景色 (view) : 398,一般 味道 (General taste) : 0
中文 (Chinese) : 1582,干净 房间 (Clean room) : 69,热情 (enthusiasm) : 566,不错 酒店 (Nice hotel) : 450,出行 (Travel) : 97,便利 交通 (Convenient transportation) : 351,一般 品牌 (General brand) : 0
不错 酒店 (Nice hotel) : 1514,不错 服务 (Good service) : 68,看到 (see) : 513,干净 房间 (Clean room) : 425,时候 (time) : 97,卫生 (health) : 345,一般 品种 (General variety) : 0
热情 (enthusiasm) : 1449,赞 (awesome) : 67,不错 酒店 (Nice hotel) : 478,远 (far) : 415,热情 (enthusiasm) : 89,风景 (landscape) : 341,一般 品质 (General quality) : 0
不 大 (Not big) : 1433,需要 (need) : 67,中文 (Chinese) : 471,日式 (Japanese-style) : 385,漂亮 (Pretty) : 83,中文 (Chinese) : 334,一般 地方 (General place) : 0
总体 (overall) : 1385,时候 (time) : 61,不 远 (Not far) : 469,总体 (overall) : 384,地铁站 (subway station) : 82,热情 (enthusiasm) : 333,一般 地段 (General location) : 0
干净 房间 (Clean room) : 1267,不错 酒店 (Nice hotel) : 60,赞 (awesome) : 462,时候 (time) : 367,总体 (overall) : 78,一流 (First class) : 327,一般 地点 (General location) : 0
时候 (time) : 1244,便利 交通 (Convenient transportation) : 60,好吃 (good to eat) : 437,需要 (need) : 366,卫生 (health) : 77,需要 (need) : 314,一般 大厅 (General lobby) : 0
需要 (need) : 1236,新 (new) : 57,时候 (time) : 412,热情 (enthusiasm) : 365,不 远 (Not far) : 74,时候 (time) : 307,一般 大小 (General size) : 0
好吃 (good to eat) : 1197,好吃 (good to eat) : 56,问题 (problem) : 393,银座 (Ginza) : 354,棒 酒店 (Great hotel) : 74,日式 (Japanese-style) : 275,一般 好 (Fair good) : 0
日式 (Japanese-style) : 1155,不 算 (Not count) : 54,需要 (need) : 389,好吃 (good to eat) : 345,便利 交通 (Convenient transportation) : 73,总体 (overall) : 268,一般 宵夜 (Average supper) : 0
不 远 (Not far) : 998,问题 (problem) : 53,干净 酒店 (Clean hotel) : 386,不错 服务 (Good service) : 317,不 大 (Not big) : 69,不错 位置 (Good location) : 257,一般 宾馆 (General Hotel) : 0
问题 (problem) : 985,近 酒店 (Near hotel) : 52,不 算 (Not count) : 363,新 宿 (Shinjuku) : 316,不错 位置 (Good location) : 68,不错 服务 (Good service) : 238,一般 小 (Average small) : 0
不错 服务 (Good service) : 948,干净 卫生 (Clean and hygienic) : 51,大 床 (big bed) : 340,问题 (problem) : 292,不 算 (Not count) : 67,棒 酒店 (Great hotel) : 220,一般 希尔顿 (General Hilton) : 0
银座 (Ginza) : 923,干净 酒店 (Clean hotel) : 48,日式 (Japanese-style) : 325,大 床 (big bed) : 281,边 (side) : 66,漂亮 (Pretty) : 209,一般 床 (Average bed) : 0
不 算 (Not count) : 920,大 床 (big bed) : 43,不错 服务 (Good service) : 294,不 算 (Not count) : 270,多 人 (Multiple people) : 63,好吃 (good to eat) : 201,一般 态度 (General attitude) : 0
大 床 (big bed) : 859,不错 环境 (Good environment) : 38,不错 早餐 (Good breakfast) : 269,干净 酒店 (Clean hotel) : 251,一流 (First class) : 61,问题 (problem) : 198,一般 性价比 (Average value for money) : 0
干净 酒店 (Clean hotel) : 781,中文 (Chinese) : 37,不错 环境 (Good environment) : 266,不错 早餐 (Good breakfast) : 245,中文 (Chinese) : 58,老 (old) : 195,一般 总体 (General overall) : 0
不错 环境 (Good environment) : 761,不错 早餐 (Good breakfast) : 35,近 酒店 (Near hotel) : 251,不错 环境 (Good environment) : 225,棒 早餐 (Great breakfast) : 57,不错 环境 (Good environment) : 190,一般 情况 (generally) : 0
景色 (view) : 723,老 (old) : 34,见 (see) : 222,不 远 (Not far) : 199,美食 (Gourmet) : 49,不 算 (Not count) : 166,一般 感觉 (General feeling) : 0
风景 (landscape) : 713,陈旧 (obsolete) : 33,干净 卫生 (Clean and hygienic) : 212,真心 (sincere) : 185,问题 (problem) : 49,大 床 (big bed) : 162,一般 房间 (Average room) : 0
不错 早餐 (Good breakfast) : 696,日式 (Japanese-style) : 28,不 多 (not much) : 202,一流 (First class) : 173,新 设施 (New facility) : 46,干净 房间 (Clean room) : 157,一般 效果 (General effect) : 0
一流 (First class) : 652,远 点 (Further) : 27,陈旧 (obsolete) : 201,美食 (Gourmet) : 168,不错 环境 (Good environment) : 42,真心 (sincere) : 155,一般 方面 (General aspect) : 0
老 (old) : 603,真心 (sincere) : 26,边 (side) : 191,老 (old) : 155,干净 房间 (Clean room) : 42,不 远 (Not far) : 153,一般 旅馆 (General Hotel) : 0
真心 (sincere) : 580,不错 性价比 (Good value for money) : 24,老 (old) : 183,多 人 (Multiple people) : 146,客房 (Room) : 40,五星级 (Five star) : 143,一般 日本 (General Japan) : 0
漂亮 (Pretty) : 526,见 (see) : 23,新 宿 (Shinjuku) : 178,大 酒店 (big hotel) : 142,真心 (sincere) : 40,多 人 (Multiple people) : 141,一般 早晨 (Average morning) : 0
不 多 (not much) : 513,大 酒店 (big hotel) : 22,真心 (sincere) : 174,陈旧 (obsolete) : 139,饭 (rice) : 40,不 大 (Not big) : 138,一般 早餐 (Average breakfast) : 0
近 酒店 (Near hotel) : 495,景色 (view) : 22,新 设施 (New facility) : 148,不 多 (not much) : 131,不错 早餐 (Good breakfast) : 39,客房 (Room) : 134,一般 早饭 (Average breakfast) : 0
陈旧 (obsolete) : 491,不错 房间 (Nice room) : 21,风景 (landscape) : 127,干净 卫生 (Clean and hygienic) : 131,老 (old) : 36,不 多 (not much) : 126,一般 晚餐 (Average dinner) : 0
干净 卫生 (Clean and hygienic) : 479,不 多 (not much) : 19,不错 性价比 (Good value for money) : 126,边 (side) : 122,不 多 (not much) : 35,大 酒店 (big hotel) : 123,一般 景色 (General scenery) : 0
棒 酒店 (Great hotel) : 472,热情 人员 (Enthusiastic people) : 19,不错 设施 (Good facilities) : 126,风景 (landscape) : 122,大 床 (big bed) : 33,新 酒店 (New hotel) : 120,一般 景观 (General landscape) : 0
边 (side) : 471,陈旧 设施 (Obsolete facilities) : 17,大 超市 (big supermarket) : 121,景色 (view) : 118,见 (see) : 33,不错 设施 (Good facilities) : 114,一般 服务 (General service) : 0
多 人 (Multiple people) : 451,风景 (landscape) : 17,美食 (Gourmet) : 120,近 酒店 (Near hotel) : 117,银座 (Ginza) : 33,不错 早餐 (Good breakfast) : 108,一般 条件 (General condition) : 0
美食 (Gourmet) : 444,新 设施 (New facility) : 16,陈旧 设施 (Obsolete facilities) : 116,新 干线 (Shinkansen) : 115,不错 温泉 (Nice spa) : 32,五星级 酒店 (five star hotel) : 104,一般 比较 (General comparison) : 0
见 (see) : 425,不 舒服 (Uncomfortable) : 15,不错 房间 (Nice room) : 113,不错 设施 (Good facilities) : 113,新 酒店 (New hotel) : 32,一流 服务 (First-class service) : 101,一般 水准 (Average level) : 0
大 酒店 (big hotel) : 415,客房 (Room) : 15,大 酒店 (big hotel) : 113,棒 酒店 (Great hotel) : 111,不错 服务 (Good service) : 31,新 设施 (New facility) : 98,一般 水平 (The general level) : 0
新 设施 (New facility) : 405,漂亮 (Pretty) : 15,漂亮 (Pretty) : 109,漂亮 (Pretty) : 110,棒 温泉 (Great hot spring) : 31,美食 (Gourmet) : 98,一般 水质 (General water quality) : 0
不错 设施 (Good facilities) : 389,边 (side) : 15,多 地方 (Many places) : 103,客房 (Room) : 103,超级 棒 (Excellent) : 29,陈旧 (obsolete) : 91,一般 沙滩 (Average beach) : 0
客房 (Room) : 384,多 地方 (Many places) : 14,大 空间 (big space) : 100,多 地方 (Many places) : 101,干净 酒店 (Clean hotel) : 27,大 江户 (Great Edo) : 90,一般 海水 (General sea water) : 0
不错 房间 (Nice room) : 316,热情 服务员 (Enthusiastic waiter) : 14,不 舒服 (Uncomfortable) : 92,棒 位置 (Great position) : 100,陈旧 (obsolete) : 27,超级 棒 (Excellent) : 87,一般 温泉 (General hot spring) : 0
多 地方 (Many places) : 298,不 住 (Not live) : 13,客房 (Room) : 92,大 超市 (big supermarket) : 99,不错 设施 (Good facilities) : 26,大 面积 (large area) : 81,一般 状况 (General condition) : 0
新 酒店 (New hotel) : 278,不错 味道 (Good taste) : 13,不错 选择 (Good choice) : 90,新 设施 (New facility) : 97,欣赏 (enjoy) : 26,不错 房间 (Nice room) : 79,一般 环境 (General environment) : 0
陈旧 设施 (Obsolete facilities) : 272,便利 位置 (Convenient location) : 13,多 人 (Multiple people) : 90,近 桥 (Near bridge) : 94,窗 (window) : 26,边 (side) : 77,一般 用品 (General supplies) : 0
不错 性价比 (Good value for money) : 259,大 面积 (large area) : 13,舒服 床 (Comfortable bed) : 88,不错 房间 (Nice room) : 83,日式 早餐 (Japanese breakfast) : 25,干净 卫生 (Clean and hygienic) : 74,一般 真心 (So honest) : 0
大 面积 (large area) : 254,近 山 (Near mountain) : 13,热情 服务 (Warm service) : 87,不错 卫生 (Good health) : 82,烤肉 (Barbecue) : 25,见 (see) : 73,一般 硬件 (General hardware) : 0
新 干线 (Shinkansen) : 251,一般 设施 (General facilities) : 12,银座 (Ginza) : 87,不错 选择 (Good choice) : 79,不错 景色 (Nice view) : 23,干净 酒店 (Clean hotel) : 69,一般 种类 (General type) : 0
大 超市 (big supermarket) : 241,大 空间 (big space) : 12,一般 设施 (General facilities) : 84,不错 性价比 (Good value for money) : 77,不错 味道 (Good taste) : 21,大 商场 (Big market) : 64,一般 程度 (Average) : 0
大 空间 (big space) : 235,老 设施 (Old facility) : 12,不错 味道 (Good taste) : 84,陈旧 设施 (Obsolete facilities) : 75,不错 房间 (Nice room) : 20,新 装修 (New decoration) : 64,一般 空气 (General air) : 0
五星级 (Five star) : 226,舒服 床 (Comfortable bed) : 12,新 干线 (Shinkansen) : 84,一流 服务 (First-class service) : 74,不 吃 (Don't eat) : 19,多 地方 (Many places) : 61,一般 空间 (General space) : 0
不 舒服 (Uncomfortable) : 225,不 干净 (Not clean) : 11,新 酒店 (New hotel) : 84,见 (see) : 74,多 品种 (multi breed) : 19,棒 服务 (Great service) : 61,一般 缺点 (General disadvantages) : 0
不错 选择 (Good choice) : 224,不 推荐 (Not recommended) : 11,一流 (First class) : 83,好吃 早餐 (Delicious breakfast) : 69,多 地方 (Many places) : 19,花园 (garden) : 57,一般 网速 (General Internet speed) : 0
棒 位置 (Great position) : 224,不错 总体 (Good overall) : 11,热情 人员 (Enthusiastic people) : 83,多 吃 (Eat more) : 67,大 空间 (big space) : 19,近 酒店 (Near hotel) : 57,一般 自助餐 (Average buffet) : 0
热情 服务 (Warm service) : 212,多 人 (Multiple people) : 11,不错 卫生 (Good health) : 82,日式 早餐 (Japanese breakfast) : 64,大 面积 (large area) : 19,不 舒服 (Uncomfortable) : 55,一般 英文 (General English) : 0
一流 服务 (First-class service) : 211,大 商场 (Big market) : 11,大 面积 (large area) : 79,大 空间 (big space) : 62,陈旧 设施 (Obsolete facilities) : 19,舒服 床 (Comfortable bed) : 52,一般 英语 (General English) : 0
舒服 床 (Comfortable bed) : 211,远 酒店 (Far hotel) : 11,多 品种 (multi breed) : 76,大 面积 (large area) : 62,五星级 (Five star) : 18,欣赏 (enjoy) : 49,一般 装修 (General decoration) : 0
超级 棒 (Excellent) : 206,饭 (rice) : 11,一般 酒店 (Average hotel) : 75,热情 服务 (Warm service) : 62,近 酒店 (Near hotel) : 18,棒 位置 (Great position) : 47,一般 设备 (General equipment) : 0
不错 味道 (Good taste) : 202,不错 设施 (Good facilities) : 10,不 推荐 (Not recommended) : 75,饭 (rice) : 60,不错 风景 (Nice scenery) : 17,一般 早餐 (Average breakfast) : 46,一般 设施 (General facilities) : 0
饭 (rice) : 198,多 行李 (Much luggage) : 10,便利 位置 (Convenient location) : 72,不错 总体 (Good overall) : 59,好吃 早餐 (Delicious breakfast) : 17,日式 早餐 (Japanese breakfast) : 46,一般 话 (General) : 0
