0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
不错 (Not bad) : 12892,不错 (Not bad) : 695,不错 (Not bad) : 4722,不错 (Not bad) : 3831,不错 (Not bad) : 793,住 (live) : 3036,一流 (First class) : 0
住 (live) : 11028,可以 (can) : 540,住 (live) : 3433,住 (live) : 3484,可以 (can) : 735,不错 (Not bad) : 2851,一流 位置 (First-class location) : 0
大 (Big) : 9844,大 (Big) : 465,大 (Big) : 3269,大 (Big) : 2851,大 (Big) : 715,大 (Big) : 2544,一流 保洁 (First-class cleaning) : 0
可以 (can) : 8761,干净 (clean) : 419,干净 (clean) : 3024,交通 (traffic) : 2536,早餐 (breakfast) : 703,可以 (can) : 1973,一流 卫生 (First-class hygiene) : 0
干净 (clean) : 6665,住 (live) : 386,可以 (can) : 2977,可以 (can) : 2536,住 (live) : 689,新 (new) : 1445,一流 品质 (First-class quality) : 0
交通 (traffic) : 6560,近 (near) : 361,近 (near) : 2351,干净 (clean) : 2127,棒 (Great) : 438,交通 (traffic) : 1293,一流 地段 (First class location) : 0
日本 (Japan) : 5719,日本 (Japan) : 240,日本 (Japan) : 2244,日本 (Japan) : 1748,吃 (eat) : 372,日本 (Japan) : 1167,一流 夜景 (First-class night view) : 0
早餐 (breakfast) : 5605,交通 (traffic) : 235,交通 (traffic) : 2233,购物 (shopping) : 1712,日本 (Japan) : 320,早餐 (breakfast) : 1135,一流 态度 (First-class attitude) : 0
近 (near) : 5181,远 (far) : 204,早餐 (breakfast) : 1956,早餐 (breakfast) : 1608,大 房间 (Big room) : 264,棒 (Great) : 1103,一流 性价比 (First-class value for money) : 0
地铁 (subway) : 4321,早餐 (breakfast) : 203,地铁 (subway) : 1624,地铁 (subway) : 1606,交通 (traffic) : 263,环境 (surroundings) : 1045,一流 房间 (First class room) : 0
购物 (shopping) : 4101,附近 (nearby) : 167,附近 (nearby) : 1265,近 (near) : 1346,周边 (Surrounding) : 261,新 宿 (Shinjuku) : 1000,一流 方面 (First-class aspect) : 0
推荐 (recommend) : 3281,推荐 (recommend) : 165,地铁站 (subway station) : 1118,地铁站 (subway station) : 1067,干净 (clean) : 252,购物 (shopping) : 996,一流 早餐 (Superb breakfast) : 0
环境 (surroundings) : 3258,地铁 (subway) : 156,购物 (shopping) : 1094,推荐 (recommend) : 1064,赞 (awesome) : 237,大 房间 (Big room) : 973,一流 景 (First-class view) : 0
大 房间 (Big room) : 3197,卫生 (health) : 148,推荐 (recommend) : 1090,便利 (convenient) : 1013,环境 (surroundings) : 236,近 (near) : 896,一流 景色 (First-class scenery) : 0
周边 (Surrounding) : 3090,大 房间 (Big room) : 148,周边 (Surrounding) : 1055,周边 (Surrounding) : 995,近 (near) : 227,干净 (clean) : 843,一流 景观 (First-class landscape) : 0
棒 (Great) : 3028,地铁站 (subway station) : 143,卫生 (health) : 1021,选择 (select) : 917,推荐 (recommend) : 226,选择 (select) : 816,一流 服务 (First-class service) : 0
地铁站 (subway station) : 3012,算 (Calculate) : 139,大 房间 (Big room) : 957,环境 (surroundings) : 916,选择 (select) : 213,地铁 (subway) : 812,一流 水准 (First-class level) : 0
附近 (nearby) : 2926,周边 (Surrounding) : 133,环境 (surroundings) : 950,大 房间 (Big room) : 855,购物 (shopping) : 209,推荐 (recommend) : 736,一流 水平 (First-class level) : 0
选择 (select) : 2793,吃 (eat) : 122,吃 (eat) : 924,出行 (Travel) : 853,附近 (nearby) : 178,周边 (Surrounding) : 646,一流 海景 (Superb sea view) : 0
新 (new) : 2775,地方 (local) : 119,便利 (convenient) : 896,附近 (nearby) : 841,里 (in) : 168,赞 (awesome) : 612,一流 环境 (First-class environment) : 0
吃 (eat) : 2768,坐 (sit) : 112,算 (Calculate) : 876,吃 (eat) : 840,舒服 (Comfortable) : 156,地铁站 (subway station) : 608,一流 硬件 (First-class hardware) : 0
便利 (convenient) : 2643,环境 (surroundings) : 111,远 (far) : 797,棒 (Great) : 797,地方 (local) : 149,便利 (convenient) : 535,一流 设施 (First-class facilities) : 0
卫生 (health) : 2279,不错 位置 (Good location) : 104,地方 (local) : 773,卫生 (health) : 730,好吃 (good to eat) : 142,吃 (eat) : 510,一流 设计 (First-class design) : 0
出行 (Travel) : 2274,里 (in) : 100,选择 (select) : 763,算 (Calculate) : 698,远 (far) : 139,出行 (Travel) : 505,一流 质量 (Top quality) : 0
算 (Calculate) : 2268,不 大 (Not big) : 96,出行 (Travel) : 748,地方 (local) : 683,坐 (sit) : 135,附近 (nearby) : 475,一流 软件 (First-class software) : 0
地方 (local) : 2156,不 远 (Not far) : 95,里 (in) : 743,便利 交通 (Convenient transportation) : 629,地铁 (subway) : 123,地方 (local) : 432,一流 那 (First class that) : 0
里 (in) : 1934,便利 (convenient) : 91,坐 (sit) : 686,坐 (sit) : 564,算 (Calculate) : 123,算 (Calculate) : 432,一流 酒店 (First class hotel) : 0
坐 (sit) : 1868,热情 (enthusiasm) : 90,舒服 (Comfortable) : 622,过 (Pass) : 552,新 (new) : 119,里 (in) : 430,一流 风景 (First-class scenery) : 0
远 (far) : 1852,购物 (shopping) : 90,新 (new) : 613,新 (new) : 548,日式 (Japanese-style) : 115,舒服 (Comfortable) : 428,不 一流 (Not superb) : 0
赞 (awesome) : 1804,舒服 (Comfortable) : 89,棒 (Great) : 613,里 (in) : 493,便利 (convenient) : 108,不错 酒店 (Nice hotel) : 411,不 不错 (Not good) : 0
舒服 (Comfortable) : 1716,人员 (personnel) : 88,不错 位置 (Good location) : 605,赞 (awesome) : 462,景色 (view) : 108,人员 (personnel) : 411,不 住 (Not live) : 0
便利 交通 (Convenient transportation) : 1630,选择 (select) : 84,不 大 (Not big) : 559,不错 酒店 (Nice hotel) : 440,不错 酒店 (Nice hotel) : 95,景色 (view) : 381,不 便利 (Not convenient) : 0
人员 (personnel) : 1517,出行 (Travel) : 83,干净 房间 (Clean room) : 554,不 大 (Not big) : 434,风景 (landscape) : 92,坐 (sit) : 371,不 卫生 (Unsanitary) : 0
过 (Pass) : 1493,棒 (Great) : 77,人员 (personnel) : 538,舒服 (Comfortable) : 421,人员 (personnel) : 88,银座 (Ginza) : 367,不 可以 (No) : 0
不错 酒店 (Nice hotel) : 1462,干净 房间 (Clean room) : 66,便利 交通 (Convenient transportation) : 535,不错 位置 (Good location) : 420,热情 (enthusiasm) : 87,远 (far) : 358,不 吃 (Don't eat) : 0
不错 位置 (Good location) : 1426,总体 (overall) : 66,热情 (enthusiasm) : 518,干净 房间 (Clean room) : 413,出行 (Travel) : 85,便利 交通 (Convenient transportation) : 342,不 地方 (Not place) : 0
新 宿 (Shinjuku) : 1415,过 (Pass) : 66,过 (Pass) : 490,人员 (personnel) : 392,过 (Pass) : 80,一流 (First class) : 316,不 坐 (Not sitting) : 0
热情 (enthusiasm) : 1340,不错 服务 (Good service) : 65,总体 (overall) : 467,远 (far) : 354,地铁站 (subway station) : 76,风景 (landscape) : 314,不 大 (Not big) : 0
