0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
多 (many) : 2971,一般 (general) : 0,价格 (price) : 118,多 (many) : 956,多 (many) : 883,多 (many) : 270,多 (many) : 623,多 (many) : 59,多 (many) : 67,一般 (general) : 0
价格 (price) : 1838,一般 一般 (General general) : 0,多 (many) : 113,一般 (general) : 728,价格 (price) : 545,一般 (general) : 127,价格 (price) : 266,价格 (price) : 39,价格 (price) : 50,一般 一般 (General general) : 0
一般 (general) : 1713,一般 不足 (Generally insufficient) : 0,一般 (general) : 87,价格 (price) : 699,一般 (general) : 438,价格 (price) : 121,一般 (general) : 257,一般 (general) : 33,一般 (general) : 43,一般 不足 (Generally insufficient) : 0
能 (can) : 1353,一般 东西 (General stuff) : 0,能 (can) : 76,能 (can) : 486,能 (can) : 432,能 (can) : 98,说 (Say) : 235,能 (can) : 25,说 (Say) : 41,一般 东西 (General stuff) : 0
说 (Say) : 1196,一般 交通 (General traffic) : 0,说 (Say) : 49,说 (Say) : 371,说 (Say) : 389,说 (Say) : 93,能 (can) : 222,说 (Say) : 18,需要 (need) : 22,一般 交通 (General traffic) : 0
中文 (Chinese) : 733,一般 人 (normal person) : 0,距离 (distance) : 46,地理 (geography) : 260,地理 (geography) : 284,需要 (need) : 56,中文 (Chinese) : 147,中文 (Chinese) : 16,中文 (Chinese) : 18,一般 人 (normal person) : 0
需要 (need) : 696,一般 价格 (General price) : 0,看到 (see) : 45,需要 (need) : 233,中文 (Chinese) : 281,订 (Order) : 48,需要 (need) : 142,地理 (geography) : 10,能 (can) : 14,一般 价格 (General price) : 0
地理 (geography) : 691,一般 位置 (General location) : 0,订 (Order) : 38,中文 (Chinese) : 211,需要 (need) : 195,看到 (see) : 46,订 (Order) : 89,距离 (distance) : 10,看到 (see) : 13,一般 位置 (General location) : 0
看到 (see) : 550,一般 其它 (General other) : 0,需要 (need) : 38,距离 (distance) : 207,看到 (see) : 162,中文 (Chinese) : 33,老 (old) : 86,需要 (need) : 10,地理 (geography) : 12,一般 其它 (General other) : 0
订 (Order) : 533,一般 卫生 (General hygiene) : 0,中文 (Chinese) : 27,订 (Order) : 205,订 (Order) : 136,多 人 (Multiple people) : 31,看到 (see) : 84,老 (old) : 9,订 (Order) : 12,一般 卫生 (General hygiene) : 0
距离 (distance) : 434,一般 印象 (General impression) : 0,陈旧 (obsolete) : 24,看到 (see) : 194,陈旧 (obsolete) : 86,老 (old) : 21,地理 (geography) : 83,不 多 (not much) : 7,距离 (distance) : 11,一般 印象 (General impression) : 0
陈旧 (obsolete) : 319,一般 口味 (General taste) : 0,地理 (geography) : 22,陈旧 (obsolete) : 137,距离 (distance) : 84,地理 (geography) : 20,多 人 (Multiple people) : 71,陈旧 (obsolete) : 7,不 多 (not much) : 7,一般 口味 (General taste) : 0
老 (old) : 297,一般 口感 (General taste) : 0,老 (old) : 14,不 多 (not much) : 104,多 人 (Multiple people) : 77,不 多 (not much) : 18,距离 (distance) : 60,看到 (see) : 6,一般 服务 (General service) : 6,一般 口感 (General taste) : 0
不 多 (not much) : 277,一般 味道 (General taste) : 0,陈旧 设施 (Obsolete facilities) : 11,老 (old) : 88,不 多 (not much) : 75,陈旧 (obsolete) : 17,不 多 (not much) : 59,订 (Order) : 5,陈旧 (obsolete) : 6,一般 味道 (General taste) : 0
多 人 (Multiple people) : 246,一般 品牌 (General brand) : 0,一般 设施 (General facilities) : 10,陈旧 设施 (Obsolete facilities) : 84,老 (old) : 74,距离 (distance) : 16,陈旧 (obsolete) : 42,一般 服务 (General service) : 4,一般 早餐 (Average breakfast) : 5,一般 品牌 (General brand) : 0
陈旧 设施 (Obsolete facilities) : 184,一般 品种 (General variety) : 0,一般 位置 (General location) : 7,一般 设施 (General facilities) : 69,陈旧 设施 (Obsolete facilities) : 47,陈旧 设施 (Obsolete facilities) : 13,没有 说 (Did not say) : 21,多 人 (Multiple people) : 4,老 (old) : 5,一般 品种 (General variety) : 0
一般 设施 (General facilities) : 137,一般 地方 (General place) : 0,一般 早餐 (Average breakfast) : 7,一般 一般 (General general) : 56,一般 设施 (General facilities) : 41,一般 服务 (General service) : 12,陈旧 设施 (Obsolete facilities) : 21,多 品种 (multi breed) : 4,陈旧 设施 (Obsolete facilities) : 4,一般 地方 (General place) : 0
一般 服务 (General service) : 115,一般 地段 (General location) : 0,不 多 (not much) : 7,多 人 (Multiple people) : 56,一般 服务 (General service) : 36,没有 订 (Not ordered) : 8,不 说 (Did not say) : 20,陈旧 设施 (Obsolete facilities) : 4,多 东西 (Many things) : 3,一般 地段 (General location) : 0
一般 酒店 (Average hotel) : 106,一般 地点 (General location) : 0,多 人 (Multiple people) : 6,一般 酒店 (Average hotel) : 45,没有 说 (Did not say) : 35,没有 说 (Did not say) : 8,老 酒店 (Old hotel) : 20,一般 早餐 (Average breakfast) : 3,没有 中文 (no Chinese) : 3,一般 地点 (General location) : 0
没有 说 (Did not say) : 103,一般 大小 (General size) : 0,多 行李 (Much luggage) : 6,多 品种 (multi breed) : 36,一般 酒店 (Average hotel) : 34,多 品种 (multi breed) : 7,一般 早餐 (Average breakfast) : 19,老 酒店 (Old hotel) : 3,没有 说 (Did not say) : 3,一般 大小 (General size) : 0
一般 早餐 (Average breakfast) : 97,一般 好 (Fair good) : 0,老 设施 (Old facility) : 5,一般 早餐 (Average breakfast) : 35,不 说 (Did not say) : 28,没有 多 (No more) : 7,一般 服务 (General service) : 18,多 种类 (Many kinds) : 2,见 (see) : 3,一般 好 (Fair good) : 0
不 说 (Did not say) : 89,一般 宵夜 (Average supper) : 0,老 酒店 (Old hotel) : 5,一般 服务 (General service) : 35,多 品种 (multi breed) : 27,一般 温泉 (General hot spring) : 6,老 设施 (Old facility) : 18,没有 一般 (No average) : 2,一般 位置 (General location) : 2,一般 宵夜 (Average supper) : 0
多 品种 (multi breed) : 89,一般 宾馆 (General Hotel) : 0,一般 服务 (General service) : 4,不 说 (Did not say) : 31,多 行李 (Much luggage) : 26,不 说 (Did not say) : 6,一般 酒店 (Average hotel) : 16,没有 多 (No more) : 2,一般 好 (Fair good) : 2,一般 宾馆 (General Hotel) : 0
老 酒店 (Old hotel) : 74,一般 小 (Average small) : 0,一般 酒店 (Average hotel) : 4,没有 说 (Did not say) : 30,多 地方 (Many places) : 24,老 酒店 (Old hotel) : 6,多 客人 (Multiple guests) : 15,没有 说 (Did not say) : 2,一般 房间 (Average room) : 2,一般 小 (Average small) : 0
多 行李 (Much luggage) : 66,一般 希尔顿 (General Hilton) : 0,不 需要 (Not needed) : 4,老 酒店 (Old hotel) : 24,一般 早餐 (Average breakfast) : 23,一般 态度 (General attitude) : 5,一般 设施 (General facilities) : 13,一般 一般 (General general) : 0,一般 酒店 (Average hotel) : 2,一般 希尔顿 (General Hilton) : 0
见 (see) : 59,一般 态度 (General attitude) : 0,没有 说 (Did not say) : 4,多 店 (Multi shop) : 23,一般 性价比 (Average value for money) : 20,一般 房间 (Average room) : 5,多 品种 (multi breed) : 13,一般 不足 (Generally insufficient) : 0,不 说 (Did not say) : 2,一般 态度 (General attitude) : 0
老 设施 (Old facility) : 58,一般 性价比 (Average value for money) : 0,见 (see) : 4,见 (see) : 23,一般 房间 (Average room) : 19,一般 早餐 (Average breakfast) : 5,多 行李 (Much luggage) : 13,一般 东西 (General stuff) : 0,多 地方 (Many places) : 2,一般 性价比 (Average value for money) : 0
一般 一般 (General general) : 56,一般 总体 (General overall) : 0,多 吃 (Eat more) : 3,一般 位置 (General location) : 20,多 东西 (Many things) : 19,一般 沙滩 (Average beach) : 5,没有 一般 (No average) : 11,一般 交通 (General traffic) : 0,多 平米 (Multiple square meters) : 2,一般 总体 (General overall) : 0
多 东西 (Many things) : 53,一般 情况 (generally) : 0,多 景点 (Multiple attractions) : 3,一般 环境 (General environment) : 20,多 吃 (Eat more) : 19,一般 酒店 (Average hotel) : 5,多 游客 (Many tourists) : 10,一般 人 (normal person) : 0,多 选择 (multiple choice) : 2,一般 情况 (generally) : 0
多 地方 (Many places) : 52,一般 感觉 (General feeling) : 0,多 话 (Chatty) : 3,多 行李 (Much luggage) : 19,多 游客 (Many tourists) : 17,多 东西 (Many things) : 5,多 种类 (Many kinds) : 10,一般 价格 (General price) : 0,没有 多 (No more) : 2,一般 感觉 (General feeling) : 0
一般 性价比 (Average value for money) : 44,一般 房间 (Average room) : 0,一般 卫生 (General hygiene) : 2,多 东西 (Many things) : 18,多 选择 (multiple choice) : 15,多 项目 (Multiple items) : 5,多 餐厅 (Multiple restaurants) : 10,一般 位置 (General location) : 0,没有 看到 (did not see) : 2,一般 房间 (Average room) : 0
没有 一般 (No average) : 44,一般 效果 (General effect) : 0,一般 好 (Fair good) : 2,老 设施 (Old facility) : 18,老 酒店 (Old hotel) : 15,见 (see) : 5,没有 看到 (did not see) : 10,一般 其它 (General other) : 0,老 设施 (Old facility) : 2,一般 效果 (General effect) : 0
没有 多 (No more) : 44,一般 方面 (General aspect) : 0,一般 态度 (General attitude) : 2,多 地方 (Many places) : 17,多 店 (Multi shop) : 14,一般 味道 (General taste) : 4,见 (see) : 10,一般 卫生 (General hygiene) : 0,一般 一般 (General general) : 0,一般 方面 (General aspect) : 0
一般 位置 (General location) : 42,一般 旅馆 (General Hotel) : 0,一般 总体 (General overall) : 2,一般 卫生 (General hygiene) : 15,见 (see) : 14,一般 感觉 (General feeling) : 4,不 订 (Not order) : 9,一般 印象 (General impression) : 0,一般 不足 (Generally insufficient) : 0,一般 旅馆 (General Hotel) : 0
一般 环境 (General environment) : 40,一般 早餐 (Average breakfast) : 0,一般 感觉 (General feeling) : 2,一般 态度 (General attitude) : 15,多 酒店 (Multiple hotels) : 13,一般 环境 (General environment) : 4,老 装修 (Old decoration) : 8,一般 口味 (General taste) : 0,一般 东西 (General stuff) : 0,一般 早餐 (Average breakfast) : 0
多 店 (Multi shop) : 40,一般 早饭 (Average breakfast) : 0,一般 条件 (General condition) : 2,没有 一般 (No average) : 15,老 设施 (Old facility) : 13,不 订 (Not order) : 4,一般 位置 (General location) : 7,一般 口感 (General taste) : 0,一般 交通 (General traffic) : 0,一般 早饭 (Average breakfast) : 0
一般 态度 (General attitude) : 39,一般 晚餐 (Average dinner) : 0,一般 环境 (General environment) : 2,没有 多 (No more) : 15,一般 态度 (General attitude) : 11,多 分钟 (Many minutes) : 4,一般 性价比 (Average value for money) : 7,一般 味道 (General taste) : 0,一般 人 (normal person) : 0,一般 晚餐 (Average dinner) : 0
多 种类 (Many kinds) : 39,一般 景色 (General scenery) : 0,不 说 (Did not say) : 2,多 种类 (Many kinds) : 13,不 订 (Not order) : 11,多 话 (Chatty) : 4,多 东西 (Many things) : 7,一般 品牌 (General brand) : 0,一般 价格 (General price) : 0,一般 景色 (General scenery) : 0
