0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
不错 (Not bad) : 12892,一流 (First class) : 0,不错 (Not bad) : 694,不错 (Not bad) : 4722,不错 (Not bad) : 3831,不错 (Not bad) : 793,住 (live) : 2449,不错 (Not bad) : 248,住 (live) : 352,一流 (First class) : 0
住 (live) : 11028,一流 位置 (First-class location) : 0,可以 (can) : 540,住 (live) : 3433,住 (live) : 3484,可以 (can) : 735,不错 (Not bad) : 2252,住 (live) : 235,不错 (Not bad) : 351,一流 位置 (First-class location) : 0
大 (Big) : 9844,一流 保洁 (First-class cleaning) : 0,大 (Big) : 465,大 (Big) : 3269,大 (Big) : 2851,大 (Big) : 715,大 (Big) : 2058,大 (Big) : 208,大 (Big) : 278,一流 保洁 (First-class cleaning) : 0
可以 (can) : 8761,一流 卫生 (First-class hygiene) : 0,干净 (clean) : 419,干净 (clean) : 3024,交通 (traffic) : 2536,早餐 (breakfast) : 703,可以 (can) : 1649,环境 (surroundings) : 154,银座 (Ginza) : 198,一流 卫生 (First-class hygiene) : 0
干净 (clean) : 6665,一流 品质 (First-class quality) : 0,住 (live) : 386,可以 (can) : 2977,可以 (can) : 2536,住 (live) : 689,新 (new) : 1338,可以 (can) : 138,可以 (can) : 186,一流 品质 (First-class quality) : 0
交通 (traffic) : 6560,一流 地段 (First class location) : 0,近 (near) : 361,近 (near) : 2351,干净 (clean) : 2127,棒 (Great) : 438,交通 (traffic) : 1085,早餐 (breakfast) : 129,棒 (Great) : 164,一流 地段 (First class location) : 0
日本 (Japan) : 5719,一流 夜景 (First-class night view) : 0,日本 (Japan) : 240,日本 (Japan) : 2244,日本 (Japan) : 1748,吃 (eat) : 372,新 宿 (Shinjuku) : 973,棒 (Great) : 116,早餐 (breakfast) : 155,一流 夜景 (First-class night view) : 0
早餐 (breakfast) : 5605,一流 态度 (First-class attitude) : 0,交通 (traffic) : 235,交通 (traffic) : 2233,购物 (shopping) : 1712,日本 (Japan) : 320,日本 (Japan) : 932,银座 (Ginza) : 98,日本 (Japan) : 141,一流 态度 (First-class attitude) : 0
近 (near) : 5181,一流 性价比 (First-class value for money) : 0,远 (far) : 204,早餐 (breakfast) : 1956,早餐 (breakfast) : 1608,大 房间 (Big room) : 264,购物 (shopping) : 856,干净 (clean) : 95,环境 (surroundings) : 130,一流 性价比 (First-class value for money) : 0
地铁 (subway) : 4321,一流 房间 (First class room) : 0,早餐 (breakfast) : 203,地铁 (subway) : 1624,地铁 (subway) : 1606,交通 (traffic) : 263,早餐 (breakfast) : 851,日本 (Japan) : 94,大 房间 (Big room) : 123,一流 房间 (First class room) : 0
购物 (shopping) : 4101,一流 方面 (First-class aspect) : 0,附近 (nearby) : 167,附近 (nearby) : 1265,近 (near) : 1346,周边 (Surrounding) : 261,棒 (Great) : 823,大 房间 (Big room) : 93,交通 (traffic) : 116,一流 方面 (First-class aspect) : 0
推荐 (recommend) : 3281,一流 早餐 (Superb breakfast) : 0,推荐 (recommend) : 165,地铁站 (subway station) : 1118,地铁站 (subway station) : 1067,干净 (clean) : 252,近 (near) : 771,选择 (select) : 93,选择 (select) : 106,一流 早餐 (Superb breakfast) : 0
