0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
不错 (Not bad) : 12892,一流 (First class) : 0,不错 (Not bad) : 139,不错 (Not bad) : 601,不错 (Not bad) : 1925,不错 (Not bad) : 9852,不错 (Not bad) : 375
住 (live) : 11028,一流 位置 (First-class location) : 0,干净 (clean) : 114,干净 (clean) : 455,住 (live) : 1524,住 (live) : 8662,住 (live) : 374
大 (Big) : 9844,一流 保洁 (First-class cleaning) : 0,早餐 (breakfast) : 112,住 (live) : 383,干净 (clean) : 1348,大 (Big) : 7828,大 (Big) : 315
可以 (can) : 8761,一流 卫生 (First-class hygiene) : 0,可以 (can) : 89,可以 (can) : 365,大 (Big) : 1277,可以 (can) : 6914,可以 (can) : 206
干净 (clean) : 6665,一流 品质 (First-class quality) : 0,住 (live) : 85,大 (Big) : 348,可以 (can) : 1187,交通 (traffic) : 5107,银座 (Ginza) : 198
交通 (traffic) : 6560,一流 地段 (First class location) : 0,大 (Big) : 76,近 (near) : 323,交通 (traffic) : 1058,干净 (clean) : 4676,棒 (Great) : 189
日本 (Japan) : 5719,一流 夜景 (First-class night view) : 0,交通 (traffic) : 72,早餐 (breakfast) : 270,日本 (Japan) : 1032,早餐 (breakfast) : 4275,早餐 (breakfast) : 171
早餐 (breakfast) : 5605,一流 态度 (First-class attitude) : 0,地铁 (subway) : 66,日本 (Japan) : 266,近 (near) : 1016,日本 (Japan) : 4201,环境 (surroundings) : 157
近 (near) : 5181,一流 性价比 (First-class value for money) : 0,日本 (Japan) : 66,卫生 (health) : 201,地铁 (subway) : 801,近 (near) : 3722,日本 (Japan) : 154
地铁 (subway) : 4321,一流 房间 (First class room) : 0,近 (near) : 55,交通 (traffic) : 196,早餐 (breakfast) : 777,购物 (shopping) : 3379,大 房间 (Big room) : 131
购物 (shopping) : 4101,一流 方面 (First-class aspect) : 0,地铁站 (subway station) : 51,地铁 (subway) : 164,地铁站 (subway station) : 639,地铁 (subway) : 3207,交通 (traffic) : 127
推荐 (recommend) : 3281,一流 早餐 (Superb breakfast) : 0,远 (far) : 41,远 (far) : 158,附近 (nearby) : 572,大 房间 (Big room) : 2663,选择 (select) : 112
环境 (surroundings) : 3258,一流 景 (First-class view) : 0,附近 (nearby) : 34,附近 (nearby) : 150,购物 (shopping) : 516,推荐 (recommend) : 2622,推荐 (recommend) : 109
大 房间 (Big room) : 3197,一流 景色 (First-class scenery) : 0,卫生 (health) : 33,地铁站 (subway station) : 133,周边 (Surrounding) : 486,环境 (surroundings) : 2572,赞 (awesome) : 101
周边 (Surrounding) : 3090,一流 景观 (First-class landscape) : 0,周边 (Surrounding) : 29,周边 (Surrounding) : 127,卫生 (health) : 450,棒 (Great) : 2514,购物 (shopping) : 98
棒 (Great) : 3028,一流 服务 (First-class service) : 0,过 (Pass) : 28,算 (Calculate) : 126,推荐 (recommend) : 415,新 (new) : 2411,舒服 (Comfortable) : 84
地铁站 (subway station) : 3012,一流 水准 (First-class level) : 0,购物 (shopping) : 27,地方 (local) : 111,环境 (surroundings) : 408,周边 (Surrounding) : 2379,地铁 (subway) : 83
附近 (nearby) : 2926,一流 水平 (First-class level) : 0,推荐 (recommend) : 25,推荐 (recommend) : 110,便利 (convenient) : 407,选择 (select) : 2246,新 (new) : 77
选择 (select) : 2793,一流 海景 (Superb sea view) : 0,便利 (convenient) : 24,环境 (surroundings) : 107,吃 (eat) : 399,吃 (eat) : 2189,干净 (clean) : 72
新 (new) : 2775,一流 环境 (First-class environment) : 0,里 (in) : 24,吃 (eat) : 97,地方 (local) : 357,地铁站 (subway station) : 2130,里 (in) : 71
吃 (eat) : 2768,一流 硬件 (First-class hardware) : 0,不 远 (Not far) : 23,里 (in) : 91,里 (in) : 353,附近 (nearby) : 2112,一流 (First class) : 69
便利 (convenient) : 2643,一流 设施 (First-class facilities) : 0,干净 房间 (Clean room) : 21,人员 (personnel) : 90,选择 (select) : 338,便利 (convenient) : 2064,周边 (Surrounding) : 69
卫生 (health) : 2279,一流 设计 (First-class design) : 0,算 (Calculate) : 21,便利 (convenient) : 82,大 房间 (Big room) : 316,出行 (Travel) : 1843,便利 (convenient) : 66
出行 (Travel) : 2274,一流 质量 (Top quality) : 0,吃 (eat) : 20,选择 (select) : 82,算 (Calculate) : 313,算 (Calculate) : 1771,人员 (personnel) : 65
算 (Calculate) : 2268,一流 软件 (First-class software) : 0,便利 交通 (Convenient transportation) : 19,坐 (sit) : 81,出行 (Travel) : 302,地方 (local) : 1631,热情 (enthusiasm) : 65
地方 (local) : 2156,一流 那 (First class that) : 0,不错 酒店 (Nice hotel) : 17,热情 (enthusiasm) : 81,远 (far) : 300,卫生 (health) : 1568,近 (near) : 65
里 (in) : 1934,一流 酒店 (First class hotel) : 0,好吃 (good to eat) : 17,购物 (shopping) : 81,坐 (sit) : 297,赞 (awesome) : 1490,吃 (eat) : 63
坐 (sit) : 1868,一流 风景 (First-class scenery) : 0,热情 (enthusiasm) : 17,不 大 (Not big) : 80,不 大 (Not big) : 261,坐 (sit) : 1447,地铁站 (subway station) : 59
远 (far) : 1852,不 一流 (Not superb) : 0,不错 位置 (Good location) : 16,大 房间 (Big room) : 76,人员 (personnel) : 244,里 (in) : 1395,景色 (view) : 59
赞 (awesome) : 1804,不 不错 (Not good) : 0,地方 (local) : 16,棒 (Great) : 73,便利 交通 (Convenient transportation) : 244,舒服 (Comfortable) : 1328,远 (far) : 58
