0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
不错 (Not bad) : 13808,一流 (First class) : 0,一流 (First class) : 0,不错 (Not bad) : 149,不错 (Not bad) : 661,不错 (Not bad) : 2060,不错 (Not bad) : 3319,不错 (Not bad) : 2475,住 (live) : 4822,住 (live) : 409
住 (live) : 12528,一流 位置 (First-class location) : 0,一流 位置 (First-class location) : 0,早餐 (breakfast) : 126,干净 (clean) : 496,住 (live) : 1737,住 (live) : 3043,大 (Big) : 2097,不错 (Not bad) : 4753,不错 (Not bad) : 391
大 (Big) : 10855,一流 保洁 (First-class cleaning) : 0,一流 保洁 (First-class cleaning) : 0,干净 (clean) : 118,住 (live) : 432,干净 (clean) : 1436,大 (Big) : 2539,住 (live) : 1983,大 (Big) : 4019,大 (Big) : 337
可以 (can) : 9551,一流 卫生 (First-class hygiene) : 0,一流 卫生 (First-class hygiene) : 0,住 (live) : 102,可以 (can) : 416,大 (Big) : 1390,可以 (can) : 2163,可以 (can) : 1879,可以 (can) : 3479,银座 (Ginza) : 240
干净 (clean) : 7136,一流 品质 (First-class quality) : 0,一流 品质 (First-class quality) : 0,可以 (can) : 99,大 (Big) : 392,可以 (can) : 1283,交通 (traffic) : 2113,干净 (clean) : 1230,早餐 (breakfast) : 2721,可以 (can) : 232
交通 (traffic) : 6966,一流 地段 (First class location) : 0,一流 地段 (First class location) : 0,大 (Big) : 81,近 (near) : 372,日本 (Japan) : 1162,干净 (clean) : 2098,交通 (traffic) : 1176,多 (many) : 2253,早餐 (breakfast) : 196
日本 (Japan) : 6510,一流 夜景 (First-class night view) : 0,一流 夜景 (First-class night view) : 0,地铁 (subway) : 79,早餐 (breakfast) : 326,近 (near) : 1140,日本 (Japan) : 1662,日本 (Japan) : 1074,交通 (traffic) : 2124,棒 (Great) : 193
早餐 (breakfast) : 6489,一流 态度 (First-class attitude) : 0,一流 态度 (First-class attitude) : 0,交通 (traffic) : 75,日本 (Japan) : 301,交通 (traffic) : 1126,近 (near) : 1571,近 (near) : 1027,日本 (Japan) : 2060,日本 (Japan) : 178
多 (many) : 6094,一流 性价比 (First-class value for money) : 0,一流 性价比 (First-class value for money) : 0,日本 (Japan) : 73,多 (many) : 243,地铁 (subway) : 936,多 (many) : 1512,多 (many) : 1004,购物 (shopping) : 1942,环境 (surroundings) : 167
近 (near) : 5743,一流 房间 (First class room) : 0,一流 房间 (First class room) : 0,近 (near) : 64,地铁 (subway) : 219,早餐 (breakfast) : 924,地铁 (subway) : 1241,早餐 (breakfast) : 977,新 (new) : 1940,多 (many) : 151
地铁 (subway) : 5018,一流 方面 (First-class aspect) : 0,一流 方面 (First-class aspect) : 0,地铁站 (subway station) : 58,交通 (traffic) : 217,多 (many) : 882,早餐 (breakfast) : 1219,能 (can) : 765,地铁 (subway) : 1874,大 房间 (Big room) : 137
购物 (shopping) : 4518,一流 早餐 (Superb breakfast) : 0,一流 早餐 (Superb breakfast) : 0,多 (many) : 49,卫生 (health) : 214,地铁站 (subway station) : 729,购物 (shopping) : 1070,地理 (geography) : 727,干净 (clean) : 1684,交通 (traffic) : 135
地理 (geography) : 4131,一流 景 (First-class view) : 0,一流 景 (First-class view) : 0,远 (far) : 48,距离 (distance) : 204,附近 (nearby) : 669,地理 (geography) : 989,大 房间 (Big room) : 687,棒 (Great) : 1682,选择 (select) : 123
能 (can) : 3740,一流 景色 (First-class scenery) : 0,一流 景色 (First-class scenery) : 0,价格 (price) : 44,算 (Calculate) : 196,地理 (geography) : 618,附近 (nearby) : 974,购物 (shopping) : 684,地理 (geography) : 1526,推荐 (recommend) : 116
环境 (surroundings) : 3522,一流 景观 (First-class landscape) : 0,一流 景观 (First-class landscape) : 0,卫生 (health) : 43,远 (far) : 193,能 (can) : 610,周边 (Surrounding) : 924,推荐 (recommend) : 677,近 (near) : 1498,赞 (awesome) : 108
推荐 (recommend) : 3462,一流 服务 (First-class service) : 0,一流 服务 (First-class service) : 0,附近 (nearby) : 41,价格 (price) : 191,购物 (shopping) : 580,地铁站 (subway station) : 922,算 (Calculate) : 652,选择 (select) : 1453,购物 (shopping) : 106
附近 (nearby) : 3444,一流 水准 (First-class level) : 0,一流 水准 (First-class level) : 0,能 (can) : 39,附近 (nearby) : 189,周边 (Surrounding) : 551,能 (can) : 900,吃 (eat) : 624,环境 (surroundings) : 1438,能 (can) : 103
地铁站 (subway station) : 3433,一流 水平 (First-class level) : 0,一流 水平 (First-class level) : 0,过 (Pass) : 38,地理 (geography) : 165,价格 (price) : 532,算 (Calculate) : 844,附近 (nearby) : 605,大 房间 (Big room) : 1428,说 (Say) : 103
吃 (eat) : 3431,一流 海景 (Superb sea view) : 0,一流 海景 (Superb sea view) : 0,一般 (general) : 37,地铁站 (subway station) : 160,卫生 (health) : 520,便利 (convenient) : 819,周边 (Surrounding) : 593,吃 (eat) : 1345,价格 (price) : 97
