0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
不错 (Not bad) : 13808,一流 (First class) : 0,不错 (Not bad) : 748,不错 (Not bad) : 5056,不错 (Not bad) : 4109,不错 (Not bad) : 853,不错 (Not bad) : 2413,不错 (Not bad) : 265,不错 (Not bad) : 363,一流 (First class) : 0
大 (Big) : 10855,一流 位置 (First-class location) : 0,大 (Big) : 514,大 (Big) : 3628,大 (Big) : 3163,大 (Big) : 784,大 (Big) : 2249,大 (Big) : 221,大 (Big) : 296,一流 位置 (First-class location) : 0
干净 (clean) : 7136,一流 保洁 (First-class cleaning) : 0,干净 (clean) : 456,干净 (clean) : 3252,交通 (traffic) : 2681,早餐 (breakfast) : 784,新 (new) : 1589,环境 (surroundings) : 166,早餐 (breakfast) : 179,一流 保洁 (First-class cleaning) : 0
交通 (traffic) : 6966,一流 卫生 (First-class hygiene) : 0,近 (near) : 412,近 (near) : 2619,干净 (clean) : 2263,吃 (eat) : 459,交通 (traffic) : 1148,早餐 (breakfast) : 147,棒 (Great) : 168,一流 卫生 (First-class hygiene) : 0
早餐 (breakfast) : 6489,一流 品质 (First-class quality) : 0,交通 (traffic) : 255,交通 (traffic) : 2379,购物 (shopping) : 1914,棒 (Great) : 444,早餐 (breakfast) : 991,棒 (Great) : 117,环境 (surroundings) : 137,一流 品质 (First-class quality) : 0
近 (near) : 5743,一流 地段 (First class location) : 0,远 (far) : 237,早餐 (breakfast) : 2303,地铁 (subway) : 1881,周边 (Surrounding) : 288,购物 (shopping) : 926,选择 (select) : 110,大 房间 (Big room) : 128,一流 地段 (First class location) : 0
地铁 (subway) : 5018,一流 夜景 (First-class night view) : 0,早餐 (breakfast) : 235,地铁 (subway) : 1885,早餐 (breakfast) : 1850,大 房间 (Big room) : 284,近 (near) : 857,交通 (traffic) : 101,交通 (traffic) : 122,一流 夜景 (First-class night view) : 0
购物 (shopping) : 4518,一流 态度 (First-class attitude) : 0,算 (Calculate) : 217,附近 (nearby) : 1491,地理 (geography) : 1572,交通 (traffic) : 280,棒 (Great) : 853,干净 (clean) : 101,选择 (select) : 116,一流 态度 (First-class attitude) : 0
地理 (geography) : 4131,一流 性价比 (First-class value for money) : 0,距离 (distance) : 203,地理 (geography) : 1465,近 (near) : 1469,干净 (clean) : 272,环境 (surroundings) : 807,大 房间 (Big room) : 96,购物 (shopping) : 104,一流 性价比 (First-class value for money) : 0
