0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
价格 (price) : 1838,一般 (general) : 0,价格 (price) : 118,一般 (general) : 728,价格 (price) : 545,一般 (general) : 127,价格 (price) : 266,价格 (price) : 39,价格 (price) : 50,一般 (general) : 0
一般 (general) : 1713,一般 东西 (General stuff) : 0,一般 (general) : 87,价格 (price) : 699,一般 (general) : 438,价格 (price) : 121,一般 (general) : 257,一般 (general) : 33,一般 (general) : 43,一般 东西 (General stuff) : 0
中文 (Chinese) : 733,一般 交通 (General traffic) : 0,距离 (distance) : 46,地理 (geography) : 260,地理 (geography) : 284,中文 (Chinese) : 33,中文 (Chinese) : 147,中文 (Chinese) : 16,中文 (Chinese) : 18,一般 交通 (General traffic) : 0
地理 (geography) : 691,一般 人 (normal person) : 0,中文 (Chinese) : 27,中文 (Chinese) : 211,中文 (Chinese) : 281,老 (old) : 21,老 (old) : 86,地理 (geography) : 10,地理 (geography) : 12,一般 人 (normal person) : 0
距离 (distance) : 434,一般 价格 (General price) : 0,陈旧 (obsolete) : 24,距离 (distance) : 207,陈旧 (obsolete) : 86,地理 (geography) : 20,地理 (geography) : 83,距离 (distance) : 10,距离 (distance) : 11,一般 价格 (General price) : 0
陈旧 (obsolete) : 319,一般 位置 (General location) : 0,地理 (geography) : 22,陈旧 (obsolete) : 137,距离 (distance) : 84,陈旧 (obsolete) : 17,距离 (distance) : 60,老 (old) : 9,一般 服务 (General service) : 6,一般 位置 (General location) : 0
老 (old) : 297,一般 卫生 (General hygiene) : 0,老 (old) : 14,老 (old) : 88,老 (old) : 74,距离 (distance) : 16,陈旧 (obsolete) : 42,陈旧 (obsolete) : 7,陈旧 (obsolete) : 6,一般 卫生 (General hygiene) : 0
陈旧 设施 (Obsolete facilities) : 184,一般 印象 (General impression) : 0,陈旧 设施 (Obsolete facilities) : 11,陈旧 设施 (Obsolete facilities) : 84,陈旧 设施 (Obsolete facilities) : 47,陈旧 设施 (Obsolete facilities) : 13,陈旧 设施 (Obsolete facilities) : 21,一般 服务 (General service) : 4,一般 早餐 (Average breakfast) : 5,一般 印象 (General impression) : 0
一般 设施 (General facilities) : 137,一般 口味 (General taste) : 0,一般 设施 (General facilities) : 10,一般 设施 (General facilities) : 69,一般 设施 (General facilities) : 41,一般 服务 (General service) : 12,老 酒店 (Old hotel) : 20,陈旧 设施 (Obsolete facilities) : 4,老 (old) : 5,一般 口味 (General taste) : 0
一般 服务 (General service) : 115,一般 口感 (General taste) : 0,一般 位置 (General location) : 7,一般 酒店 (Average hotel) : 45,一般 服务 (General service) : 36,一般 温泉 (General hot spring) : 6,一般 早餐 (Average breakfast) : 19,一般 早餐 (Average breakfast) : 3,陈旧 设施 (Obsolete facilities) : 4,一般 口感 (General taste) : 0
一般 酒店 (Average hotel) : 106,一般 味道 (General taste) : 0,一般 早餐 (Average breakfast) : 7,一般 早餐 (Average breakfast) : 35,一般 酒店 (Average hotel) : 34,老 酒店 (Old hotel) : 6,一般 服务 (General service) : 18,老 酒店 (Old hotel) : 3,没有 中文 (no Chinese) : 3,一般 味道 (General taste) : 0
一般 早餐 (Average breakfast) : 97,一般 品牌 (General brand) : 0,老 设施 (Old facility) : 5,一般 服务 (General service) : 35,一般 早餐 (Average breakfast) : 23,一般 态度 (General attitude) : 5,老 设施 (Old facility) : 18,一般 东西 (General stuff) : 0,一般 位置 (General location) : 2,一般 品牌 (General brand) : 0
老 酒店 (Old hotel) : 74,一般 品种 (General variety) : 0,老 酒店 (Old hotel) : 5,老 酒店 (Old hotel) : 24,一般 性价比 (Average value for money) : 20,一般 房间 (Average room) : 5,一般 酒店 (Average hotel) : 16,一般 交通 (General traffic) : 0,一般 房间 (Average room) : 2,一般 品种 (General variety) : 0
老 设施 (Old facility) : 58,一般 地方 (General place) : 0,一般 服务 (General service) : 4,一般 位置 (General location) : 20,一般 房间 (Average room) : 19,一般 早餐 (Average breakfast) : 5,一般 设施 (General facilities) : 13,一般 人 (normal person) : 0,一般 酒店 (Average hotel) : 2,一般 地方 (General place) : 0
一般 性价比 (Average value for money) : 44,一般 地段 (General location) : 0,一般 酒店 (Average hotel) : 4,一般 环境 (General environment) : 20,老 酒店 (Old hotel) : 15,一般 沙滩 (Average beach) : 5,老 装修 (Old decoration) : 8,一般 价格 (General price) : 0,老 设施 (Old facility) : 2,一般 地段 (General location) : 0
一般 位置 (General location) : 42,一般 地点 (General location) : 0,一般 卫生 (General hygiene) : 2,老 设施 (Old facility) : 18,老 设施 (Old facility) : 13,一般 酒店 (Average hotel) : 5,一般 位置 (General location) : 7,一般 位置 (General location) : 0,一般 东西 (General stuff) : 0,一般 地点 (General location) : 0
一般 环境 (General environment) : 40,一般 大小 (General size) : 0,一般 态度 (General attitude) : 2,一般 卫生 (General hygiene) : 15,一般 态度 (General attitude) : 11,一般 味道 (General taste) : 4,一般 性价比 (Average value for money) : 7,一般 卫生 (General hygiene) : 0,一般 交通 (General traffic) : 0,一般 大小 (General size) : 0
一般 态度 (General attitude) : 39,一般 宵夜 (Average supper) : 0,一般 总体 (General overall) : 2,一般 态度 (General attitude) : 15,一般 卫生 (General hygiene) : 10,一般 感觉 (General feeling) : 4,一般 态度 (General attitude) : 6,一般 印象 (General impression) : 0,一般 人 (normal person) : 0,一般 宵夜 (Average supper) : 0
一般 房间 (Average room) : 37,一般 宾馆 (General Hotel) : 0,一般 感觉 (General feeling) : 2,一般 性价比 (Average value for money) : 12,陈旧 设备 (Obsolete equipment) : 9,一般 环境 (General environment) : 4,一般 自助餐 (Average buffet) : 6,一般 口味 (General taste) : 0,一般 价格 (General price) : 0,一般 宾馆 (General Hotel) : 0
一般 卫生 (General hygiene) : 30,一般 态度 (General attitude) : 0,一般 条件 (General condition) : 2,一般 感觉 (General feeling) : 10,一般 环境 (General environment) : 8,没有 中文 (no Chinese) : 3,华人 (Chinese) : 6,一般 口感 (General taste) : 0,一般 卫生 (General hygiene) : 0,一般 态度 (General attitude) : 0
没有 中文 (no Chinese) : 30,一般 性价比 (Average value for money) : 0,一般 环境 (General environment) : 2,一般 条件 (General condition) : 10,一般 装修 (General decoration) : 7,一般 品种 (General variety) : 2,老 店 (Old shop) : 6,一般 味道 (General taste) : 0,一般 印象 (General impression) : 0,一般 性价比 (Average value for money) : 0
一般 感觉 (General feeling) : 24,一般 总体 (General overall) : 0,华人 (Chinese) : 2,没有 中文 (no Chinese) : 10,没有 中文 (no Chinese) : 7,一般 性价比 (Average value for money) : 2,一般 环境 (General environment) : 5,一般 品牌 (General brand) : 0,一般 口味 (General taste) : 0,一般 总体 (General overall) : 0
一般 味道 (General taste) : 22,一般 情况 (generally) : 0,没有 中文 (no Chinese) : 2,一般 味道 (General taste) : 9,不 中文 (No Chinese) : 6,一般 早饭 (Average breakfast) : 2,没有 中文 (no Chinese) : 5,一般 品种 (General variety) : 0,一般 口感 (General taste) : 0,一般 情况 (generally) : 0
一般 条件 (General condition) : 18,一般 感觉 (General feeling) : 0,陈旧 设备 (Obsolete equipment) : 2,一般 房间 (Average room) : 8,一般 位置 (General location) : 5,一般 设施 (General facilities) : 2,一般 大小 (General size) : 4,一般 地方 (General place) : 0,一般 味道 (General taste) : 0,一般 感觉 (General feeling) : 0
陈旧 设备 (Obsolete equipment) : 18,一般 房间 (Average room) : 0,陈旧 酒店 (Outdated hotel) : 2,不 中文 (No Chinese) : 8,一般 味道 (General taste) : 5,一般 质量 (General quality) : 2,一般 装修 (General decoration) : 4,一般 地段 (General location) : 0,一般 品牌 (General brand) : 0,一般 房间 (Average room) : 0
一般 装修 (General decoration) : 15,一般 效果 (General effect) : 0,一般 东西 (General stuff) : 0,一般 英语 (General English) : 6,一般 感觉 (General feeling) : 5,一般 餐厅 (Average restaurant) : 2,一般 味道 (General taste) : 3,一般 地点 (General location) : 0,一般 品种 (General variety) : 0,一般 效果 (General effect) : 0
不 中文 (No Chinese) : 15,一般 方面 (General aspect) : 0,一般 交通 (General traffic) : 0,老 酒 (Old wine) : 6,老 房间 (Old room) : 5,老 先生 (Old sir) : 2,一般 感觉 (General feeling) : 3,一般 大小 (General size) : 0,一般 地方 (General place) : 0,一般 方面 (General aspect) : 0
华人 (Chinese) : 15,一般 旅馆 (General Hotel) : 0,一般 人 (normal person) : 0,一般 效果 (General effect) : 5,一般 大小 (General size) : 4,老 设施 (Old facility) : 2,没有 陈旧 (Not stale) : 3,一般 宵夜 (Average supper) : 0,一般 地段 (General location) : 0,一般 旅馆 (General Hotel) : 0
老 店 (Old shop) : 15,一般 早餐 (Average breakfast) : 0,一般 价格 (General price) : 0,一般 隔音 (Soundproof) : 5,一般 条件 (General condition) : 4,一般 东西 (General stuff) : 0,陈旧 房间 (Outdated room) : 3,一般 宾馆 (General Hotel) : 0,一般 地点 (General location) : 0,一般 早餐 (Average breakfast) : 0
一般 大小 (General size) : 12,一般 早饭 (Average breakfast) : 0,一般 印象 (General impression) : 0,老 店 (Old shop) : 5,一般 英语 (General English) : 4,一般 交通 (General traffic) : 0,一般 东西 (General stuff) : 2,一般 态度 (General attitude) : 0,一般 大小 (General size) : 0,一般 早饭 (Average breakfast) : 0
一般 英语 (General English) : 11,一般 晚餐 (Average dinner) : 0,一般 口味 (General taste) : 0,陈旧 房间 (Outdated room) : 5,没有 价格 (No price) : 4,一般 人 (normal person) : 0,一般 交通 (General traffic) : 2,一般 性价比 (Average value for money) : 0,一般 宵夜 (Average supper) : 0,一般 晚餐 (Average dinner) : 0
没有 陈旧 (Not stale) : 11,一般 景色 (General scenery) : 0,一般 口感 (General taste) : 0,陈旧 点 (Stale point) : 5,老 楼 (Old building) : 4,一般 价格 (General price) : 0,一般 价格 (General price) : 2,一般 总体 (General overall) : 0,一般 宾馆 (General Hotel) : 0,一般 景色 (General scenery) : 0
老 装修 (Old decoration) : 11,一般 景观 (General landscape) : 0,一般 味道 (General taste) : 0,陈旧 设备 (Obsolete equipment) : 5,一般 用品 (General supplies) : 3,一般 位置 (General location) : 0,一般 卫生 (General hygiene) : 2,一般 情况 (generally) : 0,一般 态度 (General attitude) : 0,一般 景观 (General landscape) : 0
老 酒 (Old wine) : 11,一般 服务 (General service) : 0,一般 品牌 (General brand) : 0,陈旧 酒店 (Outdated hotel) : 5,华人 (Chinese) : 3,一般 卫生 (General hygiene) : 0,一般 房间 (Average room) : 2,一般 感觉 (General feeling) : 0,一般 性价比 (Average value for money) : 0,一般 服务 (General service) : 0
一般 温泉 (General hot spring) : 10,一般 条件 (General condition) : 0,一般 品种 (General variety) : 0,一般 价格 (General price) : 4,没有 陈旧 (Not stale) : 3,一般 印象 (General impression) : 0,一般 晚餐 (Average dinner) : 2,一般 房间 (Average room) : 0,一般 总体 (General overall) : 0,一般 条件 (General condition) : 0
陈旧 房间 (Outdated room) : 10,一般 水平 (The general level) : 0,一般 地方 (General place) : 0,一般 大小 (General size) : 4,一般 情况 (generally) : 2,一般 口味 (General taste) : 0,一般 温泉 (General hot spring) : 2,一般 效果 (General effect) : 0,一般 情况 (generally) : 0,一般 水平 (The general level) : 0
