0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
不错 (Not bad) : 12892,一流 (First class) : 0,不错 (Not bad) : 694,不错 (Not bad) : 4722,不错 (Not bad) : 3831,不错 (Not bad) : 793,不错 (Not bad) : 2252,不错 (Not bad) : 248,不错 (Not bad) : 351,一流 (First class) : 0
大 (Big) : 9844,一流 位置 (First-class location) : 0,大 (Big) : 465,大 (Big) : 3269,大 (Big) : 2851,大 (Big) : 715,大 (Big) : 2058,大 (Big) : 208,大 (Big) : 278,一流 位置 (First-class location) : 0
干净 (clean) : 6665,一流 保洁 (First-class cleaning) : 0,干净 (clean) : 419,干净 (clean) : 3024,交通 (traffic) : 2536,早餐 (breakfast) : 703,新 (new) : 1338,环境 (surroundings) : 154,棒 (Great) : 164,一流 保洁 (First-class cleaning) : 0
交通 (traffic) : 6560,一流 卫生 (First-class hygiene) : 0,近 (near) : 361,近 (near) : 2351,干净 (clean) : 2127,棒 (Great) : 438,交通 (traffic) : 1085,早餐 (breakfast) : 129,早餐 (breakfast) : 155,一流 卫生 (First-class hygiene) : 0
早餐 (breakfast) : 5605,一流 品质 (First-class quality) : 0,交通 (traffic) : 235,交通 (traffic) : 2233,购物 (shopping) : 1712,吃 (eat) : 372,购物 (shopping) : 856,棒 (Great) : 116,环境 (surroundings) : 130,一流 品质 (First-class quality) : 0
近 (near) : 5181,一流 地段 (First class location) : 0,远 (far) : 204,早餐 (breakfast) : 1956,早餐 (breakfast) : 1608,大 房间 (Big room) : 264,早餐 (breakfast) : 851,干净 (clean) : 95,大 房间 (Big room) : 123,一流 地段 (First class location) : 0
地铁 (subway) : 4321,一流 夜景 (First-class night view) : 0,早餐 (breakfast) : 203,地铁 (subway) : 1624,地铁 (subway) : 1606,交通 (traffic) : 263,棒 (Great) : 823,大 房间 (Big room) : 93,交通 (traffic) : 116,一流 夜景 (First-class night view) : 0
购物 (shopping) : 4101,一流 态度 (First-class attitude) : 0,附近 (nearby) : 167,附近 (nearby) : 1265,近 (near) : 1346,周边 (Surrounding) : 261,近 (near) : 771,选择 (select) : 93,选择 (select) : 106,一流 态度 (First-class attitude) : 0
推荐 (recommend) : 3281,一流 性价比 (First-class value for money) : 0,推荐 (recommend) : 165,地铁站 (subway station) : 1118,地铁站 (subway station) : 1067,干净 (clean) : 252,环境 (surroundings) : 761,交通 (traffic) : 92,推荐 (recommend) : 97,一流 性价比 (First-class value for money) : 0
环境 (surroundings) : 3258,一流 房间 (First class room) : 0,地铁 (subway) : 156,购物 (shopping) : 1094,推荐 (recommend) : 1064,赞 (awesome) : 237,大 房间 (Big room) : 757,推荐 (recommend) : 75,购物 (shopping) : 96,一流 房间 (First class room) : 0
大 房间 (Big room) : 3197,一流 方面 (First-class aspect) : 0,大 房间 (Big room) : 148,推荐 (recommend) : 1090,便利 (convenient) : 1013,环境 (surroundings) : 236,地铁 (subway) : 686,周边 (Surrounding) : 65,赞 (awesome) : 93,一流 方面 (First-class aspect) : 0
周边 (Surrounding) : 3090,一流 早餐 (Superb breakfast) : 0,卫生 (health) : 147,周边 (Surrounding) : 1055,周边 (Surrounding) : 995,近 (near) : 227,干净 (clean) : 682,近 (near) : 65,地铁 (subway) : 80,一流 早餐 (Superb breakfast) : 0
棒 (Great) : 3028,一流 景 (First-class view) : 0,地铁站 (subway station) : 143,卫生 (health) : 1021,选择 (select) : 917,推荐 (recommend) : 226,选择 (select) : 617,远 (far) : 56,舒服 (Comfortable) : 80,一流 景 (First-class view) : 0
地铁站 (subway station) : 3012,一流 景色 (First-class scenery) : 0,算 (Calculate) : 139,大 房间 (Big room) : 957,环境 (surroundings) : 916,选择 (select) : 213,推荐 (recommend) : 564,附近 (nearby) : 52,新 (new) : 74,一流 景色 (First-class scenery) : 0
附近 (nearby) : 2926,一流 景观 (First-class landscape) : 0,周边 (Surrounding) : 133,环境 (surroundings) : 950,大 房间 (Big room) : 855,购物 (shopping) : 209,周边 (Surrounding) : 530,吃 (eat) : 51,干净 (clean) : 66,一流 景观 (First-class landscape) : 0
选择 (select) : 2793,一流 服务 (First-class service) : 0,吃 (eat) : 122,吃 (eat) : 924,出行 (Travel) : 853,附近 (nearby) : 178,地铁站 (subway station) : 500,里 (in) : 50,一流 (First class) : 60,一流 服务 (First-class service) : 0
新 (new) : 2775,一流 水准 (First-class level) : 0,地方 (local) : 119,便利 (convenient) : 896,附近 (nearby) : 841,里 (in) : 168,赞 (awesome) : 473,地铁站 (subway station) : 49,便利 (convenient) : 60,一流 水准 (First-class level) : 0
吃 (eat) : 2768,一流 水平 (First-class level) : 0,坐 (sit) : 112,算 (Calculate) : 876,吃 (eat) : 840,舒服 (Comfortable) : 156,便利 (convenient) : 430,地铁 (subway) : 46,近 (near) : 60,一流 水平 (First-class level) : 0
便利 (convenient) : 2643,一流 海景 (Superb sea view) : 0,环境 (surroundings) : 111,远 (far) : 797,棒 (Great) : 797,地方 (local) : 149,出行 (Travel) : 429,赞 (awesome) : 46,地铁站 (subway station) : 59,一流 海景 (Superb sea view) : 0
卫生 (health) : 2279,一流 环境 (First-class environment) : 0,不错 位置 (Good location) : 104,地方 (local) : 773,卫生 (health) : 730,好吃 (good to eat) : 142,吃 (eat) : 404,便利 (convenient) : 45,人员 (personnel) : 58,一流 环境 (First-class environment) : 0
出行 (Travel) : 2274,一流 硬件 (First-class hardware) : 0,里 (in) : 100,选择 (select) : 763,算 (Calculate) : 698,远 (far) : 139,附近 (nearby) : 376,一流 (First class) : 44,热情 (enthusiasm) : 57,一流 硬件 (First-class hardware) : 0
算 (Calculate) : 2268,一流 设施 (First-class facilities) : 0,便利 (convenient) : 91,出行 (Travel) : 748,地方 (local) : 683,坐 (sit) : 135,算 (Calculate) : 368,购物 (shopping) : 44,景色 (view) : 56,一流 设施 (First-class facilities) : 0
地方 (local) : 2156,一流 设计 (First-class design) : 0,热情 (enthusiasm) : 90,里 (in) : 743,便利 交通 (Convenient transportation) : 629,地铁 (subway) : 123,地方 (local) : 359,不错 酒店 (Nice hotel) : 43,吃 (eat) : 55,一流 设计 (First-class design) : 0
里 (in) : 1934,一流 质量 (Top quality) : 0,购物 (shopping) : 90,坐 (sit) : 686,坐 (sit) : 564,算 (Calculate) : 123,里 (in) : 328,人员 (personnel) : 43,里 (in) : 52,一流 质量 (Top quality) : 0
坐 (sit) : 1868,一流 软件 (First-class software) : 0,舒服 (Comfortable) : 89,舒服 (Comfortable) : 622,过 (Pass) : 552,新 (new) : 119,坐 (sit) : 321,日式 (Japanese-style) : 43,周边 (Surrounding) : 51,一流 软件 (First-class software) : 0
远 (far) : 1852,一流 酒店 (First class hotel) : 0,人员 (personnel) : 88,新 (new) : 613,新 (new) : 548,日式 (Japanese-style) : 115,不错 酒店 (Nice hotel) : 318,地方 (local) : 39,不错 酒店 (Nice hotel) : 50,一流 酒店 (First class hotel) : 0
赞 (awesome) : 1804,一流 风景 (First-class scenery) : 0,选择 (select) : 84,棒 (Great) : 613,里 (in) : 493,便利 (convenient) : 108,景色 (view) : 317,舒服 (Comfortable) : 39,出行 (Travel) : 50,一流 风景 (First-class scenery) : 0
舒服 (Comfortable) : 1716,不 卫生 (Unsanitary) : 0,出行 (Travel) : 83,不错 位置 (Good location) : 605,赞 (awesome) : 462,景色 (view) : 108,人员 (personnel) : 310,热情 (enthusiasm) : 37,附近 (nearby) : 47,不 卫生 (Unsanitary) : 0
便利 交通 (Convenient transportation) : 1630,不 吃 (Don't eat) : 0,棒 (Great) : 77,干净 房间 (Clean room) : 554,不错 酒店 (Nice hotel) : 440,不错 酒店 (Nice hotel) : 95,舒服 (Comfortable) : 309,新 (new) : 33,远 (far) : 46,不 吃 (Don't eat) : 0
人员 (personnel) : 1517,不 地方 (Not place) : 0,干净 房间 (Clean room) : 66,人员 (personnel) : 538,舒服 (Comfortable) : 421,风景 (landscape) : 92,便利 交通 (Convenient transportation) : 277,过 (Pass) : 31,过 (Pass) : 41,不 地方 (Not place) : 0
过 (Pass) : 1493,不 坐 (Not sitting) : 0,总体 (overall) : 66,便利 交通 (Convenient transportation) : 535,不错 位置 (Good location) : 420,人员 (personnel) : 88,风景 (landscape) : 275,算 (Calculate) : 30,便利 交通 (Convenient transportation) : 39,不 坐 (Not sitting) : 0
不错 酒店 (Nice hotel) : 1462,不 推荐 (Not recommended) : 0,过 (Pass) : 66,热情 (enthusiasm) : 518,干净 房间 (Clean room) : 413,热情 (enthusiasm) : 87,卫生 (health) : 262,卫生 (health) : 27,地方 (local) : 34,不 推荐 (Not recommended) : 0
不错 位置 (Good location) : 1426,不 算 (Not count) : 0,不错 服务 (Good service) : 65,过 (Pass) : 490,人员 (personnel) : 392,出行 (Travel) : 85,远 (far) : 256,便利 交通 (Convenient transportation) : 26,算 (Calculate) : 34,不 算 (Not count) : 0
热情 (enthusiasm) : 1340,不 购物 (Not shopping) : 0,赞 (awesome) : 62,总体 (overall) : 467,远 (far) : 354,过 (Pass) : 80,过 (Pass) : 233,出行 (Travel) : 26,棒 酒店 (Great hotel) : 32,不 购物 (Not shopping) : 0
干净 房间 (Clean room) : 1224,不 赞 (Not like) : 0,不错 酒店 (Nice hotel) : 59,不错 酒店 (Nice hotel) : 457,热情 (enthusiasm) : 333,地铁站 (subway station) : 76,热情 (enthusiasm) : 218,总体 (overall) : 26,风景 (landscape) : 30,不 赞 (Not like) : 0
总体 (overall) : 1163,不 过 (But) : 0,便利 交通 (Convenient transportation) : 54,赞 (awesome) : 431,总体 (overall) : 329,漂亮 (Pretty) : 75,一流 (First class) : 212,好吃 (good to eat) : 24,坐 (sit) : 29,不 过 (But) : 0
好吃 (good to eat) : 1099,不 选择 (Not choose) : 0,好吃 (good to eat) : 54,好吃 (good to eat) : 402,日式 (Japanese-style) : 320,时候 (time) : 74,总体 (overall) : 192,不错 位置 (Good location) : 23,不错 位置 (Good location) : 28,不 选择 (Not choose) : 0
