0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
不错 (Not bad) : 13808,一流 (First class) : 0,不错 (Not bad) : 149,不错 (Not bad) : 661,不错 (Not bad) : 2060,不错 (Not bad) : 10547,不错 (Not bad) : 391
大 (Big) : 10855,一流 位置 (First-class location) : 0,早餐 (breakfast) : 126,干净 (clean) : 496,干净 (clean) : 1436,大 (Big) : 8655,大 (Big) : 337
干净 (clean) : 7136,一流 保洁 (First-class cleaning) : 0,干净 (clean) : 118,大 (Big) : 392,大 (Big) : 1390,交通 (traffic) : 5413,早餐 (breakfast) : 196
交通 (traffic) : 6966,一流 卫生 (First-class hygiene) : 0,大 (Big) : 81,近 (near) : 372,近 (near) : 1140,干净 (clean) : 5012,棒 (Great) : 193
早餐 (breakfast) : 6489,一流 品质 (First-class quality) : 0,地铁 (subway) : 79,早餐 (breakfast) : 326,交通 (traffic) : 1126,早餐 (breakfast) : 4917,环境 (surroundings) : 167
近 (near) : 5743,一流 地段 (First class location) : 0,交通 (traffic) : 75,地铁 (subway) : 219,地铁 (subway) : 936,近 (near) : 4096,大 房间 (Big room) : 137
地铁 (subway) : 5018,一流 夜景 (First-class night view) : 0,近 (near) : 64,交通 (traffic) : 217,早餐 (breakfast) : 924,购物 (shopping) : 3696,交通 (traffic) : 135
购物 (shopping) : 4518,一流 态度 (First-class attitude) : 0,地铁站 (subway station) : 58,卫生 (health) : 214,地铁站 (subway station) : 729,地铁 (subway) : 3693,选择 (select) : 123
地理 (geography) : 4131,一流 性价比 (First-class value for money) : 0,远 (far) : 48,距离 (distance) : 204,附近 (nearby) : 669,地理 (geography) : 3242,推荐 (recommend) : 116
环境 (surroundings) : 3522,一流 房间 (First class room) : 0,价格 (price) : 44,算 (Calculate) : 196,地理 (geography) : 618,新 (new) : 2871,赞 (awesome) : 108
推荐 (recommend) : 3462,一流 方面 (First-class aspect) : 0,卫生 (health) : 43,远 (far) : 193,购物 (shopping) : 580,大 房间 (Big room) : 2855,购物 (shopping) : 106
附近 (nearby) : 3444,一流 早餐 (Superb breakfast) : 0,附近 (nearby) : 41,价格 (price) : 191,周边 (Surrounding) : 551,环境 (surroundings) : 2768,价格 (price) : 97
地铁站 (subway station) : 3433,一流 景 (First-class view) : 0,过 (Pass) : 38,附近 (nearby) : 189,价格 (price) : 532,推荐 (recommend) : 2758,舒服 (Comfortable) : 93
吃 (eat) : 3431,一流 景色 (First-class scenery) : 0,一般 (general) : 37,地理 (geography) : 165,卫生 (health) : 520,吃 (eat) : 2701,地铁 (subway) : 91
大 房间 (Big room) : 3429,一流 景观 (First-class landscape) : 0,周边 (Surrounding) : 36,地铁站 (subway station) : 160,吃 (eat) : 490,选择 (select) : 2632,新 (new) : 90
周边 (Surrounding) : 3421,一流 服务 (First-class service) : 0,算 (Calculate) : 35,周边 (Surrounding) : 146,距离 (distance) : 474,周边 (Surrounding) : 2613,里 (in) : 80
新 (new) : 3329,一流 水准 (First-class level) : 0,地理 (geography) : 33,地方 (local) : 136,算 (Calculate) : 462,棒 (Great) : 2596,吃 (eat) : 79
算 (Calculate) : 3320,一流 水平 (First-class level) : 0,距离 (distance) : 32,吃 (eat) : 134,便利 (convenient) : 455,算 (Calculate) : 2573,人员 (personnel) : 78
选择 (select) : 3252,一流 海景 (Superb sea view) : 0,购物 (shopping) : 31,推荐 (recommend) : 123,环境 (surroundings) : 447,附近 (nearby) : 2472,周边 (Surrounding) : 75
棒 (Great) : 3125,一流 环境 (First-class environment) : 0,吃 (eat) : 27,环境 (surroundings) : 123,推荐 (recommend) : 439,地铁站 (subway station) : 2416,一流 (First class) : 74
价格 (price) : 3028,一流 硬件 (First-class hardware) : 0,便利 (convenient) : 26,一般 (general) : 117,里 (in) : 400,便利 (convenient) : 2201,干净 (clean) : 74
便利 (convenient) : 2847,一流 设施 (First-class facilities) : 0,推荐 (recommend) : 26,坐 (sit) : 113,地方 (local) : 397,价格 (price) : 2164,远 (far) : 74
卫生 (health) : 2564,一流 设计 (First-class design) : 0,里 (in) : 26,里 (in) : 107,选择 (select) : 384,出行 (Travel) : 2056,地理 (geography) : 73
出行 (Travel) : 2555,一流 质量 (Top quality) : 0,干净 房间 (Clean room) : 21,购物 (shopping) : 105,坐 (sit) : 357,坐 (sit) : 1884,距离 (distance) : 73
距离 (distance) : 2504,一流 软件 (First-class software) : 0,中文 (Chinese) : 20,人员 (personnel) : 104,出行 (Travel) : 353,地方 (local) : 1828,附近 (nearby) : 73
地方 (local) : 2431,一流 酒店 (First class hotel) : 0,便利 交通 (Convenient transportation) : 19,便利 (convenient) : 94,远 (far) : 349,卫生 (health) : 1759,便利 (convenient) : 71
坐 (sit) : 2412,一流 风景 (First-class scenery) : 0,地方 (local) : 19,选择 (select) : 94,过 (Pass) : 343,距离 (distance) : 1721,热情 (enthusiasm) : 71
里 (in) : 2234,一般 (general) : 0,坐 (sit) : 19,不错 位置 (Good location) : 88,大 房间 (Big room) : 338,一般 (general) : 1686,近 (near) : 71
远 (far) : 2226,一般 东 (General east) : 0,选择 (select) : 19,大 房间 (Big room) : 88,人员 (personnel) : 295,里 (in) : 1621,地铁站 (subway station) : 70
一般 (general) : 2187,一般 东西 (General stuff) : 0,好吃 (good to eat) : 18,热情 (enthusiasm) : 88,新 (new) : 292,赞 (awesome) : 1605,一般 (general) : 68
过 (Pass) : 2084,一般 交通 (General traffic) : 0,热情 (enthusiasm) : 18,总体 (overall) : 83,一般 (general) : 279,过 (Pass) : 1579,出行 (Travel) : 61
赞 (awesome) : 1941,一般 人 (normal person) : 0,不错 位置 (Good location) : 17,舒服 (Comfortable) : 79,便利 交通 (Convenient transportation) : 263,远 (far) : 1562,景色 (view) : 61
舒服 (Comfortable) : 1901,一般 价格 (General price) : 0,不错 酒店 (Nice hotel) : 17,棒 (Great) : 75,舒服 (Comfortable) : 254,舒服 (Comfortable) : 1462,过 (Pass) : 60
人员 (personnel) : 1816,一般 位置 (General location) : 0,新 (new) : 17,出行 (Travel) : 73,棒 (Great) : 250,便利 交通 (Convenient transportation) : 1342,不错 酒店 (Nice hotel) : 57
便利 交通 (Convenient transportation) : 1715,一般 住宿 (General accommodation) : 0,环境 (surroundings) : 17,干净 房间 (Clean room) : 70,热情 (enthusiasm) : 244,人员 (personnel) : 1324,算 (Calculate) : 54
不错 位置 (Good location) : 1585,一般 卫生 (General hygiene) : 0,人员 (personnel) : 15,过 (Pass) : 64,干净 房间 (Clean room) : 242,中文 (Chinese) : 1283,地方 (local) : 51
中文 (Chinese) : 1582,一般 印象 (General impression) : 0,总体 (overall) : 15,问题 (problem) : 64,不错 位置 (Good location) : 234,不错 酒店 (Nice hotel) : 1227,便利 交通 (Convenient transportation) : 46
不错 酒店 (Nice hotel) : 1514,一般 口味 (General taste) : 0,问题 (problem) : 15,好吃 (good to eat) : 60,总体 (overall) : 221,不错 位置 (Good location) : 1216,坐 (sit) : 39
热情 (enthusiasm) : 1449,一般 口感 (General taste) : 0,舒服 (Comfortable) : 13,新 (new) : 59,问题 (problem) : 201,总体 (overall) : 1042,时候 (time) : 39
