0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
不错 (Not bad) : 12892,一流 (First class) : 0,一流 (First class) : 0,不错 (Not bad) : 139,不错 (Not bad) : 601,不错 (Not bad) : 1925,不错 (Not bad) : 3110,不错 (Not bad) : 2291,不错 (Not bad) : 4451,不错 (Not bad) : 375
大 (Big) : 9844,一流 位置 (First-class location) : 0,一流 位置 (First-class location) : 0,干净 (clean) : 114,干净 (clean) : 455,干净 (clean) : 1348,大 (Big) : 2245,大 (Big) : 1913,大 (Big) : 3670,大 (Big) : 315
干净 (clean) : 6665,一流 保洁 (First-class cleaning) : 0,一流 保洁 (First-class cleaning) : 0,早餐 (breakfast) : 112,大 (Big) : 348,大 (Big) : 1277,交通 (traffic) : 1990,干净 (clean) : 1159,早餐 (breakfast) : 2422,棒 (Great) : 189
交通 (traffic) : 6560,一流 卫生 (First-class hygiene) : 0,一流 卫生 (First-class hygiene) : 0,大 (Big) : 76,近 (near) : 323,交通 (traffic) : 1058,干净 (clean) : 1940,交通 (traffic) : 1105,交通 (traffic) : 2012,早餐 (breakfast) : 171
早餐 (breakfast) : 5605,一流 品质 (First-class quality) : 0,一流 品质 (First-class quality) : 0,交通 (traffic) : 72,早餐 (breakfast) : 270,近 (near) : 1016,近 (near) : 1433,近 (near) : 935,购物 (shopping) : 1764,环境 (surroundings) : 157
近 (near) : 5181,一流 地段 (First class location) : 0,一流 地段 (First class location) : 0,地铁 (subway) : 66,卫生 (health) : 201,地铁 (subway) : 801,地铁 (subway) : 1073,早餐 (breakfast) : 846,新 (new) : 1634,大 房间 (Big room) : 131
地铁 (subway) : 4321,一流 夜景 (First-class night view) : 0,一流 夜景 (First-class night view) : 0,近 (near) : 55,交通 (traffic) : 196,早餐 (breakfast) : 777,早餐 (breakfast) : 1007,大 房间 (Big room) : 643,棒 (Great) : 1626,交通 (traffic) : 127
购物 (shopping) : 4101,一流 态度 (First-class attitude) : 0,一流 态度 (First-class attitude) : 0,地铁站 (subway station) : 51,地铁 (subway) : 164,地铁站 (subway station) : 639,购物 (shopping) : 979,推荐 (recommend) : 638,地铁 (subway) : 1604,选择 (select) : 112
推荐 (recommend) : 3281,一流 性价比 (First-class value for money) : 0,一流 性价比 (First-class value for money) : 0,远 (far) : 41,远 (far) : 158,附近 (nearby) : 572,周边 (Surrounding) : 837,购物 (shopping) : 636,干净 (clean) : 1577,推荐 (recommend) : 109
环境 (surroundings) : 3258,一流 房间 (First class room) : 0,一流 房间 (First class room) : 0,附近 (nearby) : 34,附近 (nearby) : 150,购物 (shopping) : 516,附近 (nearby) : 825,周边 (Surrounding) : 552,近 (near) : 1354,赞 (awesome) : 101
大 房间 (Big room) : 3197,一流 方面 (First-class aspect) : 0,一流 方面 (First-class aspect) : 0,卫生 (health) : 33,地铁站 (subway station) : 133,周边 (Surrounding) : 486,地铁站 (subway station) : 811,环境 (surroundings) : 541,环境 (surroundings) : 1347,购物 (shopping) : 98
周边 (Surrounding) : 3090,一流 早餐 (Superb breakfast) : 0,一流 早餐 (Superb breakfast) : 0,周边 (Surrounding) : 29,周边 (Surrounding) : 127,卫生 (health) : 450,推荐 (recommend) : 777,地铁 (subway) : 530,大 房间 (Big room) : 1340,舒服 (Comfortable) : 84
棒 (Great) : 3028,一流 景 (First-class view) : 0,一流 景 (First-class view) : 0,过 (Pass) : 28,算 (Calculate) : 126,推荐 (recommend) : 415,便利 (convenient) : 766,附近 (nearby) : 527,选择 (select) : 1243,地铁 (subway) : 83
地铁站 (subway station) : 3012,一流 景色 (First-class scenery) : 0,一流 景色 (First-class scenery) : 0,购物 (shopping) : 27,地方 (local) : 111,环境 (surroundings) : 408,环境 (surroundings) : 684,吃 (eat) : 517,推荐 (recommend) : 1207,新 (new) : 77
附近 (nearby) : 2926,一流 景观 (First-class landscape) : 0,一流 景观 (First-class landscape) : 0,推荐 (recommend) : 25,推荐 (recommend) : 110,便利 (convenient) : 407,大 房间 (Big room) : 680,算 (Calculate) : 470,吃 (eat) : 1081,干净 (clean) : 72
选择 (select) : 2793,一流 服务 (First-class service) : 0,一流 服务 (First-class service) : 0,便利 (convenient) : 24,环境 (surroundings) : 107,吃 (eat) : 399,卫生 (health) : 674,出行 (Travel) : 454,周边 (Surrounding) : 990,里 (in) : 71
新 (new) : 2775,一流 水准 (First-class level) : 0,一流 水准 (First-class level) : 0,里 (in) : 24,吃 (eat) : 97,地方 (local) : 357,出行 (Travel) : 643,棒 (Great) : 448,地铁站 (subway station) : 990,一流 (First class) : 69
吃 (eat) : 2768,一流 水平 (First-class level) : 0,一流 水平 (First-class level) : 0,干净 房间 (Clean room) : 21,里 (in) : 91,里 (in) : 353,选择 (select) : 603,便利 (convenient) : 438,赞 (awesome) : 887,周边 (Surrounding) : 69
便利 (convenient) : 2643,一流 海景 (Superb sea view) : 0,一流 海景 (Superb sea view) : 0,算 (Calculate) : 21,人员 (personnel) : 90,选择 (select) : 338,地方 (local) : 601,选择 (select) : 400,便利 (convenient) : 860,便利 (convenient) : 66
卫生 (health) : 2279,一流 环境 (First-class environment) : 0,一流 环境 (First-class environment) : 0,吃 (eat) : 20,便利 (convenient) : 82,大 房间 (Big room) : 316,吃 (eat) : 591,坐 (sit) : 364,附近 (nearby) : 760,人员 (personnel) : 65
出行 (Travel) : 2274,一流 硬件 (First-class hardware) : 0,一流 硬件 (First-class hardware) : 0,便利 交通 (Convenient transportation) : 19,选择 (select) : 82,算 (Calculate) : 313,算 (Calculate) : 544,地方 (local) : 361,算 (Calculate) : 757,热情 (enthusiasm) : 65
算 (Calculate) : 2268,一流 设施 (First-class facilities) : 0,一流 设施 (First-class facilities) : 0,不错 酒店 (Nice hotel) : 17,坐 (sit) : 81,出行 (Travel) : 302,新 (new) : 517,里 (in) : 345,出行 (Travel) : 746,近 (near) : 65
地方 (local) : 2156,一流 设计 (First-class design) : 0,一流 设计 (First-class design) : 0,好吃 (good to eat) : 17,热情 (enthusiasm) : 81,远 (far) : 300,便利 交通 (Convenient transportation) : 503,卫生 (health) : 336,地方 (local) : 669,吃 (eat) : 63
里 (in) : 1934,一流 质量 (Top quality) : 0,一流 质量 (Top quality) : 0,热情 (enthusiasm) : 17,购物 (shopping) : 81,坐 (sit) : 297,坐 (sit) : 471,远 (far) : 332,坐 (sit) : 612,地铁站 (subway station) : 59
坐 (sit) : 1868,一流 软件 (First-class software) : 0,一流 软件 (First-class software) : 0,不错 位置 (Good location) : 16,大 房间 (Big room) : 76,人员 (personnel) : 244,远 (far) : 460,地铁站 (subway station) : 329,里 (in) : 605,景色 (view) : 59
远 (far) : 1852,一流 酒店 (First class hotel) : 0,一流 酒店 (First class hotel) : 0,地方 (local) : 16,棒 (Great) : 73,便利 交通 (Convenient transportation) : 244,里 (in) : 445,赞 (awesome) : 312,舒服 (Comfortable) : 604,远 (far) : 58
赞 (awesome) : 1804,一流 风景 (First-class scenery) : 0,一流 风景 (First-class scenery) : 0,新 (new) : 16,不错 位置 (Good location) : 72,棒 (Great) : 241,棒 (Great) : 440,舒服 (Comfortable) : 305,不错 酒店 (Nice hotel) : 587,附近 (nearby) : 58
舒服 (Comfortable) : 1716,不 卫生 (Unsanitary) : 0,不 卫生 (Unsanitary) : 0,选择 (select) : 15,舒服 (Comfortable) : 70,过 (Pass) : 237,舒服 (Comfortable) : 419,不错 位置 (Good location) : 277,人员 (personnel) : 576,出行 (Travel) : 54
便利 交通 (Convenient transportation) : 1630,不 吃 (Don't eat) : 0,不 吃 (Don't eat) : 0,总体 (overall) : 14,总体 (overall) : 69,干净 房间 (Clean room) : 234,不错 位置 (Good location) : 409,不错 酒店 (Nice hotel) : 274,卫生 (health) : 558,不错 酒店 (Nice hotel) : 53
人员 (personnel) : 1517,不 地方 (Not place) : 0,不 地方 (Not place) : 0,环境 (surroundings) : 14,干净 房间 (Clean room) : 66,新 (new) : 234,过 (Pass) : 405,新 (new) : 260,日式 (Japanese-style) : 530,过 (Pass) : 45
过 (Pass) : 1493,不 坐 (Not sitting) : 0,不 坐 (Not sitting) : 0,问题 (problem) : 14,出行 (Travel) : 64,舒服 (Comfortable) : 226,干净 房间 (Clean room) : 360,便利 交通 (Convenient transportation) : 259,便利 交通 (Convenient transportation) : 520,便利 交通 (Convenient transportation) : 43
不错 酒店 (Nice hotel) : 1462,不 推荐 (Not recommended) : 0,不 推荐 (Not recommended) : 0,不错 早餐 (Good breakfast) : 12,好吃 (good to eat) : 57,热情 (enthusiasm) : 221,不错 酒店 (Nice hotel) : 326,过 (Pass) : 245,远 (far) : 503,地方 (local) : 41
