keyword,translated_keyword,0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
一流,First class,652,0,8,83,173,61,216,47,64,0
一流 位置,First-class location,54,0,3,13,28,2,6,0,0,0
一流 保洁,First-class cleaning,4,0,0,3,0,0,0,0,0,0
一流 卫生,First-class hygiene,9,0,0,0,4,0,3,0,0,0
一流 品质,First-class quality,3,0,0,0,0,0,0,0,0,0
一流 地段,First class location,8,0,0,0,2,0,4,0,0,0
一流 夜景,First-class night view,7,0,0,0,0,0,4,0,2,0
一流 态度,First-class attitude,11,0,0,2,4,0,4,0,0,0
一流 性价比,First-class value for money,7,0,0,0,0,0,2,0,2,0
一流 房间,First class room,5,0,0,0,0,0,4,0,0,0
一流 方面,First-class aspect,3,0,0,0,0,0,2,0,0,0
一流 早餐,Superb breakfast,10,0,0,0,4,4,0,0,0,0
一流 景,First-class view,3,0,0,0,0,0,2,0,0,0
一流 景色,First-class scenery,13,0,0,0,0,2,8,0,3,0
一流 景观,First-class landscape,21,0,0,0,0,3,15,0,0,0
一流 服务,First-class service,211,0,0,25,74,10,63,15,23,0
一流 水准,First-class level,2,0,0,0,0,0,0,0,0,0
一流 水平,First-class level,5,0,0,2,0,0,3,0,0,0
一流 海景,Superb sea view,2,0,0,0,0,2,0,0,0,0
一流 环境,First-class environment,41,0,0,5,12,2,16,4,2,0
一流 硬件,First-class hardware,3,0,0,0,0,0,0,0,0,0
一流 设施,First-class facilities,72,0,0,3,15,11,30,6,6,0
一流 设计,First-class design,6,0,0,3,0,0,0,0,2,0
一流 质量,Top quality,5,0,0,0,3,0,0,0,0,0
一流 软件,First-class software,2,0,0,0,0,0,0,0,0,0
一流 那,First class that,3,0,0,0,0,0,3,0,0,0
一流 酒店,First class hotel,26,0,0,2,5,7,8,4,0,0
一流 风景,First-class scenery,12,0,0,0,0,2,8,0,0,0
一般,general,2187,0,115,913,559,155,344,42,59,0
一般 一般,General general,56,0,0,56,0,0,0,0,0,0
一般 不足,Generally insufficient,5,0,0,0,0,0,0,0,0,0
一般 东,General east,2,0,0,2,0,0,0,0,0,0
一般 东西,General stuff,7,0,0,3,2,0,2,0,0,0
一般 交通,General traffic,6,0,0,3,0,0,2,0,0,0
一般 人,normal person,3,0,0,0,0,0,0,0,0,0
一般 价格,General price,7,0,0,4,0,0,2,0,0,0
一般 位置,General location,51,0,7,23,5,0,10,2,3,0
一般 住宿,General accommodation,2,0,0,2,0,0,0,0,0,0
一般 其它,General other,2,0,0,0,2,0,0,0,0,0
一般 卫生,General hygiene,51,0,3,30,15,0,2,0,0,0
一般 印象,General impression,2,0,0,0,0,0,0,0,0,0
一般 口味,General taste,6,0,0,3,0,0,0,0,0,0
一般 口感,General taste,2,0,0,0,0,0,0,0,0,0
一般 周围,General vicinity,2,0,0,0,2,0,0,0,0,0
一般 味道,General taste,29,0,2,13,5,4,5,0,0,0
一般 品牌,General brand,3,0,0,2,0,0,0,0,0,0
一般 品种,General variety,7,0,0,0,0,2,2,0,0,0
一般 品质,General quality,2,0,0,0,0,0,0,0,0,0
一般 地方,General place,2,0,0,0,0,0,0,0,0,0
一般 地段,General location,6,0,0,3,0,0,0,0,0,0
一般 地点,General location,5,0,0,3,0,0,0,0,0,0
一般 大厅,General lobby,2,0,0,0,0,0,0,0,0,0
一般 大小,General size,12,0,0,4,4,0,4,0,0,0
