keyword,translated_keyword,0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
一般,general,1713,0,87,728,438,127,257,33,43,0
一般 一般,General general,56,0,0,56,0,0,0,0,0,0
一般 不足,Generally insufficient,3,0,0,0,0,0,0,0,0,0
一般 东西,General stuff,6,0,0,3,0,0,2,0,0,0
一般 交通,General traffic,3,0,0,0,0,0,2,0,0,0
一般 人,normal person,2,0,0,0,0,0,0,0,0,0
一般 价格,General price,7,0,0,4,0,0,2,0,0,0
一般 位置,General location,42,0,7,20,5,0,7,0,2,0
一般 其它,General other,2,0,0,0,2,0,0,0,0,0
一般 卫生,General hygiene,30,0,2,15,10,0,2,0,0,0
一般 印象,General impression,2,0,0,0,0,0,0,0,0,0
一般 口味,General taste,6,0,0,3,0,0,0,0,0,0
一般 口感,General taste,2,0,0,0,0,0,0,0,0,0
一般 味道,General taste,22,0,0,9,5,4,3,0,0,0
一般 品牌,General brand,3,0,0,2,0,0,0,0,0,0
一般 品种,General variety,5,0,0,0,0,2,0,0,0,0
一般 地方,General place,2,0,0,0,0,0,0,0,0,0
一般 地段,General location,5,0,0,2,0,0,0,0,0,0
一般 地点,General location,3,0,0,2,0,0,0,0,0,0
一般 大小,General size,12,0,0,4,4,0,4,0,0,0
一般 好,Fair good,6,0,2,0,2,0,0,0,2,0
一般 宵夜,Average supper,2,0,0,2,0,0,0,0,0,0
一般 宾馆,General Hotel,3,0,0,2,0,0,0,0,0,0
一般 小,Average small,2,0,0,2,0,0,0,0,0,0
一般 希尔顿,General Hilton,2,0,0,0,0,0,0,0,0,0
一般 态度,General attitude,39,0,2,15,11,5,6,0,0,0
一般 性价比,Average value for money,44,0,0,12,20,2,7,0,0,0
一般 总体,General overall,4,0,2,2,0,0,0,0,0,0
一般 情况,generally,4,0,0,0,2,0,0,0,0,0
一般 感觉,General feeling,24,0,2,10,5,4,3,0,0,0
一般 房间,Average room,37,0,0,8,19,5,2,0,2,0
一般 效果,General effect,6,0,0,5,0,0,0,0,0,0
一般 方面,General aspect,5,0,0,2,2,0,0,0,0,0
一般 旅馆,General Hotel,2,0,0,0,0,0,0,0,0,0
一般 早餐,Average breakfast,97,0,7,35,23,5,19,3,5,0
一般 早饭,Average breakfast,6,0,0,4,0,2,0,0,0,0
一般 晚餐,Average dinner,3,0,0,0,0,0,2,0,0,0
一般 景色,General scenery,4,0,0,0,2,0,0,0,0,0
一般 景观,General landscape,2,0,0,0,0,0,0,0,0,0
一般 服务,General service,115,0,4,35,36,12,18,4,6,0
一般 条件,General condition,18,0,2,10,4,0,0,0,0,0
一般 比较,General comparison,2,0,0,0,0,0,0,0,0,0
一般 水平,The general level,5,0,0,3,0,0,0,0,0,0
一般 水质,General water quality,2,0,0,0,2,0,0,0,0,0
一般 沙滩,Average beach,7,0,0,0,2,5,0,0,0,0
一般 温泉,General hot spring,10,0,0,0,2,6,2,0,0,0
一般 状况,General condition,3,0,0,0,0,0,0,0,0,0
一般 环境,General environment,40,0,2,20,8,4,5,0,0,0
一般 用品,General supplies,5,0,0,0,3,0,0,0,0,0
一般 真心,So honest,7,0,0,3,4,0,0,0,0,0
