keyword,translated_keyword,0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
一流,First class,631,0,8,82,165,60,212,44,60,0
一流 位置,First-class location,49,0,3,12,24,2,6,0,0,0
一流 保洁,First-class cleaning,4,0,0,3,0,0,0,0,0,0
一流 卫生,First-class hygiene,8,0,0,0,4,0,2,0,0,0
一流 品质,First-class quality,3,0,0,0,0,0,0,0,0,0
一流 地段,First class location,8,0,0,0,2,0,4,0,0,0
一流 夜景,First-class night view,7,0,0,0,0,0,4,0,2,0
一流 态度,First-class attitude,11,0,0,2,4,0,4,0,0,0
一流 性价比,First-class value for money,7,0,0,0,0,0,2,0,2,0
一流 房间,First class room,5,0,0,0,0,0,4,0,0,0
一流 方面,First-class aspect,3,0,0,0,0,0,2,0,0,0
一流 早餐,Superb breakfast,9,0,0,0,3,4,0,0,0,0
一流 景,First-class view,3,0,0,0,0,0,2,0,0,0
一流 景色,First-class scenery,13,0,0,0,0,2,8,0,3,0
一流 景观,First-class landscape,20,0,0,0,0,3,15,0,0,0
一流 服务,First-class service,206,0,0,25,74,10,61,14,21,0
一流 水准,First-class level,2,0,0,0,0,0,0,0,0,0
一流 水平,First-class level,5,0,0,2,0,0,3,0,0,0
一流 海景,Superb sea view,2,0,0,0,0,2,0,0,0,0
一流 环境,First-class environment,39,0,0,5,12,2,15,3,2,0
一流 硬件,First-class hardware,3,0,0,0,0,0,0,0,0,0
一流 设施,First-class facilities,71,0,0,3,15,10,30,6,6,0
一流 设计,First-class design,6,0,0,3,0,0,0,0,2,0
一流 质量,Top quality,5,0,0,0,3,0,0,0,0,0
一流 软件,First-class software,2,0,0,0,0,0,0,0,0,0
一流 那,First class that,3,0,0,0,0,0,3,0,0,0
一流 酒店,First class hotel,24,0,0,2,3,7,8,4,0,0
一流 风景,First-class scenery,12,0,0,0,0,2,8,0,0,0
不 一流,Not superb,2,0,0,2,0,0,0,0,0,0
不 不错,Not good,15,0,2,8,3,2,0,0,0,0
不 住,Not live,151,0,10,48,44,13,23,7,6,0
不 便利,Not convenient,18,0,0,11,2,0,3,0,0,0
不 卫生,Unsanitary,6,0,0,3,0,0,0,0,0,0
不 可以,No,8,0,0,0,2,0,3,0,0,0
不 吃,Don't eat,86,0,4,30,20,16,11,3,2,0
不 地方,Not place,9,0,2,3,0,0,0,0,0,0
不 坐,Not sitting,37,0,3,16,9,3,5,0,0,0
不 大,Not big,1274,0,96,559,434,61,105,16,3,0
不 好吃,unpalatable,31,0,0,11,7,3,7,0,0,0
不 干净,Not clean,107,0,11,44,39,4,8,0,0,0
不 推荐,Not recommended,157,0,7,62,42,14,25,2,5,0
不 新,Not new,69,0,4,12,27,7,15,4,0,0
不 棒,Not great,7,0,0,4,2,0,0,0,0,0
不 热情,Not passionate,35,0,0,14,10,0,8,0,0,0
不 算,Not count,594,0,35,229,185,39,82,14,10,0
不 舒服,Uncomfortable,183,0,14,72,44,5,43,2,3,0
不 购物,Not shopping,7,0,0,0,2,0,4,0,0,0
不 赞,Not like,5,0,0,0,0,2,2,0,0,0
不 过,But,83,0,4,26,37,8,6,0,0,0
不 近,not near,11,0,2,4,4,0,0,0,0,0
不 远,Not far,892,0,95,414,182,67,99,18,17,0
不 选择,Not choose,48,0,4,15,14,4,6,0,5,0
不 问题,No problem,24,0,0,10,7,2,4,0,0,0
不错,Not bad,12892,0,694,4722,3831,793,2252,248,351,0
不错 ....,Not bad...,2,0,0,0,0,0,2,0,0,0
不错 一切,Good everything,9,0,0,4,2,0,0,0,0,0
不错 不错,Not bad,2,0,0,2,0,0,0,0,0,0
不错 东西,Good thing,16,0,0,9,3,0,2,0,0,0
不错 中心,Nice center,4,0,0,0,3,0,0,0,0,0
不错 中文,Good Chinese,2,0,0,2,0,0,0,0,0,0
不错 主楼,Good main building,2,0,0,0,2,0,0,0,0,0
不错 之一,Nice one,2,0,0,0,0,0,0,0,0,0
不错 五星,Good five stars,2,0,0,0,0,0,2,0,0,0
不错 交通,Good traffic,36,0,3,8,15,0,7,2,0,0
不错 产品,Good product,6,0,0,3,3,0,0,0,0,0
不错 享受,Nice enjoy,2,0,0,0,0,0,0,0,0,0
不错 人,Nice people,11,0,0,5,2,0,3,0,0,0
不错 人员,Nice staff,12,0,0,5,0,0,2,0,3,0
不错 人间,Nice world,2,0,0,2,0,0,0,0,0,0
不错 什么,Not bad what,5,0,0,0,2,0,2,0,0,0
不错 代,Good generation,2,0,0,0,0,0,2,0,0,0
不错 价,Good price,3,0,0,0,0,0,0,0,0,0
不错 价位,Good price,4,0,0,0,0,0,0,0,0,0
不错 价格,Good price,43,0,6,16,13,0,5,2,0,0
不错 价钱,Good price,7,0,0,4,0,0,0,0,2,0
不错 优势,Good advantage,3,0,0,3,0,0,0,0,0,0
不错 位子,Nice seat,13,0,0,4,6,0,3,0,0,0
不错 位置,Good location,1426,0,104,605,420,63,183,23,28,0
不错 住,Good live,3,0,0,0,0,0,2,0,0,0
不错 住宅,Good residential,2,0,0,2,0,0,0,0,0,0
不错 住宿,Good accommodation,9,0,2,2,3,0,0,0,0,0
不错 体验,Good experience,57,0,0,15,18,5,13,2,3,0
不错 保养,Good maintenance,3,0,0,0,0,0,0,0,0,0
不错 保持,Good keep,4,0,0,2,0,0,0,0,0,0
不错 信号,Good signal,5,0,0,5,0,0,0,0,0,0
不错 关键,Good key,3,0,0,0,0,0,0,0,0,0
不错 其他,Good other,79,0,0,31,30,5,11,0,0,0
不错 其余,Good rest,3,0,0,0,2,0,0,0,0,0
不错 其它,Good other,20,0,2,9,5,0,4,0,0,0
不错 内容,Good content,2,0,0,0,2,0,0,0,0,0
不错 内部,Nice internal,3,0,0,0,0,0,0,0,0,0
不错 出品,Not bad,2,0,0,2,0,0,0,0,0,0
不错 出行,Not bad travel,2,0,0,0,0,0,0,0,0,0
不错 别的,Good other,11,0,0,8,0,0,0,0,0,0
不错 前台,Good front desk,10,0,0,5,3,0,0,0,0,0
不错 区,Nice area,2,0,0,0,0,0,0,0,0,0
不错 卫生,Good health,178,0,7,78,73,3,15,0,0,0
不错 卫生间,Nice bathroom,9,0,0,0,6,0,0,0,0,0
不错 印象,Good impression,9,0,0,2,3,0,2,0,0,0
不错 去处,Good place,2,0,0,0,0,0,2,0,0,0
不错 反响,Good response,3,0,0,0,0,0,0,0,0,0
不错 反应,Good response,2,0,0,2,0,0,0,0,0,0
不错 反馈,Good feedback,5,0,0,2,0,0,2,0,0,0
不错 口味,Good taste,21,0,0,10,5,0,5,0,0,0
不错 台,Not bad,2,0,0,2,0,0,0,0,0,0
不错 吃,Good eat,9,0,0,2,4,0,2,0,0,0
不错 吃饭,Good meal,4,0,0,0,2,0,0,0,0,0
不错 吕,Not bad Lv,4,0,0,0,0,3,0,0,0,0
不错 吹风机,Nice hair dryer,3,0,0,0,3,0,0,0,0,0
不错 周围,Good around,4,0,0,2,0,0,0,0,0,0
不错 周边,Good surrounding,11,0,0,4,2,2,3,0,0,0
不错 味道,Good taste,168,0,11,66,44,20,25,0,0,0
不错 咖啡,Good coffee,6,0,0,5,0,0,0,0,0,0
不错 咖啡馆,Nice cafe,5,0,0,4,0,0,0,0,0,0
