keyword,translated_keyword,0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
一流,First class,631,0,0,8,34,520,69
一流 位置,First-class location,49,0,0,0,9,38,0
一流 保洁,First-class cleaning,4,0,0,0,0,4,0
一流 卫生,First-class hygiene,8,0,0,0,0,5,0
一流 品质,First-class quality,3,0,0,0,0,2,0
一流 地段,First class location,8,0,0,0,0,7,0
一流 夜景,First-class night view,7,0,0,0,0,5,2
一流 态度,First-class attitude,11,0,0,0,0,8,0
一流 性价比,First-class value for money,7,0,0,0,2,3,2
一流 房间,First class room,5,0,0,0,0,5,0
一流 方面,First-class aspect,3,0,0,0,0,3,0
一流 早餐,Superb breakfast,9,0,0,0,0,8,0
一流 景,First-class view,3,0,0,0,0,3,0
一流 景色,First-class scenery,13,0,0,0,0,10,3
一流 景观,First-class landscape,20,0,0,0,0,19,0
一流 服务,First-class service,206,0,0,0,8,173,24
一流 水准,First-class level,2,0,0,0,0,2,0
一流 水平,First-class level,5,0,0,0,0,5,0
一流 海景,Superb sea view,2,0,0,0,0,2,0
一流 环境,First-class environment,39,0,0,0,2,34,3
一流 硬件,First-class hardware,3,0,0,0,0,2,0
一流 设施,First-class facilities,71,0,0,0,0,63,7
一流 设计,First-class design,6,0,0,0,3,0,3
一流 质量,Top quality,5,0,0,0,0,5,0
一流 软件,First-class software,2,0,0,0,0,0,0
一流 酒店,First class hotel,24,0,0,0,0,21,2
一流 风景,First-class scenery,12,0,0,0,0,11,0
不 卫生,Unsanitary,6,0,0,2,0,3,0
不 吃,Don't eat,86,0,0,3,12,68,2
不 地方,Not place,9,0,0,2,0,5,0
不 坐,Not sitting,37,0,0,2,6,28,0
不 推荐,Not recommended,157,0,0,12,19,121,5
不 算,Not count,594,0,4,34,88,457,11
不 购物,Not shopping,7,0,0,0,0,6,0
不 赞,Not like,5,0,0,0,0,5,0
不 过,But,83,0,0,3,16,62,0
不 选择,Not choose,48,0,0,5,5,33,5
不 问题,No problem,24,0,0,0,5,17,0
不错,Not bad,12892,0,139,601,1925,9852,375
不错 ....,Not bad...,2,0,0,0,0,2,0
不错 东西,Good thing,16,0,0,0,5,10,0
不错 中心,Nice center,4,0,0,0,0,4,0
不错 中文,Good Chinese,2,0,0,0,0,0,0
不错 主楼,Good main building,2,0,0,0,0,2,0
不错 之一,Nice one,2,0,0,0,0,0,0
不错 交通,Good traffic,36,0,0,0,4,31,0
不错 产品,Good product,6,0,0,0,0,5,0
不错 享受,Nice enjoy,2,0,0,0,0,2,0
不错 人,Nice people,11,0,0,2,2,7,0
不错 人员,Nice staff,12,0,0,0,0,7,3
不错 人间,Nice world,2,0,0,0,0,2,0
不错 价,Good price,3,0,0,0,0,3,0
不错 价位,Good price,4,0,0,0,0,3,0
不错 价格,Good price,43,0,0,2,16,23,2
不错 价钱,Good price,7,0,0,2,0,2,2
不错 优势,Good advantage,3,0,0,0,3,0,0
不错 位子,Nice seat,13,0,0,0,0,13,0
不错 位置,Good location,1426,0,16,72,207,1101,30
不错 住宅,Good residential,2,0,0,0,0,2,0
不错 住宿,Good accommodation,9,0,0,0,0,7,0
不错 体验,Good experience,57,0,0,0,9,45,3
不错 保养,Good maintenance,3,0,0,0,0,2,0
不错 保持,Good keep,4,0,0,0,0,4,0
不错 信号,Good signal,5,0,0,0,3,0,0
不错 关键,Good key,3,0,0,0,0,2,0
不错 内容,Good content,2,0,0,0,0,2,0
不错 内部,Nice internal,3,0,0,0,0,2,0
不错 出品,Not bad,2,0,0,0,0,2,0
不错 出行,Not bad travel,2,0,0,0,0,2,0
不错 前台,Good front desk,10,0,0,0,0,9,0
不错 区,Nice area,2,0,0,0,0,0,0
不错 卫生,Good health,178,0,6,12,32,127,0
不错 卫生间,Nice bathroom,9,0,0,0,0,9,0
不错 印象,Good impression,9,0,0,0,0,7,0
不错 去处,Good place,2,0,0,0,0,2,0
不错 反响,Good response,3,0,0,0,0,3,0
不错 反应,Good response,2,0,0,0,0,0,0
不错 反馈,Good feedback,5,0,0,0,2,3,0
不错 口味,Good taste,21,0,0,0,7,12,0
不错 台,Not bad,2,0,0,0,0,0,0
不错 吃,Good eat,9,0,0,0,0,9,0
不错 吃饭,Good meal,4,0,0,0,0,4,0
不错 吹风机,Nice hair dryer,3,0,0,0,0,3,0
不错 周围,Good around,4,0,0,0,0,3,0
不错 周边,Good surrounding,11,0,0,0,0,10,0
不错 味道,Good taste,168,0,2,5,26,134,0
不错 咖啡,Good coffee,6,0,0,0,3,3,0
不错 咖啡馆,Nice cafe,5,0,0,0,0,3,0
不错 品,Good product,4,0,0,0,0,3,0
不错 品牌,Good brand,3,0,0,0,0,2,0
不错 品质,Good quality,17,0,0,0,2,13,0
不错 哒,Not bad,2,0,0,0,0,0,0
不错 商业,Good business,2,0,0,0,0,0,0
不错 商业街,Good commercial street,2,0,0,0,0,0,0
不错 商场,Nice mall,4,0,0,0,0,4,0
不错 商店,Nice shop,5,0,0,0,0,4,0
不错 地址,Nice address,4,0,0,0,0,3,0
不错 地方,Nice place,33,0,0,5,4,24,0
不错 地段,Good location,67,0,0,0,11,53,2
不错 地点,Good location,36,0,0,0,7,27,0
不错 地理,Good geography,2,0,0,0,0,0,0
不错 地角,Not bad,2,0,0,0,0,0,0
不错 地铁,Good subway,5,0,0,0,3,2,0
不错 地铁站,Good subway station,2,0,0,0,0,0,0
不错 外景,Good location,2,0,0,0,0,2,0
不错 外观,Good appearance,6,0,0,0,0,6,0
不错 夜景,Good night view,41,0,0,0,3,32,5
不错 大堂,Nice lobby,11,0,0,0,0,10,0
不错 大小,Good size,11,0,0,0,0,10,0
不错 套餐,Good set meal,2,0,0,0,0,2,0
不错 孩子,Nice kid,3,0,0,0,0,2,0
不错 实惠,Good affordable,2,0,0,0,0,0,0
不错 客房,Nice rooms,4,0,0,0,0,4,0
不错 家,Good home,4,0,0,0,0,4,0
不错 宾馆,Nice hotel,9,0,0,0,0,8,0
不错 对面,Good opposite,7,0,0,0,0,6,0
不错 小店,Nice shop,6,0,0,0,0,5,0
不错 小样,Good sample,3,0,0,0,0,3,0
不错 居酒屋,Good izakaya,15,0,0,2,2,11,0
不错 布局,Nice layout,3,0,0,2,0,0,0
不错 帮,Good help,3,0,0,2,0,0,0
不错 床,Nice bed,8,0,0,0,3,4,0
不错 店,Nice shop,27,0,0,2,5,20,0
不错 庭院,Nice courtyard,2,0,0,0,0,2,0
不错 影像,Good image,3,0,0,3,0,0,0
不错 态度,Good attitude,70,0,0,8,17,43,2
不错 性价比,Good value for money,242,0,6,16,41,176,3
不错 总体,Good overall,160,0,0,2,23,130,4
不错 情况,Good situation,5,0,0,0,0,4,0
不错 感受,Good feeling,11,0,0,0,0,11,0
不错 感觉,Good feeling,83,0,4,8,15,50,6
不错 房,Nice room,11,0,0,0,0,10,0
不错 房价,Good price,3,0,0,0,0,2,0
不错 房间,Nice room,304,0,3,13,35,241,12
不错 拉面,Good ramen,4,0,0,0,0,3,0
不错 按摩椅,Nice massage chair,2,0,0,0,0,2,0
不错 推荐,Good recommended,13,0,0,0,2,11,0
不错 放假,Good holiday,2,0,0,0,0,2,0
不错 效果,Good effect,27,0,0,0,4,22,0
不错 整体,Good overall,105,0,0,7,8,87,2
不错 料,Not bad,2,0,0,0,0,2,0
不错 料理,Good cuisine,3,0,0,0,0,2,0
不错 方面,Good aspect,93,0,0,7,22,60,4
不错 旁边,Not bad next to,3,0,0,0,0,3,0
不错 旅游,Nice tourist,2,0,0,0,0,0,0
不错 旅行,Nice travel,6,0,0,0,0,6,0
不错 旅馆,Nice hotel,2,0,0,0,0,0,0
不错 日航,Good Nikko,2,0,0,0,0,2,0
不错 早歺,Good morning,2,0,0,0,0,2,0
不错 早餐,Good breakfast,666,0,12,26,109,506,13
不错 早饭,Good breakfast,54,0,0,5,11,38,0
不错 晚餐,Good dinner,10,0,0,0,0,8,0
不错 晚饭,Good dinner,2,0,0,0,0,2,0
不错 景,Good view,7,0,0,0,0,6,0
不错 景点,Good attractions,2,0,0,0,0,2,0
不错 景色,Nice view,102,0,0,2,8,85,7
不错 景观,Nice landscape,30,0,0,0,0,27,3
不错 朋友,Nice friend,3,0,0,0,0,2,0
不错 服务,Good service,869,0,8,34,131,674,22
不错 服务业,Service industry,5,0,0,0,2,3,0
不错 服务员,Nice waiter,5,0,0,0,0,5,0
不错 村,Nice village,2,0,0,0,0,2,0
不错 条件,Good condition,43,0,0,2,10,31,0
不错 档次,Not bad grade,2,0,0,0,0,2,0
不错 楼下,Good downstairs,6,0,0,0,0,5,0
不错 楼层,Good floor,2,0,0,0,0,2,0
不错 氛围,Nice atmosphere,2,0,0,0,0,0,0
不错 水准,Good standard,4,0,0,0,0,2,2
不错 水平,Good level,5,0,0,0,0,4,0
不错 水果,Good fruit,2,0,0,0,0,0,0
不错 汉语,Good Chinese,3,0,0,0,3,0,0
不错 汤,Good soup,5,0,2,0,0,2,0
不错 沙滩,Nice beach,4,0,0,0,0,4,0
不错 泡汤,Good bathing,2,0,0,0,0,2,0
不错 泳池,Nice swimming pool,7,0,0,0,0,7,0
不错 洁度,Good cleanliness,2,0,0,0,0,2,0
不错 洗衣机,Good washing machine,2,0,0,0,0,2,0
不错 浴场,Nice bath,8,0,0,0,0,8,0
不错 浴室,Nice bathroom,4,0,0,0,0,4,0
不错 浴缸,Nice bathtub,4,0,0,0,0,3,0
不错 海景,Nice sea view,5,0,0,0,0,5,0
不错 清仓,Good clearance,4,0,0,0,0,4,0
不错 温泉,Nice spa,58,0,0,2,4,50,2
不错 游泳池,Nice swimming pool,8,0,0,0,0,5,3
不错 澡堂,Nice bathhouse,2,0,0,0,0,2,0
不错 灰,Good gray,3,0,0,0,0,3,0
不错 烤肉店,Good rotisserie,2,0,0,0,0,0,0
不错 烧肉,Good roast pork,2,0,0,0,0,0,0
不错 热情,Good enthusiasm,3,0,0,0,0,2,0
不错 热汤,Good hot soup,2,0,0,0,0,0,0
不错 牌子,Good brand,2,0,0,0,0,2,0
不错 牛奶,Good milk,4,0,0,0,0,4,0
不错 牛肉,Good beef,3,0,0,0,0,2,0
不错 状况,Good condition,9,0,0,2,2,4,0
不错 环境,Good environment,714,0,5,21,98,563,27
不错 班车,Nice shuttle,3,0,0,0,0,3,0
不错 甜品,Nice dessert,4,0,0,0,0,3,0
不错 甜点,Nice dessert,2,0,0,0,0,2,0
不错 用品,Good supplies,30,0,0,0,0,30,0
不错 百货,Good department store,4,0,0,0,0,3,0
不错 真心,Not bad really,28,0,0,0,2,24,0
不错 硬件,Good hardware,10,0,0,0,0,9,0
不错 种类,Good type,2,0,0,0,0,2,0
不错 程度,Good degree,5,0,0,0,0,5,0
不错 空气,Nice air,3,0,0,0,0,2,0
不错 空间,Nice space,15,0,0,3,2,10,0
不错 窗户,Nice windows,2,0,0,0,0,0,0
不错 管理,Good management,7,0,0,0,2,5,0
不错 细节,Nice details,9,0,0,0,0,9,0
不错 维护,Good maintenance,5,0,0,0,0,5,0
不错 网络,Good network,3,0,0,0,2,0,0
不错 美食,Good food,2,0,0,0,0,2,0
不错 自助餐,Good buffet,37,0,0,0,4,31,0
不错 舒适度,Good comfort,3,0,0,0,0,3,0
不错 花园,Nice garden,2,0,0,0,0,0,0
不错 英文,Good english,54,0,0,5,8,38,3
不错 英语,Good english,49,0,0,3,6,38,0
不错 茶,Good tea,3,0,0,0,0,2,0
不错 装修,Nice decoration,23,0,0,2,3,17,0
不错 西餐,Good western food,4,0,0,0,0,4,0
不错 视野,Good view,22,0,0,0,0,20,2
不错 设备,Good equipment,13,0,0,2,2,9,0
不错 设施,Good facilities,370,0,0,15,36,304,14
不错 设计,Nice design,8,0,0,0,3,3,2
不错 评价,Good review,9,0,0,0,3,4,0
不错 话,Good words,3,0,0,0,0,3,0
不错 质,Good quality,2,0,0,0,0,2,0
不错 质量,Good quality,24,0,0,2,4,17,0
不错 购物,Good shopping,9,0,0,0,0,8,0
不错 走路,Good walk,2,0,0,0,2,0,0
不错 超市,Nice supermarket,10,0,0,0,2,7,0
不错 路线,Good route,2,0,0,0,0,2,0
不错 轮,Nice round,2,0,0,0,0,2,0
不错 软件,Good software,3,0,0,0,0,2,0
不错 软硬件,Good hardware and software,3,0,0,0,0,0,2
不错 运气,Good luck,2,0,0,0,0,0,0
不错 选择,Good choice,198,0,0,15,38,138,6
不错 速度,Good speed,10,0,0,0,4,6,0
不错 配套,Good package,3,0,0,0,0,3,0
不错 配置,Good configuration,3,0,0,0,0,3,0
不错 酒店,Nice hotel,1462,0,17,37,168,1187,53
不错 酒廊,Nice lounge,2,0,0,0,0,2,0
不错 采光,Good lighting,2,0,0,0,0,2,0
不错 里面,Good inside,2,0,0,0,0,0,0
不错 量,Good amount,2,0,0,0,0,2,0
不错 铁板烧,Good teppanyaki,3,0,0,0,0,2,0
不错 门口,Good doorway,2,0,0,0,0,0,0
不错 附近,Not bad nearby,3,0,0,0,0,2,0
不错 隔离,Good isolation,2,0,0,0,0,2,0
不错 隔音,Good soundproof,29,0,0,2,4,23,0
不错 面,Good noodles,2,0,0,0,0,2,0
不错 面包店,Good bakery,4,0,0,0,0,4,0
不错 面积,Good area,7,0,0,0,0,7,0
不错 音响,Good stereo,2,0,0,0,0,2,0
不错 预定,Good book,2,0,0,0,0,2,0
不错 风景,Nice scenery,76,0,0,2,5,65,3
不错 风格,Nice style,6,0,0,0,0,6,0
不错 食物,Good food,7,0,0,0,0,5,0
不错 餐,Good meal,12,0,0,0,2,10,0
不错 餐厅,Nice restaurant,44,0,0,0,3,41,0
不错 餐食,Good meal,5,0,0,0,0,5,0
不错 餐饮,Good dining,13,0,0,0,0,12,0
不错 餐馆,Nice restaurant,8,0,0,0,2,6,0
不错 饭,Good meal,3,0,0,0,0,3,0
不错 饭团,Good rice ball,2,0,0,0,0,0,0
不错 饭店,Nice hotel,18,0,0,0,0,15,0
不错 饭馆,Good restaurant,8,0,0,0,6,2,0
不错 饮料,Good drink,2,0,0,0,0,0,0
不错 鸡肉,Good chicken,2,0,0,2,0,0,0
不错 鸡蛋,Nice eggs,2,0,0,0,0,0,0
五星级,Five star,179,0,0,3,2,155,19
五星级 品质,Five-star quality,2,0,0,0,0,2,0
五星级 大堂,Five-star lobby,2,0,0,0,0,2,0
五星级 宾馆,Five-star hotel,3,0,0,0,0,3,0
五星级 房间,Five-star room,2,0,0,0,0,2,0
五星级 标准,Five-star standard,8,0,0,0,0,8,0
五星级 水平,Five-star level,3,0,0,0,0,3,0
五星级 酒店,five star hotel,121,0,0,2,0,104,14
交通,traffic,6560,0,72,196,1058,5107,127
享用,Enjoy,49,0,0,0,7,41,0
人员,personnel,1517,0,12,90,244,1106,65
便利,convenient,2643,0,24,82,407,2064,66
便利 中心,Convenience Center,3,0,0,0,0,3,0
便利 交通,Convenient transportation,1630,0,19,42,244,1282,43
便利 位置,Convenient location,161,0,0,8,25,123,5
便利 公交车,Convenience,3,0,0,0,0,3,0
便利 出行,Convenience,86,0,0,3,13,67,2
便利 卫生,Convenience and hygiene,2,0,0,0,2,0,0
便利 吃住行,Convenience,4,0,0,0,0,4,0
便利 吃饭,Convenience,19,0,0,0,0,19,0
便利 周围,Convenience,10,0,0,0,0,9,0
便利 周边,Convenience,24,0,0,2,2,20,0
便利 商场,Convenience shopping mall,3,0,0,0,0,3,0
便利 商店,Convenience store,3,0,0,0,0,2,0
便利 地方,Convenient place,10,0,0,0,3,7,0
便利 地段,Convenience,5,0,0,0,0,4,0
便利 地点,Convenient location,4,0,0,0,0,3,0
便利 地铁,Convenient subway,9,0,0,0,0,7,0
便利 地铁站,Convenient subway station,6,0,0,0,0,5,0
便利 大巴,Convenient bus,4,0,0,0,0,4,0
便利 家,Convenience,2,0,0,0,0,2,0
便利 对面,Convenient opposite,3,0,0,0,0,3,0
便利 屋,Convenience,3,0,0,0,0,3,0
便利 巴士,Convenient bus,4,0,0,0,0,4,0
便利 巴士站,Convenient bus stop,2,0,0,0,0,2,0
便利 店,Convenience store,11,0,0,0,3,6,0
