keyword,translated_keyword,0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
一流,First class,652,0,0,0,9,34,78,80,377,74
一流 位置,First-class location,54,0,0,0,2,9,13,9,20,0
一流 保洁,First-class cleaning,4,0,0,0,0,0,3,0,0,0
一流 卫生,First-class hygiene,9,0,0,0,0,0,0,0,4,0
一流 品质,First-class quality,3,0,0,0,0,0,0,0,2,0
一流 地段,First class location,8,0,0,0,0,0,0,0,6,0
一流 夜景,First-class night view,7,0,0,0,0,0,0,0,5,2
一流 态度,First-class attitude,11,0,0,0,0,0,0,2,6,0
一流 性价比,First-class value for money,7,0,0,0,0,2,0,0,2,2
一流 房间,First class room,5,0,0,0,0,0,0,0,4,0
一流 方面,First-class aspect,3,0,0,0,0,0,0,0,2,0
一流 早餐,Superb breakfast,10,0,0,0,0,0,0,0,8,0
一流 景,First-class view,3,0,0,0,0,0,0,0,3,0
一流 景色,First-class scenery,13,0,0,0,0,0,0,0,10,3
一流 景观,First-class landscape,21,0,0,0,0,0,0,0,19,0
一流 服务,First-class service,211,0,0,0,0,8,35,24,117,26
一流 水准,First-class level,2,0,0,0,0,0,0,0,2,0
一流 水平,First-class level,5,0,0,0,0,0,0,2,3,0
一流 海景,Superb sea view,2,0,0,0,0,0,0,0,2,0
一流 环境,First-class environment,41,0,0,0,0,2,3,9,24,3
一流 硬件,First-class hardware,3,0,0,0,0,0,0,0,2,0
一流 设施,First-class facilities,72,0,0,0,0,0,4,9,51,7
一流 设计,First-class design,6,0,0,0,0,3,0,0,0,3
一流 质量,Top quality,5,0,0,0,0,0,0,2,2,0
一流 软件,First-class software,2,0,0,0,0,0,0,0,0,0
一流 酒店,First class hotel,26,0,0,0,0,0,0,6,16,2
一流 风景,First-class scenery,12,0,0,0,0,0,0,0,10,0
一般,general,2187,0,0,37,117,279,610,404,672,68
一般 东,General east,2,0,0,0,2,0,0,0,0,0
一般 东西,General stuff,7,0,0,0,0,0,0,4,2,0
一般 交通,General traffic,6,0,0,0,0,0,4,0,0,0
一般 人,normal person,3,0,0,0,0,0,0,0,0,0
一般 价格,General price,7,0,0,0,0,0,3,0,2,0
一般 位置,General location,51,0,0,0,8,6,13,7,13,3
一般 住宿,General accommodation,2,0,0,0,0,0,0,0,0,0
一般 卫生,General hygiene,51,0,0,0,2,12,19,10,7,0
一般 印象,General impression,2,0,0,0,0,0,0,0,0,0
一般 口味,General taste,6,0,0,0,0,0,0,2,0,0
一般 口感,General taste,2,0,0,0,0,0,0,0,2,0
一般 周围,General vicinity,2,0,0,0,0,0,0,0,0,0
一般 味道,General taste,29,0,0,2,2,2,11,5,7,0
一般 品牌,General brand,3,0,0,0,0,0,2,0,0,0
一般 品种,General variety,7,0,0,0,0,0,0,0,5,0
一般 品质,General quality,2,0,0,0,0,0,0,0,0,0
一般 地方,General place,2,0,0,0,0,0,0,0,0,0
一般 地段,General location,6,0,0,0,0,0,0,3,0,0
一般 地点,General location,5,0,0,0,0,0,0,0,3,0
一般 大厅,General lobby,2,0,0,0,0,0,0,0,0,0
一般 大小,General size,12,0,0,0,0,0,5,0,7,0
一般 宵夜,Average supper,2,0,0,0,0,0,2,0,0,0
一般 宾馆,General Hotel,5,0,0,0,0,2,0,2,0,0
一般 床,Average bed,3,0,0,0,0,0,0,0,0,0
一般 态度,General attitude,45,0,0,0,2,5,16,9,13,0
一般 性价比,Average value for money,46,0,0,0,2,3,17,10,13,0
一般 总体,General overall,5,0,0,0,2,0,2,0,0,0
一般 情况,generally,4,0,0,0,0,2,0,0,0,0
一般 感觉,General feeling,28,0,0,0,3,4,5,6,10,0
一般 房间,Average room,56,0,0,0,0,5,13,13,21,2
一般 效果,General effect,6,0,0,2,0,0,0,0,0,0
一般 方面,General aspect,5,0,0,0,0,0,2,0,2,0
一般 旅馆,General Hotel,3,0,0,0,0,2,0,0,0,0
一般 早晨,Average morning,2,0,0,0,0,0,0,0,0,0
一般 早餐,Average breakfast,160,0,0,6,6,25,32,22,60,9
一般 早饭,Average breakfast,8,0,0,0,0,2,4,0,0,0
一般 晚餐,Average dinner,3,0,0,0,0,0,0,0,3,0
一般 景色,General scenery,4,0,0,0,0,0,0,2,2,0
一般 景观,General landscape,2,0,0,0,0,0,0,0,0,0
一般 服务,General service,134,0,0,2,5,9,38,27,45,8
一般 条件,General condition,19,0,0,0,0,3,6,3,5,0
一般 水准,Average level,2,0,0,0,0,0,0,0,0,0
一般 水平,The general level,8,0,0,0,0,0,5,0,2,0
一般 水质,General water quality,3,0,0,0,0,0,0,2,0,0
一般 沙滩,Average beach,9,0,0,0,0,0,0,3,6,0
一般 海水,General sea water,2,0,0,0,0,0,0,2,0,0
一般 温泉,General hot spring,12,0,0,0,0,0,0,4,8,0
一般 状况,General condition,4,0,0,0,0,0,0,0,3,0
一般 环境,General environment,46,0,0,0,3,8,14,9,10,0
一般 用品,General supplies,6,0,0,0,0,0,3,0,2,0
一般 硬件,General hardware,5,0,0,0,0,0,0,0,2,0
一般 种类,General type,4,0,0,0,0,2,0,0,0,0
一般 程度,Average,6,0,0,0,0,0,3,0,3,0
一般 空气,General air,3,0,0,0,0,0,2,0,0,0
一般 空间,General space,2,0,0,0,0,0,0,0,0,0
一般 缺点,General disadvantages,2,0,0,0,0,0,0,0,0,0
一般 网速,General Internet speed,2,0,0,0,0,0,0,0,0,0
一般 自助餐,Average buffet,7,0,0,0,0,0,0,0,7,0
一般 英文,General English,9,0,0,0,0,0,3,2,2,0
一般 英语,General English,15,0,0,0,0,2,4,5,4,0
一般 装修,General decoration,16,0,0,0,0,0,0,8,6,0
一般 设备,General equipment,6,0,0,0,0,0,0,0,2,0
一般 设施,General facilities,170,0,0,7,12,31,49,26,43,2
一般 话,General,3,0,0,0,0,0,0,0,2,0
一般 质量,General quality,8,0,0,0,0,2,0,2,4,0
一般 购物,General shopping,2,0,0,0,0,0,0,0,0,0
一般 选择,General choice,2,0,0,0,0,0,0,2,0,0
一般 酒店,Average hotel,163,0,0,0,13,28,53,29,35,5
一般 隔音,Soundproof,15,0,0,0,0,5,4,2,3,0
一般 需求,General demand,3,0,0,0,0,2,0,0,0,0
一般 面积,General area,2,0,0,0,0,0,2,0,0,0
一般 风景,Average scenery,3,0,0,0,0,0,0,0,2,0
一般 食物,General food,3,0,0,0,0,0,0,2,0,0
一般 餐厅,Average restaurant,4,0,0,0,0,0,0,0,4,0
一般 餐饮,General Dining,2,0,0,0,0,0,0,0,0,0
一般 饭店,Average restaurant,2,0,0,0,0,0,0,0,0,0
不 中文,No Chinese,24,0,0,0,0,2,12,5,4,0
不 卫生,Unsanitary,7,0,0,0,2,0,0,0,2,0
不 吃,Don't eat,109,0,0,5,3,16,23,12,48,2
不 地方,Not place,9,0,0,0,2,0,0,0,3,0
不 坐,Not sitting,52,0,0,0,3,6,18,6,18,0
不 推荐,Not recommended,184,0,0,0,15,23,48,37,56,5
不 算,Not count,920,0,0,6,55,134,222,181,302,20
不 购物,Not shopping,8,0,0,0,0,0,2,0,4,0
不 赞,Not like,14,0,0,0,0,0,0,3,11,0
不 过,But,119,0,0,0,4,24,25,22,42,0
不 选择,Not choose,74,0,0,2,5,8,17,13,24,5
不 问题,No problem,28,0,0,0,0,5,8,2,11,0
不错,Not bad,13808,0,0,149,661,2060,3319,2475,4753,391
不错 ....,Not bad...,2,0,0,0,0,0,0,0,2,0
不错 东西,Good thing,17,0,0,0,0,5,3,3,5,0
不错 中心,Nice center,4,0,0,0,0,0,2,0,2,0
不错 中文,Good Chinese,2,0,0,0,0,0,0,0,0,0
不错 主楼,Good main building,2,0,0,0,0,0,2,0,0,0
不错 之一,Nice one,2,0,0,0,0,0,0,0,0,0
不错 交通,Good traffic,37,0,0,0,0,4,9,2,21,0
不错 产品,Good product,6,0,0,0,0,0,2,0,2,0
不错 享受,Nice enjoy,2,0,0,0,0,0,0,0,0,0
不错 人,Nice people,12,0,0,0,2,2,4,0,3,0
不错 人员,Nice staff,13,0,0,0,0,2,4,2,0,3
不错 人间,Nice world,2,0,0,0,0,0,0,2,0,0
不错 价,Good price,3,0,0,0,0,0,2,0,0,0
不错 价位,Good price,4,0,0,0,0,0,0,0,0,0
不错 价格,Good price,55,0,0,0,4,19,12,6,12,2
不错 价钱,Good price,7,0,0,0,2,0,0,0,0,2
不错 优势,Good advantage,3,0,0,0,0,3,0,0,0,0
不错 位子,Nice seat,14,0,0,0,0,0,6,0,7,0
不错 位置,Good location,1585,0,0,17,88,234,452,303,461,30
不错 住宅,Good residential,2,0,0,0,0,0,0,2,0,0
不错 住宿,Good accommodation,9,0,0,0,0,0,0,6,0,0
不错 体验,Good experience,60,0,0,0,0,10,9,14,24,3
不错 保养,Good maintenance,7,0,0,0,0,0,0,3,2,0
不错 保持,Good keep,4,0,0,0,0,0,0,0,2,0
不错 信号,Good signal,5,0,0,0,0,3,0,0,0,0
不错 做,Good do,2,0,0,0,0,0,2,0,0,0
不错 关键,Good key,3,0,0,0,0,0,0,0,0,0
不错 内容,Good content,2,0,0,0,0,0,2,0,0,0
不错 内部,Nice internal,3,0,0,0,0,0,0,0,2,0
不错 出品,Not bad,2,0,0,0,0,0,0,0,2,0
不错 出行,Not bad travel,3,0,0,0,0,0,0,2,0,0
不错 前台,Good front desk,10,0,0,0,0,0,5,2,2,0
不错 区,Nice area,2,0,0,0,0,0,0,0,0,0
不错 卫生,Good health,195,0,0,8,12,34,68,30,42,0
不错 卫生间,Nice bathroom,9,0,0,0,0,0,6,0,2,0
不错 印象,Good impression,10,0,0,0,0,0,3,2,3,0
不错 厅,Nice hall,2,0,0,0,0,0,0,0,2,0
不错 去处,Good place,2,0,0,0,0,0,0,0,2,0
不错 反响,Good response,3,0,0,0,0,0,0,0,2,0
不错 反应,Good response,2,0,0,0,0,0,0,0,0,0
不错 反馈,Good feedback,6,0,0,0,0,3,0,0,2,0
不错 口味,Good taste,28,0,0,0,0,8,9,0,8,0
不错 台,Not bad,2,0,0,0,0,0,0,0,0,0
不错 吃,Good eat,11,0,0,0,0,0,4,0,6,0
不错 吃饭,Good meal,4,0,0,0,0,0,0,2,0,0
不错 吹风机,Nice hair dryer,3,0,0,0,0,0,3,0,0,0
不错 周围,Good around,4,0,0,0,0,0,0,0,0,0
不错 周边,Good surrounding,11,0,0,0,0,0,3,0,6,0
不错 味道,Good taste,202,0,0,3,8,38,49,29,73,2
不错 咖啡,Good coffee,6,0,0,0,0,3,2,0,0,0
不错 咖啡馆,Nice cafe,5,0,0,0,0,0,2,0,0,0
不错 品,Good product,6,0,0,0,0,0,2,2,0,0
不错 品牌,Good brand,3,0,0,0,0,0,0,0,0,0
不错 品质,Good quality,22,0,0,0,0,3,7,0,9,0
不错 哒,Not bad,2,0,0,0,0,0,0,0,0,0
不错 商业,Good business,2,0,0,0,0,0,0,0,0,0
不错 商业街,Good commercial street,2,0,0,0,0,0,0,0,0,0
不错 商场,Nice mall,4,0,0,0,0,0,0,0,2,0
不错 商店,Nice shop,5,0,0,0,0,0,0,0,4,0
不错 地址,Nice address,4,0,0,0,0,0,2,0,0,0
不错 地方,Nice place,34,0,0,0,5,4,10,2,13,0
不错 地段,Good location,73,0,0,0,0,11,18,12,28,3
不错 地点,Good location,40,0,0,0,3,8,16,4,8,0
不错 地理,Good geography,2,0,0,0,0,0,0,0,0,0
不错 地角,Not bad,2,0,0,0,0,0,0,0,0,0
不错 地铁,Good subway,5,0,0,0,0,3,0,0,0,0
不错 地铁站,Good subway station,3,0,0,0,0,0,0,0,0,0
不错 外景,Good location,2,0,0,0,0,0,0,0,0,0
不错 外观,Good appearance,7,0,0,0,0,0,2,2,3,0
不错 夜景,Good night view,44,0,0,0,0,3,4,13,18,5
不错 大堂,Nice lobby,12,0,0,0,0,0,2,2,7,0
不错 大小,Good size,13,0,0,0,0,0,2,6,4,0
不错 套餐,Good set meal,2,0,0,0,0,0,0,0,0,0
不错 孩子,Nice kid,3,0,0,0,0,0,0,0,2,0
不错 实惠,Good affordable,2,0,0,0,0,0,0,0,0,0
不错 客房,Nice rooms,4,0,0,0,0,0,0,0,4,0
不错 家,Good home,4,0,0,0,0,0,2,0,0,0
不错 宾馆,Nice hotel,9,0,0,0,0,0,3,3,2,0
不错 对面,Good opposite,9,0,0,0,0,0,0,5,2,0
