keyword,translated_keyword,0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
一般,general,1713,0,0,28,91,218,504,311,510,51
一般 东西,General stuff,6,0,0,0,0,0,0,4,2,0
一般 交通,General traffic,3,0,0,0,0,0,0,0,0,0
一般 人,normal person,2,0,0,0,0,0,0,0,0,0
一般 价格,General price,7,0,0,0,0,0,3,0,2,0
一般 位置,General location,42,0,0,0,8,6,12,6,8,2
一般 卫生,General hygiene,30,0,0,0,0,8,9,6,5,0
一般 印象,General impression,2,0,0,0,0,0,0,0,0,0
一般 口味,General taste,6,0,0,0,0,0,0,2,0,0
一般 口感,General taste,2,0,0,0,0,0,0,0,2,0
一般 味道,General taste,22,0,0,2,2,0,8,4,5,0
一般 品牌,General brand,3,0,0,0,0,0,2,0,0,0
一般 品种,General variety,5,0,0,0,0,0,0,0,4,0
一般 地方,General place,2,0,0,0,0,0,0,0,0,0
一般 地段,General location,5,0,0,0,0,0,0,2,0,0
一般 地点,General location,3,0,0,0,0,0,0,0,0,0
一般 大小,General size,12,0,0,0,0,0,5,0,7,0
一般 宵夜,Average supper,2,0,0,0,0,0,2,0,0,0
一般 宾馆,General Hotel,3,0,0,0,0,0,0,0,0,0
一般 态度,General attitude,39,0,0,0,2,5,14,6,12,0
一般 性价比,Average value for money,44,0,0,0,2,3,17,9,12,0
一般 总体,General overall,4,0,0,0,2,0,0,0,0,0
一般 情况,generally,4,0,0,0,0,2,0,0,0,0
一般 感觉,General feeling,24,0,0,0,3,4,5,4,8,0
一般 房间,Average room,37,0,0,0,0,2,9,9,13,2
一般 效果,General effect,6,0,0,2,0,0,0,0,0,0
一般 方面,General aspect,5,0,0,0,0,0,2,0,2,0
一般 旅馆,General Hotel,2,0,0,0,0,0,0,0,0,0
一般 早餐,Average breakfast,97,0,0,3,5,14,21,19,30,5
一般 早饭,Average breakfast,6,0,0,0,0,0,3,0,0,0
一般 晚餐,Average dinner,3,0,0,0,0,0,0,0,3,0
一般 景色,General scenery,4,0,0,0,0,0,0,2,2,0
