Keywords,Alpha,C,kernel,Average_F1,StDv_F1,Average_Accuracy,StDv_Accuracy,Average_Precision,StDv_Precision,Average_Recall,StDv_Recall
Positive,1.25,1.0,linear,0.8702091341781116,0.015141666464959678,0.851063829787234,0.011731105320927864,0.9002635451159622,0.021653832766903993,0.8426473298367666,0.022558849165148002
Negative,1.25,1.0,linear,0.8509762525328028,0.02283624352040918,0.811063829787234,0.028431137171897977,0.8106544479120107,0.041276779763462584,0.8974500951891221,0.02502430813438359
Positive,1.25,1.25,linear,0.8656127428244682,0.0162835934293218,0.8429787234042554,0.01727994936531658,0.8895578118545894,0.029864901904738606,0.8439323855633104,0.023719672132550655
Negative,1.25,1.25,linear,0.8332916606122953,0.018670395891329704,0.7919148936170213,0.020358933981116073,0.7826447284907815,0.026186735282473003,0.8915534622891602,0.018808552302739832
Positive,1.25,1.5,linear,0.8622443709389206,0.018638684282430974,0.8370212765957445,0.021534605836391496,0.8938346838624769,0.020333784502983995,0.8338967761113947,0.03472812111473305
Negative,1.25,1.5,linear,0.8430017596383973,0.031068906005941838,0.8042553191489361,0.03377554865188839,0.8024842993630982,0.050986525433866434,0.8906269862668159,0.03349236026484642
Positive,1.25,1.75,linear,0.8699694917057175,0.014790791132264152,0.8514893617021275,0.01562924908272935,0.887599804486795,0.02077766875628937,0.8534550509767282,0.01994070781591283
Negative,1.25,1.75,linear,0.8331449183107834,0.01006230918652564,0.7906382978723404,0.015200486042120627,0.7820660969684144,0.022393746409683005,0.89229889503259,0.018510960970476824
Positive,1.25,2.0,linear,0.8567598871730301,0.01274346641243012,0.8302127659574466,0.009600437593768931,0.8740032579867503,0.016930770806467117,0.8408322170346363,0.024636191093705597
Negative,1.25,2.0,linear,0.8511483323451996,0.02711500427022817,0.8072340425531916,0.02744928242190661,0.8107968187875036,0.03174562076512408,0.8965952029395676,0.03366532775506492
Positive,1.25,2.25,linear,0.8605923641089526,0.023789156134552885,0.8382978723404255,0.028226593960471502,0.8904411923955307,0.02922803028009472,0.8332506218651126,0.028063187505899975
Negative,1.25,2.25,linear,0.8443183974324974,0.026919982051376665,0.7999999999999999,0.0291108619174248,0.802445465681062,0.03917499459837675,0.8920139423715108,0.025144423744160573
Positive,1.25,2.5,linear,0.8401989841620766,0.015070807198443305,0.8170212765957447,0.01815381192144811,0.8779682224394666,0.02081511136667792,0.8063668107871479,0.026869618721875436
Negative,1.25,2.5,linear,0.8444048849638213,0.022781578320400998,0.8029787234042551,0.02510638297872339,0.7969447945224295,0.03526384111061392,0.8986453922226818,0.011895664251515229
Positive,1.25,2.75,linear,0.853855884226547,0.021081646115285832,0.8285106382978723,0.02430007069833062,0.8894827194301884,0.028002453938858966,0.8216278845179547,0.02663523289373981
Negative,1.25,2.75,linear,0.8354757638782122,0.01410739483738071,0.7897872340425531,0.01933245394314986,0.7858915548049512,0.02670186280804154,0.8933591802726488,0.02977548274851544
Positive,1.25,3.0,linear,0.8616673304544824,0.02148017448948368,0.8357446808510639,0.023784150829756816,0.8858217308016831,0.03511883810436596,0.8397475556009872,0.024790018753269027
Negative,1.25,3.0,linear,0.8474897177770773,0.027441179355089832,0.8068085106382978,0.032917582307768034,0.7993000842995697,0.044740446310170316,0.903735816577383,0.02498158469960489
Positive,1.25,3.25,linear,0.8577427926640256,0.014098803935165554,0.8348936170212768,0.015553759048933673,0.8887435741229096,0.025773150170865945,0.8297427477924447,0.024437017484388358
Negative,1.25,3.25,linear,0.8350717749005933,0.01996147000063647,0.7923404255319149,0.019294951572348302,0.7870356723343173,0.03392045723399685,0.8902788854926204,0.010959470262148907
Positive,1.5,1.0,linear,0.8554288308237261,0.011736130036676529,0.8336170212765955,0.012970000556704846,0.8933381737548686,0.02096201926393728,0.8215446017410427,0.025886948081783028
Negative,1.5,1.0,linear,0.8447819853914236,0.016571403860864947,0.8034042553191488,0.01966675746092142,0.7947897822293236,0.028600972383999855,0.9027356814294809,0.02512735607156314
Positive,1.5,1.25,linear,0.8468783550983996,0.016398505976769576,0.8255319148936169,0.01712732918936008,0.8762262500452838,0.030158689885878602,0.8213277112349676,0.03590048778452077
Negative,1.5,1.25,linear,0.8542298766868008,0.012891433360495164,0.8208510638297872,0.012103372470917372,0.8091027761361721,0.022821321162752577,0.9054127800914497,0.018253895773507636
Positive,1.5,1.5,linear,0.8544764290836608,0.01714580023328837,0.8331914893617022,0.02142923968002414,0.8904474753459078,0.022331395973784952,0.821676713167587,0.020989298010902827
Negative,1.5,1.5,linear,0.8474411908258155,0.018896834792907994,0.8080851063829787,0.021484094572535032,0.8085897907040559,0.025284526350021833,0.8907009604684838,0.019464973611685095
Positive,1.5,1.75,linear,0.8556162560608198,0.016222794342557783,0.8314893617021276,0.01704253991021344,0.8823307860726229,0.02534301401399523,0.8310509935475789,0.020445166191996007
Negative,1.5,1.75,linear,0.854306703895926,0.01731114429294023,0.8161702127659574,0.020031663482450748,0.8062223119945606,0.02723741263786781,0.9097958417423332,0.029128895211571776
Positive,1.5,2.0,linear,0.8569685839890868,0.01895905109059274,0.8344680851063829,0.019818095356927704,0.8954483959154516,0.017835479177247704,0.8222099838093928,0.029114993810818116
Negative,1.5,2.0,linear,0.8530897469187039,0.023288572569006676,0.811063829787234,0.026993619620687154,0.8207898497731356,0.023772192248861776,0.8889945880270721,0.03647014851448556
Positive,1.5,2.25,linear,0.8585625581914815,0.019818607410259936,0.8374468085106385,0.024870875227578665,0.8794680373917455,0.032133652019820956,0.8398407807600987,0.02935129989035689
Negative,1.5,2.25,linear,0.8462338053624991,0.017188358039390828,0.8055319148936169,0.019689762214909385,0.8044072071774208,0.024298773241548197,0.8935887732404693,0.026900593653866038
Positive,1.5,2.5,linear,0.8484714344892751,0.024568227213777008,0.8217021276595746,0.023726981888426632,0.8731005515913182,0.02034136660610884,0.8259725721851428,0.037362725421138096
Negative,1.5,2.5,linear,0.8380926573280497,0.015187742611518716,0.7978723404255319,0.015134824888322313,0.8014098459188735,0.01941513246299453,0.8792943804481756,0.029963378093630397
Positive,1.5,2.75,linear,0.8495287216988354,0.01869986903892104,0.8259574468085106,0.019726514019573205,0.8833698436939965,0.016245476881104802,0.8190190328072756,0.03326700296922037
Negative,1.5,2.75,linear,0.8443773108741353,0.022019686657429233,0.8051063829787234,0.022820574770709652,0.7952805190309539,0.038573824264938494,0.9017014864593424,0.024000351085050234
Positive,1.5,3.0,linear,0.8611491969490037,0.022558587720250607,0.8395744680851063,0.02299841551807943,0.8998773376147394,0.019635179332862705,0.8260185774372303,0.03079872092336599
Negative,1.5,3.0,linear,0.8493866855643629,0.01428067473073164,0.808936170212766,0.017384424013459975,0.810899872150733,0.01792679689698965,0.8925548638353724,0.028235003265089927
Positive,1.5,3.25,linear,0.8597824160212383,0.027358670926595195,0.8391489361702128,0.028785590681340872,0.8944133557726246,0.030163498644427515,0.829759043073398,0.046962204159020554
Negative,1.5,3.25,linear,0.8521190253502967,0.02522153567036636,0.8097872340425532,0.028421582092760078,0.8144287101482641,0.03084266374564539,0.8938264530487932,0.022919543749066323
Positive,1.75,1.0,linear,0.8589363345479823,0.014147259131989918,0.8353191489361702,0.01648627287473238,0.8873942622265792,0.02460186748933381,0.8326128173581425,0.012711235124643522
Negative,1.75,1.0,linear,0.821565926579171,0.03532690921039729,0.7680851063829788,0.03868597676873858,0.7676286054643531,0.03656529577325895,0.8841999827184118,0.03981391979191542
Positive,1.75,1.25,linear,0.8625267535197494,0.01243663262506616,0.841276595744681,0.012773047676428643,0.8828391750571187,0.01830348531209063,0.8442412379854188,0.03020282092647027
Negative,1.75,1.25,linear,0.8269639621000113,0.017198499095711608,0.7795744680851063,0.01994106300231485,0.7829551196286383,0.019764876648509372,0.8772488187866454,0.03256538171762536
Positive,1.75,1.5,linear,0.8458021040579098,0.02717622922111163,0.8242553191489362,0.028738372774303047,0.8842701372536819,0.027001398886203686,0.8110160427294968,0.033426677216742695
Negative,1.75,1.5,linear,0.8161466772041752,0.021252832507545286,0.7629787234042553,0.0217021276595745,0.7725242882175147,0.030963182271966688,0.866607845966552,0.0344072607860306
Positive,1.75,1.75,linear,0.860571391759352,0.019007477019284513,0.8387234042553191,0.018977960102959823,0.893821164064169,0.027010423157747335,0.8300284092749038,0.018195213763829585
Negative,1.75,1.75,linear,0.8306450575150072,0.015314302580469546,0.7770212765957447,0.018762049093658386,0.7925180679053792,0.02792045827408779,0.8738386535131786,0.023239386480559267
Positive,1.75,2.0,linear,0.8673330914515235,0.020880856686498635,0.8421276595744682,0.020180265023624498,0.8919165757971941,0.022650485474274375,0.8452104740913164,0.03680593359354378
Negative,1.75,2.0,linear,0.8170239348331367,0.013667007335741164,0.7714893617021277,0.01592763172103228,0.760215523363661,0.02621054020233382,0.8839784671163444,0.015652982726752012
Positive,1.75,2.25,linear,0.8525288101655109,0.024966360839878445,0.8302127659574469,0.024030311325098717,0.8891052249136866,0.01931493911078565,0.8201474498362007,0.04347456676152139
Negative,1.75,2.25,linear,0.8161859803406057,0.018148642893121007,0.7638297872340426,0.023326757572197012,0.7711251936622745,0.026207978797049586,0.8673744989003431,0.01690095002745198
Positive,1.75,2.5,linear,0.8729204694254333,0.016078590341410747,0.848936170212766,0.019708146684101126,0.9117687266958135,0.01204537478926513,0.8375118165827701,0.023718544324975395
Negative,1.75,2.5,linear,0.831846000507554,0.02560732316731354,0.7812765957446809,0.028110884365810634,0.7845945227376372,0.029895057042201974,0.8858045334834175,0.029644822432213624
Positive,1.75,2.75,linear,0.8614293721567167,0.019492955511119247,0.8370212765957448,0.021951013406857768,0.8971269671569431,0.022167307641992998,0.8292330623872403,0.030579821272158348
