emotion,keyword,hard,soft,undefined
positive,good,0.25,0.5,0.25
positive,great,0.5,0.25,0.25
positive,staff,0,1,0
positive,clean,0,1,0
positive,location,1,0,0
positive,nice,0.5,0.25,0.25
positive,excellent,0.25,0.5,0.25
positive,helpful,0,1,0
positive,comfortable,0.25,0.5,0.25
positive,shopping,1,0,0
positive,beautiful,0.25,0.75,0
positive,friendly,0,1,0
positive,train,1,0,0
positive,large,1,0,0
positive,free,0,1,0
positive,subway,1,0,0
positive,recommend,0,0,1
positive,wonderful,0,0.5,0.5
negative,pricey,0,1,0
negative,worst,0.25,0.5,0.25
negative,dated,0.75,0,0.25
negative,poor,0,1,0
negative,walkway,1,0,0
negative,sense,0,0,1
negative,unable,0,1,0
negative,disappointing,0,0.5,0.5
negative,minor,0,0,1
negative,worse,0,0,1
negative,annoying,0.75,0,0.25
negative,lighting,0,1,0
negative,uncomfortable,0,1,0
negative,carpet,0,1,0
negative,dirty,0,0.75,0.25
negative,cigarette,0,1,0
negative,funny smell,0,1,0
negative,rude,0,1,0
negative,smallest,0.75,0,0.25
negative,mixed,0,0,1
negative,renovation,1,0,0
negative,paper,0,0,1
negative,disappointment,0,0,1
negative,outdated,0.75,0,0.25
