0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
good : 21823,good : 1006,good : 8291,good : 5959,good : 753,staff : 5994,ability : 0
staff : 20136,staff : 819,staff : 7663,staff : 4952,staff : 708,great : 5911,abit : 0
great : 17309,kyoto : 732,great : 5985,great : 4160,great : 678,good : 5814,absolute best : 0
location : 13835,location : 611,location : 5125,location : 4017,location : 527,nice : 3754,acceptable : 0
nice : 11931,great : 574,nice : 4493,shinjuku : 2855,nice : 481,location : 3555,acceptable access : 0
clean : 9301,train : 542,kyoto : 3980,clean : 2796,train : 466,shinjuku : 3014,acceptable breakfast : 0
train : 9123,clean : 531,clean : 3905,nice : 2714,clean : 345,shuttle : 2293,acceptable buffet : 0
free : 7005,nice : 489,train : 3188,train : 2667,shopping : 331,train : 2260,acceptable cleanliness : 0
easy : 6309,convenient : 288,free : 2847,airport : 1948,floor : 328,excellent : 2083,acceptable condition : 0
shinjuku : 6069,comfortable : 287,subway : 2355,easy : 1853,osaka : 303,free : 2061,acceptable distance : 0
convenient : 6020,shopping : 274,easy : 2336,convenient : 1835,convenient : 272,lounge : 1958,acceptable english : 0
helpful : 6003,recommend : 267,helpful : 2303,shopping : 1780,easy : 262,floor : 1924,acceptable everything : 0
friendly : 5822,large : 261,friendly : 2281,free : 1603,comfortable : 248,hilton : 1779,acceptable food : 0
comfortable : 5806,free : 255,comfortable : 2261,helpful : 1565,free : 239,large : 1779,acceptable hotel : 0
excellent : 5741,friendly : 253,convenient : 2098,friendly : 1524,recommend : 238,best : 1745,acceptable level : 0
floor : 5680,helpful : 241,shopping : 2052,comfortable : 1470,excellent : 233,clean : 1724,acceptable meal : 0
shopping : 5524,walking : 233,walking : 2029,walking : 1388,front : 229,helpful : 1670,acceptable price : 0
kyoto : 5392,jr : 225,recommend : 1997,jr : 1378,helpful : 224,easy : 1642,acceptable quality : 0
recommend : 5297,front : 219,best : 1959,floor : 1343,airport : 220,airport : 1549,acceptable rate : 0
best : 5243,floor : 218,excellent : 1959,recommend : 1325,friendly : 216,friendly : 1546,acceptable room : 0
subway : 5224,spacious : 217,floor : 1867,excellent : 1291,best : 210,comfortable : 1540,acceptable service : 0
walking : 5224,easy : 216,front : 1849,front : 1227,large : 207,convenient : 1527,acceptable size : 0
large : 4820,new : 206,everything : 1694,subway : 1200,walking : 195,recommend : 1470,acceptable space : 0
airport : 4778,experience : 201,large : 1660,clean room : 1179,jr : 191,subway : 1421,acceptable speed : 0
front : 4711,clean room : 198,osaka : 1606,best : 1172,booked : 190,buffet : 1389,acceptable spread : 0
everything : 4308,friendly staff : 198,friendly staff : 1573,friendly staff : 1049,everything : 164,walking : 1379,acceptable standard : 0
jr : 4183,booked : 186,jr : 1500,everything : 1033,spacious : 162,spacious : 1367,acceptable thing : 0
buffet : 4086,sapporo : 186,clean room : 1449,buffet : 962,dinner : 160,executive : 1365,acceptable time : 0
friendly staff : 3887,dinner : 182,buffet : 1414,large : 913,clean room : 154,everything : 1235,acceptable variety : 0
spacious : 3803,everything : 182,spacious : 1326,booked : 873,trip : 153,beautiful : 1207,acceptable wifi : 0
clean room : 3672,street : 181,found : 1324,helpful staff : 871,buffet : 152,front : 1187,accessible : 0
shuttle : 3618,excellent : 175,booked : 1283,found : 868,family : 152,shopping : 1087,accessible area : 0
booked : 3383,found : 172,quiet : 1283,narita : 856,store : 149,amazing : 1029,accessible attraction : 0
found : 3359,buffet : 169,distance : 1264,family : 843,shuttle : 143,high : 1003,accessible bathroom : 0
distance : 3245,traditional : 167,street : 1169,trip : 840,grand : 139,wonderful : 1000,accessible building : 0
trip : 3152,subway : 158,coffee : 1157,distance : 839,friendly staff : 135,trip : 999,accessible cab : 0
quiet : 3089,best : 157,helpful staff : 1147,minute : 783,perfect : 134,experience : 972,accessible city : 0
perfect : 2960,family : 150,short : 1143,metro : 775,found : 133,worth : 963,accessible entrance : 0
helpful staff : 2955,distance : 149,experience : 1138,quiet : 774,narita : 130,spacious room : 950,accessible everything : 0
experience : 2934,quiet : 148,modern : 1135,spacious : 731,plenty : 120,friendly staff : 932,accessible facility : 0
minute : 2934,spacious room : 144,perfect : 1133,store : 725,central : 118,imperial : 914,accessible floor : 0
lounge : 2868,gion : 140,new : 1131,great location : 722,distance : 115,pool : 907,accessible heart : 0
beautiful : 2867,helpful staff : 126,minute : 1130,street : 716,fuji : 114,jr : 889,accessible hotel : 0
family : 2864,visit : 125,beautiful : 1106,perfect : 714,lovely : 114,perfect : 889,accessible line : 0
short : 2863,short : 123,visit : 1084,short : 710,high : 113,distance : 878,accessible location : 0
worth : 2863,worth : 123,worth : 1061,happy : 707,convenience : 112,found : 862,accessible mart : 0
osaka : 2862,enjoyed : 120,trip : 1056,convenience : 697,visit : 111,booked : 851,accessible minute : 0
visit : 2798,good location : 118,family : 1037,visit : 692,coffee : 110,enjoyed : 849,accessible onsen : 0
high : 2625,great location : 109,enjoyed : 1036,plenty : 658,short : 110,narita : 836,accessible outlet : 0
enjoyed : 2609,twin : 106,airport : 996,good location : 626,stop : 110,minute : 813,accessible place : 0
coffee : 2581,different : 105,store : 907,shinagawa : 623,minute : 109,quiet : 797,accessible plug : 0
street : 2545,trip : 104,high : 901,worth : 608,worth : 108,visit : 786,accessible property : 0
modern : 2537,happy : 102,convenience : 896,line : 603,bridge : 105,lovely : 781,accessible restaurant : 0
metro : 2529,store : 102,lovely : 872,coffee : 591,helpful staff : 105,park : 776,accessible room : 0
happy : 2515,minute : 99,happy : 868,shibuya : 567,experience : 104,short : 776,accessible ryokan : 0
new : 2474,convenience : 98,metro : 864,grand : 553,line : 99,fantastic : 775,accessible shop : 0
amazing : 2405,exit : 98,wonderful : 850,limousine : 542,spacious room : 96,tower : 763,accessible site : 0
spacious room : 2397,coffee : 97,dinner : 849,value : 542,amazing : 94,happy : 754,accessible spot : 0
wonderful : 2397,local : 97,local : 846,mins : 532,different : 93,modern : 743,accessible station : 0
store : 2365,arrived : 96,help : 837,namba : 530,beautiful : 92,metro : 730,accessible store : 0
great location : 2334,beautiful : 95,different : 832,different : 529,great view : 92,palace : 716,accessible system : 0
lovely : 2279,mins : 95,great location : 830,high : 529,enjoyed : 91,helpful staff : 706,accessible toilet : 0
convenience : 2272,plenty : 94,amazing : 819,osaka : 520,subway : 90,clean room : 692,accessible tokyo : 0
different : 2244,central : 93,spacious room : 805,experience : 519,wonderful : 90,different : 685,accessible train : 0
dinner : 2212,osaka : 91,traditional : 801,modern : 515,metro : 88,family : 682,accessible transport : 0
narita : 2205,toilet : 91,stop : 797,enjoyed : 513,arrived : 87,shinagawa : 680,accessible transportation : 0
plenty : 2163,ueno : 91,line : 781,help : 512,quiet : 87,level : 670,accessible walk : 0
line : 2148,perfect : 89,comfortable bed : 779,choice : 506,monorail : 86,arrived : 642,accessible wifi : 0
help : 2136,reasonable : 88,good location : 776,exit : 503,choice : 84,help : 637,accommodate : 0
arrived : 2075,lovely : 86,central : 764,shuttle : 503,comfortable bed : 84,dinner : 631,accommodation : 0
good location : 2026,comfortable bed : 85,arrived : 758,comfortable bed : 496,happy : 84,coffee : 626,accomodate : 0
comfortable bed : 1979,couple : 85,plenty : 746,sunroute : 494,new : 84,line : 611,accomodation : 0
choice : 1974,choose : 83,mins : 733,arrived : 492,served : 84,great view : 600,accompany : 0
central : 1939,help : 78,toilet : 732,love : 492,fantastic : 83,large room : 597,accord : 0
local : 1937,high : 78,choice : 727,tower : 470,private : 83,great location : 595,accurate : 0
love : 1879,dining : 77,value : 727,new : 468,local : 81,suite : 590,accurate direction : 0
hilton : 1877,laundry : 77,ritz : 701,local : 458,great location : 78,choice : 586,accurate info : 0
stop : 1876,enjoy : 75,love : 698,twin : 458,modern : 78,new : 584,accurate information : 0
fantastic : 1857,fine : 74,exit : 691,decent : 454,haneda : 76,regency : 562,accurate picture : 0
mins : 1839,provide : 73,shuttle : 661,reasonable : 442,love : 76,love : 556,accurate reviews : 0
executive : 1759,free wifi : 72,decent : 648,central : 440,street : 73,selection : 547,activity : 0
pool : 1759,metro : 72,couple : 628,stop : 440,help : 72,plenty : 545,adapter : 0
value : 1743,choice : 71,reasonable : 621,haneda : 426,booking : 71,comfortable bed : 535,additional : 0
level : 1721,shinkansen : 71,fantastic : 612,lovely : 426,department : 71,central : 524,additional amenity : 0
toilet : 1693,amazing : 70,pleasant : 602,convenient location : 414,bay : 69,limousine : 519,additional amount : 0
traditional : 1665,served : 70,laundry : 601,toilet : 414,good location : 69,return : 519,additional bathroom : 0
couple : 1631,value : 69,level : 590,couple : 406,lounge : 69,ginza : 515,additional bed : 0
exit : 1582,modern : 66,twin : 587,spacious room : 402,toilet : 69,enjoy : 488,additional benefit : 0
decent : 1581,stop : 66,fine : 553,amazing : 393,traditional : 66,store : 482,additional blanket : 0
park : 1568,airport : 65,provide : 546,wonderful : 392,couple : 65,complimentary : 471,additional bonus : 0
shinagawa : 1545,wonderful : 65,enjoy : 543,laundry : 391,dining : 65,convenience : 469,additional bottle : 0
tower : 1539,decent : 64,choose : 535,dinner : 390,large room : 65,stop : 463,additional charge : 0
pleasant : 1522,large room : 64,free wifi : 523,free wifi : 383,disney : 64,offered : 459,additional choice : 0
reasonable : 1486,railway : 64,complimentary : 515,choose : 376,level : 64,garden : 456,additional comfort : 0
twin : 1480,pleasant : 63,entrance : 510,fine : 371,enjoy : 63,haneda : 456,additional cost : 0
return : 1462,hear : 61,corner : 507,beautiful : 367,mins : 62,local : 454,additional day : 0
enjoy : 1458,shop : 61,machine : 506,return : 364,twin : 62,polite : 453,additional extra : 0
choose : 1446,polite : 60,served : 502,pleasant : 363,reasonable : 60,property : 448,additional fee : 0
provide : 1401,convenient location : 59,nagoya : 496,level : 348,choose : 59,couple : 447,additional hour : 0
large room : 1391,park : 58,return : 488,machine : 347,machine : 59,special : 438,additional inch : 0
selection : 1376,least : 57,namba : 486,lounge : 346,rail : 59,good location : 437,additional info : 0
polite : 1370,love : 57,offered : 483,provide : 343,aqua : 58,pleasant : 437,additional information : 0
fine : 1360,warm : 57,pool : 480,fantastic : 339,bigger : 57,member : 436,additional item : 0
complimentary : 1352,machine : 56,dining : 478,department : 338,pleasant : 57,dining : 421,additional jpy : 0
free wifi : 1348,private : 56,warm : 477,clean hotel : 335,return : 57,mins : 417,additional key : 0
dining : 1310,offered : 55,large room : 475,polite : 335,limousine : 56,impressed : 412,additional mattress : 0
offered : 1293,variety : 55,lounge : 468,efficient : 324,polite : 56,bay : 409,additional money : 0
limousine : 1287,line : 54,polite : 466,dome : 322,value : 55,street : 406,additional night : 0
grand : 1262,thought : 54,ride : 466,good breakfast : 322,entrance : 54,excellent service : 405,additional option : 0
convenient location : 1237,good breakfast : 53,booking : 455,booking : 315,provide : 54,choose : 393,additional pack : 0
ginza : 1234,nagoya : 53,special : 452,park : 314,system : 54,variety : 389,additional payment : 0
imperial : 1221,rate : 51,surprised : 448,bigger : 310,complimentary : 52,nice room : 388,additional person : 0
great view : 1213,vending : 51,garden : 446,express : 310,ride : 52,toilet : 387,additional pillow : 0
booking : 1209,twin room : 50,selection : 443,pool : 305,comfortable room : 51,provide : 385,additional pod : 0
laundry : 1167,clean hotel : 49,convenient location : 437,selection : 304,kyoto : 50,good service : 382,additional point : 0
haneda : 1155,dated : 49,good breakfast : 431,good service : 303,lake : 50,efficient : 381,additional premium : 0
special : 1155,level : 49,thought : 431,nankai : 301,nikko : 50,separate : 376,additional price : 0
served : 1150,nice hotel : 49,gion : 430,short walk : 297,ginza : 49,great service : 373,additional privacy : 0
good service : 1146,surprised : 49,ginza : 428,enjoy : 289,nice view : 49,decent : 368,additional request : 0
efficient : 1141,fantastic : 48,bigger : 427,good hotel : 289,pool : 49,upgrade : 368,additional restaurant : 0
entrance : 1141,fresh : 48,drink : 420,excellent location : 288,fine : 48,kyoto : 365,additional ride : 0
thought : 1132,nice staff : 48,comfortable room : 412,shop : 286,centre : 47,traditional : 362,additional room : 0
variety : 1132,tub : 48,short walk : 406,complimentary : 285,eating : 47,thank : 361,additional service : 0
comfortable room : 1128,number : 47,money : 398,entrance : 285,shinkansen : 47,quick : 358,additional sofa : 0
surprised : 1108,separate : 47,clean hotel : 397,heart : 284,convenient location : 46,comfortable room : 354,additional space : 0
good breakfast : 1105,budget : 46,nice hotel : 394,direct : 281,decent : 46,value : 350,additional suitcase : 0
garden : 1102,comfortable room : 46,separate : 394,quick : 278,good hotel : 46,attentive : 342,additional surcharge : 0
machine : 1098,larger : 46,fresh : 392,money : 277,separate : 46,osaka : 342,additional tax : 0
nice hotel : 1095,booking : 45,park : 392,nice hotel : 270,shop : 46,thought : 342,additional thing : 0
warm : 1089,buy : 45,impressed : 391,dining : 269,course : 45,wife : 339,additional time : 0
short walk : 1084,wife : 45,good service : 389,traditional : 268,direct : 45,nice hotel : 338,additional towel : 0
quick : 1083,delicious : 44,market : 388,variety : 267,exit : 45,ride : 338,additional usd : 0
impressed : 1069,turn : 44,variety : 388,comfortable room : 265,island : 45,free wifi : 329,additional water : 0
ride : 1068,aeon : 43,buy : 386,kyoto : 265,quick : 45,number : 327,additional yen : 0
namba : 1037,selection : 43,turn : 379,vending : 263,thought : 45,great hotel : 326,address : 0
fresh : 1032,tatami : 43,least : 376,twin room : 262,wife : 45,booking : 323,adequate : 0
