0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
hilton : 1176,dated : 32,poor : 176,poor : 127,poor : 20,hilton : 1122,ability : 0
negative : 487,uncomfortable : 25,negative : 175,negative : 122,pricey : 19,pricey : 190,abit : 0
pricey : 462,disappointing : 16,downside : 156,pricey : 112,disappointing : 18,negative : 160,accord : 0
poor : 460,working : 15,dated : 150,downside : 93,negative : 18,dated : 153,accurate : 0
dated : 431,bother : 14,bother : 133,bother : 91,working : 18,downside : 134,accurate information : 0
downside : 407,poor : 14,disappointing : 133,dated : 89,carpet : 14,disappointing : 124,accurate reviews : 0
disappointing : 376,cigarette : 13,aware : 130,carpet : 87,downside : 14,poor : 122,advanced : 0
working : 344,aware : 12,pricey : 130,disappointing : 85,aware : 13,working : 115,advanced book : 0
worst : 327,negative : 12,worst : 130,worst : 85,bother : 13,minor : 91,advanced reservation : 0
bother : 318,unable : 12,working : 124,uncomfortable : 83,dirty : 13,worst : 86,advanced toilet : 0
aware : 303,worst : 12,minor : 99,cigarette : 72,european : 13,sense : 83,affair : 0
minor : 258,minor : 11,uncomfortable : 94,working : 72,worst : 13,aware : 81,affect : 0
uncomfortable : 253,plastic : 11,annoying : 93,aware : 67,annoying : 11,walkway : 76,aircon : 0
carpet : 240,pricey : 11,unable : 93,dirty : 65,hilton : 11,bother : 67,annoying : 0
annoying : 220,annoying : 10,cigarette : 92,smallest : 65,uncomfortable : 10,lighting : 64,annoying elevator : 0
sense : 220,carpet : 10,european : 89,european : 52,unable : 9,carpet : 60,annoying habit : 0
cigarette : 219,dirty : 10,sense : 88,annoying : 51,awkward : 8,unable : 56,annoying noise : 0
unable : 215,downside : 10,plastic : 78,minor : 50,carrying : 8,annoying : 55,annoying part : 0
european : 206,smallest : 10,smallest : 78,wardrobe : 50,cigarette : 8,paper : 55,annoying room : 0
smallest : 192,wet : 10,cramped : 76,bottled : 49,plastic : 8,disappointment : 50,annoying step : 0
dirty : 188,mold : 9,rude : 73,terrible : 49,cramped : 7,rude : 50,annoying thing : 0
paper : 182,crazy : 8,dirty : 72,paper : 48,dated : 7,outdated : 49,annoying wifi : 0
rude : 181,curtain : 8,paper : 70,cramped : 47,lighting : 7,european : 45,argue : 0
lighting : 180,wardrobe : 8,carpet : 69,unable : 45,mixed : 7,bottled : 40,aware : 0
bottled : 164,write : 8,drawback : 68,lighting : 44,rude : 7,terrible : 40,aware guest : 0
plastic : 159,european : 7,bottled : 66,mixed : 44,sense : 7,uncomfortable : 40,aware hotel : 0
