0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
hilton : 1176,ability : 0,dated : 32,poor : 176,poor : 127,poor : 20,hilton : 1068,dated : 47,hilton : 53,ability : 0
negative : 487,abit : 0,uncomfortable : 25,negative : 175,negative : 122,pricey : 19,pricey : 126,pricey : 34,pricey : 30,abit : 0
pricey : 462,accord : 0,disappointing : 16,downside : 156,pricey : 112,disappointing : 18,dated : 106,negative : 27,negative : 29,accord : 0
poor : 460,accurate : 0,working : 15,dated : 150,downside : 93,negative : 18,negative : 104,minor : 24,sense : 28,accurate : 0
dated : 431,accurate information : 0,bother : 14,bother : 133,bother : 91,working : 18,poor : 93,sense : 24,working : 28,accurate information : 0
downside : 407,accurate reviews : 0,poor : 14,disappointing : 133,dated : 89,carpet : 14,disappointing : 91,downside : 22,downside : 24,accurate reviews : 0
disappointing : 376,advanced : 0,cigarette : 13,aware : 130,carpet : 87,downside : 14,downside : 88,disappointing : 20,minor : 22,advanced : 0
working : 344,advanced book : 0,aware : 12,pricey : 130,disappointing : 85,aware : 13,working : 67,european : 20,lighting : 18,advanced book : 0
worst : 327,advanced reservation : 0,negative : 12,worst : 130,worst : 85,bother : 13,worst : 64,working : 20,aware : 13,advanced reservation : 0
bother : 318,advanced toilet : 0,unable : 12,working : 124,uncomfortable : 83,dirty : 13,aware : 53,unable : 17,disappointing : 13,advanced toilet : 0
aware : 303,affair : 0,worst : 12,minor : 99,cigarette : 72,european : 13,walkway : 53,walkway : 17,mixed : 13,affair : 0
minor : 258,affect : 0,minor : 11,uncomfortable : 94,working : 72,worst : 13,minor : 44,poor : 16,poor : 13,affect : 0
uncomfortable : 253,aircon : 0,plastic : 11,annoying : 93,aware : 67,annoying : 11,carpet : 43,aware : 15,annoying : 11,aircon : 0
carpet : 240,annoying : 0,pricey : 11,unable : 93,dirty : 65,hilton : 11,bother : 42,disappointment : 15,bedside : 11,annoying : 0
annoying : 220,annoying elevator : 0,annoying : 10,cigarette : 92,smallest : 65,uncomfortable : 10,lighting : 35,bother : 14,bother : 11,annoying elevator : 0
sense : 220,annoying habit : 0,carpet : 10,european : 89,european : 52,unable : 9,outdated : 34,outdated : 14,paper : 11,annoying habit : 0
cigarette : 219,annoying noise : 0,dirty : 10,sense : 88,annoying : 51,awkward : 8,unable : 33,paper : 13,disappointment : 10,annoying noise : 0
unable : 215,annoying part : 0,downside : 10,plastic : 78,minor : 50,carrying : 8,annoying : 32,renovation : 13,write : 10,annoying part : 0
european : 206,annoying room : 0,smallest : 10,smallest : 78,wardrobe : 50,cigarette : 8,terrible : 32,worst : 13,awkward : 9,annoying room : 0
smallest : 192,annoying step : 0,wet : 10,cramped : 76,bottled : 49,plastic : 8,paper : 31,annoying : 12,policy : 9,annoying step : 0
dirty : 188,annoying thing : 0,mold : 9,rude : 73,terrible : 49,cramped : 7,rude : 31,rude : 12,training : 9,annoying thing : 0
paper : 182,annoying wifi : 0,crazy : 8,dirty : 72,paper : 48,dated : 7,sense : 31,cigarette : 11,worst : 9,annoying wifi : 0
rude : 181,argue : 0,curtain : 8,paper : 70,cramped : 47,lighting : 7,uncomfortable : 31,lighting : 11,bottled : 8,argue : 0
lighting : 180,aware : 0,wardrobe : 8,carpet : 69,unable : 45,mixed : 7,crazy : 30,smallest : 11,carpet : 8,aware : 0
bottled : 164,aware guest : 0,write : 8,drawback : 68,lighting : 44,rude : 7,bottled : 29,only negative : 10,correct : 8,aware guest : 0
plastic : 159,aware hotel : 0,european : 7,bottled : 66,mixed : 44,sense : 7,wet : 27,carpet : 9,opinion : 8,aware hotel : 0
terrible : 159,aware management : 0,mixed : 7,terrible : 63,renovation : 43,walkway : 7,bottled water : 26,drawback : 9,stick : 8,aware management : 0
cramped : 155,aware person : 0,rude : 7,wet : 63,rude : 43,waste : 7,disappointment : 25,terrible : 8,stuffy : 8,aware person : 0
disappointment : 152,aware room : 0,shelf : 7,disappointment : 62,bottled water : 40,weird : 7,improve : 24,awkward : 7,wardrobe : 8,aware room : 0
drawback : 143,aware something : 0,stuffy : 7,lighting : 61,policy : 39,mold : 6,renovation : 24,correct : 7,bottled water : 7,aware something : 0
mixed : 143,aware thing : 0,unsure : 7,weird : 61,write : 39,outdated : 6,weird : 23,improve : 7,dead : 7,aware thing : 0
walkway : 143,aware traveler : 0,walkway : 7,wardrobe : 56,correct : 38,smallest : 6,worse : 23,pain : 7,device : 7,aware traveler : 0
wet : 143,awkward : 0,worse : 7,bottled water : 52,plastic : 38,correct : 5,write : 22,skip : 7,drawback : 7,awkward : 0
weird : 139,awkward bathroom : 0,aircon : 6,mixed : 52,sense : 38,dirty room : 5,european : 21,waitress : 7,exciting : 7,awkward bathroom : 0
renovation : 137,awkward bit : 0,disappointment : 6,renovation : 48,improve : 36,minor : 5,ridiculous : 21,cramped : 6,improvement : 7,awkward bit : 0
bottled water : 134,awkward configuration : 0,drawback : 6,stuffy : 44,skip : 36,negative thing : 5,device : 19,mediocre : 6,london : 7,awkward configuration : 0
wardrobe : 134,awkward layout : 0,funny : 6,outdated : 43,weird : 34,not bother : 5,dirty : 19,pricing : 6,plate : 7,awkward layout : 0
outdated : 128,awkward position : 0,paper : 6,aircon : 42,aircon : 31,remind : 5,only negative : 19,shelf : 6,rollaway : 7,awkward position : 0
write : 126,awkward shower : 0,worst hotel : 6,carrying : 40,disappointment : 31,renovation : 5,plug : 19,sunday : 6,rude : 7,awkward shower : 0
improve : 114,awkward situation : 0,awkward : 5,write : 40,drawback : 31,ridiculous : 5,drawback : 18,criticism : 5,uncomfortable : 7,awkward situation : 0
correct : 110,awkward time : 0,claustrophobic : 5,improve : 39,crazy : 29,worse : 5,mediocre : 18,opinion : 5,wet : 7,awkward time : 0
crazy : 107,background : 0,duvet : 5,smallest room : 39,horrible : 29,bottled : 4,opinion : 18,plastic : 5,cigarette : 6,background : 0
skip : 104,backpacker : 0,not working : 5,opinion : 38,smallest room : 28,bottled water : 4,cigarette : 17,plate : 5,criticism : 6,backpacker : 0
policy : 102,ball : 0,poor service : 5,plug : 37,struggle : 28,drawback : 4,gripe : 17,policy : 5,walkway : 6,ball : 0
worse : 102,bang : 0,smallest room : 5,skip : 37,walkway : 28,funny : 4,policy : 17,struggle : 5,waste : 6,bang : 0
only negative : 100,bare : 0,terrible : 5,tough : 37,worse : 28,gripe : 4,smallest : 16,wet : 5,cramped : 5,bare : 0
opinion : 92,bare bone : 0,uncomfortable bed : 5,correct : 36,only negative : 26,horrible : 4,correct : 15,write : 5,curtain : 5,bare bone : 0
plug : 92,bare foot : 0,cramped : 4,only negative : 35,wet : 26,only negative : 4,funny : 15,burger : 4,dirty : 5,bare foot : 0
carrying : 91,bare footed : 0,cupboard : 4,worse : 35,outdated : 25,opinion : 4,mixed : 15,crazy : 4,electrical : 5,bare footed : 0
awkward : 90,bare minimum : 0,dusty : 4,ridiculous : 34,carrying : 24,policy : 4,plastic : 15,duvet : 4,improve : 5,bare minimum : 0
aircon : 88,bare necessity : 0,horrible : 4,electrical : 33,electrical : 24,training : 4,plate : 15,funny : 4,meat : 5,bare necessity : 0
funny : 86,bare room : 0,lighting : 4,funny : 33,plug : 24,claustrophobic : 3,romantic : 15,gripe : 4,negative comment : 5,bare room : 0
horrible : 86,bare wall : 0,policy : 4,horrible : 33,uncomfortable bed : 24,concrete : 3,skip : 15,not bother : 4,rollaway bed : 5,bare wall : 0
stuffy : 85,bedside : 0,sense : 4,crazy : 31,hilton : 23,cramped room : 3,exciting : 14,poor service : 4,shelf : 5,bedside : 0
ridiculous : 83,big negative : 0,stale : 4,meat : 31,burger : 22,criticism : 3,tough : 14,pricey hotel : 4,smallest : 5,big negative : 0
tough : 83,blanket : 0,waste : 4,curtain : 30,stale : 22,device : 3,improvement : 13,remind : 4,unable : 5,blanket : 0
smallest room : 80,bother : 0,weird : 4,awkward : 29,trash : 21,dirty carpet : 3,mold : 13,smallest room : 4,ability : 4,bother : 0
electrical : 79,bottled : 0,abit : 3,stale : 28,awkward : 20,disappointment : 3,rollaway : 13,smallish : 4,crazy : 4,bottled : 0
waste : 77,bottled drink : 0,bedside : 3,not bother : 27,curtain : 20,improvement : 3,stuffy : 13,stick : 4,electrical outlet : 4,bottled drink : 0
curtain : 76,bottled tea : 0,bottled : 3,uncomfortable bed : 27,smallish : 20,neck : 3,carrying : 12,unsure : 4,european : 4,bottled tea : 0
gripe : 73,bottled water : 0,bottled water : 3,waste : 27,bare : 19,negative feedback : 3,electrical : 12,warning : 4,only negative : 4,bottled water : 0
struggle : 70,burger : 0,device : 3,gripe : 26,bedside : 19,paper : 3,horrible : 12,waste : 4,plastic : 4,burger : 0
not bother : 68,camping : 0,dirty room : 3,claustrophobic : 25,funny : 19,plate : 3,poor service : 12,weird : 4,plug : 4,camping : 0
bedside : 67,carpet : 0,disturb : 3,useless : 25,waste : 19,pricey room : 3,curtain : 11,affect : 3,pricy : 4,carpet : 0
stale : 66,carrying : 0,garbage : 3,walkway : 25,mold : 18,pricing : 3,pricing : 11,bottled : 3,romantic : 4,carrying : 0
mold : 65,cigarette : 0,inch : 3,plate : 24,tough : 18,reviewer : 3,pricy : 11,cramped room : 3,rule : 4,cigarette : 0
meat : 63,claim : 0,not bother : 3,policy : 24,gripe : 17,rude staff : 3,stick : 11,electrical : 3,skip : 4,claim : 0
uncomfortable bed : 63,claustrophobic : 0,opinion : 3,smallish : 24,meat : 16,struggle : 3,trash : 11,exciting : 3,smallest detail : 4,claustrophobic : 0
device : 62,claustrophobic feel : 0,plug : 3,concrete : 23,not bother : 16,unacceptable : 3,unfriendly : 11,handful : 3,sunday : 4,claustrophobic feel : 0
improvement : 62,claustrophobic person : 0,rule : 3,struggle : 23,opinion : 16,waitress : 3,not bother : 10,improvement : 3,tough : 4,claustrophobic person : 0
plate : 61,claustrophobic room : 0,skip : 3,bedside : 22,poor breakfast : 16,worst hotel : 3,ugly : 10,liking : 3,weird : 4,claustrophobic room : 0
stick : 60,concrete : 0,smallish : 3,cramped room : 22,stick : 15,abit : 2,unacceptable : 10,mediocre breakfast : 3,carrying : 3,concrete : 0
training : 59,confuse : 0,struggle : 3,improvement : 22,sunday : 15,affect : 2,unsure : 10,mixed : 3,concrete : 3,confuse : 0
smallish : 57,correct : 0,stuffy room : 3,disturb : 21,worst hotel : 15,annoying noise : 2,waste : 10,outdated room : 3,funny : 3,correct : 0
trash : 56,correct amount : 0,trash : 3,minor issue : 21,abit : 14,dead : 2,awkward : 9,plug : 3,gesture : 3,correct amount : 0
mediocre : 55,correct breakfast : 0,affair : 2,poor service : 21,device : 14,disappointing breakfast : 2,bedside : 9,pricey restaurant : 3,gripe : 3,correct breakfast : 0
poor service : 55,correct bus : 0,background : 2,training : 21,dirty carpet : 14,feedback : 2,cramped : 9,pricey side : 3,mediocre : 3,correct bus : 0
sunday : 55,correct exit : 0,bang : 2,cottage : 20,negative comment : 14,handful : 2,drain : 9,pricy : 3,negative point : 3,correct exit : 0
criticism : 52,correct hotel : 0,camping : 2,criticism : 20,not working : 14,hanger : 2,feedback : 9,ridiculous : 3,not bother : 3,correct hotel : 0
romantic : 52,correct information : 0,carrying : 2,sunday : 20,unacceptable : 14,improve : 2,inconsistent : 9,romantic : 3,pricey hotel : 3,correct information : 0
burger : 49,correct location : 0,confuse : 2,dangerous : 19,cupboard : 13,inconsistent : 2,insist : 9,rule : 3,pricey side : 3,correct location : 0
exciting : 49,correct number : 0,crew : 2,fashion : 19,dangerous : 13,insist : 2,negative nothing : 9,tough : 3,ridiculous : 3,correct number : 0
negative thing : 49,correct order : 0,dirty clothe : 2,inch : 19,dusty : 13,meat : 2,negative thing : 9,training : 3,tear : 3,correct order : 0
unacceptable : 49,correct password : 0,drunk : 2,reviewer : 19,feedback : 13,not working : 2,poor breakfast : 9,unreasonable : 3,unacceptable : 3,correct password : 0
unsure : 48,correct place : 0,electrical : 2,stick : 19,improvement : 13,other negative : 2,pricey restaurant : 9,wardrobe : 3,waitress : 3,correct place : 0
cramped room : 47,correct price : 0,electrical outlet : 2,unsure : 19,mediocre : 13,paint : 2,rollaway bed : 9,worse : 3,wet room : 3,correct price : 0
concrete : 46,correct room : 0,exciting : 2,wet room : 19,negative point : 13,plug : 2,handful : 8,ability : 2,cramped room : 2,correct room : 0
pricy : 46,correct service : 0,funny smell : 2,hilton : 18,poor english : 13,pricey bit : 2,minor issue : 8,accurate : 2,crew : 2,correct service : 0
waitress : 46,correct spelling : 0,gripe : 2,negative thing : 18,pricy : 13,romantic : 2,reviewer : 8,aircon : 2,cupboard : 2,correct spelling : 0
claustrophobic : 45,correct time : 0,hilton : 2,trash : 18,ridiculous : 13,skip : 2,stale : 8,argue : 2,dead area : 2,correct time : 0
shelf : 45,correct way : 0,meat : 2,unacceptable : 18,training : 13,smallest room : 2,wardrobe : 8,background : 2,disappointing recommendation : 2,correct way : 0
useless : 45,cottage : 0,minor complaint : 2,warning : 18,uncomfortable pillow : 13,smallish : 2,abit : 7,backpacker : 2,fashion : 2,cottage : 0
abit : 43,cramped : 0,minor drawback : 2,burger : 17,cramped room : 12,stain : 2,aircon : 7,bedside : 2,feedback : 2,cramped : 0
disturb : 43,cramped area : 0,minor problem : 2,cupboard : 17,negative thing : 12,stick : 2,dirty carpet : 7,bottled water : 2,handful : 2,cramped area : 0
