0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
good : 21823,ability : 0,good : 232,good : 1547,good : 2529,good : 16336,staff : 1627
staff : 20136,abit : 0,staff : 218,staff : 1455,staff : 2089,staff : 14747,great : 1605
great : 17309,absolute best : 0,clean : 179,great : 1017,great : 1509,great : 13020,good : 1179
location : 13835,acceptable : 0,nice : 166,location : 951,location : 1305,location : 10504,location : 970
nice : 11931,acceptable access : 0,great : 157,nice : 833,clean : 1232,nice : 8826,nice : 899
clean : 9301,acceptable breakfast : 0,floor : 106,kyoto : 702,nice : 1207,train : 7007,best : 690
train : 9123,acceptable buffet : 0,location : 105,clean : 689,train : 995,clean : 6933,excellent : 644
free : 7005,acceptable cleanliness : 0,comfortable : 82,train : 476,free : 886,shinjuku : 5864,palace : 595
easy : 6309,acceptable condition : 0,free : 78,free : 459,easy : 701,free : 5235,train : 580
shinjuku : 6069,acceptable distance : 0,recommend : 76,friendly : 424,convenient : 687,easy : 4782,floor : 528
convenient : 6020,acceptable english : 0,convenient : 72,excellent : 416,jr : 640,convenient : 4601,lounge : 522
helpful : 6003,acceptable everything : 0,helpful : 71,comfortable : 404,comfortable : 639,helpful : 4552,beautiful : 488
friendly : 5822,acceptable food : 0,friendly : 69,helpful : 399,friendly : 634,shopping : 4440,large : 478
comfortable : 5806,acceptable hotel : 0,train : 65,shopping : 394,helpful : 563,comfortable : 4313,amazing : 467
excellent : 5741,acceptable level : 0,walking : 64,easy : 385,floor : 541,friendly : 4311,helpful : 418
floor : 5680,acceptable meal : 0,osaka : 62,walking : 372,walking : 537,excellent : 4229,recommend : 408
shopping : 5524,acceptable price : 0,easy : 60,ueno : 359,recommend : 535,floor : 4197,wonderful : 399
kyoto : 5392,acceptable quality : 0,clean room : 58,recommend : 357,front : 522,kyoto : 4191,everything : 392
recommend : 5297,acceptable rate : 0,subway : 57,best : 354,osaka : 509,airport : 4004,easy : 381
best : 5243,acceptable room : 0,friendly staff : 55,subway : 349,subway : 505,subway : 3963,friendly : 381
subway : 5224,acceptable service : 0,nagoya : 55,convenient : 331,everything : 470,recommend : 3921,comfortable : 368
walking : 5224,acceptable size : 0,tatami : 52,front : 323,friendly staff : 451,walking : 3904,spacious : 364
large : 4820,acceptable space : 0,traditional : 52,floor : 308,clean room : 445,best : 3724,imperial : 362
airport : 4778,acceptable speed : 0,quiet : 50,friendly staff : 300,airport : 441,large : 3621,high : 361
front : 4711,acceptable spread : 0,front : 49,buffet : 284,shopping : 434,front : 3548,subway : 350
everything : 4308,acceptable standard : 0,kitchen : 48,large : 284,buffet : 429,everything : 3136,free : 347
jr : 4183,acceptable thing : 0,experience : 47,quiet : 273,best : 427,jr : 3121,walking : 347
buffet : 4086,acceptable time : 0,shopping : 47,everything : 267,shuttle : 415,buffet : 3019,buffet : 329
friendly staff : 3887,acceptable variety : 0,best : 46,spacious : 255,excellent : 414,shuttle : 2964,convenient : 329
spacious : 3803,acceptable wifi : 0,distance : 46,clean room : 254,large : 401,friendly staff : 2885,pool : 320
clean room : 3672,accessible : 0,toilet : 44,short : 252,booked : 394,spacious : 2829,perfect : 319
shuttle : 3618,accessible area : 0,everything : 43,distance : 249,quiet : 382,clean room : 2812,trip : 314
booked : 3383,accessible attraction : 0,mins : 43,street : 248,found : 364,booked : 2547,executive : 313
found : 3359,accessible bathroom : 0,family : 42,found : 242,convenience : 351,found : 2508,worth : 310
distance : 3245,accessible building : 0,booked : 41,dinner : 237,new : 339,distance : 2384,experience : 308
trip : 3152,accessible cab : 0,laundry : 41,minute : 232,distance : 337,trip : 2344,bay : 277
quiet : 3089,accessible city : 0,budget : 39,osaka : 222,minute : 328,helpful staff : 2236,ginza : 276
perfect : 2960,accessible entrance : 0,spacious : 39,booked : 218,short : 325,quiet : 2206,modern : 271
helpful staff : 2955,accessible everything : 0,convenience : 37,jr : 216,store : 322,lounge : 2186,front : 269
experience : 2934,accessible facility : 0,excellent : 37,coffee : 207,spacious : 316,perfect : 2186,clean : 268
minute : 2934,accessible floor : 0,found : 37,experience : 207,family : 314,minute : 2181,lovely : 249
lounge : 2868,accessible heart : 0,street : 37,helpful staff : 207,kyoto : 311,family : 2154,fantastic : 244
beautiful : 2867,accessible hotel : 0,trip : 37,beautiful : 204,helpful staff : 305,experience : 2113,enjoyed : 241
family : 2864,accessible line : 0,airport : 36,lovely : 196,street : 302,worth : 2093,visit : 234
short : 2863,accessible location : 0,helpful staff : 36,visit : 194,line : 293,visit : 2076,spacious room : 233
worth : 2863,accessible mart : 0,large : 36,enjoyed : 191,worth : 289,short : 2074,distance : 229
osaka : 2862,accessible minute : 0,new : 36,family : 191,trip : 279,osaka : 2050,park : 210
visit : 2798,accessible onsen : 0,common : 35,trip : 178,coffee : 273,metro : 2008,happy : 209
high : 2625,accessible outlet : 0,monorail : 35,perfect : 175,visit : 269,coffee : 1926,shopping : 209
enjoyed : 2609,accessible place : 0,short : 35,regency : 175,mins : 261,enjoyed : 1922,found : 208
coffee : 2581,accessible plug : 0,value : 35,good location : 163,experience : 259,beautiful : 1912,new : 199
street : 2545,accessible property : 0,exit : 33,store : 163,perfect : 257,high : 1895,friendly staff : 196
modern : 2537,accessible restaurant : 0,modern : 33,happy : 162,different : 252,happy : 1881,narita : 194
metro : 2529,accessible room : 0,good location : 32,help : 162,modern : 250,street : 1861,kyoto : 184
happy : 2515,accessible ryokan : 0,jr : 31,traditional : 161,good location : 245,modern : 1850,booked : 183
new : 2474,accessible shop : 0,store : 31,great location : 159,local : 243,spacious room : 1815,help : 181
amazing : 2405,accessible site : 0,minute : 29,wonderful : 159,beautiful : 241,great location : 1796,level : 180
spacious room : 2397,accessible spot : 0,apartment : 27,arrived : 157,happy : 240,store : 1796,different : 179
wonderful : 2397,accessible station : 0,high : 27,local : 157,help : 231,hilton : 1765,quiet : 178
store : 2365,accessible store : 0,enjoyed : 26,park : 157,enjoyed : 229,new : 1758,airport : 177
great location : 2334,accessible system : 0,buffet : 25,namba : 155,metro : 227,narita : 1744,special : 177
lovely : 2279,accessible toilet : 0,different : 25,mins : 151,comfortable bed : 223,wonderful : 1685,short : 176
convenience : 2272,accessible tokyo : 0,visit : 25,toilet : 150,exit : 223,plenty : 1684,jr : 175
different : 2244,accessible train : 0,local : 24,worth : 150,value : 223,convenience : 1682,dinner : 174
dinner : 2212,accessible transport : 0,spacious room : 24,different : 147,shinagawa : 214,different : 1641,arrived : 173
narita : 2205,accessible transportation : 0,castle : 23,convenience : 145,reasonable : 212,lovely : 1631,helpful staff : 171
plenty : 2163,accessible walk : 0,dining : 23,new : 142,plenty : 211,amazing : 1623,great view : 168
line : 2148,accessible wifi : 0,happy : 23,plenty : 142,decent : 205,line : 1622,design : 165
help : 2136,accommodate : 0,plenty : 23,high : 139,high : 203,dinner : 1591,enjoy : 164
arrived : 2075,accommodation : 0,provide : 23,stop : 139,great location : 201,help : 1541,metro : 164
good location : 2026,accomodate : 0,stop : 23,spacious room : 136,love : 201,arrived : 1527,minute : 164
comfortable bed : 1979,accomodation : 0,great location : 22,modern : 133,arrived : 198,good location : 1521,family : 163
choice : 1974,accompany : 0,level : 22,nagoya : 129,dinner : 198,choice : 1501,coffee : 161
central : 1939,accord : 0,perfect : 22,comfortable bed : 128,choice : 197,comfortable bed : 1473,return : 160
local : 1937,accurate : 0,vending : 22,value : 128,narita : 194,central : 1466,shuttle : 160
love : 1879,accurate direction : 0,beautiful : 21,exit : 126,couple : 191,stop : 1450,love : 159
hilton : 1877,accurate info : 0,coin : 21,central : 124,spacious room : 189,local : 1420,fish : 158
stop : 1876,accurate information : 0,comfortable bed : 21,choice : 124,central : 188,love : 1402,great location : 156
fantastic : 1857,accurate picture : 0,help : 21,amazing : 121,fine : 187,executive : 1374,suite : 151
mins : 1839,accurate reviews : 0,polite : 21,pleasant : 121,lovely : 184,fantastic : 1374,large room : 148
executive : 1759,activity : 0,warm : 21,airport : 120,stop : 184,mins : 1327,amazing view : 146
pool : 1759,adapter : 0,worth : 21,couple : 120,amazing : 182,shinagawa : 1313,central : 146
value : 1743,additional : 0,arrived : 20,reasonable : 120,laundry : 181,tower : 1308,choice : 143
level : 1721,additional amenity : 0,good value : 20,line : 119,free wifi : 177,value : 1275,selection : 137
toilet : 1693,additional amount : 0,green : 20,metro : 115,akihabara : 172,level : 1265,best hotel : 136
traditional : 1665,additional bathroom : 0,hear : 20,temple : 115,twin : 172,toilet : 1252,attentive : 134
couple : 1631,additional bed : 0,line : 20,ride : 114,garden : 167,traditional : 1252,comfortable bed : 134
exit : 1582,additional benefit : 0,separate : 20,decent : 111,pleasant : 164,pool : 1243,dining : 132
decent : 1581,additional blanket : 0,served : 20,served : 109,toilet : 164,decent : 1213,warm : 128
park : 1568,additional bonus : 0,free wifi : 19,fantastic : 106,haneda : 163,couple : 1196,complimentary : 126
shinagawa : 1545,additional bottle : 0,nice staff : 19,fine : 105,provide : 163,limousine : 1173,excellent service : 119
tower : 1539,additional charge : 0,reasonable : 19,love : 104,enjoy : 162,exit : 1142,offered : 118
pleasant : 1522,additional choice : 0,turn : 19,good breakfast : 102,machine : 157,twin : 1135,property : 117
reasonable : 1486,additional comfort : 0,washing : 19,level : 102,sapporo : 155,choose : 1118,everyone : 115
twin : 1480,additional cost : 0,entrance : 18,provide : 101,choose : 152,pleasant : 1116,thought : 114
return : 1462,additional day : 0,equipped : 18,enjoy : 100,level : 152,park : 1100,wife : 114
enjoy : 1458,additional extra : 0,green tea : 18,twin : 99,nagoya : 150,reasonable : 1089,market : 112
choose : 1446,additional fee : 0,ground : 18,offered : 98,pool : 149,return : 1087,impressed : 111
provide : 1401,additional hour : 0,lounge : 18,italian : 96,corner : 148,large room : 1050,thank : 111
large room : 1391,additional inch : 0,lovely : 18,museum : 95,complimentary : 146,provide : 1035,team : 110
selection : 1376,additional info : 0,money : 18,garden : 94,booking : 145,polite : 1026,couple : 109
polite : 1370,additional information : 0,pleasant : 18,comfortable room : 90,prince : 144,selection : 1023,gorgeous : 108
fine : 1360,additional item : 0,wonderful : 18,large room : 90,good breakfast : 143,enjoy : 1016,beautiful hotel : 107
complimentary : 1352,additional jpy : 0,machine : 17,free wifi : 89,selection : 139,free wifi : 1015,delicious : 107
free wifi : 1348,additional key : 0,offered : 17,thought : 89,served : 139,grand : 1012,balcony : 106
dining : 1310,additional mattress : 0,relaxing : 17,warm : 89,fresh : 138,complimentary : 988,great service : 106
offered : 1293,additional money : 0,twin : 17,choose : 87,shinjuku : 138,fine : 969,member : 104
limousine : 1287,additional night : 0,delicious : 16,corner : 87,bigger : 137,dining : 962,stunning : 104
grand : 1262,additional option : 0,enjoy : 16,complimentary : 84,polite : 137,offered : 935,clean room : 103
convenient location : 1237,additional pack : 0,fine : 16,delicious : 84,clean hotel : 136,convenient location : 929,pleasant : 103
ginza : 1234,additional payment : 0,parking : 16,variety : 83,wonderful : 136,booking : 917,plenty : 103
imperial : 1221,additional person : 0,tub : 16,polite : 82,entrance : 134,great view : 909,polite : 103
great view : 1213,additional pillow : 0,clean bathroom : 15,impressed : 81,money : 133,haneda : 906,separate : 103
