0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
hilton : 1176,ability : 0,worst : 6,dated : 40,poor : 57,hilton : 1114,hilton : 54
negative : 487,abit : 0,walkway : 5,downside : 29,bother : 43,negative : 382,pricey : 40
pricey : 462,accord : 0,funny : 4,poor : 29,dated : 41,pricey : 375,negative : 39
poor : 460,accurate : 0,unable : 4,negative : 28,working : 41,poor : 352,working : 35
dated : 431,accurate information : 0,worse : 4,disappointing : 26,downside : 40,dated : 346,sense : 34
downside : 407,accurate reviews : 0,annoying : 3,worst : 24,disappointing : 38,downside : 307,minor : 33
disappointing : 376,advanced : 0,dirty : 3,aware : 23,annoying : 36,disappointing : 291,downside : 29
working : 344,advanced book : 0,drawback : 3,uncomfortable : 23,negative : 36,worst : 248,aware : 21
worst : 327,advanced reservation : 0,funny smell : 3,cigarette : 22,worst : 36,working : 245,lighting : 20
bother : 318,advanced toilet : 0,poor : 3,pricey : 22,aware : 33,bother : 239,disappointing : 19
aware : 303,affair : 0,renovation : 3,minor : 21,cigarette : 31,aware : 224,poor : 19
minor : 258,affect : 0,aware : 2,working : 21,rude : 28,carpet : 193,annoying : 16
uncomfortable : 253,aircon : 0,carpet : 2,bother : 20,uncomfortable : 26,uncomfortable : 191,bother : 16
carpet : 240,annoying : 0,carrying : 2,paper : 19,paper : 25,minor : 188,mixed : 15
annoying : 220,annoying elevator : 0,cigarette : 2,unable : 19,pricey : 24,unable : 161,disappointment : 14
sense : 220,annoying habit : 0,correct : 2,european : 18,cramped : 23,dirty : 154,paper : 14
cigarette : 219,annoying noise : 0,curtain : 2,annoying : 17,unable : 23,european : 154,bedside : 13
unable : 215,annoying part : 0,disappointing : 2,wet : 17,aircon : 22,cigarette : 151,cigarette : 13
european : 206,annoying room : 0,disturb : 2,rude : 16,bottled : 22,sense : 151,drawback : 13
smallest : 192,annoying step : 0,downside : 2,carpet : 14,drawback : 22,annoying : 148,smallest : 13
dirty : 188,annoying thing : 0,electrical : 2,drawback : 14,european : 22,smallest : 147,european : 12
paper : 182,annoying wifi : 0,electrical outlet : 2,plastic : 14,plastic : 22,lighting : 131,worst : 12
rude : 181,argue : 0,horrible : 2,cramped : 13,carpet : 21,rude : 126,write : 12
lighting : 180,aware : 0,horrible noise : 2,sense : 13,sense : 21,bottled : 124,awkward : 11
bottled : 164,aware guest : 0,lighting : 2,smallest : 13,stuffy : 19,terrible : 124,correct : 11
plastic : 159,aware hotel : 0,shelf : 2,lighting : 12,terrible : 19,paper : 123,rude : 11
terrible : 159,aware management : 0,shock : 2,terrible : 12,wardrobe : 19,disappointment : 119,carpet : 10
cramped : 155,aware person : 0,stale : 2,dirty : 11,wet : 19,plastic : 116,cramped : 10
disappointment : 152,aware room : 0,stick : 2,outdated : 11,cottage : 18,walkway : 113,plate : 10
drawback : 143,aware something : 0,terrible : 2,mixed : 10,plug : 18,mixed : 111,policy : 10
mixed : 143,aware thing : 0,uncomfortable : 2,correct : 9,smallest : 18,renovation : 110,bottled : 9
walkway : 143,aware traveler : 0,unsure : 2,crazy : 9,bottled water : 17,weird : 109,exciting : 9
wet : 143,awkward : 0,working : 2,useless : 9,weird : 16,cramped : 108,renovation : 9
weird : 139,awkward bathroom : 0,worst room : 2,write : 9,worse : 16,outdated : 106,stick : 9
