0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
good : 19148,absolute best : 0,good : 206,good : 1399,good : 2242,good : 14307,great : 1488
staff : 16289,acceptable : 0,staff : 181,staff : 1165,staff : 1674,great : 12119,staff : 1277
great : 16127,acceptable access : 0,clean : 174,great : 961,great : 1414,staff : 11992,good : 994
location : 11838,acceptable breakfast : 0,nice : 166,nice : 808,clean : 1204,location : 9039,nice : 864
nice : 11615,acceptable buffet : 0,great : 143,location : 800,nice : 1175,nice : 8602,location : 799
clean : 9064,acceptable cleanliness : 0,location : 91,clean : 656,location : 1109,clean : 6769,excellent : 631
helpful : 5846,acceptable condition : 0,comfortable : 79,kyoto : 492,comfortable : 621,helpful : 4430,beautiful : 455
excellent : 5661,acceptable distance : 0,helpful : 70,excellent : 412,friendly : 615,comfortable : 4187,large : 404
comfortable : 5625,acceptable english : 0,friendly : 64,friendly : 400,free : 581,excellent : 4172,helpful : 401
friendly : 5606,acceptable everything : 0,recommend : 59,helpful : 393,helpful : 552,friendly : 4154,wonderful : 372
shopping : 5071,acceptable food : 0,osaka : 58,comfortable : 391,train : 527,shopping : 4057,friendly : 370
train : 5011,acceptable hotel : 0,walking : 58,shopping : 372,osaka : 469,train : 3845,best : 363
subway : 4686,acceptable level : 0,clean room : 55,subway : 309,convenient : 465,subway : 3555,comfortable : 347
free : 4318,acceptable price : 0,subway : 55,friendly staff : 292,friendly staff : 444,free : 3191,subway : 323
large : 4104,acceptable quality : 0,friendly staff : 53,walking : 288,subway : 444,large : 3070,train : 321
convenient : 3991,acceptable rate : 0,convenient : 48,train : 279,clean room : 440,convenient : 3037,recommend : 306
walking : 3936,acceptable room : 0,nagoya : 46,recommend : 273,excellent : 409,kyoto : 3019,amazing : 280
kyoto : 3857,acceptable service : 0,shopping : 41,free : 271,shopping : 407,walking : 2943,clean : 261
recommend : 3833,acceptable size : 0,laundry : 39,large : 250,easy : 397,friendly staff : 2836,floor : 255
friendly staff : 3819,acceptable space : 0,train : 39,clean room : 247,walking : 395,recommend : 2820,bay : 254
easy : 3668,acceptable speed : 0,experience : 37,best : 234,recommend : 375,easy : 2781,walking : 252
clean room : 3596,acceptable spread : 0,distance : 36,easy : 224,jr : 368,airport : 2772,lovely : 245
airport : 3297,acceptable standard : 0,excellent : 36,convenient : 223,large : 349,clean room : 2752,spacious : 244
best : 3111,acceptable thing : 0,floor : 36,ueno : 222,new : 323,shinjuku : 2559,lounge : 242
helpful staff : 2927,acceptable time : 0,helpful staff : 36,helpful staff : 206,convenience : 319,best : 2223,free : 240
beautiful : 2716,acceptable variety : 0,new : 36,osaka : 201,airport : 304,helpful staff : 2215,enjoyed : 234
floor : 2677,acceptable wifi : 0,easy : 35,lovely : 193,helpful staff : 301,floor : 2017,easy : 231
shinjuku : 2624,accessible : 0,free : 35,beautiful : 188,everything : 285,front : 1948,everything : 227
everything : 2618,accessible hotel : 0,convenience : 32,enjoyed : 186,best : 261,everything : 1923,palace : 221
osaka : 2607,accessible line : 0,large : 31,front : 177,front : 260,spacious : 1897,convenient : 218
enjoyed : 2550,accessible location : 0,tatami : 31,distance : 174,shuttle : 244,enjoyed : 1881,perfect : 215
front : 2540,accessible place : 0,best : 30,quiet : 164,good location : 242,osaka : 1863,experience : 204
spacious : 2521,accessible restaurant : 0,good location : 30,minute : 163,beautiful : 234,jr : 1825,fantastic : 203
jr : 2450,accessible room : 0,traditional : 30,street : 160,floor : 228,beautiful : 1817,friendly staff : 194
new : 2377,accessible station : 0,front : 28,good location : 159,enjoyed : 223,great location : 1780,shopping : 194
great location : 2313,accessible system : 0,quiet : 28,spacious : 159,quiet : 222,new : 1699,imperial : 193
lovely : 2225,accommodate : 0,airport : 27,great location : 158,comfortable bed : 219,distance : 1639,ginza : 186
wonderful : 2214,accommodation : 0,value : 27,everything : 157,kyoto : 219,plenty : 1635,new : 185
distance : 2200,accomodate : 0,enjoyed : 26,experience : 151,store : 217,perfect : 1625,worth : 182
perfect : 2148,accomodation : 0,everything : 26,wonderful : 150,reasonable : 208,lovely : 1586,pool : 176
experience : 2106,accompany : 0,exit : 25,short : 146,plenty : 207,wonderful : 1550,high : 170
plenty : 2101,activity : 0,minute : 23,floor : 141,distance : 205,experience : 1532,executive : 169
convenience : 2047,adapter : 0,modern : 23,dinner : 139,minute : 204,convenience : 1517,helpful staff : 169
good location : 1985,additional : 0,plenty : 23,plenty : 139,decent : 202,metro : 1494,buffet : 162
comfortable bed : 1919,additional bed : 0,store : 23,jr : 134,spacious : 200,good location : 1489,spacious room : 156
minute : 1910,additional charge : 0,budget : 22,new : 134,great location : 199,shuttle : 1455,great location : 155
buffet : 1899,additional cost : 0,beautiful : 21,buffet : 131,buffet : 191,comfortable bed : 1428,great view : 155
metro : 1873,additional extra : 0,comfortable bed : 21,visit : 130,short : 191,minute : 1414,park : 149
shuttle : 1828,additional fee : 0,great location : 21,perfect : 129,found : 186,buffet : 1401,distance : 146
quiet : 1782,additional info : 0,kitchen : 21,convenience : 127,worth : 185,quiet : 1280,modern : 142
worth : 1728,additional item : 0,polite : 21,comfortable bed : 123,value : 183,choice : 1277,large room : 135
choice : 1681,additional pillow : 0,street : 21,found : 122,experience : 182,worth : 1253,metro : 129
found : 1639,additional service : 0,castle : 20,nagoya : 122,lovely : 182,tower : 1246,comfortable bed : 128
fantastic : 1638,additional thing : 0,coin : 20,reasonable : 117,fine : 181,store : 1228,front : 127
store : 1617,additional towel : 0,family : 20,help : 115,street : 175,found : 1218,kyoto : 124
visit : 1610,additional yen : 0,jr : 20,park : 112,choice : 174,fantastic : 1213,help : 122
short : 1606,address : 0,monorail : 20,store : 112,laundry : 169,spacious room : 1193,visit : 119
modern : 1568,adequate : 0,short : 20,choice : 108,exit : 168,visit : 1182,excellent service : 117
spacious room : 1566,adequate amenity : 0,spacious : 20,decent : 107,visit : 167,decent : 1177,choice : 115
decent : 1538,adequate bathroom : 0,booked : 19,coffee : 105,perfect : 164,modern : 1161,airport : 114
tower : 1468,adequate bed : 0,good value : 19,stop : 105,modern : 163,short : 1149,trip : 112
reasonable : 1465,adequate bedroom : 0,nice staff : 19,local : 104,metro : 160,family : 1086,return : 111
street : 1462,adequate breakfast : 0,reasonable : 19,fine : 103,help : 156,reasonable : 1078,thank : 108
amazing : 1458,adequate buffet : 0,trip : 19,regency : 103,haneda : 155,lounge : 1075,dinner : 107
help : 1438,adequate center : 0,lovely : 18,fantastic : 100,coffee : 150,street : 1055,minute : 106
family : 1420,adequate choice : 0,toilet : 18,value : 100,local : 149,coffee : 1049,suite : 106
coffee : 1399,adequate clean : 0,wonderful : 18,temple : 98,family : 144,help : 1030,dining : 104
lounge : 1386,adequate english : 0,dining : 17,worth : 96,line : 140,polite : 1005,attentive : 103
value : 1353,adequate facility : 0,washing : 17,museum : 95,machine : 137,trip : 1000,balcony : 103
polite : 1343,adequate food : 0,equipped : 16,traditional : 95,clean hotel : 133,value : 986,delicious : 103
trip : 1335,adequate gym : 0,fine : 16,family : 92,polite : 133,amazing : 980,jr : 103
dinner : 1300,adequate hotel : 0,ground : 16,comfortable room : 90,booked : 130,stop : 979,clean room : 102
fine : 1292,adequate information : 0,stop : 16,exit : 90,nagoya : 130,large room : 945,great service : 101
stop : 1267,adequate level : 0,delicious : 15,good breakfast : 87,akihabara : 127,dinner : 937,polite : 101
large room : 1256,adequate location : 0,help : 15,spacious room : 87,trip : 125,local : 922,found : 100
local : 1248,adequate lounge : 0,local : 15,large room : 84,wonderful : 124,fine : 910,narita : 99
park : 1188,adequate mix : 0,nice room : 15,delicious : 82,convenient location : 118,narita : 910,short : 99
booked : 1166,adequate offering : 0,relaxing : 15,pleasant : 82,good hotel : 116,booked : 882,beautiful hotel : 98
high : 1150,adequate outlet : 0,spacious room : 15,polite : 82,shinagawa : 116,line : 853,tower : 98
narita : 1150,adequate place : 0,buffet : 14,airport : 80,stop : 116,park : 853,plenty : 97
exit : 1148,adequate restaurant : 0,clean bathroom : 14,amazing : 80,spacious room : 115,efficient : 846,enjoy : 91
convenient location : 1127,adequate room : 0,great view : 14,modern : 79,efficient : 114,convenient location : 841,level : 91
line : 1124,adequate service : 0,machine : 14,trip : 79,nice staff : 114,haneda : 829,fish : 90
laundry : 1112,adequate shower : 0,pleasant : 14,convenient location : 77,good breakfast : 113,nice hotel : 829,shuttle : 90
efficient : 1111,adequate size : 0,fantastic : 13,metro : 77,pleasant : 112,exit : 826,quiet : 88
great view : 1099,adequate skill : 0,found : 13,clean hotel : 74,amazing : 111,high : 825,amazing view : 85
comfortable room : 1098,adequate small : 0,great place : 13,line : 74,fantastic : 109,laundry : 823,happy : 85
return : 1068,adequate space : 0,map : 13,italian : 73,free wifi : 109,comfortable room : 818,coffee : 84
nice hotel : 1067,adequate speed : 0,metro : 13,excellent service : 72,good service : 108,great view : 818,comfortable room : 82
haneda : 1063,adequate standard : 0,nice hotel : 13,good hotel : 71,dinner : 106,good service : 809,fine : 82
happy : 1054,adequate storage : 0,perfect : 13,happy : 71,supermarket : 106,happy : 800,convenient location : 80
good service : 1042,adequate variety : 0,apartment : 12,laundry : 70,mins : 104,limousine : 793,great hotel : 80
central : 1041,adequate wifi : 0,clean place : 12,efficient : 68,tower : 104,return : 792,central : 79
nice room : 1010,adjacent : 0,common : 12,good service : 67,central : 102,central : 784,efficient : 79
excellent service : 1007,adjacent area : 0,happy : 12,nice hotel : 67,narita : 102,nice room : 784,special : 79
pleasant : 994,adjacent build : 0,reasonable price : 12,nice room : 67,good english : 101,excellent service : 745,family : 78
dining : 981,adjacent building : 0,spring : 12,machine : 66,comfortable room : 99,shinagawa : 735,selection : 75
traditional : 974,adjacent cafe : 0,visit : 12,booked : 65,nice hotel : 99,traditional : 735,fabulous : 74
clean hotel : 969,adjacent complex : 0,worth : 12,central : 65,rate : 99,clean hotel : 732,attentive staff : 73
machine : 952,adjacent garden : 0,coffee : 11,namba : 65,different : 97,dining : 721,complimentary : 73
thank : 943,adjacent ground : 0,convenient location : 11,variety : 64,return : 97,pleasant : 716,everyone : 73
good breakfast : 942,adjacent hotel : 0,dinner : 11,nice staff : 63,variety : 96,machine : 711,member : 73
quick : 908,adjacent location : 0,mins : 11,quick : 63,couple : 95,thank : 693,booked : 70
delicious : 885,adjacent mall : 0,peaceful : 11,good english : 62,garden : 95,good breakfast : 685,pleasant : 70
good hotel : 874,adjacent museum : 0,polite staff : 11,return : 62,prince : 95,quick : 682,quick : 69
shinagawa : 864,adjacent park : 0,rooftop : 11,ride : 62,enjoy : 91,excellent location : 648,team : 69
limousine : 857,adjacent restaurant : 0,warm : 11,thank : 62,adequate : 89,good hotel : 644,gorgeous : 66
variety : 848,adjacent road : 0,bedding : 10,couple : 61,high : 89,executive : 632,good location : 65
great service : 841,adjacent room : 0,central : 10,dining : 60,shop : 89,great service : 630,separate : 65
executive : 835,adjacent shop : 0,free wifi : 10,enjoy : 60,complimentary : 88,variety : 621,beautiful room : 64
level : 831,adjacent station : 0,fresh : 10,ground : 59,provide : 88,delicious : 615,haneda : 64
good english : 816,adjacent store : 0,good english : 10,reasonable price : 59,happy : 86,level : 615,nice room : 63
great hotel : 802,adjacent street : 0,high : 10,complimentary : 56,large room : 85,good english : 612,different : 61
nice staff : 800,adjacent subway : 0,level : 10,provide : 56,quick : 85,great hotel : 607,perfect location : 61
ginza : 799,adjacent tower : 0,lounge : 10,high : 55,comfy : 84,perfect location : 600,variety : 61
enjoy : 797,adjacent wall : 0,new hotel : 10,heart : 54,spring : 82,choose : 590,arrived : 60
complimentary : 796,admit : 0,nice view : 10,mins : 54,great view : 81,ginza : 574,ground : 60
different : 783,adult : 0,separate : 10,short walk : 54,nice room : 81,complimentary : 572,shimbashi : 60
excellent location : 783,advantage : 0,served : 10,free wifi : 53,reasonable price : 81,free wifi : 570,nice hotel : 59
