0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
good : 21823,ability : 0,ability : 0,good : 232,good : 1547,good : 2529,good : 7391,good : 3877,good : 5068,staff : 1627
staff : 20136,abit : 0,abit : 0,staff : 218,staff : 1455,staff : 2089,staff : 6486,staff : 3465,staff : 4796,great : 1605
great : 17309,absolute best : 0,absolute best : 0,clean : 179,great : 1017,great : 1509,great : 5425,great : 2812,great : 4783,good : 1179
location : 13835,acceptable : 0,acceptable : 0,nice : 166,location : 951,location : 1305,location : 5055,location : 2524,nice : 3078,location : 970
nice : 11931,acceptable access : 0,acceptable access : 0,great : 157,nice : 833,clean : 1232,nice : 3535,nice : 2213,shinjuku : 2986,nice : 899
clean : 9301,acceptable breakfast : 0,acceptable breakfast : 0,floor : 106,kyoto : 702,nice : 1207,clean : 3454,train : 1810,location : 2925,best : 690
train : 9123,acceptable buffet : 0,acceptable buffet : 0,location : 105,clean : 689,train : 995,train : 3331,clean : 1776,shuttle : 2107,excellent : 644
free : 7005,acceptable cleanliness : 0,acceptable cleanliness : 0,comfortable : 82,train : 476,free : 886,kyoto : 2868,free : 1390,train : 1866,palace : 595
easy : 6309,acceptable condition : 0,acceptable condition : 0,free : 78,free : 459,easy : 701,shinjuku : 2273,easy : 1209,free : 1863,train : 580
shinjuku : 6069,acceptable distance : 0,acceptable distance : 0,recommend : 76,friendly : 424,convenient : 687,convenient : 2234,helpful : 1169,clean : 1703,floor : 528
convenient : 6020,acceptable english : 0,acceptable english : 0,convenient : 72,excellent : 416,jr : 640,easy : 2187,subway : 1131,hilton : 1695,lounge : 522
helpful : 6003,acceptable everything : 0,acceptable everything : 0,helpful : 71,comfortable : 404,comfortable : 639,shopping : 2168,kyoto : 1086,excellent : 1578,beautiful : 488
friendly : 5822,acceptable food : 0,acceptable food : 0,friendly : 69,helpful : 399,friendly : 634,helpful : 2029,floor : 1068,floor : 1567,large : 478
comfortable : 5806,acceptable hotel : 0,acceptable hotel : 0,train : 65,shopping : 394,helpful : 563,comfortable : 1992,convenient : 1057,airport : 1519,amazing : 467
excellent : 5741,acceptable level : 0,acceptable level : 0,walking : 64,easy : 385,floor : 541,friendly : 1988,comfortable : 1033,large : 1437,helpful : 418
floor : 5680,acceptable meal : 0,acceptable meal : 0,osaka : 62,walking : 372,walking : 537,free : 1982,shopping : 1028,easy : 1386,recommend : 408
shopping : 5524,acceptable price : 0,acceptable price : 0,easy : 60,ueno : 359,recommend : 535,subway : 1829,friendly : 1023,lounge : 1356,wonderful : 399
kyoto : 5392,acceptable quality : 0,acceptable quality : 0,clean room : 58,recommend : 357,front : 522,recommend : 1795,walking : 985,helpful : 1354,everything : 392
recommend : 5297,acceptable rate : 0,acceptable rate : 0,subway : 57,best : 354,osaka : 509,excellent : 1760,jr : 935,convenient : 1310,easy : 381
best : 5243,acceptable room : 0,acceptable room : 0,friendly staff : 55,subway : 349,subway : 505,walking : 1750,recommend : 919,friendly : 1300,friendly : 381
subway : 5224,acceptable service : 0,acceptable service : 0,nagoya : 55,convenient : 331,everything : 470,airport : 1749,excellent : 891,comfortable : 1288,comfortable : 368
walking : 5224,acceptable size : 0,acceptable size : 0,tatami : 52,front : 323,friendly staff : 451,best : 1741,best : 821,shopping : 1244,spacious : 364
large : 4820,acceptable space : 0,acceptable space : 0,traditional : 52,floor : 308,clean room : 445,front : 1713,osaka : 808,buffet : 1212,imperial : 362
airport : 4778,acceptable speed : 0,acceptable speed : 0,quiet : 50,friendly staff : 300,airport : 441,floor : 1562,front : 739,recommend : 1207,high : 361
front : 4711,acceptable spread : 0,acceptable spread : 0,front : 49,buffet : 284,shopping : 434,everything : 1497,airport : 736,walking : 1169,subway : 350
everything : 4308,acceptable standard : 0,acceptable standard : 0,kitchen : 48,large : 284,buffet : 429,large : 1497,clean room : 734,best : 1162,free : 347
jr : 4183,acceptable thing : 0,acceptable thing : 0,experience : 47,quiet : 273,best : 427,jr : 1487,friendly staff : 726,spacious : 1099,walking : 347
buffet : 4086,acceptable time : 0,acceptable time : 0,shopping : 47,everything : 267,shuttle : 415,clean room : 1410,everything : 712,front : 1096,buffet : 329
friendly staff : 3887,acceptable variety : 0,acceptable variety : 0,best : 46,spacious : 255,excellent : 414,friendly staff : 1332,large : 687,executive : 1056,convenient : 329
spacious : 3803,acceptable wifi : 0,acceptable wifi : 0,distance : 46,clean room : 254,large : 401,found : 1192,buffet : 679,subway : 1003,pool : 320
clean room : 3672,accessible : 0,accessible : 0,toilet : 44,short : 252,booked : 394,booked : 1132,spacious : 629,everything : 927,perfect : 319
shuttle : 3618,accessible area : 0,accessible area : 0,everything : 43,distance : 249,quiet : 382,buffet : 1128,booked : 624,friendly staff : 827,trip : 314
booked : 3383,accessible attraction : 0,accessible attraction : 0,mins : 43,street : 248,found : 364,spacious : 1101,helpful staff : 614,booked : 791,executive : 313
found : 3359,accessible bathroom : 0,accessible bathroom : 0,family : 42,found : 242,convenience : 351,distance : 1073,quiet : 612,experience : 785,worth : 310
distance : 3245,accessible building : 0,accessible building : 0,booked : 41,dinner : 237,new : 339,trip : 1044,shinjuku : 605,narita : 785,experience : 308
trip : 3152,accessible cab : 0,accessible cab : 0,laundry : 41,minute : 232,distance : 337,family : 1041,found : 581,spacious room : 774,bay : 277
quiet : 3089,accessible city : 0,accessible city : 0,budget : 39,osaka : 222,minute : 328,perfect : 1032,distance : 568,beautiful : 772,ginza : 276
perfect : 2960,accessible entrance : 0,accessible entrance : 0,spacious : 39,booked : 218,short : 325,helpful staff : 1029,minute : 552,trip : 762,modern : 271
helpful staff : 2955,accessible everything : 0,accessible everything : 0,convenience : 37,jr : 216,store : 322,street : 1018,store : 541,worth : 761,front : 269
