0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
hilton : 1176,ability : 0,ability : 0,worst : 6,dated : 40,poor : 57,negative : 162,poor : 92,hilton : 1077,hilton : 54
negative : 487,abit : 0,abit : 0,walkway : 5,downside : 29,bother : 43,poor : 136,pricey : 92,pricey : 163,pricey : 40
pricey : 462,accord : 0,accord : 0,funny : 4,poor : 29,dated : 41,dated : 131,negative : 86,dated : 150,negative : 39
poor : 460,accurate : 0,accurate : 0,unable : 4,negative : 28,working : 41,downside : 131,downside : 66,negative : 134,working : 35
dated : 431,accurate information : 0,accurate information : 0,worse : 4,disappointing : 26,downside : 40,pricey : 120,dated : 65,disappointing : 129,sense : 34
downside : 407,accurate reviews : 0,accurate reviews : 0,annoying : 3,worst : 24,disappointing : 38,bother : 119,worst : 64,poor : 124,minor : 33
disappointing : 376,advanced : 0,advanced : 0,dirty : 3,aware : 23,annoying : 36,disappointing : 112,bother : 59,downside : 110,downside : 29
working : 344,advanced book : 0,advanced book : 0,drawback : 3,uncomfortable : 23,negative : 36,uncomfortable : 103,working : 58,worst : 98,aware : 21
worst : 327,advanced reservation : 0,advanced reservation : 0,funny smell : 3,cigarette : 22,worst : 36,aware : 99,aware : 57,working : 91,lighting : 20
bother : 318,advanced toilet : 0,advanced toilet : 0,poor : 3,pricey : 22,aware : 33,working : 96,carpet : 55,walkway : 82,disappointing : 19
aware : 303,affair : 0,affair : 0,renovation : 3,minor : 21,cigarette : 31,minor : 93,uncomfortable : 55,carpet : 71,poor : 19
minor : 258,affect : 0,affect : 0,aware : 2,working : 21,rude : 28,smallest : 88,dirty : 51,aware : 68,annoying : 16
uncomfortable : 253,aircon : 0,aircon : 0,carpet : 2,bother : 20,uncomfortable : 26,worst : 86,disappointing : 50,minor : 63,bother : 16
carpet : 240,annoying : 0,annoying : 0,carrying : 2,paper : 19,paper : 25,cigarette : 79,cigarette : 46,sense : 63,mixed : 15
annoying : 220,annoying elevator : 0,annoying elevator : 0,cigarette : 2,unable : 19,pricey : 24,annoying : 70,unable : 43,bother : 61,disappointment : 14
sense : 220,annoying habit : 0,annoying habit : 0,correct : 2,european : 18,cramped : 23,carpet : 67,european : 41,outdated : 58,paper : 14
cigarette : 219,annoying noise : 0,annoying noise : 0,curtain : 2,annoying : 17,unable : 23,cramped : 67,bottled : 38,lighting : 51,bedside : 13
unable : 215,annoying part : 0,annoying part : 0,disappointing : 2,wet : 17,aircon : 22,dirty : 67,mixed : 34,unable : 51,cigarette : 13
european : 206,annoying room : 0,annoying room : 0,disturb : 2,rude : 16,bottled : 22,unable : 67,paper : 34,european : 47,drawback : 13
smallest : 192,annoying step : 0,annoying step : 0,downside : 2,carpet : 14,drawback : 22,european : 66,annoying : 33,paper : 47,smallest : 13
dirty : 188,annoying thing : 0,annoying thing : 0,electrical : 2,drawback : 14,european : 22,wardrobe : 66,terrible : 33,rude : 46,european : 12
paper : 182,annoying wifi : 0,annoying wifi : 0,electrical outlet : 2,plastic : 14,plastic : 22,plastic : 65,minor : 32,annoying : 45,worst : 12
rude : 181,argue : 0,argue : 0,horrible : 2,cramped : 13,carpet : 21,rude : 60,smallest : 32,terrible : 43,write : 12
lighting : 180,aware : 0,aware : 0,horrible noise : 2,sense : 13,sense : 21,sense : 59,write : 31,disappointment : 37,awkward : 11
bottled : 164,aware guest : 0,aware guest : 0,lighting : 2,smallest : 13,stuffy : 19,disappointment : 58,bottled water : 30,bottled : 36,correct : 11
plastic : 159,aware hotel : 0,aware hotel : 0,shelf : 2,lighting : 12,terrible : 19,mixed : 55,sense : 29,dirty : 36,rude : 11
terrible : 159,aware management : 0,aware management : 0,shock : 2,terrible : 12,wardrobe : 19,lighting : 54,correct : 28,renovation : 35,carpet : 10
cramped : 155,aware person : 0,aware person : 0,stale : 2,dirty : 11,wet : 19,bottled : 50,renovation : 28,uncomfortable : 33,cramped : 10
disappointment : 152,aware room : 0,aware room : 0,stick : 2,outdated : 11,cottage : 18,terrible : 48,weird : 28,weird : 33,plate : 10
drawback : 143,aware something : 0,aware something : 0,terrible : 2,mixed : 10,plug : 18,weird : 48,lighting : 26,bottled water : 32,policy : 10
mixed : 143,aware thing : 0,aware thing : 0,uncomfortable : 2,correct : 9,smallest : 18,renovation : 47,cramped : 25,improve : 32,bottled : 9
walkway : 143,aware traveler : 0,aware traveler : 0,unsure : 2,crazy : 9,bottled water : 17,drawback : 45,wardrobe : 25,crazy : 31,exciting : 9
wet : 143,awkward : 0,awkward : 0,working : 2,useless : 9,weird : 16,improve : 44,wet : 25,wet : 31,renovation : 9
weird : 139,awkward bathroom : 0,awkward bathroom : 0,worst room : 2,write : 9,worse : 16,paper : 42,disappointment : 24,ridiculous : 30,stick : 9
renovation : 137,awkward bit : 0,awkward bit : 0,yellow : 2,aircon : 8,carrying : 15,bottled water : 41,plastic : 24,worse : 29,stuffy : 9
bottled water : 134,awkward configuration : 0,awkward configuration : 0,ability : 0,curtain : 8,lighting : 15,policy : 40,drawback : 23,mediocre : 28,training : 9
wardrobe : 134,awkward layout : 0,awkward layout : 0,abit : 0,disappointment : 8,ridiculous : 15,horrible : 39,tough : 22,only negative : 28,wardrobe : 9
outdated : 128,awkward position : 0,awkward position : 0,accord : 0,smallest room : 8,dirty : 14,wet : 39,rude : 20,plastic : 27,waste : 9
write : 126,awkward shower : 0,awkward shower : 0,accurate : 0,stuffy : 8,minor : 14,skip : 37,uncomfortable bed : 20,skip : 27,wet : 9
improve : 114,awkward situation : 0,awkward situation : 0,accurate information : 0,bottled : 7,write : 14,smallest room : 37,worse : 20,smallest : 27,bottled water : 8
correct : 110,awkward time : 0,awkward time : 0,accurate reviews : 0,dangerous : 7,tough : 13,awkward : 36,aircon : 18,cigarette : 26,criticism : 8
crazy : 107,background : 0,background : 0,advanced : 0,funny : 7,walkway : 13,only negative : 35,opinion : 18,gripe : 26,dead : 8
skip : 104,backpacker : 0,backpacker : 0,advanced book : 0,sunday : 7,policy : 12,crazy : 33,skip : 18,write : 26,device : 8
policy : 102,ball : 0,ball : 0,advanced reservation : 0,wardrobe : 7,renovation : 12,plug : 33,improve : 17,correct : 24,london : 8
worse : 102,bang : 0,bang : 0,advanced toilet : 0,waste : 7,skip : 12,write : 33,outdated : 17,opinion : 24,only negative : 8
only negative : 100,bare : 0,bare : 0,affair : 0,worse : 7,crazy : 11,claustrophobic : 32,struggle : 17,drawback : 23,opinion : 8
opinion : 92,bare bone : 0,bare bone : 0,affect : 0,bedside : 6,disappointment : 11,outdated : 31,awkward : 16,mold : 23,rollaway : 8
plug : 92,bare foot : 0,bare foot : 0,aircon : 0,bottled water : 6,electrical : 11,aircon : 30,carrying : 16,plug : 23,shelf : 8
carrying : 91,bare footed : 0,bare footed : 0,annoying elevator : 0,improve : 6,horrible : 11,electrical : 30,crazy : 16,policy : 23,uncomfortable : 8
awkward : 90,bare minimum : 0,bare minimum : 0,annoying habit : 0,not bother : 6,smallest room : 11,opinion : 30,funny : 16,carrying : 22,waitress : 8
aircon : 88,bare necessity : 0,bare necessity : 0,annoying noise : 0,skip : 6,only negative : 10,funny : 29,only negative : 16,mixed : 22,improvement : 7
funny : 86,bare room : 0,bare room : 0,annoying part : 0,tough : 6,poor service : 10,gripe : 29,mold : 14,funny : 21,plug : 7
horrible : 86,bare wall : 0,bare wall : 0,annoying room : 0,trash : 6,correct : 9,struggle : 29,policy : 14,romantic : 19,unable : 7
stuffy : 85,bedside : 0,bedside : 0,annoying step : 0,weird : 6,curtain : 9,waste : 29,meat : 13,device : 18,walkway : 7
ridiculous : 83,big negative : 0,big negative : 0,annoying thing : 0,accurate : 5,disturb : 8,carrying : 28,negative thing : 13,exciting : 18,crazy : 6
tough : 83,blanket : 0,blanket : 0,annoying wifi : 0,blanket : 5,improve : 8,stale : 28,ridiculous : 13,waste : 18,dirty : 6
smallest room : 80,bother : 0,bother : 0,argue : 0,carrying : 5,inch : 8,burger : 27,smallest room : 13,awkward : 17,improve : 6
electrical : 79,bottled : 0,bottled : 0,aware guest : 0,concrete : 5,outdated : 8,correct : 27,smallish : 13,electrical : 17,plastic : 6
waste : 77,bottled drink : 0,bottled drink : 0,aware hotel : 0,improvement : 5,struggle : 8,curtain : 27,horrible : 12,horrible : 17,pricing : 6
curtain : 76,bottled tea : 0,bottled tea : 0,aware management : 0,inch : 5,unfriendly : 8,hilton : 27,improvement : 12,improvement : 17,pricy : 6
gripe : 73,bottled water : 0,bottled water : 0,aware person : 0,meat : 5,unsure : 8,meat : 27,dirty carpet : 11,plate : 17,rollaway bed : 6
struggle : 70,burger : 0,burger : 0,aware room : 0,mold : 5,worst hotel : 8,not bother : 26,unacceptable : 11,cramped : 16,weird : 6
not bother : 68,camping : 0,camping : 0,aware something : 0,opinion : 5,electrical outlet : 7,smallish : 25,unfriendly : 11,poor service : 16,cramped room : 5
bedside : 67,carpet : 0,carpet : 0,aware thing : 0,reviewer : 5,negative point : 7,stuffy : 25,cupboard : 10,pricing : 16,curtain : 5
stale : 66,carrying : 0,carrying : 0,aware traveler : 0,stick : 5,not bother : 7,trash : 25,curtain : 10,stick : 16,electrical : 5
mold : 65,cigarette : 0,cigarette : 0,awkward : 0,waitress : 5,opinion : 7,cramped room : 24,dangerous : 10,training : 16,meat : 5
meat : 63,claim : 0,claim : 0,awkward bathroom : 0,walkway : 5,stale : 7,uncomfortable bed : 24,device : 10,bedside : 15,negative comment : 5
uncomfortable bed : 63,claustrophobic : 0,claustrophobic : 0,awkward bit : 0,cramped room : 4,stuffy room : 7,bedside : 23,electrical : 10,curtain : 15,not bother : 5
device : 62,claustrophobic feel : 0,claustrophobic feel : 0,awkward configuration : 0,device : 4,sunday : 7,tough : 23,hilton : 10,stale : 15,ability : 4
improvement : 62,claustrophobic person : 0,claustrophobic person : 0,awkward layout : 0,disturb : 4,training : 7,worse : 23,negative comment : 10,tough : 15,electrical outlet : 4
plate : 61,claustrophobic room : 0,claustrophobic room : 0,awkward position : 0,electrical : 4,uncomfortable bed : 7,criticism : 22,not bother : 10,not bother : 14,negative point : 4
stick : 60,concrete : 0,concrete : 0,awkward shower : 0,negative thing : 4,abit : 6,concrete : 21,reviewer : 10,pricy : 14,poor service : 4
training : 59,confuse : 0,confuse : 0,awkward situation : 0,plate : 4,crew : 6,plate : 21,romantic : 10,ugly : 14,pricey hotel : 4
smallish : 57,correct : 0,correct : 0,awkward time : 0,romantic : 4,gripe : 6,walkway : 21,stuffy : 10,unfriendly : 14,pricey side : 4
trash : 56,correct amount : 0,correct amount : 0,background : 0,shelf : 4,hilton : 6,cupboard : 20,walkway : 10,rollaway : 13,ridiculous : 4
mediocre : 55,correct breakfast : 0,correct breakfast : 0,backpacker : 0,training : 4,mixed : 6,dusty : 20,waste : 10,stuffy : 13,romantic : 4
poor service : 55,correct bus : 0,correct bus : 0,ball : 0,uncomfortable bed : 4,paint : 6,ridiculous : 20,worst hotel : 10,trash : 13,rule : 4
sunday : 55,correct exit : 0,correct exit : 0,bang : 0,warning : 4,poor breakfast : 6,sunday : 20,criticism : 9,unacceptable : 13,skip : 4
criticism : 52,correct hotel : 0,correct hotel : 0,bare : 0,worst hotel : 4,reviewer : 6,training : 20,not working : 9,dirty carpet : 12,smallest detail : 4
romantic : 52,correct information : 0,correct information : 0,bare bone : 0,yellow : 4,stick : 6,bare : 19,pricing : 9,negative thing : 12,stressful : 4
burger : 49,correct location : 0,correct location : 0,bare foot : 0,ability : 3,awkward : 5,mold : 19,rule : 9,pricey restaurant : 12,sunday : 4
exciting : 49,correct number : 0,correct number : 0,bare footed : 0,affect : 3,burger : 5,device : 17,stain : 9,struggle : 12,tough : 4
negative thing : 49,correct order : 0,correct order : 0,bare minimum : 0,awkward : 3,claustrophobic : 5,disturb : 17,stale : 9,sunday : 12,warning : 4
unacceptable : 49,correct password : 0,correct password : 0,bare necessity : 0,bang : 3,dangerous : 5,unacceptable : 17,stick : 9,unsure : 12,carrying : 3
unsure : 48,correct place : 0,correct place : 0,bare room : 0,dead : 3,funny : 5,abit : 16,abit : 8,drain : 11,concrete : 3
cramped room : 47,correct price : 0,correct price : 0,bare wall : 0,dresser : 3,improvement : 5,fashion : 16,fashion : 8,minor issue : 11,crew : 3
concrete : 46,correct room : 0,correct room : 0,bedside : 0,duvet : 3,insist : 5,improvement : 16,negative point : 8,remind : 11,cupboard : 3
pricy : 46,correct service : 0,correct service : 0,big negative : 0,electrical outlet : 3,not working : 5,not working : 16,plug : 8,rude staff : 11,dated : 3
waitress : 46,correct spelling : 0,correct spelling : 0,blanket : 0,insist : 3,pain : 5,shock : 16,poor service : 8,waitress : 11,funny : 3
claustrophobic : 45,correct time : 0,correct time : 0,bother : 0,minor issue : 3,poor hotel : 5,negative thing : 15,shelf : 8,aircon : 10,gesture : 3
shelf : 45,correct way : 0,correct way : 0,bottled : 0,negative point : 3,smallish : 5,poor breakfast : 15,smallish room : 8,criticism : 10,gripe : 3
useless : 45,cottage : 0,cottage : 0,bottled drink : 0,negative review : 3,trash : 5,unsure : 15,unsure : 8,feedback : 10,handful : 3
abit : 43,cramped : 0,cramped : 0,bottled tea : 0,not working : 3,unacceptable : 5,useless : 15,wet room : 8,insist : 10,liking : 3
disturb : 43,cramped area : 0,cramped area : 0,bottled water : 0,only negative : 3,bedside : 4,warning : 15,bang : 7,meat : 10,mediocre : 3
worst hotel : 43,cramped bathroom : 0,cramped bathroom : 0,burger : 0,plug : 3,claim : 4,feedback : 14,bare : 7,pain : 10,minor complaint : 3
cupboard : 42,cramped bedroom : 0,cramped bedroom : 0,camping : 0,policy : 3,cramped room : 4,poor service : 14,concrete : 7,pricey hotel : 10,negative thing : 3
pricing : 42,cramped feel : 0,cramped feel : 0,claim : 0,poor breakfast : 3,device : 4,pricy : 14,dead : 7,reviewer : 10,pricey room : 3
poor breakfast : 41,cramped hotel : 0,cramped hotel : 0,claustrophobic : 0,poor service : 3,dusty : 4,london : 13,dirty room : 7,abit : 9,smallest room : 3
reviewer : 41,cramped lobby : 0,cramped lobby : 0,claustrophobic feel : 0,renovation : 3,fashion : 4,minor issue : 13,duvet : 7,burger : 9,smallish : 3
unfriendly : 41,cramped quarters : 0,cramped quarters : 0,claustrophobic person : 0,rude staff : 3,feedback : 4,problematic : 13,feedback : 7,crew : 9,stale : 3
not working : 40,cramped room : 0,cramped room : 0,claustrophobic room : 0,smallish : 3,london : 4,smallish room : 13,friday : 7,inconsistent : 9,struggle : 3
feedback : 38,cramped size : 0,cramped size : 0,concrete : 0,abit : 2,mediocre : 4,stick : 13,pain : 7,negative comment : 9,tear : 3
dusty : 37,cramped space : 0,cramped space : 0,confuse : 0,argue : 2,not aware : 4,claim : 12,plate : 7,negative reviews : 9,unacceptable : 3
electrical outlet : 37,crap : 0,crap : 0,correct amount : 0,confuse : 2,not disturb : 4,crew : 12,poor breakfast : 7,outdated room : 9,useless : 3
fashion : 37,crazy : 0,crazy : 0,correct breakfast : 0,correct way : 2,pricy : 4,gesture : 12,poor english : 7,poor breakfast : 9,wet room : 3
minor issue : 37,crazy amount : 0,crazy amount : 0,correct bus : 0,criticism : 2,shelf : 4,inch : 12,pricey breakfast : 7,poor quality : 9,worse : 3
negative point : 37,crazy busy : 0,crazy busy : 0,correct exit : 0,cupboard : 2,stiff : 4,neck : 12,waitress : 7,rollaway bed : 9,affect : 2
pain : 37,crazy city : 0,crazy city : 0,correct hotel : 0,dirty floor : 2,unfriendly staff : 4,romantic : 12,yellow : 7,unreasonable : 9,dead area : 2
warning : 37,crazy expensive : 0,crazy expensive : 0,correct information : 0,disappointing restaurant : 2,useless : 4,shelf : 12,accurate : 6,worst hotel : 9,disappointing recommendation : 2
dangerous : 36,crazy hour : 0,crazy hour : 0,correct location : 0,drunk : 2,waitress : 4,affair : 11,bare foot : 6,dusty : 8,disturb : 2
london : 36,crazy kid : 0,crazy kid : 0,correct number : 0,exciting : 2,warning : 4,mediocre : 11,bedside : 6,electrical outlet : 8,fashion : 2
negative comment : 36,crazy night : 0,crazy night : 0,correct order : 0,friday : 2,waste : 4,negative comment : 11,disturb : 6,handful : 8,feedback : 2
dirty carpet : 34,crazy number : 0,crazy number : 0,correct password : 0,funny smell : 2,wet room : 4,negative point : 11,drunk : 6,pricey food : 8,insist : 2
wet room : 34,crazy price : 0,crazy price : 0,correct place : 0,garbage : 2,yellow : 4,pain : 11,exciting : 6,rule : 8,little uncomfortable : 2
crew : 33,crazy shopper : 0,crazy shopper : 0,correct price : 0,gripe : 2,ability : 3,rude staff : 11,gripe : 6,smallest room : 8,minor detail : 2
dead : 33,crazy shopping : 0,crazy shopping : 0,correct room : 0,handful : 2,affect : 3,uncomfortable pillow : 11,pricey restaurant : 6,smallish : 8,minor downside : 2
bare : 32,crazy station : 0,crazy station : 0,correct service : 0,horrible : 2,argue : 3,waitress : 11,pricy : 6,wardrobe : 8,minor issue : 2
insist : 32,crazy time : 0,crazy time : 0,correct spelling : 0,involve : 2,bang : 3,wet room : 11,shock : 6,warning : 8,minor negative : 2
inch : 31,crazy view : 0,crazy view : 0,correct time : 0,joke : 2,bottled drink : 3,worst hotel : 11,sticky : 6,ability : 7,minor quibble : 2
remind : 31,crew : 0,crew : 0,correct way : 0,liking : 2,claustrophobic room : 3,ability : 10,stressful : 6,concrete : 7,minor thing : 2
