0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
good : 19148,absolute best : 0,absolute best : 0,good : 206,good : 1399,good : 2242,good : 6550,good : 3407,great : 4425,great : 1488
staff : 16289,acceptable : 0,acceptable : 0,staff : 181,staff : 1165,staff : 1674,staff : 5348,staff : 2867,good : 4350,staff : 1277
great : 16127,acceptable access : 0,acceptable access : 0,clean : 174,great : 961,great : 1414,great : 5074,great : 2620,staff : 3777,good : 994
location : 11838,acceptable breakfast : 0,acceptable breakfast : 0,nice : 166,nice : 808,clean : 1204,location : 4414,location : 2186,nice : 2991,nice : 864
nice : 11615,acceptable buffet : 0,acceptable buffet : 0,great : 143,location : 800,nice : 1175,nice : 3451,nice : 2160,location : 2439,location : 799
clean : 9064,acceptable cleanliness : 0,acceptable cleanliness : 0,location : 91,clean : 656,location : 1109,clean : 3364,clean : 1750,clean : 1655,excellent : 631
helpful : 5846,acceptable condition : 0,acceptable condition : 0,comfortable : 79,kyoto : 492,comfortable : 621,kyoto : 2067,helpful : 1147,excellent : 1555,beautiful : 455
excellent : 5661,acceptable distance : 0,acceptable distance : 0,helpful : 70,excellent : 412,friendly : 615,shopping : 1992,train : 1040,helpful : 1313,large : 404
comfortable : 5625,acceptable english : 0,acceptable english : 0,friendly : 64,friendly : 400,free : 581,helpful : 1970,subway : 1034,comfortable : 1246,helpful : 401
friendly : 5606,acceptable everything : 0,acceptable everything : 0,recommend : 59,helpful : 393,helpful : 552,comfortable : 1941,friendly : 1001,shinjuku : 1245,wonderful : 372
shopping : 5071,acceptable food : 0,acceptable food : 0,osaka : 58,comfortable : 391,train : 527,friendly : 1915,comfortable : 1000,friendly : 1238,friendly : 370
train : 5011,acceptable hotel : 0,acceptable hotel : 0,walking : 58,shopping : 372,osaka : 469,train : 1872,shopping : 948,large : 1233,best : 363
subway : 4686,acceptable level : 0,acceptable level : 0,clean room : 55,subway : 309,convenient : 465,excellent : 1739,free : 933,shopping : 1117,comfortable : 347
free : 4318,acceptable price : 0,acceptable price : 0,subway : 55,friendly staff : 292,friendly staff : 444,subway : 1650,excellent : 878,free : 1072,subway : 323
large : 4104,acceptable quality : 0,acceptable quality : 0,friendly staff : 53,walking : 288,subway : 444,convenient : 1505,kyoto : 798,airport : 1061,train : 321
convenient : 3991,acceptable rate : 0,acceptable rate : 0,convenient : 48,train : 279,clean room : 440,clean room : 1379,osaka : 750,shuttle : 1037,recommend : 306
walking : 3936,acceptable room : 0,acceptable room : 0,nagoya : 46,recommend : 273,excellent : 409,walking : 1340,walking : 745,train : 933,amazing : 280
kyoto : 3857,acceptable service : 0,acceptable service : 0,shopping : 41,free : 271,shopping : 407,friendly staff : 1311,convenient : 734,subway : 871,clean : 261
