0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
good : 21823,good : 1006,good : 8291,good : 5959,good : 753,staff : 5994,ability : 0
staff : 20136,staff : 819,staff : 7663,staff : 4952,staff : 708,great : 5911,abit : 0
great : 17309,location : 611,great : 5985,great : 4160,great : 678,good : 5814,absolute best : 0
location : 13835,great : 574,location : 5125,location : 4017,location : 527,nice : 3754,acceptable : 0
nice : 11931,train : 542,nice : 4493,clean : 2796,nice : 481,location : 3555,acceptable access : 0
clean : 9301,clean : 531,clean : 3905,nice : 2714,train : 466,shuttle : 2293,acceptable breakfast : 0
train : 9123,nice : 489,train : 3188,train : 2667,clean : 345,train : 2260,acceptable buffet : 0
free : 7005,convenient : 288,free : 2847,airport : 1948,shopping : 331,excellent : 2083,acceptable cleanliness : 0
easy : 6309,comfortable : 287,subway : 2355,easy : 1853,floor : 328,free : 2061,acceptable condition : 0
convenient : 6020,shopping : 274,easy : 2336,convenient : 1835,osaka : 303,lounge : 1958,acceptable distance : 0
helpful : 6003,recommend : 267,helpful : 2303,shopping : 1780,convenient : 272,floor : 1924,acceptable english : 0
friendly : 5822,large : 261,friendly : 2281,free : 1603,easy : 262,large : 1779,acceptable everything : 0
comfortable : 5806,free : 255,comfortable : 2261,helpful : 1565,comfortable : 248,best : 1745,acceptable food : 0
excellent : 5741,friendly : 253,convenient : 2098,friendly : 1524,free : 239,clean : 1724,acceptable hotel : 0
floor : 5680,helpful : 241,shopping : 2052,comfortable : 1470,recommend : 238,helpful : 1670,acceptable level : 0
shopping : 5524,walking : 233,walking : 2029,walking : 1388,excellent : 233,easy : 1642,acceptable meal : 0
recommend : 5297,jr : 225,recommend : 1997,jr : 1378,front : 229,airport : 1549,acceptable price : 0
best : 5243,front : 219,best : 1959,floor : 1343,helpful : 224,friendly : 1546,acceptable quality : 0
subway : 5224,floor : 218,excellent : 1959,recommend : 1325,airport : 220,comfortable : 1540,acceptable rate : 0
walking : 5224,spacious : 217,floor : 1867,excellent : 1291,friendly : 216,convenient : 1527,acceptable room : 0
large : 4820,easy : 216,front : 1849,front : 1227,best : 210,recommend : 1470,acceptable service : 0
airport : 4778,new : 206,everything : 1694,subway : 1200,large : 207,subway : 1421,acceptable size : 0
front : 4711,experience : 201,large : 1660,clean room : 1179,walking : 195,buffet : 1389,acceptable space : 0
everything : 4308,clean room : 198,osaka : 1606,best : 1172,jr : 191,walking : 1379,acceptable speed : 0
jr : 4183,friendly staff : 198,friendly staff : 1573,friendly staff : 1049,booked : 190,spacious : 1367,acceptable spread : 0
buffet : 4086,booked : 186,jr : 1500,everything : 1033,everything : 164,executive : 1365,acceptable standard : 0
friendly staff : 3887,sapporo : 186,clean room : 1449,buffet : 962,spacious : 162,everything : 1235,acceptable time : 0
spacious : 3803,dinner : 182,buffet : 1414,large : 913,dinner : 160,beautiful : 1207,acceptable variety : 0
clean room : 3672,everything : 182,spacious : 1326,booked : 873,clean room : 154,front : 1187,acceptable wifi : 0
shuttle : 3618,street : 181,found : 1324,helpful staff : 871,trip : 153,shopping : 1087,accessible : 0
booked : 3383,excellent : 175,booked : 1283,found : 868,buffet : 152,amazing : 1029,accessible area : 0
found : 3359,found : 172,quiet : 1283,narita : 856,family : 152,high : 1003,accessible attraction : 0
distance : 3245,buffet : 169,distance : 1264,family : 843,store : 149,wonderful : 1000,accessible bathroom : 0
trip : 3152,traditional : 167,street : 1169,trip : 840,shuttle : 143,trip : 999,accessible building : 0
quiet : 3089,subway : 158,coffee : 1157,distance : 839,grand : 139,experience : 972,accessible cab : 0
perfect : 2960,best : 157,helpful staff : 1147,minute : 783,friendly staff : 135,worth : 963,accessible city : 0
helpful staff : 2955,family : 150,short : 1143,metro : 775,perfect : 134,spacious room : 950,accessible entrance : 0
experience : 2934,distance : 149,experience : 1138,quiet : 774,found : 133,friendly staff : 932,accessible everything : 0
minute : 2934,quiet : 148,modern : 1135,spacious : 731,narita : 130,imperial : 914,accessible facility : 0
lounge : 2868,spacious room : 144,perfect : 1133,store : 725,plenty : 120,pool : 907,accessible floor : 0
beautiful : 2867,gion : 140,new : 1131,great location : 722,central : 118,jr : 889,accessible heart : 0
family : 2864,helpful staff : 126,minute : 1130,street : 716,distance : 115,perfect : 889,accessible hotel : 0
short : 2863,visit : 125,beautiful : 1106,perfect : 714,fuji : 114,distance : 878,accessible line : 0
worth : 2863,short : 123,visit : 1084,short : 710,lovely : 114,found : 862,accessible location : 0
osaka : 2862,worth : 123,worth : 1061,happy : 707,high : 113,booked : 851,accessible mart : 0
visit : 2798,enjoyed : 120,trip : 1056,convenience : 697,convenience : 112,enjoyed : 849,accessible minute : 0
high : 2625,good location : 118,family : 1037,visit : 692,visit : 111,narita : 836,accessible onsen : 0
enjoyed : 2609,great location : 109,enjoyed : 1036,plenty : 658,coffee : 110,minute : 813,accessible outlet : 0
coffee : 2581,twin : 106,airport : 996,good location : 626,short : 110,quiet : 797,accessible place : 0
street : 2545,different : 105,store : 907,shinagawa : 623,stop : 110,visit : 786,accessible plug : 0
modern : 2537,trip : 104,high : 901,worth : 608,minute : 109,lovely : 781,accessible property : 0
metro : 2529,happy : 102,convenience : 896,line : 603,worth : 108,park : 776,accessible restaurant : 0
happy : 2515,store : 102,lovely : 872,coffee : 591,bridge : 105,short : 776,accessible room : 0
new : 2474,minute : 99,happy : 868,shibuya : 567,helpful staff : 105,fantastic : 775,accessible ryokan : 0
amazing : 2405,convenience : 98,metro : 864,grand : 553,experience : 104,tower : 763,accessible shop : 0
spacious room : 2397,exit : 98,wonderful : 850,limousine : 542,line : 99,happy : 754,accessible site : 0
wonderful : 2397,coffee : 97,dinner : 849,value : 542,spacious room : 96,modern : 743,accessible spot : 0
store : 2365,local : 97,local : 846,mins : 532,amazing : 94,metro : 730,accessible station : 0
great location : 2334,arrived : 96,help : 837,namba : 530,different : 93,palace : 716,accessible store : 0
lovely : 2279,beautiful : 95,different : 832,different : 529,beautiful : 92,helpful staff : 706,accessible system : 0
convenience : 2272,mins : 95,great location : 830,high : 529,great view : 92,clean room : 692,accessible toilet : 0
different : 2244,plenty : 94,amazing : 819,osaka : 520,enjoyed : 91,different : 685,accessible tokyo : 0
dinner : 2212,central : 93,spacious room : 805,experience : 519,subway : 90,family : 682,accessible train : 0
narita : 2205,osaka : 91,traditional : 801,modern : 515,wonderful : 90,shinagawa : 680,accessible transport : 0
plenty : 2163,toilet : 91,stop : 797,enjoyed : 513,metro : 88,level : 670,accessible transportation : 0
line : 2148,ueno : 91,line : 781,help : 512,arrived : 87,arrived : 642,accessible walk : 0
help : 2136,perfect : 89,comfortable bed : 779,choice : 506,quiet : 87,help : 637,accessible wifi : 0
arrived : 2075,reasonable : 88,good location : 776,exit : 503,monorail : 86,dinner : 631,accommodate : 0
good location : 2026,lovely : 86,central : 764,shuttle : 503,choice : 84,coffee : 626,accommodation : 0
comfortable bed : 1979,comfortable bed : 85,arrived : 758,comfortable bed : 496,comfortable bed : 84,line : 611,accomodate : 0
choice : 1974,couple : 85,plenty : 746,sunroute : 494,happy : 84,great view : 600,accomodation : 0
central : 1939,choose : 83,mins : 733,arrived : 492,new : 84,large room : 597,accompany : 0
local : 1937,help : 78,toilet : 732,love : 492,served : 84,great location : 595,accord : 0
love : 1879,high : 78,choice : 727,tower : 470,fantastic : 83,suite : 590,accurate : 0
stop : 1876,dining : 77,value : 727,new : 468,private : 83,choice : 586,accurate direction : 0
fantastic : 1857,laundry : 77,ritz : 701,local : 458,local : 81,new : 584,accurate info : 0
mins : 1839,enjoy : 75,love : 698,twin : 458,great location : 78,regency : 562,accurate information : 0
executive : 1759,fine : 74,exit : 691,decent : 454,modern : 78,love : 556,accurate picture : 0
pool : 1759,provide : 73,shuttle : 661,reasonable : 442,haneda : 76,selection : 547,accurate reviews : 0
value : 1743,free wifi : 72,decent : 648,central : 440,love : 76,plenty : 545,activity : 0
level : 1721,metro : 72,couple : 628,stop : 440,street : 73,comfortable bed : 535,adapter : 0
toilet : 1693,choice : 71,reasonable : 621,haneda : 426,help : 72,central : 524,additional : 0
traditional : 1665,shinkansen : 71,fantastic : 612,lovely : 426,booking : 71,limousine : 519,additional amenity : 0
couple : 1631,amazing : 70,pleasant : 602,convenient location : 414,department : 71,return : 519,additional amount : 0
exit : 1582,served : 70,laundry : 601,toilet : 414,bay : 69,ginza : 515,additional bathroom : 0
decent : 1581,value : 69,level : 590,couple : 406,good location : 69,enjoy : 488,additional bed : 0
park : 1568,modern : 66,twin : 587,spacious room : 402,lounge : 69,store : 482,additional benefit : 0
shinagawa : 1545,stop : 66,fine : 553,amazing : 393,toilet : 69,complimentary : 471,additional blanket : 0
tower : 1539,airport : 65,provide : 546,wonderful : 392,traditional : 66,convenience : 469,additional bonus : 0
pleasant : 1522,wonderful : 65,enjoy : 543,laundry : 391,couple : 65,stop : 463,additional bottle : 0
reasonable : 1486,decent : 64,choose : 535,dinner : 390,dining : 65,offered : 459,additional charge : 0
twin : 1480,large room : 64,free wifi : 523,free wifi : 383,large room : 65,garden : 456,additional choice : 0
return : 1462,railway : 64,complimentary : 515,choose : 376,disney : 64,haneda : 456,additional comfort : 0
enjoy : 1458,pleasant : 63,entrance : 510,fine : 371,level : 64,local : 454,additional cost : 0
choose : 1446,hear : 61,corner : 507,beautiful : 367,enjoy : 63,polite : 453,additional day : 0
provide : 1401,shop : 61,machine : 506,return : 364,mins : 62,property : 448,additional fee : 0
large room : 1391,polite : 60,served : 502,pleasant : 363,twin : 62,couple : 447,additional hour : 0
selection : 1376,convenient location : 59,nagoya : 496,level : 348,reasonable : 60,special : 438,additional inch : 0
polite : 1370,park : 58,return : 488,machine : 347,choose : 59,good location : 437,additional info : 0
fine : 1360,least : 57,namba : 486,lounge : 346,machine : 59,pleasant : 437,additional information : 0
complimentary : 1352,love : 57,offered : 483,provide : 343,rail : 59,member : 436,additional item : 0
free wifi : 1348,warm : 57,pool : 480,fantastic : 339,aqua : 58,dining : 421,additional jpy : 0
dining : 1310,machine : 56,dining : 478,department : 338,bigger : 57,mins : 417,additional key : 0
offered : 1293,private : 56,warm : 477,clean hotel : 335,pleasant : 57,impressed : 412,additional mattress : 0
limousine : 1287,offered : 55,large room : 475,polite : 335,return : 57,bay : 409,additional money : 0
grand : 1262,variety : 55,lounge : 468,efficient : 324,limousine : 56,street : 406,additional night : 0
convenient location : 1237,line : 54,polite : 466,dome : 322,polite : 56,excellent service : 405,additional option : 0
ginza : 1234,thought : 54,ride : 466,good breakfast : 322,value : 55,choose : 393,additional pack : 0
imperial : 1221,good breakfast : 53,booking : 455,booking : 315,entrance : 54,variety : 389,additional payment : 0
great view : 1213,nagoya : 53,special : 452,park : 314,provide : 54,nice room : 388,additional person : 0
booking : 1209,rate : 51,surprised : 448,bigger : 310,system : 54,toilet : 387,additional pillow : 0
laundry : 1167,vending : 51,garden : 446,express : 310,complimentary : 52,provide : 385,additional pod : 0
haneda : 1155,twin room : 50,selection : 443,pool : 305,ride : 52,good service : 382,additional point : 0
special : 1155,clean hotel : 49,convenient location : 437,selection : 304,comfortable room : 51,efficient : 381,additional premium : 0
served : 1150,dated : 49,good breakfast : 431,good service : 303,lake : 50,separate : 376,additional price : 0
good service : 1146,level : 49,thought : 431,nankai : 301,nikko : 50,great service : 373,additional privacy : 0
efficient : 1141,nice hotel : 49,gion : 430,short walk : 297,ginza : 49,decent : 368,additional request : 0
entrance : 1141,surprised : 49,ginza : 428,enjoy : 289,nice view : 49,upgrade : 368,additional restaurant : 0
thought : 1132,fantastic : 48,bigger : 427,good hotel : 289,pool : 49,traditional : 362,additional ride : 0
variety : 1132,fresh : 48,drink : 420,excellent location : 288,fine : 48,thank : 361,additional room : 0
comfortable room : 1128,nice staff : 48,comfortable room : 412,shop : 286,centre : 47,quick : 358,additional service : 0
surprised : 1108,tub : 48,short walk : 406,complimentary : 285,eating : 47,comfortable room : 354,additional sofa : 0
good breakfast : 1105,number : 47,money : 398,entrance : 285,shinkansen : 47,value : 350,additional space : 0
garden : 1102,separate : 47,clean hotel : 397,heart : 284,convenient location : 46,attentive : 342,additional suitcase : 0
machine : 1098,budget : 46,nice hotel : 394,direct : 281,decent : 46,osaka : 342,additional surcharge : 0
nice hotel : 1095,comfortable room : 46,separate : 394,quick : 278,good hotel : 46,thought : 342,additional tax : 0
warm : 1089,larger : 46,fresh : 392,money : 277,separate : 46,wife : 339,additional time : 0
short walk : 1084,booking : 45,park : 392,nice hotel : 270,shop : 46,nice hotel : 338,additional towel : 0
quick : 1083,buy : 45,impressed : 391,dining : 269,course : 45,ride : 338,additional usd : 0
impressed : 1069,wife : 45,good service : 389,traditional : 268,direct : 45,free wifi : 329,additional water : 0
ride : 1068,delicious : 44,market : 388,variety : 267,exit : 45,number : 327,additional yen : 0
namba : 1037,turn : 44,variety : 388,comfortable room : 265,island : 45,great hotel : 326,address : 0
fresh : 1032,aeon : 43,buy : 386,vending : 263,quick : 45,booking : 323,adequate : 0
nice room : 1030,selection : 43,turn : 379,twin room : 262,thought : 45,everyone : 322,adequate amenity : 0
property : 1027,tatami : 43,least : 376,thought : 260,wife : 45,surprised : 320,adequate area : 0
least : 1022,bring : 42,simple : 376,roppongi : 258,efficient : 44,fine : 314,adequate bathroom : 0
