0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
pricey : 462,dated : 32,poor : 176,poor : 127,poor : 20,pricey : 190,ability : 0
poor : 460,uncomfortable : 25,dated : 150,pricey : 112,pricey : 19,dated : 153,abit : 0
dated : 431,disappointing : 16,disappointing : 133,dated : 89,disappointing : 18,disappointing : 124,accord : 0
disappointing : 376,poor : 14,pricey : 130,carpet : 87,carpet : 14,poor : 122,accurate : 0
worst : 327,cigarette : 13,worst : 130,disappointing : 85,dirty : 13,minor : 91,accurate information : 0
minor : 258,unable : 12,minor : 99,worst : 85,european : 13,worst : 86,accurate reviews : 0
uncomfortable : 253,worst : 12,uncomfortable : 94,uncomfortable : 83,worst : 13,sense : 83,advanced : 0
carpet : 240,minor : 11,annoying : 93,cigarette : 72,annoying : 11,walkway : 76,advanced book : 0
annoying : 220,plastic : 11,unable : 93,dirty : 65,uncomfortable : 10,lighting : 64,advanced reservation : 0
sense : 220,pricey : 11,cigarette : 92,smallest : 65,unable : 9,carpet : 60,advanced toilet : 0
cigarette : 219,annoying : 10,european : 89,european : 52,awkward : 8,unable : 56,affair : 0
unable : 215,carpet : 10,sense : 88,annoying : 51,carrying : 8,annoying : 55,affect : 0
european : 206,dirty : 10,plastic : 78,minor : 50,cigarette : 8,paper : 55,aircon : 0
smallest : 192,smallest : 10,smallest : 78,wardrobe : 50,plastic : 8,disappointment : 50,annoying : 0
dirty : 188,wet : 10,cramped : 76,bottled : 49,cramped : 7,rude : 50,annoying elevator : 0
paper : 182,mold : 9,rude : 73,terrible : 49,dated : 7,outdated : 49,annoying habit : 0
rude : 181,crazy : 8,dirty : 72,paper : 48,lighting : 7,european : 45,annoying noise : 0
lighting : 180,curtain : 8,paper : 70,cramped : 47,mixed : 7,bottled : 40,annoying part : 0
bottled : 164,wardrobe : 8,carpet : 69,unable : 45,rude : 7,terrible : 40,annoying room : 0
plastic : 159,write : 8,bottled : 66,lighting : 44,sense : 7,uncomfortable : 40,annoying step : 0
terrible : 159,european : 7,terrible : 63,mixed : 44,walkway : 7,wet : 40,annoying wifi : 0
cramped : 155,mixed : 7,wet : 63,renovation : 43,waste : 7,renovation : 39,argue : 0
disappointment : 152,rude : 7,disappointment : 62,rude : 43,weird : 7,crazy : 38,awkward : 0
mixed : 143,shelf : 7,lighting : 61,bottled water : 40,mold : 6,write : 37,awkward bathroom : 0
walkway : 143,stuffy : 7,weird : 61,policy : 39,outdated : 6,improve : 36,awkward bit : 0
wet : 143,unsure : 7,wardrobe : 56,write : 39,smallest : 6,bottled water : 35,awkward configuration : 0
weird : 139,walkway : 7,bottled water : 52,correct : 38,correct : 5,cigarette : 34,awkward layout : 0
renovation : 137,worse : 7,mixed : 52,plastic : 38,dirty room : 5,mixed : 32,awkward position : 0
bottled water : 134,aircon : 6,renovation : 48,sense : 38,minor : 5,smallest : 32,awkward shower : 0
wardrobe : 134,disappointment : 6,stuffy : 44,improve : 36,remind : 5,weird : 32,awkward situation : 0
outdated : 128,funny : 6,outdated : 43,skip : 36,renovation : 5,opinion : 31,awkward time : 0
write : 126,paper : 6,aircon : 42,weird : 34,ridiculous : 5,policy : 31,background : 0
improve : 114,worst hotel : 6,carrying : 40,aircon : 31,worse : 5,correct : 30,backpacker : 0
correct : 110,awkward : 5,write : 40,disappointment : 31,bottled : 4,ridiculous : 29,ball : 0
crazy : 107,claustrophobic : 5,improve : 39,crazy : 29,bottled water : 4,dirty : 28,bang : 0
skip : 104,duvet : 5,smallest room : 39,horrible : 29,funny : 4,awkward : 27,bare : 0
policy : 102,poor service : 5,opinion : 38,smallest room : 28,gripe : 4,device : 27,bare bone : 0
worse : 102,smallest room : 5,plug : 37,struggle : 28,horrible : 4,mediocre : 27,bare foot : 0
opinion : 92,terrible : 5,skip : 37,walkway : 28,opinion : 4,plate : 27,bare minimum : 0
plug : 92,uncomfortable bed : 5,tough : 37,worse : 28,policy : 4,worse : 27,bare necessity : 0
carrying : 91,cramped : 4,correct : 36,wet : 26,training : 4,exciting : 26,bare room : 0
awkward : 90,cupboard : 4,worse : 35,outdated : 25,claustrophobic : 3,plug : 26,bare wall : 0
aircon : 88,dusty : 4,ridiculous : 34,carrying : 24,concrete : 3,skip : 26,bedside : 0
funny : 86,horrible : 4,electrical : 33,electrical : 24,cramped room : 3,funny : 24,blanket : 0
horrible : 86,lighting : 4,funny : 33,plug : 24,criticism : 3,gripe : 24,bottled : 0
stuffy : 85,policy : 4,horrible : 33,uncomfortable bed : 24,device : 3,plastic : 24,bottled drink : 0
ridiculous : 83,sense : 4,crazy : 31,burger : 22,dirty carpet : 3,improvement : 23,bottled tea : 0
tough : 83,stale : 4,meat : 31,stale : 22,disappointment : 3,romantic : 23,bottled water : 0
smallest room : 80,waste : 4,curtain : 30,trash : 21,improvement : 3,stick : 23,burger : 0
electrical : 79,weird : 4,awkward : 29,awkward : 20,neck : 3,bedside : 22,camping : 0
