0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
good : 21823,best : 2,good : 1005,good : 8291,good : 5959,good : 753,good : 3844,staff : 1310,great : 1321,ability : 0
staff : 20136,ability : 0,staff : 818,staff : 7663,staff : 4952,staff : 708,staff : 3503,great : 1251,staff : 1181,abit : 0
great : 17309,abit : 0,location : 611,great : 5985,great : 4160,great : 678,great : 3339,good : 1091,good : 879,absolute best : 0
location : 13835,absolute best : 0,great : 574,location : 5125,location : 4017,location : 527,nice : 2213,location : 852,nice : 692,acceptable : 0
nice : 11931,acceptable : 0,train : 542,nice : 4493,clean : 2796,nice : 481,shuttle : 2083,nice : 849,location : 655,acceptable access : 0
clean : 9301,acceptable access : 0,clean : 531,clean : 3905,nice : 2714,train : 466,location : 2048,train : 771,best : 539,acceptable breakfast : 0
train : 9123,acceptable breakfast : 0,nice : 489,train : 3188,train : 2667,clean : 345,free : 1571,imperial : 595,palace : 527,acceptable buffet : 0
free : 7005,acceptable buffet : 0,convenient : 288,free : 2847,airport : 1948,shopping : 331,train : 1282,large : 460,excellent : 509,acceptable cleanliness : 0
easy : 6309,acceptable cleanliness : 0,comfortable : 286,subway : 2355,easy : 1853,floor : 328,lounge : 1232,excellent : 453,lounge : 497,acceptable condition : 0
convenient : 6020,acceptable condition : 0,shopping : 274,easy : 2336,convenient : 1835,osaka : 303,airport : 1218,best : 403,floor : 479,acceptable distance : 0
helpful : 6003,acceptable distance : 0,recommend : 267,helpful : 2303,shopping : 1780,convenient : 272,clean : 1218,helpful : 367,amazing : 402,acceptable english : 0
friendly : 5822,acceptable english : 0,large : 261,friendly : 2281,free : 1603,easy : 262,floor : 1139,beautiful : 365,beautiful : 365,acceptable everything : 0
comfortable : 5806,acceptable everything : 0,free : 255,comfortable : 2261,helpful : 1565,comfortable : 248,excellent : 1121,comfortable : 365,large : 362,acceptable food : 0
excellent : 5741,acceptable food : 0,friendly : 253,convenient : 2098,friendly : 1524,free : 239,convenient : 1032,easy : 362,recommend : 321,acceptable hotel : 0
floor : 5680,acceptable hotel : 0,helpful : 240,shopping : 2052,comfortable : 1470,recommend : 238,helpful : 1030,clean : 339,pool : 318,acceptable level : 0
shopping : 5524,acceptable level : 0,walking : 233,walking : 2029,walking : 1388,excellent : 233,easy : 997,recommend : 316,subway : 313,acceptable meal : 0
recommend : 5297,acceptable meal : 0,jr : 225,recommend : 1997,jr : 1378,front : 229,friendly : 961,walking : 316,executive : 312,acceptable price : 0
best : 5243,acceptable price : 0,front : 219,best : 1959,floor : 1343,helpful : 224,large : 957,convenient : 310,everything : 311,acceptable quality : 0
subway : 5224,acceptable quality : 0,floor : 218,excellent : 1959,recommend : 1325,airport : 220,executive : 943,friendly : 309,wonderful : 306,acceptable rate : 0
walking : 5224,acceptable rate : 0,spacious : 217,floor : 1867,excellent : 1291,friendly : 216,comfortable : 925,floor : 306,imperial : 299,acceptable room : 0
large : 4820,acceptable room : 0,easy : 216,front : 1849,front : 1227,best : 210,subway : 879,ebisu : 304,spacious : 291,acceptable service : 0
airport : 4778,acceptable service : 0,new : 206,everything : 1694,subway : 1200,large : 207,buffet : 851,spacious : 291,easy : 283,acceptable size : 0
front : 4711,acceptable size : 0,experience : 201,large : 1660,clean room : 1179,walking : 195,recommend : 833,buffet : 289,bay : 277,acceptable space : 0
everything : 4308,acceptable space : 0,clean room : 198,osaka : 1606,best : 1172,jr : 191,best : 801,everything : 274,friendly : 276,acceptable speed : 0
jr : 4183,acceptable speed : 0,friendly staff : 198,friendly staff : 1573,friendly staff : 1049,booked : 190,walking : 798,shinagawa : 274,helpful : 273,acceptable spread : 0
buffet : 4086,acceptable spread : 0,booked : 186,jr : 1500,everything : 1033,everything : 164,spacious : 785,wonderful : 269,high : 269,acceptable standard : 0
friendly staff : 3887,acceptable standard : 0,sapporo : 186,clean room : 1449,buffet : 962,spacious : 162,front : 759,shopping : 264,walking : 265,acceptable time : 0
spacious : 3803,acceptable time : 0,dinner : 182,buffet : 1414,large : 913,dinner : 160,shopping : 672,front : 254,experience : 257,acceptable variety : 0
clean room : 3672,acceptable variety : 0,everything : 182,spacious : 1326,booked : 873,clean room : 154,everything : 650,jr : 247,ginza : 255,acceptable wifi : 0
shuttle : 3618,acceptable wifi : 0,street : 181,found : 1324,helpful staff : 871,trip : 153,friendly staff : 615,garden : 245,comfortable : 250,accessible : 0
booked : 3383,accessible : 0,excellent : 175,booked : 1283,found : 868,buffet : 152,booked : 589,free : 243,buffet : 249,accessible area : 0
found : 3359,accessible area : 0,found : 172,quiet : 1283,narita : 856,family : 152,jr : 550,high : 243,free : 247,accessible attraction : 0
distance : 3245,accessible attraction : 0,buffet : 169,distance : 1264,family : 843,store : 149,narita : 548,perfect : 237,modern : 227,accessible bathroom : 0
trip : 3152,accessible bathroom : 0,traditional : 167,street : 1169,trip : 840,shuttle : 143,trip : 548,trip : 235,worth : 225,accessible building : 0
quiet : 3089,accessible building : 0,subway : 158,coffee : 1157,distance : 839,grand : 139,found : 544,airport : 231,perfect : 218,accessible cab : 0
perfect : 2960,accessible cab : 0,best : 155,helpful staff : 1147,minute : 783,friendly staff : 135,regency : 544,lounge : 229,trip : 216,accessible city : 0
helpful staff : 2955,accessible city : 0,family : 150,short : 1143,metro : 775,perfect : 134,spacious room : 542,subway : 229,fantastic : 211,accessible entrance : 0
experience : 2934,accessible entrance : 0,distance : 149,experience : 1138,quiet : 774,found : 133,worth : 526,minute : 225,train : 207,accessible everything : 0
minute : 2934,accessible everything : 0,quiet : 148,modern : 1135,spacious : 731,narita : 130,pool : 515,lovely : 219,park : 201,accessible facility : 0
lounge : 2868,accessible facility : 0,spacious room : 144,perfect : 1133,store : 725,plenty : 120,clean room : 505,spacious room : 214,enjoyed : 196,accessible floor : 0
beautiful : 2867,accessible floor : 0,gion : 140,new : 1131,great location : 722,central : 118,distance : 504,experience : 213,spacious room : 194,accessible heart : 0
family : 2864,accessible heart : 0,helpful staff : 125,minute : 1130,street : 716,distance : 115,experience : 502,narita : 213,distance : 191,accessible hotel : 0
short : 2863,accessible hotel : 0,visit : 125,beautiful : 1106,perfect : 714,fuji : 114,high : 491,worth : 212,convenient : 185,accessible line : 0
worth : 2863,accessible line : 0,short : 123,visit : 1084,short : 710,lovely : 114,tower : 484,quiet : 207,visit : 177,accessible location : 0
osaka : 2862,accessible location : 0,worth : 123,worth : 1061,happy : 707,high : 113,beautiful : 477,enjoyed : 195,front : 174,accessible mart : 0
visit : 2798,accessible mart : 0,enjoyed : 119,trip : 1056,convenience : 697,convenience : 112,quiet : 476,ginza : 195,happy : 169,accessible minute : 0
high : 2625,accessible minute : 0,good location : 118,family : 1037,visit : 692,visit : 111,metro : 472,large room : 189,lovely : 169,accessible onsen : 0
enjoyed : 2609,accessible onsen : 0,great location : 109,enjoyed : 1036,plenty : 658,coffee : 110,park : 470,shuttle : 189,clean : 167,accessible outlet : 0
coffee : 2581,accessible outlet : 0,twin : 106,airport : 996,good location : 626,short : 110,minute : 459,short : 188,great view : 164,accessible place : 0
street : 2545,accessible place : 0,different : 105,store : 907,shinagawa : 623,stop : 110,enjoyed : 458,amazing : 185,new : 161,accessible plug : 0
modern : 2537,accessible plug : 0,trip : 104,high : 901,worth : 608,minute : 109,happy : 456,distance : 183,level : 154,accessible property : 0
metro : 2529,accessible property : 0,happy : 102,convenience : 896,line : 603,worth : 108,short : 455,found : 180,fish : 153,accessible restaurant : 0
happy : 2515,accessible restaurant : 0,store : 102,lovely : 872,coffee : 591,bridge : 105,helpful staff : 451,tower : 180,different : 151,accessible room : 0
new : 2474,accessible room : 0,minute : 99,happy : 868,shibuya : 567,helpful staff : 105,limousine : 444,friendly staff : 178,shopping : 151,accessible ryokan : 0
amazing : 2405,accessible ryokan : 0,convenience : 98,metro : 864,grand : 553,experience : 104,amazing : 442,visit : 177,amazing view : 145,accessible shop : 0
spacious room : 2397,accessible shop : 0,exit : 98,wonderful : 850,limousine : 542,line : 99,family : 441,palace : 175,design : 144,accessible site : 0
wonderful : 2397,accessible site : 0,coffee : 97,dinner : 849,value : 542,spacious room : 96,perfect : 434,street : 172,metro : 140,accessible spot : 0
store : 2365,accessible spot : 0,local : 97,local : 846,mins : 532,amazing : 94,visit : 432,prince : 169,friendly staff : 139,accessible station : 0
great location : 2334,accessible station : 0,arrived : 96,help : 837,namba : 530,different : 93,fantastic : 429,dinner : 150,special : 139,accessible store : 0
lovely : 2279,accessible store : 0,beautiful : 95,different : 832,different : 529,beautiful : 92,wonderful : 425,coffee : 146,enjoy : 138,accessible system : 0
convenience : 2272,accessible system : 0,mins : 95,great location : 830,high : 529,great view : 92,line : 416,helpful staff : 146,found : 138,accessible toilet : 0
different : 2244,accessible toilet : 0,plenty : 94,amazing : 819,osaka : 520,enjoyed : 91,different : 407,modern : 144,suite : 137,accessible tokyo : 0
dinner : 2212,accessible tokyo : 0,central : 93,spacious room : 805,experience : 519,subway : 90,shinagawa : 405,traditional : 144,family : 133,accessible train : 0
narita : 2205,accessible train : 0,osaka : 91,traditional : 801,modern : 515,wonderful : 90,level : 396,booked : 143,dinner : 132,accessible transport : 0
plenty : 2163,accessible transport : 0,ueno : 91,stop : 797,enjoyed : 513,metro : 88,lovely : 393,arrived : 136,short : 132,accessible transportation : 0
line : 2148,accessible transportation : 0,toilet : 90,line : 781,help : 512,arrived : 87,arrived : 387,fantastic : 135,love : 130,accessible walk : 0
help : 2136,accessible walk : 0,perfect : 89,comfortable bed : 779,choice : 506,quiet : 87,convenience : 381,help : 134,minute : 129,accessible wifi : 0
arrived : 2075,accessible wifi : 0,reasonable : 88,good location : 776,exit : 503,monorail : 86,coffee : 380,choice : 130,help : 127,accommodate : 0
good location : 2026,accommodate : 0,lovely : 86,central : 764,shuttle : 503,choice : 84,suite : 377,comfortable bed : 130,return : 125,accommodation : 0
comfortable bed : 1979,accommodation : 0,comfortable bed : 85,arrived : 758,comfortable bed : 496,comfortable bed : 84,help : 376,great location : 130,arrived : 119,accomodate : 0
choice : 1974,accomodate : 0,couple : 85,plenty : 746,sunroute : 494,happy : 84,modern : 372,clean room : 129,booked : 119,accomodation : 0
central : 1939,accomodation : 0,choose : 83,mins : 733,arrived : 492,new : 84,great view : 370,happy : 129,attentive : 115,accompany : 0
local : 1937,accompany : 0,help : 78,toilet : 732,love : 492,served : 84,store : 364,different : 127,great location : 115,accord : 0
love : 1879,accord : 0,high : 78,choice : 727,tower : 470,fantastic : 83,great location : 350,plenty : 122,quiet : 114,accurate : 0
stop : 1876,accurate : 0,dining : 77,value : 727,new : 468,private : 83,dinner : 349,level : 120,best hotel : 113,accurate direction : 0
fantastic : 1857,accurate direction : 0,laundry : 77,ritz : 701,local : 458,local : 81,plenty : 349,love : 118,large room : 113,accurate info : 0
mins : 1839,accurate info : 0,enjoy : 74,love : 698,twin : 458,great location : 78,choice : 348,metro : 118,helpful staff : 109,accurate information : 0
executive : 1759,accurate information : 0,fine : 74,exit : 691,decent : 454,modern : 78,haneda : 338,central : 117,choice : 108,accurate picture : 0
pool : 1759,accurate picture : 0,provide : 73,shuttle : 661,reasonable : 442,haneda : 76,selection : 331,property : 117,market : 107,accurate reviews : 0
value : 1743,accurate reviews : 0,free wifi : 72,decent : 648,central : 440,love : 76,central : 320,line : 116,warm : 106,activity : 0
level : 1721,activity : 0,metro : 72,couple : 628,stop : 440,street : 73,stop : 319,dining : 115,selection : 105,adapter : 0
toilet : 1693,adapter : 0,choice : 71,reasonable : 621,haneda : 426,help : 72,comfortable bed : 312,new : 115,balcony : 104,additional : 0
traditional : 1665,additional : 0,shinkansen : 71,fantastic : 612,lovely : 426,booking : 71,osaka : 309,express : 112,shimbashi : 103,additional amenity : 0
couple : 1631,additional amenity : 0,amazing : 70,pleasant : 602,convenient location : 414,department : 71,love : 308,selection : 111,airport : 100,additional amount : 0
exit : 1582,additional amount : 0,served : 70,laundry : 601,toilet : 414,bay : 69,new : 308,executive : 110,coffee : 100,additional bathroom : 0
decent : 1581,additional bathroom : 0,value : 69,level : 590,couple : 406,good location : 69,good location : 306,local : 110,complimentary : 100,additional bed : 0
park : 1568,additional bed : 0,modern : 66,twin : 587,spacious room : 402,lounge : 69,mins : 306,family : 108,tower : 99,additional benefit : 0
shinagawa : 1545,additional benefit : 0,stop : 66,fine : 553,amazing : 393,toilet : 69,return : 296,park : 105,property : 98,additional blanket : 0
tower : 1539,additional blanket : 0,airport : 65,provide : 546,wonderful : 392,traditional : 66,large room : 295,polite : 105,everyone : 97,additional bonus : 0
pleasant : 1522,additional bonus : 0,wonderful : 65,enjoy : 543,laundry : 391,couple : 65,complimentary : 291,separate : 105,wife : 96,additional bottle : 0
reasonable : 1486,additional bottle : 0,decent : 64,choose : 535,dinner : 390,dining : 65,free shuttle : 281,toilet : 104,impressed : 95,additional charge : 0
twin : 1480,additional charge : 0,large room : 64,free wifi : 523,free wifi : 383,large room : 65,polite : 281,excellent service : 103,offered : 95,additional choice : 0
return : 1462,additional choice : 0,railway : 64,complimentary : 515,choose : 376,disney : 64,local : 279,pleasant : 102,gorgeous : 94,additional comfort : 0
enjoy : 1458,additional comfort : 0,pleasant : 63,entrance : 510,fine : 371,level : 64,offered : 279,return : 98,stunning : 94,additional cost : 0
choose : 1446,additional cost : 0,hear : 61,corner : 507,beautiful : 367,enjoy : 63,couple : 275,couple : 97,team : 94,additional day : 0
provide : 1401,additional day : 0,shop : 61,machine : 506,return : 364,mins : 62,choose : 274,thank : 96,comfortable bed : 93,additional fee : 0
