0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
pricey : 462,ability : 0,dated : 32,poor : 176,poor : 127,poor : 20,pricey : 126,dated : 47,pricey : 30,ability : 0
poor : 460,abit : 0,uncomfortable : 25,dated : 150,pricey : 112,pricey : 19,dated : 106,pricey : 34,sense : 28,abit : 0
dated : 431,accord : 0,disappointing : 16,disappointing : 133,dated : 89,disappointing : 18,poor : 93,minor : 24,minor : 22,accord : 0
disappointing : 376,accurate : 0,poor : 14,pricey : 130,carpet : 87,carpet : 14,disappointing : 91,sense : 24,lighting : 18,accurate : 0
worst : 327,accurate information : 0,cigarette : 13,worst : 130,disappointing : 85,dirty : 13,worst : 64,disappointing : 20,disappointing : 13,accurate information : 0
minor : 258,accurate reviews : 0,unable : 12,minor : 99,worst : 85,european : 13,walkway : 53,european : 20,mixed : 13,accurate reviews : 0
uncomfortable : 253,advanced : 0,worst : 12,uncomfortable : 94,uncomfortable : 83,worst : 13,minor : 44,unable : 17,poor : 13,advanced : 0
carpet : 240,advanced book : 0,minor : 11,annoying : 93,cigarette : 72,annoying : 11,carpet : 43,walkway : 17,annoying : 11,advanced book : 0
annoying : 220,advanced reservation : 0,plastic : 11,unable : 93,dirty : 65,uncomfortable : 10,lighting : 35,poor : 16,bedside : 11,advanced reservation : 0
sense : 220,advanced toilet : 0,pricey : 11,cigarette : 92,smallest : 65,unable : 9,outdated : 34,disappointment : 15,paper : 11,advanced toilet : 0
cigarette : 219,affair : 0,annoying : 10,european : 89,european : 52,awkward : 8,unable : 33,outdated : 14,disappointment : 10,affair : 0
unable : 215,affect : 0,carpet : 10,sense : 88,annoying : 51,carrying : 8,annoying : 32,paper : 13,write : 10,affect : 0
european : 206,aircon : 0,dirty : 10,plastic : 78,minor : 50,cigarette : 8,terrible : 32,renovation : 13,awkward : 9,aircon : 0
