0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
good : 21823,ability : 0,good : 232,good : 1547,good : 2529,good : 16336,staff : 1627
staff : 20136,abit : 0,staff : 218,staff : 1455,staff : 2089,staff : 14747,great : 1605
great : 17309,absolute best : 0,clean : 179,great : 1017,great : 1509,great : 13020,good : 1179
location : 13835,acceptable : 0,nice : 166,location : 951,location : 1305,location : 10504,location : 970
nice : 11931,acceptable access : 0,great : 157,nice : 833,clean : 1232,nice : 8826,nice : 899
clean : 9301,acceptable breakfast : 0,floor : 106,clean : 689,nice : 1207,train : 7007,best : 690
train : 9123,acceptable buffet : 0,location : 105,train : 476,train : 995,clean : 6933,excellent : 644
free : 7005,acceptable cleanliness : 0,comfortable : 82,free : 459,free : 886,free : 5235,palace : 595
easy : 6309,acceptable condition : 0,free : 78,friendly : 424,easy : 701,easy : 4782,train : 580
convenient : 6020,acceptable distance : 0,recommend : 76,excellent : 416,convenient : 687,convenient : 4601,floor : 528
helpful : 6003,acceptable english : 0,convenient : 72,comfortable : 404,jr : 640,helpful : 4552,lounge : 522
friendly : 5822,acceptable everything : 0,helpful : 71,helpful : 399,comfortable : 639,shopping : 4440,beautiful : 488
comfortable : 5806,acceptable food : 0,friendly : 69,shopping : 394,friendly : 634,comfortable : 4313,large : 478
excellent : 5741,acceptable hotel : 0,train : 65,easy : 385,helpful : 563,friendly : 4311,amazing : 467
floor : 5680,acceptable level : 0,walking : 64,walking : 372,floor : 541,excellent : 4229,helpful : 418
shopping : 5524,acceptable meal : 0,osaka : 62,ueno : 359,walking : 537,floor : 4197,recommend : 408
recommend : 5297,acceptable price : 0,easy : 60,recommend : 357,recommend : 535,airport : 4004,wonderful : 399
best : 5243,acceptable quality : 0,clean room : 58,best : 354,front : 522,subway : 3963,everything : 392
subway : 5224,acceptable rate : 0,subway : 57,subway : 349,osaka : 509,recommend : 3921,easy : 381
walking : 5224,acceptable room : 0,friendly staff : 55,convenient : 331,subway : 505,walking : 3904,friendly : 381
large : 4820,acceptable service : 0,nagoya : 55,front : 323,everything : 470,best : 3724,comfortable : 368
airport : 4778,acceptable size : 0,tatami : 52,floor : 308,friendly staff : 451,large : 3621,spacious : 364
front : 4711,acceptable space : 0,traditional : 52,friendly staff : 300,clean room : 445,front : 3548,imperial : 362
everything : 4308,acceptable speed : 0,quiet : 50,buffet : 284,airport : 441,everything : 3136,high : 361
jr : 4183,acceptable spread : 0,front : 49,large : 284,shopping : 434,jr : 3121,subway : 350
buffet : 4086,acceptable standard : 0,kitchen : 48,quiet : 273,buffet : 429,buffet : 3019,free : 347
friendly staff : 3887,acceptable time : 0,experience : 47,everything : 267,best : 427,shuttle : 2964,walking : 347
spacious : 3803,acceptable variety : 0,shopping : 47,spacious : 255,shuttle : 415,friendly staff : 2885,buffet : 329
clean room : 3672,acceptable wifi : 0,best : 46,clean room : 254,excellent : 414,spacious : 2829,convenient : 329
shuttle : 3618,accessible : 0,distance : 46,short : 252,large : 401,clean room : 2812,pool : 320
booked : 3383,accessible area : 0,toilet : 44,distance : 249,booked : 394,booked : 2547,perfect : 319
found : 3359,accessible attraction : 0,everything : 43,street : 248,quiet : 382,found : 2508,trip : 314
distance : 3245,accessible bathroom : 0,mins : 43,found : 242,found : 364,distance : 2384,executive : 313
trip : 3152,accessible building : 0,family : 42,dinner : 237,convenience : 351,trip : 2344,worth : 310
quiet : 3089,accessible cab : 0,booked : 41,minute : 232,new : 339,helpful staff : 2236,experience : 308
perfect : 2960,accessible city : 0,laundry : 41,osaka : 222,distance : 337,quiet : 2206,bay : 277
helpful staff : 2955,accessible entrance : 0,budget : 39,booked : 218,minute : 328,lounge : 2186,ginza : 276
experience : 2934,accessible everything : 0,spacious : 39,jr : 216,short : 325,perfect : 2186,modern : 271
minute : 2934,accessible facility : 0,convenience : 37,coffee : 207,store : 322,minute : 2181,front : 269
lounge : 2868,accessible floor : 0,excellent : 37,experience : 207,spacious : 316,family : 2154,clean : 268
beautiful : 2867,accessible heart : 0,found : 37,helpful staff : 207,family : 314,experience : 2113,lovely : 249
family : 2864,accessible hotel : 0,street : 37,beautiful : 204,helpful staff : 305,worth : 2093,fantastic : 244
short : 2863,accessible line : 0,trip : 37,lovely : 196,street : 302,visit : 2076,enjoyed : 241
worth : 2863,accessible location : 0,airport : 36,visit : 194,line : 293,short : 2074,visit : 234
osaka : 2862,accessible mart : 0,helpful staff : 36,enjoyed : 191,worth : 289,osaka : 2050,spacious room : 233
visit : 2798,accessible minute : 0,large : 36,family : 191,trip : 279,metro : 2008,distance : 229
high : 2625,accessible onsen : 0,new : 36,trip : 178,coffee : 273,coffee : 1926,park : 210
enjoyed : 2609,accessible outlet : 0,common : 35,perfect : 175,visit : 269,enjoyed : 1922,happy : 209
coffee : 2581,accessible place : 0,monorail : 35,regency : 175,mins : 261,beautiful : 1912,shopping : 209
street : 2545,accessible plug : 0,short : 35,good location : 163,experience : 259,high : 1895,found : 208
modern : 2537,accessible property : 0,value : 35,store : 163,perfect : 257,happy : 1881,new : 199
metro : 2529,accessible restaurant : 0,exit : 33,happy : 162,different : 252,street : 1861,friendly staff : 196
happy : 2515,accessible room : 0,modern : 33,help : 162,modern : 250,modern : 1850,narita : 194
new : 2474,accessible ryokan : 0,good location : 32,traditional : 161,good location : 245,spacious room : 1815,booked : 183
amazing : 2405,accessible shop : 0,jr : 31,great location : 159,local : 243,great location : 1796,help : 181
spacious room : 2397,accessible site : 0,store : 31,wonderful : 159,beautiful : 241,store : 1796,level : 180
wonderful : 2397,accessible spot : 0,minute : 29,arrived : 157,happy : 240,new : 1758,different : 179
store : 2365,accessible station : 0,apartment : 27,local : 157,help : 231,narita : 1744,quiet : 178
great location : 2334,accessible store : 0,high : 27,park : 157,enjoyed : 229,wonderful : 1685,airport : 177
lovely : 2279,accessible system : 0,enjoyed : 26,namba : 155,metro : 227,plenty : 1684,special : 177
convenience : 2272,accessible toilet : 0,buffet : 25,mins : 151,comfortable bed : 223,convenience : 1682,short : 176
different : 2244,accessible tokyo : 0,different : 25,toilet : 150,exit : 223,different : 1641,jr : 175
dinner : 2212,accessible train : 0,visit : 25,worth : 150,value : 223,lovely : 1631,dinner : 174
narita : 2205,accessible transport : 0,local : 24,different : 147,shinagawa : 214,amazing : 1623,arrived : 173
plenty : 2163,accessible transportation : 0,spacious room : 24,convenience : 145,reasonable : 212,line : 1622,helpful staff : 171
line : 2148,accessible walk : 0,castle : 23,new : 142,plenty : 211,dinner : 1591,great view : 168
help : 2136,accessible wifi : 0,dining : 23,plenty : 142,decent : 205,help : 1541,design : 165
arrived : 2075,accommodate : 0,happy : 23,high : 139,high : 203,arrived : 1527,enjoy : 164
good location : 2026,accommodation : 0,plenty : 23,stop : 139,great location : 201,good location : 1521,metro : 164
comfortable bed : 1979,accomodate : 0,provide : 23,spacious room : 136,love : 201,choice : 1501,minute : 164
choice : 1974,accomodation : 0,stop : 23,modern : 133,arrived : 198,comfortable bed : 1473,family : 163
central : 1939,accompany : 0,great location : 22,nagoya : 129,dinner : 198,central : 1466,coffee : 161
local : 1937,accord : 0,level : 22,comfortable bed : 128,choice : 197,stop : 1450,return : 160
love : 1879,accurate : 0,perfect : 22,value : 128,narita : 194,local : 1420,shuttle : 160
stop : 1876,accurate direction : 0,vending : 22,exit : 126,couple : 191,love : 1402,love : 159
fantastic : 1857,accurate info : 0,beautiful : 21,central : 124,spacious room : 189,executive : 1374,fish : 158
mins : 1839,accurate information : 0,coin : 21,choice : 124,central : 188,fantastic : 1374,great location : 156
executive : 1759,accurate picture : 0,comfortable bed : 21,amazing : 121,fine : 187,mins : 1327,suite : 151
pool : 1759,accurate reviews : 0,help : 21,pleasant : 121,lovely : 184,shinagawa : 1313,large room : 148
value : 1743,activity : 0,polite : 21,airport : 120,stop : 184,tower : 1308,amazing view : 146
level : 1721,adapter : 0,warm : 21,couple : 120,amazing : 182,value : 1275,central : 146
toilet : 1693,additional : 0,worth : 21,reasonable : 120,laundry : 181,level : 1265,choice : 143
traditional : 1665,additional amenity : 0,arrived : 20,line : 119,free wifi : 177,toilet : 1252,selection : 137
couple : 1631,additional amount : 0,good value : 20,metro : 115,akihabara : 172,traditional : 1252,best hotel : 136
exit : 1582,additional bathroom : 0,green : 20,temple : 115,twin : 172,pool : 1243,attentive : 134
decent : 1581,additional bed : 0,hear : 20,ride : 114,garden : 167,decent : 1213,comfortable bed : 134
park : 1568,additional benefit : 0,line : 20,decent : 111,pleasant : 164,couple : 1196,dining : 132
shinagawa : 1545,additional blanket : 0,separate : 20,served : 109,toilet : 164,limousine : 1173,warm : 128
tower : 1539,additional bonus : 0,served : 20,fantastic : 106,haneda : 163,exit : 1142,complimentary : 126
pleasant : 1522,additional bottle : 0,free wifi : 19,fine : 105,provide : 163,twin : 1135,excellent service : 119
reasonable : 1486,additional charge : 0,nice staff : 19,love : 104,enjoy : 162,choose : 1118,offered : 118
twin : 1480,additional choice : 0,reasonable : 19,good breakfast : 102,machine : 157,pleasant : 1116,property : 117
return : 1462,additional comfort : 0,turn : 19,level : 102,sapporo : 155,park : 1100,everyone : 115
enjoy : 1458,additional cost : 0,washing : 19,provide : 101,choose : 152,reasonable : 1089,thought : 114
choose : 1446,additional day : 0,entrance : 18,enjoy : 100,level : 152,return : 1087,wife : 114
provide : 1401,additional fee : 0,equipped : 18,twin : 99,nagoya : 150,large room : 1050,market : 112
large room : 1391,additional hour : 0,green tea : 18,offered : 98,pool : 149,provide : 1035,impressed : 111
selection : 1376,additional inch : 0,ground : 18,italian : 96,corner : 148,polite : 1026,thank : 111
polite : 1370,additional info : 0,lounge : 18,museum : 95,complimentary : 146,selection : 1023,team : 110
fine : 1360,additional information : 0,lovely : 18,garden : 94,booking : 145,enjoy : 1016,couple : 109
complimentary : 1352,additional item : 0,money : 18,comfortable room : 90,prince : 144,free wifi : 1015,gorgeous : 108
free wifi : 1348,additional jpy : 0,pleasant : 18,large room : 90,good breakfast : 143,grand : 1012,beautiful hotel : 107
dining : 1310,additional key : 0,wonderful : 18,free wifi : 89,selection : 139,complimentary : 988,delicious : 107
offered : 1293,additional mattress : 0,machine : 17,thought : 89,served : 139,fine : 969,balcony : 106
limousine : 1287,additional money : 0,offered : 17,warm : 89,fresh : 138,dining : 962,great service : 106
grand : 1262,additional night : 0,relaxing : 17,choose : 87,bigger : 137,offered : 935,member : 104
convenient location : 1237,additional option : 0,twin : 17,corner : 87,polite : 137,convenient location : 929,stunning : 104
ginza : 1234,additional pack : 0,delicious : 16,complimentary : 84,clean hotel : 136,booking : 917,clean room : 103
imperial : 1221,additional payment : 0,enjoy : 16,delicious : 84,wonderful : 136,great view : 909,pleasant : 103
great view : 1213,additional person : 0,fine : 16,variety : 83,entrance : 134,haneda : 906,plenty : 103
booking : 1209,additional pillow : 0,parking : 16,polite : 82,money : 133,ginza : 893,polite : 103
laundry : 1167,additional pod : 0,tub : 16,impressed : 81,variety : 129,good service : 882,separate : 103
haneda : 1155,additional point : 0,clean bathroom : 15,middle : 81,convenient location : 126,efficient : 867,shimbashi : 103
