0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
pricey : 462,ability : 0,worst : 6,dated : 40,poor : 57,pricey : 375,pricey : 40
poor : 460,abit : 0,walkway : 5,poor : 29,dated : 41,poor : 352,sense : 34
dated : 431,accord : 0,funny : 4,disappointing : 26,disappointing : 38,dated : 346,minor : 33
disappointing : 376,accurate : 0,unable : 4,worst : 24,annoying : 36,disappointing : 291,lighting : 20
worst : 327,accurate information : 0,worse : 4,uncomfortable : 23,worst : 36,worst : 248,disappointing : 19
minor : 258,accurate reviews : 0,annoying : 3,cigarette : 22,cigarette : 31,carpet : 193,poor : 19
uncomfortable : 253,advanced : 0,dirty : 3,pricey : 22,rude : 28,uncomfortable : 191,annoying : 16
carpet : 240,advanced book : 0,funny smell : 3,minor : 21,uncomfortable : 26,minor : 188,mixed : 15
annoying : 220,advanced reservation : 0,poor : 3,paper : 19,paper : 25,unable : 161,disappointment : 14
sense : 220,advanced toilet : 0,renovation : 3,unable : 19,pricey : 24,dirty : 154,paper : 14
cigarette : 219,affair : 0,carpet : 2,european : 18,cramped : 23,european : 154,bedside : 13
unable : 215,affect : 0,carrying : 2,annoying : 17,unable : 23,cigarette : 151,cigarette : 13
european : 206,aircon : 0,cigarette : 2,wet : 17,aircon : 22,sense : 151,smallest : 13
smallest : 192,annoying : 0,correct : 2,rude : 16,bottled : 22,annoying : 148,european : 12
dirty : 188,annoying elevator : 0,curtain : 2,carpet : 14,european : 22,smallest : 147,worst : 12
paper : 182,annoying habit : 0,disappointing : 2,plastic : 14,plastic : 22,lighting : 131,write : 12
rude : 181,annoying noise : 0,disturb : 2,cramped : 13,carpet : 21,rude : 126,awkward : 11
lighting : 180,annoying part : 0,electrical : 2,sense : 13,sense : 21,bottled : 124,correct : 11
bottled : 164,annoying room : 0,electrical outlet : 2,smallest : 13,stuffy : 19,terrible : 124,rude : 11
plastic : 159,annoying step : 0,horrible : 2,lighting : 12,terrible : 19,paper : 123,carpet : 10
terrible : 159,annoying wifi : 0,horrible noise : 2,terrible : 12,wardrobe : 19,disappointment : 119,cramped : 10
cramped : 155,argue : 0,lighting : 2,dirty : 11,wet : 19,plastic : 116,plate : 10
disappointment : 152,awkward : 0,shelf : 2,outdated : 11,cottage : 18,walkway : 113,policy : 10
mixed : 143,awkward bathroom : 0,shock : 2,mixed : 10,plug : 18,mixed : 111,bottled : 9
walkway : 143,awkward bit : 0,stale : 2,correct : 9,smallest : 18,renovation : 110,exciting : 9
wet : 143,awkward configuration : 0,stick : 2,crazy : 9,bottled water : 17,weird : 109,renovation : 9
weird : 139,awkward layout : 0,terrible : 2,useless : 9,weird : 16,cramped : 108,stick : 9
renovation : 137,awkward position : 0,uncomfortable : 2,write : 9,worse : 16,outdated : 106,stuffy : 9
bottled water : 134,awkward shower : 0,unsure : 2,aircon : 8,carrying : 15,bottled water : 103,training : 9
wardrobe : 134,awkward situation : 0,worst room : 2,curtain : 8,lighting : 15,wardrobe : 99,wardrobe : 9
outdated : 128,awkward time : 0,yellow : 2,disappointment : 8,ridiculous : 15,wet : 95,waste : 9
write : 126,background : 0,ability : 0,smallest room : 8,dirty : 14,improve : 93,wet : 9
improve : 114,backpacker : 0,abit : 0,stuffy : 8,minor : 14,write : 90,bottled water : 8
correct : 110,ball : 0,accord : 0,bottled : 7,write : 14,skip : 82,criticism : 8
crazy : 107,bang : 0,accurate : 0,dangerous : 7,tough : 13,crazy : 81,dead : 8
skip : 104,bare : 0,accurate information : 0,funny : 7,walkway : 13,correct : 79,device : 8
policy : 102,bare bone : 0,accurate reviews : 0,sunday : 7,policy : 12,policy : 77,london : 8
worse : 102,bare foot : 0,advanced : 0,wardrobe : 7,renovation : 12,opinion : 72,opinion : 8
opinion : 92,bare minimum : 0,advanced book : 0,waste : 7,skip : 12,worse : 72,rollaway : 8
plug : 92,bare necessity : 0,advanced reservation : 0,worse : 7,crazy : 11,horrible : 70,shelf : 8
carrying : 91,bare room : 0,advanced toilet : 0,bedside : 6,disappointment : 11,awkward : 69,uncomfortable : 8
awkward : 90,bare wall : 0,affair : 0,bottled water : 6,electrical : 11,carrying : 66,waitress : 8
aircon : 88,bedside : 0,affect : 0,improve : 6,horrible : 11,funny : 66,improvement : 7
funny : 86,blanket : 0,aircon : 0,skip : 6,smallest room : 11,plug : 64,plug : 7
horrible : 86,bottled : 0,annoying elevator : 0,tough : 6,poor service : 10,ridiculous : 63,unable : 7
stuffy : 85,bottled drink : 0,annoying habit : 0,trash : 6,correct : 9,gripe : 61,walkway : 7
ridiculous : 83,bottled tea : 0,annoying noise : 0,weird : 6,curtain : 9,tough : 60,crazy : 6
tough : 83,bottled water : 0,annoying part : 0,accurate : 5,disturb : 8,aircon : 58,dirty : 6
smallest room : 80,burger : 0,annoying room : 0,blanket : 5,improve : 8,smallest room : 58,improve : 6
