keyword,0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
ability,28,0,0,3,3,18,4
abit,43,0,0,2,6,33,0
accord,2,0,0,0,0,0,0
accurate,23,0,0,5,2,11,0
accurate information,2,0,0,0,0,0,0
accurate reviews,3,0,0,0,0,2,0
advanced,17,0,0,0,2,13,0
advanced book,2,0,0,0,0,2,0
advanced reservation,2,0,0,0,0,2,0
advanced toilet,3,0,0,0,0,2,0
affair,18,0,0,0,0,16,0
affect,20,0,0,3,3,12,2
aircon,88,0,0,8,22,58,0
annoying,220,0,3,17,36,148,16
annoying elevator,2,0,0,0,2,0,0
annoying habit,2,0,0,0,0,2,0
annoying noise,4,0,0,0,0,4,0
annoying part,2,0,0,0,0,0,0
annoying room,2,0,0,0,0,0,0
annoying step,3,0,0,0,2,0,0
annoying thing,15,0,0,0,2,12,0
annoying wifi,2,0,0,0,0,0,0
argue,16,0,0,2,3,11,0
aware,303,0,2,23,33,224,21
aware guest,2,0,0,0,0,2,0
aware hotel,3,0,0,0,0,3,0
aware management,2,0,0,0,0,2,0
aware person,3,0,0,0,0,3,0
aware room,2,0,0,0,0,2,0
aware something,4,0,0,0,0,3,0
aware thing,5,0,0,0,0,5,0
aware traveler,3,0,0,0,0,0,0
awkward,90,0,0,3,5,69,11
awkward bathroom,2,0,0,0,0,2,0
awkward bit,2,0,0,0,0,0,0
awkward configuration,2,0,0,0,0,0,0
awkward layout,2,0,0,0,0,0,0
awkward position,5,0,0,0,0,5,0
awkward shower,2,0,0,0,0,2,0
awkward situation,2,0,0,0,0,0,0
awkward time,2,0,0,0,0,2,0
background,22,0,0,0,2,17,0
backpacker,5,0,0,0,0,3,0
ball,10,0,0,0,0,8,0
bang,27,0,0,3,3,19,0
bare,32,0,0,0,0,29,0
bare bone,2,0,0,0,0,0,0
bare foot,6,0,0,0,0,6,0
bare footed,2,0,0,0,0,2,0
bare minimum,5,0,0,0,0,5,0
bare necessity,2,0,0,0,0,2,0
bare room,2,0,0,0,0,2,0
bare wall,2,0,0,0,0,2,0
bedside,67,0,0,6,4,44,13
big negative,7,0,0,0,0,7,0
blanket,17,0,0,5,2,10,0
bother,318,0,0,20,43,239,16
bottled,164,0,0,7,22,124,9
bottled drink,7,0,0,0,3,3,0
bottled tea,3,0,0,0,0,3,0
bottled water,134,0,0,6,17,103,8
burger,49,0,0,0,5,41,0
camping,9,0,0,0,2,7,0
carpet,240,0,2,14,21,193,10
carrying,91,0,2,5,15,66,3
cigarette,219,0,2,22,31,151,13
claim,26,0,0,0,4,20,0
claustrophobic,45,0,0,0,5,38,0
claustrophobic feel,2,0,0,0,0,0,0
claustrophobic person,2,0,0,0,0,2,0
claustrophobic room,6,0,0,0,3,2,0
concrete,46,0,0,5,3,35,3
confuse,16,0,0,2,0,12,0
correct,110,0,2,9,9,79,11
correct amount,3,0,0,0,0,3,0
correct breakfast,2,0,0,0,0,2,0
correct bus,3,0,0,0,0,3,0
correct exit,6,0,0,0,0,6,0
correct hotel,3,0,0,0,0,3,0
correct information,4,0,0,0,0,3,0
correct location,2,0,0,0,0,0,0
correct number,2,0,0,0,0,2,0
correct order,3,0,0,0,0,2,0
correct password,2,0,0,0,0,0,0
correct place,2,0,0,0,0,2,0
correct price,3,0,0,0,0,2,0
correct room,2,0,0,0,0,2,0
correct service,2,0,0,0,0,2,0
correct spelling,2,0,0,0,0,0,0
correct time,2,0,0,0,0,2,0
correct way,4,0,0,2,0,2,0
cottage,20,0,0,0,18,2,0
cramped,155,0,0,13,23,108,10
cramped area,3,0,0,0,0,2,0
cramped bathroom,4,0,0,0,2,0,0
cramped bedroom,2,0,0,0,0,2,0
cramped feel,2,0,0,0,0,0,0
cramped hotel,2,0,0,0,0,0,0
cramped lobby,2,0,0,0,0,2,0
cramped quarters,2,0,0,0,0,0,0
cramped room,47,0,0,4,4,34,5
cramped size,2,0,0,0,0,0,0
cramped space,5,0,0,0,0,4,0
crap,7,0,0,0,0,6,0
crazy,107,0,0,9,11,81,6
crazy amount,2,0,0,0,0,0,0
crazy busy,2,0,0,0,0,0,0
crazy city,4,0,0,0,0,2,0
crazy expensive,3,0,0,0,0,3,0
crazy hour,2,0,0,0,0,2,0
crazy kid,2,0,0,0,0,0,0
crazy night,2,0,0,0,0,2,0
crazy number,2,0,0,0,0,2,0
crazy price,2,0,0,0,0,2,0
crazy shopper,2,0,0,0,0,2,0
crazy shopping,2,0,0,0,0,0,0
crazy station,2,0,0,0,0,0,0
crazy time,2,0,0,0,0,0,0
crazy view,2,0,0,0,0,0,0
crew,33,0,0,0,6,24,3
criticism,52,0,0,2,0,41,8
cry,7,0,0,0,0,4,0
cupboard,42,0,0,2,3,33,3
curtain,76,0,2,8,9,52,5
dangerous,36,0,0,7,5,23,0
dangerous road,2,0,0,0,0,0,0
dangerous step,2,0,0,0,0,2,0
dated,431,0,0,40,41,346,3
dead,33,0,0,3,2,18,8
dead area,3,0,0,0,0,0,2
dead end,2,0,0,0,0,0,0
device,62,0,0,4,4,45,8
dirty,188,0,3,11,14,154,6
dirty area,2,0,0,0,0,0,0
dirty bathroom,6,0,0,0,0,5,0
dirty blanket,3,0,0,0,0,2,0
dirty carpet,34,0,0,0,0,31,0
dirty carpeting,2,0,0,0,0,2,0
dirty chair,3,0,0,0,0,2,0
dirty clothe,6,0,0,0,0,5,0
dirty cup,4,0,0,0,0,3,0
dirty curtain,2,0,0,0,0,0,0
dirty dish,3,0,0,0,0,3,0
dirty feel,2,0,0,0,0,2,0
dirty filter,2,0,0,0,0,0,0
dirty floor,3,0,0,2,0,0,0
dirty glass,2,0,0,0,0,2,0
dirty hallway,2,0,0,0,0,2,0
dirty hotel,4,0,0,0,0,4,0
dirty linen,2,0,0,0,0,0,0
dirty luggage,3,0,0,0,0,3,0
dirty restaurant,2,0,0,0,0,2,0
dirty room,23,0,0,0,2,20,0
dirty rug,2,0,0,0,0,2,0
dirty sheet,2,0,0,0,0,0,0
dirty stain,2,0,0,0,0,2,0
dirty toilet,2,0,0,0,0,0,0
dirty towel,4,0,0,0,0,2,0
dirty wall,6,0,0,0,0,5,0
dirty water,2,0,0,0,0,0,0
disappointing,376,0,2,26,38,291,19
disappointing area,2,0,0,0,0,0,0
disappointing bathroom,6,0,0,0,0,3,0
disappointing breakfast,18,0,0,0,3,13,0
disappointing buffet,2,0,0,0,0,0,0
disappointing choice,3,0,0,0,0,3,0
disappointing dinner,6,0,0,0,0,5,0
disappointing experience,15,0,0,0,0,11,0
disappointing fact,2,0,0,0,0,2,0
disappointing food,3,0,0,0,0,0,0
disappointing gym,2,0,0,0,0,2,0
disappointing hotel,8,0,0,0,2,6,0
disappointing location,2,0,0,0,0,2,0
disappointing lounge,4,0,0,0,0,4,0
disappointing meal,2,0,0,0,0,0,0
disappointing place,2,0,0,0,0,0,0
disappointing point,2,0,0,0,0,0,0
disappointing pool,2,0,0,0,0,0,0
disappointing quality,3,0,0,0,0,3,0
disappointing recommendation,2,0,0,0,0,0,2
disappointing restaurant,2,0,0,2,0,0,0
disappointing room,6,0,0,0,0,6,0
disappointing selection,4,0,0,0,2,2,0
disappointing service,5,0,0,0,0,4,0
disappointing stay,13,0,0,0,2,11,0
disappointing thing,9,0,0,0,0,7,0
disappointing view,3,0,0,0,0,3,0
disappointing way,2,0,0,0,0,2,0
disappointment,152,0,0,8,11,119,14
disturb,43,0,2,4,8,27,2
dog,8,0,0,0,2,6,0
downside,407,0,2,29,40,307,29
drain,29,0,0,0,3,25,0
drawback,143,0,3,14,22,91,13
dresser,10,0,0,3,0,6,0
drunk,27,0,0,2,2,22,0
drunk man,3,0,0,0,0,3,0
drunk person,4,0,0,0,0,4,0
dusty,37,0,0,0,4,30,0
dusty area,2,0,0,0,0,0,0
dusty carpet,4,0,0,0,0,3,0
dusty room,14,0,0,0,3,10,0
duvet,26,0,0,3,2,21,0
electrical,79,0,2,4,11,57,5
electrical appliance,2,0,0,0,0,2,0
electrical equipment,2,0,0,0,0,2,0
electrical outlet,37,0,2,3,7,21,4
electrical point,2,0,0,0,0,2,0
electrical socket,4,0,0,0,0,3,0
electrical store,2,0,0,0,0,2,0
european,206,0,0,18,22,154,12
exciting,49,0,0,2,3,33,9
exciting area,6,0,0,0,0,4,0
exciting breakfast,6,0,0,0,0,4,0
exciting elevator,2,0,0,0,0,0,0
exciting nothing,4,0,0,0,0,3,0
exciting part,4,0,0,0,0,4,0
exciting place,3,0,0,0,0,2,0
exciting shinjuku,3,0,0,0,0,3,0
existent,12,0,0,0,2,9,0
existent conditioning,2,0,0,0,0,2,0
existent noise,2,0,0,0,0,0,0
existent service,5,0,0,0,0,4,0
existent space,2,0,0,0,2,0,0
fashion,37,0,0,0,4,30,2
feedback,38,0,0,0,4,31,2
folk,10,0,0,0,0,9,0
friday,24,0,0,2,3,18,0
fry,5,0,0,0,2,2,0
funny,86,0,4,7,5,66,3
funny experience,3,0,0,0,0,0,0
funny smell,9,0,3,2,0,4,0
funny thing,7,0,0,0,0,6,0
garbage,19,0,0,2,2,14,0
gesture,30,0,0,0,2,24,3
gotemba,13,0,0,0,0,13,0
gripe,73,0,0,2,6,61,3
handful,22,0,0,2,3,14,3
hanger,14,0,0,0,0,12,0
hilton,1176,0,0,0,6,1114,54
horrible,86,0,2,2,11,70,0
horrible bed,2,0,0,0,0,2,0
horrible breakfast,4,0,0,0,0,2,0
horrible door,2,0,0,0,0,2,0
horrible experience,3,0,0,0,0,2,0
horrible floor,2,0,0,0,0,2,0
horrible food,3,0,0,0,0,2,0
horrible hotel,3,0,0,0,0,2,0
horrible noise,2,0,2,0,0,0,0
horrible pillow,2,0,0,0,0,2,0
horrible room,9,0,0,0,2,5,0
horrible service,7,0,0,0,0,6,0
horrible smell,7,0,0,0,0,6,0
