keyword,0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
ability,28,0,12,5,0,9,0
abit,43,3,16,14,2,8,0
accord,2,0,0,0,0,0,0
accurate,23,0,12,4,0,4,0
accurate information,2,0,0,0,0,0,0
accurate reviews,3,0,2,0,0,0,0
advanced,17,0,6,3,0,7,0
advanced book,2,0,0,0,0,0,0
advanced reservation,2,0,0,0,0,2,0
advanced toilet,3,0,2,0,0,0,0
affair,18,2,8,6,0,0,0
affect,20,0,8,3,2,6,0
aircon,88,6,42,31,0,9,0
annoying,220,10,93,51,11,55,0
annoying elevator,2,0,2,0,0,0,0
annoying habit,2,0,0,0,0,2,0
annoying noise,4,0,2,0,2,0,0
annoying part,2,0,0,0,0,2,0
annoying room,2,0,0,0,0,0,0
annoying step,3,0,2,0,0,0,0
annoying wifi,2,0,0,0,0,0,0
argue,16,0,7,2,0,6,0
awkward,90,5,29,20,8,27,0
awkward bathroom,2,0,0,0,0,0,0
awkward bit,2,0,0,0,0,0,0
awkward configuration,2,0,0,0,0,0,0
awkward layout,2,0,2,0,0,0,0
awkward position,5,0,0,2,0,2,0
awkward shower,2,0,0,0,0,0,0
awkward situation,2,0,0,0,0,2,0
awkward time,2,0,0,0,0,0,0
background,22,2,9,4,0,7,0
backpacker,5,0,0,0,0,2,0
ball,10,0,6,0,0,2,0
bang,27,2,11,11,0,3,0
bare,32,0,9,19,0,3,0
bare bone,2,0,0,0,0,0,0
bare foot,6,0,0,6,0,0,0
bare minimum,5,0,0,5,0,0,0
bare necessity,2,0,0,2,0,0,0
bare room,2,0,0,0,0,0,0
bare wall,2,0,0,0,0,0,0
bedside,67,3,22,19,0,22,0
blanket,17,0,10,6,0,0,0
bottled,164,3,66,49,4,40,0
bottled drink,7,0,4,3,0,0,0
bottled tea,3,0,3,0,0,0,0
bottled water,134,3,52,40,4,35,0
burger,49,0,17,22,0,10,0
camping,9,2,4,0,0,0,0
carpet,240,10,69,87,14,60,0
carrying,91,2,40,24,8,17,0
cigarette,219,13,92,72,8,34,0
claim,26,0,12,7,0,6,0
claustrophobic,45,5,25,11,3,0,0
claustrophobic feel,2,0,0,0,0,0,0
claustrophobic person,2,0,0,0,0,0,0
claustrophobic room,6,0,4,2,0,0,0
concrete,46,0,23,11,3,8,0
confuse,16,2,5,3,0,6,0
correct,110,0,36,38,5,30,0
correct amount,3,0,0,0,0,2,0
correct breakfast,2,0,0,0,0,0,0
correct bus,3,0,0,2,0,0,0
correct exit,6,0,0,5,0,0,0
correct hotel,3,0,0,2,0,0,0
correct information,4,0,0,2,0,0,0
correct location,2,0,0,0,0,0,0
correct number,2,0,0,0,0,0,0
correct order,3,0,2,0,0,0,0
correct password,2,0,2,0,0,0,0
correct place,2,0,0,0,0,0,0
correct price,3,0,0,0,0,0,0
correct room,2,0,0,0,0,2,0
correct service,2,0,0,0,0,0,0
correct spelling,2,0,0,0,0,0,0
correct time,2,0,0,0,0,0,0
correct way,4,0,2,0,0,2,0
cottage,20,0,20,0,0,0,0
cramped,155,4,76,47,7,20,0
cramped area,3,0,0,0,0,2,0
cramped bathroom,4,0,4,0,0,0,0
cramped bedroom,2,0,0,0,0,0,0
cramped feel,2,0,0,0,0,0,0
cramped hotel,2,0,0,0,0,0,0
cramped lobby,2,0,0,2,0,0,0
cramped quarters,2,0,0,0,0,0,0
cramped room,47,0,22,12,3,9,0
cramped size,2,0,2,0,0,0,0
cramped space,5,0,3,0,0,0,0
crap,7,0,2,2,0,2,0
crazy,107,8,31,29,0,38,0
crazy amount,2,0,0,0,0,0,0
crazy city,4,0,3,0,0,0,0
crazy hour,2,0,0,2,0,0,0
crazy kid,2,0,0,0,0,0,0
crazy night,2,0,0,0,0,0,0
crazy number,2,0,2,0,0,0,0
crazy price,2,0,0,0,0,0,0
crazy shopper,2,0,0,2,0,0,0
crazy shopping,2,0,0,0,0,0,0
crazy station,2,0,0,0,0,2,0
crazy time,2,0,0,0,0,0,0
crazy view,2,0,0,0,0,0,0
crew,33,2,14,8,0,8,0
criticism,52,0,20,11,3,17,0
cry,7,0,2,3,0,2,0
cupboard,42,4,17,13,0,7,0
curtain,76,8,30,20,0,17,0
dangerous,36,0,19,13,0,3,0
dangerous road,2,0,0,0,0,0,0
dangerous step,2,0,0,2,0,0,0
dated,431,32,150,89,7,153,0
dead,33,0,8,6,2,14,0
dead area,3,0,0,0,0,2,0
dead end,2,0,0,0,0,0,0
device,62,3,15,14,3,27,0
dirty,188,10,72,65,13,28,0
dirty area,2,0,0,0,0,0,0
dirty bathroom,6,0,0,4,0,0,0
dirty blanket,3,0,2,0,0,0,0
dirty carpet,34,0,9,14,3,7,0
dirty carpeting,2,0,2,0,0,0,0
dirty chair,3,0,2,0,0,0,0
dirty clothe,6,2,2,0,0,0,0
dirty cup,4,0,0,0,0,2,0
dirty curtain,2,0,2,0,0,0,0
dirty dish,3,0,0,2,0,0,0
dirty feel,2,0,0,0,0,0,0
dirty filter,2,0,0,0,0,0,0
dirty floor,3,0,3,0,0,0,0
dirty glass,2,0,0,0,0,0,0
dirty hallway,2,0,0,2,0,0,0
dirty hotel,4,0,3,0,0,0,0
dirty linen,2,0,0,0,0,0,0
dirty luggage,3,0,0,3,0,0,0
dirty restaurant,2,0,0,2,0,0,0
dirty room,23,3,8,5,5,2,0
dirty rug,2,0,0,0,0,2,0
dirty sheet,2,0,0,0,0,0,0
dirty stain,2,0,0,2,0,0,0
dirty toilet,2,0,0,0,0,0,0
dirty towel,4,0,2,0,0,2,0
dirty wall,6,0,3,3,0,0,0
dirty water,2,0,0,0,0,0,0
disappointing,376,16,133,85,18,124,0
disappointing area,2,0,0,0,0,0,0
disappointing bathroom,6,0,3,0,0,2,0
disappointing breakfast,18,0,6,6,2,3,0
disappointing buffet,2,0,0,0,0,0,0
disappointing choice,3,0,2,0,0,0,0
disappointing dinner,6,0,2,2,0,2,0
disappointing experience,15,0,6,0,0,7,0
disappointing fact,2,0,0,0,0,0,0
disappointing food,3,0,0,0,0,2,0
disappointing gym,2,0,0,0,0,2,0
disappointing hotel,8,0,2,5,0,0,0
disappointing location,2,0,0,0,0,0,0
disappointing lounge,4,0,0,0,0,2,0
disappointing meal,2,0,2,0,0,0,0
disappointing place,2,0,0,0,0,0,0
disappointing point,2,0,2,0,0,0,0
disappointing pool,2,0,0,0,0,2,0
disappointing quality,3,0,0,0,0,2,0
disappointing recommendation,2,0,0,0,0,2,0
disappointing restaurant,2,0,2,0,0,0,0
disappointing room,6,0,0,2,0,3,0
disappointing selection,4,0,3,0,0,0,0
disappointing service,5,0,3,0,0,2,0
disappointing stay,13,0,5,6,0,2,0
disappointing view,3,0,0,2,0,0,0
disappointing way,2,0,0,0,0,2,0
disappointment,152,6,62,31,3,50,0
disturb,43,3,21,11,0,7,0
dog,8,0,2,6,0,0,0
drain,29,0,8,10,0,9,0
dresser,10,0,5,0,0,3,0
drunk,27,2,10,6,0,4,0
drunk man,3,0,0,0,0,0,0
drunk person,4,0,3,0,0,0,0
dusty,37,4,10,13,0,6,0
dusty area,2,0,0,0,0,0,0
dusty carpet,4,0,0,0,0,2,0
dusty room,14,0,6,3,0,4,0
duvet,26,5,11,5,0,5,0
electrical,79,2,33,24,0,20,0
electrical appliance,2,0,0,0,0,0,0
electrical equipment,2,0,0,0,0,0,0
electrical outlet,37,2,15,8,0,12,0
electrical point,2,0,2,0,0,0,0
electrical socket,4,0,0,0,0,2,0
electrical store,2,0,0,0,0,0,0
european,206,7,89,52,13,45,0
exciting,49,2,9,10,0,26,0
exciting area,6,0,0,4,0,0,0
exciting breakfast,6,0,4,2,0,0,0
exciting elevator,2,0,0,0,0,2,0
exciting nothing,4,0,0,2,0,0,0
exciting part,4,0,0,2,0,0,0
exciting place,3,0,0,0,0,2,0
existent,12,0,4,4,0,2,0
existent conditioning,2,0,0,0,0,0,0
existent noise,2,0,0,0,0,0,0
existent service,5,0,0,2,0,3,0
existent space,2,0,2,0,0,0,0
fashion,37,0,19,8,0,8,0
feedback,38,0,11,13,2,11,0
folk,10,0,4,3,0,2,0
friday,24,0,10,8,0,5,0
fry,5,0,2,0,0,2,0
funny,86,6,33,19,4,24,0
funny experience,3,0,0,0,0,0,0
funny smell,9,2,3,3,0,0,0
garbage,19,3,6,6,0,4,0
gesture,30,0,13,9,0,8,0
gotemba,13,0,3,3,0,7,0
gripe,73,2,26,17,4,24,0
handful,22,0,7,0,2,13,0
hanger,14,0,5,5,2,2,0
horrible,86,4,33,29,4,14,0
horrible bed,2,0,0,0,0,0,0
horrible breakfast,4,0,2,0,0,0,0
horrible door,2,0,0,0,0,0,0
horrible experience,3,0,0,0,0,3,0
horrible floor,2,0,0,0,0,0,0
horrible food,3,0,0,0,0,0,0
horrible hotel,3,0,0,2,0,0,0
horrible noise,2,0,0,0,0,0,0
horrible pillow,2,0,0,2,0,0,0
horrible room,9,0,3,2,0,4,0
horrible service,7,0,3,0,0,2,0
horrible smell,7,0,3,2,0,0,0
horrible start,2,0,0,0,0,0,0
horrible wifi,2,0,0,0,0,0,0
hotspot,10,0,3,3,0,4,0
improve,114,0,39,36,2,36,0
improvement,62,0,22,13,3,23,0
inch,31,3,19,7,0,0,0
inconsistent,21,0,5,3,2,10,0
inconsistent service,4,0,2,0,0,0,0
inconsistent signal,2,0,0,0,0,0,0
insist,32,0,13,6,2,11,0
involve,8,0,4,0,0,3,0
joke,12,0,7,0,0,4,0
lighting,180,4,61,44,7,64,0
liking,25,0,10,9,0,6,0
little disappointing,3,0,2,0,0,0,0
little uncomfortable,2,0,0,0,0,2,0
london,36,0,12,10,0,13,0
meat,63,2,31,16,2,12,0
mediocre,55,0,11,13,0,27,0
mediocre breakfast,11,0,0,3,0,6,0
mediocre buffet,4,0,0,2,0,0,0
mediocre everything,3,0,0,0,0,2,0
mediocre food,4,0,0,0,0,3,0
mediocre hotel,4,0,2,0,0,0,0
mediocre quality,2,0,0,0,0,0,0
mediocre restaurant,3,0,0,0,0,2,0
mediocre room,4,0,0,0,0,0,0
mediocre service,5,0,0,0,0,4,0
minor,258,11,99,50,5,91,0
minor annoyance,6,0,0,3,0,0,0
minor complaint,16,2,3,4,0,7,0
minor con,2,0,2,0,0,0,0
minor concern,2,0,0,0,0,2,0
minor criticism,4,0,3,0,0,0,0
minor detail,4,0,0,0,0,2,0
minor disappointment,3,0,2,0,0,0,0
minor glitch,3,0,0,0,0,2,0
minor gripe,6,0,3,0,0,2,0
minor hiccup,3,0,3,0,0,0,0
minor inconvenience,10,0,3,3,0,3,0
minor irritation,2,0,2,0,0,0,0
minor issue,37,0,21,5,0,11,0
minor item,3,0,0,0,0,2,0
minor niggle,4,0,2,0,0,0,0
minor point,10,0,5,2,0,2,0
minor problem,12,2,5,0,0,4,0
minor quibble,4,0,0,0,0,3,0
minor reason,2,0,0,2,0,0,0
